Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2BY7ALEWdloFHgQZG6VMLA,"5jJN1nmKXzRjodMl1THQeI","Brandy (You're a Fine Girl)","Looking Glass","Looking Glass",1972,186826,75,spotify:user:emberg547,2021-03-02T16:22:59Z,"soft rock,sunshine pop",0.716,0.625,1,-11.369,0,0.0601,0.396,0.0000197,0.134,0.826,125.276,4
6ft9PAgNOjmZ2kFVP7LGqb,"3CDKmzJu6uwEGnPLLZffpD","Can't Take My Eyes off You","The Very Best of Frankie Valli & The 4 Seasons","Frankie Valli",2003-01-14,203240,72,spotify:user:emberg547,2021-03-02T16:23:19Z,"adult standards,brill building pop,bubblegum pop,mellow gold,soft rock",0.575,0.764,4,-7.448,1,0.0746,0.566,0.0000107,0.0692,0.536,123.821,4
6dopwpvkFOi4LBUSE6R0qd,"0MponVSpW81oLvJZ53vYZH","Please Mr. Postman","Motown: The Complete No. 1's","The Marvelettes",2008-12-15,149093,0,spotify:user:emberg547,2021-03-02T16:23:31Z,"brill building pop,classic girl group,classic soul,motown,rhythm and blues,soul,southern soul",0.779,0.796,2,-3.526,1,0.0319,0.715,0,0.148,0.963,120.989,4
4An0hbjs1THl9cQprYrN6G,"1bs7HoMkSyQwcobCpE9KpN","California Dreamin'","All The Leaves Are Brown The Golden Era Collection","The Mamas & The Papas",2001-01-01,160373,0,spotify:user:emberg547,2021-03-02T16:23:38Z,"brill building pop,bubblegum pop,classic rock,folk rock,mellow gold,psychedelic rock,rock,sunshine pop",0.547,0.722,1,-6.593,0,0.0389,0.382,0,0.049,0.654,112.424,4
252YuUdUaC5OojaBU0H1CP,"0DAqhikcMKLo2lPADVz2fs","Come A Little Bit Closer","Come A Little Bit Closer: The Best Of Jay & The Americans","Jay & The Americans",1964,166666,68,spotify:user:emberg547,2021-03-02T16:23:48Z,"adult standards,brill building pop,bubblegum pop,doo-wop,folk rock,rock-and-roll",0.636,0.684,3,-9.302,1,0.057,0.52,0.0015,0.534,0.881,132.509,4
0NpvdCO506uO58D4AbKzki,"6mcrZQmgzFGRWf7C0SObou","Sherry","The Very Best of Frankie Valli & The 4 Seasons","Frankie Valli & The Four Seasons",2003-01-14,152160,54,spotify:user:emberg547,2021-03-02T16:23:51Z,"adult standards,brill building pop,bubblegum pop,doo-wop,motown,northern soul,rock-and-roll",0.703,0.478,7,-8.062,1,0.0441,0.626,0,0.113,0.734,117.562,4
1DndHckdH9m5rp6gYP086b,"15FyiY3ChN0QRspHIQYq0W","Runaround Sue","Runaround Sue","Dion",1961,171600,65,spotify:user:emberg547,2021-03-02T16:24:20Z,"adult standards,brill building pop,doo-wop,lounge,rock-and-roll,rockabilly",0.364,0.607,2,-9.791,1,0.125,0.451,0,0.251,0.598,79.987,4
2HKafPuzWaKsCzcE3zFOIX,"36msvw9B10rxW90NSQ2794","Poetry In Motion - 1960 #2 Billboard chart hit","Johnny Tillotson's Best","Johnny Tillotson",1962,154466,51,spotify:user:emberg547,2021-03-02T19:15:02Z,"adult standards,brill building pop,bubblegum pop,doo-wop,merseybeat,nashville sound,rock-and-roll,rockabilly",0.485,0.706,8,-7.387,1,0.0319,0.392,0,0.0991,0.912,135.255,4
3v8d3ku3kiTZVPxEt7a2dE,"15FyiY3ChN0QRspHIQYq0W","The Wanderer","Runaround Sue","Dion",1961,168640,62,spotify:user:emberg547,2021-03-02T19:18:16Z,"adult standards,brill building pop,doo-wop,lounge,rock-and-roll,rockabilly",0.59,0.546,7,-10.213,1,0.0436,0.301,0,0.0936,0.855,114.04,4
44AyOl4qVkzS48vBsbNXaC,"43ZHCT0cAZBISjO8DG9PnE","Can't Help Falling in Love","Blue Hawaii","Elvis Presley",1961-10-20,182360,80,spotify:user:emberg547,2021-03-02T19:19:14Z,"adult standards,rock-and-roll,rockabilly",0.396,0.293,2,-14.062,1,0.0275,0.941,0.000196,0.105,0.343,100.307,3
07ePHsQ0SopWrnCbNjNC2D,"3PF1KBeHYb14yKgsiE693V","Tears on My Pillow","Greatest Hits","Little Anthony & The Imperials",2005-09-20,140533,55,spotify:user:emberg547,2021-03-02T19:25:52Z,"brill building pop,classic soul,doo-wop,motown,rhythm and blues,rock-and-roll",0.432,0.202,0,-14.518,1,0.0283,0.908,0,0.181,0.641,100.082,3
