Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5jgFfDIR6FR0gvlA56Nakr,"3WrFJ7ztbogyGnTHbHJFl2","Blackbird - Remastered 2009","The Beatles (Remastered)","The Beatles",1968-11-22,138386,76,spotify:user:emberg547,2020-03-03T07:02:18Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.686,0.127,7,-14.361,1,0.0342,0.754,0.0000141,0.0573,0.372,93.699,4
5GjPQ0eI7AgmOnADn1EO6Q,"3WrFJ7ztbogyGnTHbHJFl2","Eleanor Rigby - Remastered 2009","Revolver (Remastered)","The Beatles",1966-08-05,126533,73,spotify:user:emberg547,2020-03-03T07:02:23Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.581,0.28,4,-9.091,0,0.0381,0.936,0.0000156,0.305,0.813,137.831,4
7pKfPomDEeI4TPT6EOYjn9,"4x1nvY2FN8jxqAFA0DA02H","Imagine - Remastered 2010","Imagine","John Lennon",1971-09-09,187866,80,spotify:user:emberg547,2020-03-03T07:02:32Z,"album rock,beatlesque,classic rock,mellow gold,rock",0.547,0.257,0,-12.358,1,0.0252,0.907,0.183,0.0935,0.169,75.752,4
38zsOOcu31XbbYj9BIPUF1,"3PhoLpVuITZKcymswpck5b","Your Song","Elton John","Elton John",1970-04-10,241786,80,spotify:user:emberg547,2020-03-03T07:02:48Z,"glam rock,mellow gold,piano rock",0.554,0.315,3,-11.028,1,0.0298,0.828,0.00000553,0.101,0.325,128.157,4
5nrmGFJ87crVoJF5xdRqwn,"1SQRv42e4PjEYfPhS0Tk9E","Waterloo Sunset - Mono Mix","Something Else (Deluxe Edition)","The Kinks",1967-09-15,194216,65,spotify:user:emberg547,2020-03-03T07:03:42Z,"album rock,art rock,british invasion,classic rock,folk rock,glam rock,mellow gold,protopunk,psychedelic rock,rock",0.512,0.69,1,-6.969,0,0.0249,0.162,0,0.167,0.417,107.839,4
6zC0mpGYwbNTpk9SKwh08f,"6PAt558ZEZl0DmdXlnjMgD","Wonderful Tonight","Slowhand 35th Anniversary (Super Deluxe)","Eric Clapton",1977-11-01,225026,77,spotify:user:emberg547,2020-03-03T07:04:21Z,"album rock,blues rock,classic rock,electric blues,mellow gold,rock",0.572,0.214,7,-15.625,1,0.0293,0.649,0.129,0.125,0.485,95.542,4
6l8EbYRtQMgKOyc1gcDHF9,"70cRZdQywnSFp9pnc2WTCE","Bridge Over Troubled Water","Bridge Over Troubled Water","Simon & Garfunkel",1970-01-26,293120,73,spotify:user:emberg547,2020-03-03T07:04:42Z,"classic rock,folk,folk rock,melancholia,mellow gold,rock",0.149,0.206,3,-13.888,1,0.0323,0.822,0.000649,0.115,0.264,79.764,4
0iOZM63lendWRTTeKhZBSC,"70cRZdQywnSFp9pnc2WTCE","Mrs. Robinson - From The Graduate Soundtrack","Bookends","Simon & Garfunkel",1968-04-03,244026,77,spotify:user:emberg547,2020-03-03T07:05:02Z,"classic rock,folk,folk rock,melancholia,mellow gold,rock",0.606,0.457,6,-14.035,0,0.0497,0.713,0.0000253,0.0747,0.813,92.033,4
3D9iV6cYkYJRAPFO6DRKIE,"4x1nvY2FN8jxqAFA0DA02H","Jealous Guy - Remastered 2010","Imagine","John Lennon",1971-09-09,257786,69,spotify:user:emberg547,2020-03-03T07:05:31Z,"album rock,beatlesque,classic rock,mellow gold,rock",0.489,0.389,4,-11.653,0,0.0284,0.877,0.32,0.105,0.254,131.366,4
40riOy7x9W7GXjyGp4pjAv,"0ECwFtbIWEVNwjlrfc6xoL","Hotel California - 2013 Remaster","Hotel California (2013 Remaster)","Eagles",1976-12-08,391376,85,spotify:user:emberg547,2020-03-03T07:06:21Z,"album rock,classic rock,country rock,folk rock,heartland rock,mellow gold,rock,soft rock,yacht rock",0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,4
2PzU4IB8Dr6mxV3lHuaG34,"22bE4uQ6baNwSHPVcDxLCe","(I Can't Get No) Satisfaction - Mono Version","Out Of Our Heads","The Rolling Stones",1965-07-30,222813,79,spotify:user:emberg547,2020-03-03T07:06:31Z,"british invasion,classic rock,rock",0.723,0.863,2,-7.89,1,0.0338,0.0383,0.0317,0.128,0.931,136.302,4
4sUlsy0tPv9n5nqrqeA0lE,"34jw2BbxjoYalTp8cJFCPv","Magic Man","Dreamboat Annie","Heart",1975,328360,63,spotify:user:emberg547,2020-03-03T07:06:44Z,"album rock,classic rock,hard rock,heartland rock,mellow gold,new wave pop,rock,soft rock",0.435,0.444,7,-12.816,0,0.0336,0.159,0.000705,0.457,0.734,103.818,4
4BP3uh0hFLFRb5cjsgLqDh,"3IYUhFvPQItj6xySrBmZkd","Fortunate Son","Willy And The Poor Boys","Creedence Clearwater Revival",1969-11-02,140773,83,spotify:user:emberg547,2020-03-03T07:06:48Z,"album rock,classic rock,country rock,rock,southern rock,swamp rock",0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,4
4JuJ9ewGWWGy0U3URuXOSI,"3IYUhFvPQItj6xySrBmZkd","Have You Ever Seen The Rain?","Pendulum (40th Anniversary Edition)","Creedence Clearwater Revival",1970-12-07,160133,0,spotify:user:emberg547,2020-03-03T07:06:57Z,"album rock,classic rock,country rock,rock,southern rock,swamp rock",0.741,0.697,0,-7.028,1,0.0277,0.0664,0.0000228,0.133,0.774,116.109,4
7iN1s7xHE4ifF5povM6A48,"3WrFJ7ztbogyGnTHbHJFl2","Let It Be - Remastered 2009","Let It Be (Remastered)","The Beatles",1970-05-08,243026,81,spotify:user:emberg547,2020-03-03T07:07:01Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.443,0.403,0,-8.339,1,0.0322,0.631,0,0.111,0.41,143.462,4
3BQHpFgAp4l80e1XslIjNI,"3WrFJ7ztbogyGnTHbHJFl2","Yesterday - Remastered 2009","Help! (Remastered)","The Beatles",1965-08-06,125666,79,spotify:user:emberg547,2020-03-03T07:07:04Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.332,0.179,5,-11.83,1,0.0326,0.879,0,0.0886,0.315,96.529,4
7afyyi8zn4FzWbcJ70F56V,"3WrFJ7ztbogyGnTHbHJFl2","Penny Lane - Remastered 2015","1 (Remastered)","The Beatles",2000-11-13,180520,60,spotify:user:emberg547,2020-03-03T07:07:08Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.679,0.592,9,-5.963,1,0.0402,0.0964,0.0138,0.16,0.55,113.265,4
30qVCFYKBtAENjTIBA8FPZ,"6zFYqv1mOsgBRQbae3JJ9e","The River of Dreams","River Of Dreams","Billy Joel",1993-08-10,247626,64,spotify:user:emberg547,2020-03-03T07:07:15Z,"classic rock,folk rock,mellow gold,piano rock,rock,singer-songwriter,soft rock",0.631,0.749,7,-8.15,1,0.0576,0.205,0.00000521,0.0667,0.437,89.646,4
43btz2xjMKpcmjkuRsvxyg,"3lPQ2Fk5JOwGWAF3ORFCqH","Jack & Diane","American Fool","John Mellencamp",1982,254493,76,spotify:user:emberg547,2020-03-03T07:07:26Z,"album rock,classic rock,country rock,folk rock,heartland rock,mellow gold,pop rock,rock,singer-songwriter,soft rock",0.811,0.41,9,-8.214,1,0.0391,0.0365,0.00000663,0.0799,0.626,103.965,4
2RlgNHKcydI9sayD2Df2xp,"7jefIIksOi1EazgRTfW2Pk","Mr. Blue Sky","Out of the Blue","Electric Light Orchestra",1977,303373,82,spotify:user:emberg547,2020-03-03T07:07:35Z,"album rock,art rock,beatlesque,classic rock,glam rock,mellow gold,rock,soft rock,symphonic rock",0.388,0.338,10,-10.054,1,0.0329,0.652,0.00000373,0.248,0.478,177.765,4
