Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1JO1xLtVc8mWhIoE3YaCL0,"2VIoWte1HPDbZ2WqHd2La7","Happy Together","Happy Together","The Turtles",1967,176293,76,spotify:user:emberg547,2018-12-30T16:24:21Z,"brill building pop,bubblegum pop,classic rock,folk rock,psychedelic rock",0.584,0.367,6,-9.638,0,0.0328,0.55,0.0000138,0.0818,0.588,120.175,4
3yrSvpt2l1xhsV9Em88Pul,"44NX2ffIYHr6D4n7RaZF7A","Brown Eyed Girl","Blowin' Your Mind!","Van Morrison",1967-09,183306,81,spotify:user:emberg547,2018-12-30T16:24:34Z,"classic rock,folk,folk rock,mellow gold,rock,roots rock,singer-songwriter,soft rock",0.491,0.583,7,-10.964,1,0.0376,0.185,0,0.406,0.908,150.566,4
3G7tRC24Uh09Hmp1KZ7LQ2,"320EPCSEezHt1rtbfwH6Ck","I'm a Believer - 2006 Remaster","More of The Monkees (Deluxe Edition)","The Monkees",1967-01-09,167373,76,spotify:user:emberg547,2018-12-30T16:24:38Z,"beatlesque,brill building pop,bubblegum pop,classic rock,country rock,folk rock,mellow gold,psychedelic rock,rock,sunshine pop",0.526,0.775,0,-6.05,1,0.0352,0.707,0.0000205,0.217,0.962,80.106,4
3G7tRC24Uh09Hmp1KZ7LQ2,"320EPCSEezHt1rtbfwH6Ck","I'm a Believer - 2006 Remaster","More of The Monkees (Deluxe Edition)","The Monkees",1967-01-09,167373,76,spotify:user:emberg547,2018-12-31T01:45:56Z,"beatlesque,brill building pop,bubblegum pop,classic rock,country rock,folk rock,mellow gold,psychedelic rock,rock,sunshine pop",0.526,0.775,0,-6.05,1,0.0352,0.707,0.0000205,0.217,0.962,80.106,4
48i055G1OT5KxGGftwFxWy,"0JDkhL4rjiPNEp92jAgJnS","Oh, Pretty Woman","Oh, Pretty Woman","Roy Orbison",1962,178933,75,spotify:user:emberg547,2018-12-31T01:46:12Z,"adult standards,brill building pop,classic rock,mellow gold,rock-and-roll,rockabilly",0.619,0.603,9,-9.481,1,0.0342,0.712,0,0.0721,0.958,127.433,4
4s6LhHAV5SEsOV0lC2tjvJ,"1bs7HoMkSyQwcobCpE9KpN","California Dreamin' - Single Version","If You Can Believe Your Eyes & Ears","The Mamas & The Papas",1966-03,162373,78,spotify:user:emberg547,2018-12-31T16:55:50Z,"brill building pop,bubblegum pop,classic rock,folk rock,mellow gold,psychedelic rock,rock,sunshine pop",0.552,0.608,1,-9.786,0,0.0345,0.352,0,0.0533,0.637,112.367,4
0iOZM63lendWRTTeKhZBSC,"70cRZdQywnSFp9pnc2WTCE","Mrs. Robinson - From The Graduate Soundtrack","Bookends","Simon & Garfunkel",1968-04-03,244026,77,spotify:user:emberg547,2018-12-31T17:01:41Z,"classic rock,folk,folk rock,melancholia,mellow gold,rock",0.606,0.457,6,-14.035,0,0.0497,0.713,0.0000253,0.0747,0.813,92.033,4
6jWkZvd1URGktyTTwcpPpB,"3RwQ26hR2tJtA8F9p2n7jG","My Girl","The Temptations Sing Smokey","The Temptations",1965-01-01,165000,2,spotify:user:emberg547,2018-12-31T17:06:01Z,"brill building pop,classic soul,funk,memphis soul,motown,soul",0.579,0.419,0,-10.72,1,0.0346,0.625,0,0.0981,0.673,104.564,4
1fDsrQ23eTAVFElUMaf38X,"1gRNBaI4yn6wCCTvRhGWh8","American Pie","American Pie","Don McLean",1971,516893,78,spotify:user:emberg547,2019-01-17T13:09:57Z,"adult standards,classic rock,folk,folk rock,mellow gold,singer-songwriter,soft rock",0.531,0.481,4,-11.709,0,0.06,0.699,0,0.0842,0.491,138.45,4
4f4RRYN3R7glPElFjeoUnC,"33W24YuaMUEk85MwRX6cRs","The Night Chicago Died","Billy Don't Be A Hero","Paper Lace",2008-06-01,203333,54,spotify:user:emberg547,2019-01-17T13:10:36Z,"bubblegum pop",0.767,0.45,0,-12.352,1,0.0824,0.347,0,0.113,0.809,106.847,4
