Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
61KpQadow081I2AsbeLcsb,"1McMsnEElThX1knmY4oliG","deja vu","deja vu","Olivia Rodrigo",2021-04-01,215507,37,spotify:user:emberg547,2021-04-08T14:57:20Z,"pop",0.439,0.61,9,-7.236,1,0.116,0.593,0.0000107,0.341,0.172,181.088,4
5bkhrGvabAPrugPUm7DvsD,"0fA0VVWsXO9YnASrzqfmYu,5K4W6rqBFWDnAN6FQUkS6x,2GHclqNVjqGuiE5mA7BEoc","Make Her Say","Man On The Moon: The End Of Day","Kid Cudi,Kanye West,Common",2009-09-15,216413,51,spotify:user:emberg547,2021-04-08T15:12:54Z,"hip hop,ohio hip hop,pop rap,rap,chicago rap,alternative hip hop,conscious hip hop,gangster rap,neo soul,political hip hop",0.93,0.712,10,-5.156,0,0.0666,0.245,0.0000148,0.116,0.456,99.054,4
1ko2lVN0vKGUl9zrU0qSlT,"05YVYeV4HxYp5rrWalvuE1,1ThoqLcyIYvZn7iWbj8fsj","Just the Two of Us (feat. Bill Withers)","Anthology","Grover Washington, Jr.,Bill Withers",1985,438493,81,spotify:user:emberg547,2021-04-08T15:16:38Z,"funk,motown,quiet storm,soul",0.749,0.497,10,-12.609,0,0.105,0.41,0.0499,0.0504,0.585,95.818,4
2LvRR121MWFmmEGkuV2vQP,"5ndkK3dpZLKtBklKjxNQwT,17lzZA2AlOHwCwFALHttmp","HeadBand (feat. 2 Chainz)","Underground Luxury","B.o.B,2 Chainz",2013-12-16,220240,71,spotify:user:emberg547,2021-04-12T01:38:44Z,"atl hip hop,dance pop,hip hop,pop,pop rap,rap,southern hip hop,gangster rap,trap",0.919,0.506,1,-7.14,1,0.304,0.132,0,0.0771,0.273,97.465,4
119c93MHjrDLJTApCVGpvx,"34EP7KEpOjXcM2TCat1ISk,4VmEWwd8y9MCLwexFMdpwt,2yQf6b8hxahZaT5dHlWaB1,4OBbOrkD4geIjOLrICN3wO,4QTIR7KM0trauXspUNduhh","C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)","Enter The Wu-Tang (36 Chambers) [Expanded Edition]","Wu-Tang Clan,Method Man,Raekwon,Inspectah Deck,Buddha Monk",1993-11-09,252186,75,spotify:user:emberg547,2021-04-12T01:45:37Z,"east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap,pop rap,southern hip hop,alternative hip hop,wu fam",0.479,0.549,11,-10.551,0,0.373,0.57,0.0235,0.127,0.576,180.985,4
2uwnP6tZVVmTovzX5ELooy,"6l3HvQ5sa6mXTsMTB19rO5,360IAlyVv4PCEVjgyMZrxK","Power Trip (feat. Miguel)","Born Sinner (Deluxe Version)","J. Cole,Miguel",2013-06-18,241160,76,spotify:user:emberg547,2021-04-16T20:17:37Z,"conscious hip hop,hip hop,north carolina hip hop,rap,dance pop,pop,r&b,urban contemporary",0.667,0.608,1,-7.054,1,0.216,0.324,0.000198,0.426,0.475,99.992,4
3MAgQuClHcAV8E9CbeBS6f,"67nwj3Y5sZQLl72VNUHEYE,360IAlyVv4PCEVjgyMZrxK","Lotus Flower Bomb (feat. Miguel)","Ambition","Wale,Miguel",2011-10-28,213253,70,spotify:user:emberg547,2021-04-16T20:22:01Z,"hip hop,pop,pop rap,r&b,rap,southern hip hop,trap,urban contemporary,dance pop",0.512,0.598,9,-4.959,0,0.115,0.611,0,0.0881,0.345,70.189,4
2P3SLxeQHPqh8qKB6gtJY2,"2YZyLoL8N0Wb9xBt1NhZWg,3TVXtAsR1Inumwj472S9r4","Poetic Justice","good kid, m.A.A.d city (Deluxe)","Kendrick Lamar,Drake",2012,300160,71,spotify:user:emberg547,2021-04-16T20:29:06Z,"conscious hip hop,hip hop,rap,west coast rap,canadian hip hop,canadian pop,toronto rap",0.779,0.572,6,-9.985,0,0.378,0.157,0,0.246,0.647,135.956,4
6GnhWMhgJb7uyiiPEiEkDA,"4LLpKhyESsyAXpc4laK94U,360IAlyVv4PCEVjgyMZrxK","Weekend (feat. Miguel)","GO:OD AM","Mac Miller,Miguel",2015-09-18,208080,77,spotify:user:emberg547,2021-04-16T20:40:13Z,"hip hop,pittsburgh rap,rap,dance pop,pop,r&b,urban contemporary",0.843,0.435,8,-8.442,1,0.178,0.47,0,0.147,0.19,120.058,4
6rTInqW3YECMkQsBEHw4sd,"1xr2G8Hlx4QWmT9HaUbmoO,50co4Is1HCEo8bhOyUWKpn,2hlmm7s2ICUX0LVIhVFlZQ,3TVXtAsR1Inumwj472S9r4","Solid (feat. Drake)","Slime Language 2","Young Stoner Life,Young Thug,Gunna,Drake",2021-04-16,215693,78,spotify:user:emberg547,2021-04-18T06:29:28Z,"hip hop,rap,trap,atl hip hop,atl trap,gangster rap,melodic rap,pop rap,canadian hip hop,canadian pop,toronto rap",0.887,0.485,11,-9.358,0,0.2,0.0392,0,0.141,0.328,125.987,4
7sJN693sYKEIEMu7fc5VnJ,"7wqtxqI3eo7Gn1P7SpP6cQ,5fikk4h5qbEebqK2Fc6e48","Whatta Man","Very Necessary","Salt-N-Pepa,En Vogue",1993-10-12,308360,66,spotify:user:emberg547,2021-04-18T18:38:25Z,"dance pop,girl group,golden age hip hop,hip hop,hip pop,old school hip hop,queens hip hop,rap,neo soul,new jack swing,quiet storm,r&b,urban contemporary",0.757,0.544,5,-10.722,1,0.219,0.154,0.0000607,0.226,0.921,173.208,4
7fH0VUCDaudXzWIqWB80zA,"6sHCvZe1PHrOAuYlwTLNH4","World Class Cinema","Where Polly People Go to Read","Gus Dapperton",2019-04-19,199148,44,spotify:user:emberg547,2021-04-18T19:17:52Z,"bedroom pop,indie pop,indie poptimism",0.569,0.779,8,-3.662,1,0.0359,0.377,0,0.0286,0.878,187.952,4
7iMDaY1LnASwCk2uUpMtii,"50co4Is1HCEo8bhOyUWKpn,3PhoLpVuITZKcymswpck5b","High (feat. Elton John)","On the Run","Young Thug,Elton John",2018-09-24,195160,61,spotify:user:emberg547,2021-04-18T23:52:03Z,"atl hip hop,atl trap,gangster rap,hip hop,melodic rap,pop rap,rap,trap,glam rock,mellow gold,piano rock",0.759,0.498,10,-10.615,1,0.0776,0.223,0.0000584,0.406,0.244,126.972,4
6Ius4TC0L3cN74HT7ENE6e,"6l3HvQ5sa6mXTsMTB19rO5","Wet Dreamz","2014 Forest Hills Drive","J. Cole",2014-12-09,239320,81,spotify:user:emberg547,2021-04-24T00:32:59Z,"conscious hip hop,hip hop,north carolina hip hop,rap",0.517,0.705,6,-8.205,0,0.364,0.0751,0,0.128,0.584,175.906,4
4KW1lqgSr8TKrvBII0Brf8,"5K4W6rqBFWDnAN6FQUkS6x","Father Stretch My Hands Pt. 1","The Life Of Pablo","Kanye West",2016-06-10,135920,79,spotify:user:emberg547,2021-04-24T00:33:04Z,"chicago rap,rap",0.724,0.573,7,-4.113,1,0.0549,0.118,0,0.538,0.438,113.088,4
3sNVsP50132BTNlImLx70i,"5K4W6rqBFWDnAN6FQUkS6x","Bound 2","Yeezus","Kanye West",2013-06-18,229146,80,spotify:user:emberg547,2021-04-24T00:33:06Z,"chicago rap,rap",0.367,0.665,1,-2.821,1,0.0465,0.145,0,0.113,0.31,148.913,4
0SA0mMXWh23raZ6xzOCU2V,"4V8LLVI7PbaPR0K2TGSxFF,2h93pZq0e7k5yf4dywlkpM","She","Goblin","Tyler, The Creator,Frank Ocean",2011-05-09,253386,69,spotify:user:emberg547,2021-04-24T00:33:11Z,"hip hop,rap,alternative r&b,lgbtq+ hip hop,neo soul,pop",0.35,0.621,8,-6.495,0,0.233,0.256,0.0000344,0.613,0.459,83.375,4
6XkuklKiHYVTlVvWlTgQYP,"0fA0VVWsXO9YnASrzqfmYu,5K4W6rqBFWDnAN6FQUkS6x","Erase Me - Main","Man On The Moon II: The Legend Of Mr. Rager","Kid Cudi,Kanye West",2010-11-09,192253,72,spotify:user:emberg547,2021-04-27T17:21:13Z,"hip hop,ohio hip hop,pop rap,rap,chicago rap",0.687,0.631,9,-5.612,1,0.129,0.063,0,0.108,0.853,186.071,4
0Epl79nHvdyTdZRAiWpJah,"0fA0VVWsXO9YnASrzqfmYu","REVOFEV","Man On The Moon II: The Legend Of Mr. Rager","Kid Cudi",2010-11-09,183173,60,spotify:user:emberg547,2021-04-27T17:29:21Z,"hip hop,ohio hip hop,pop rap,rap",0.608,0.544,11,-6.465,0,0.0474,0.15,0.00062,0.146,0.381,68.861,4
3Vj8RQkFwOmDvUrwu6MtQZ,"68kEuyFKyqrdQQLLsmiatm,4IVAbR2w4JJNJDDRFP3E83,294lNTPZfdqyzt8qnxmFiL","Yo Love - From Queen & Slim: The Soundtrack","Yo Love (From Queen & Slim: The Soundtrack)","Vince Staples,6LACK,Mereba",2019-11-11,143830,68,spotify:user:emberg547,2021-04-27T17:50:36Z,"conscious hip hop,escape room,hip hop,rap,underground hip hop,alternative r&b,atl hip hop,melodic rap,r&b,trap,chill r&b,indie r&b,indie soul",0.703,0.573,0,-9.032,1,0.0724,0.565,0.00000313,0.0987,0.491,147.038,4
0TSyYtpSnQrLqsnbSTALTP,"5SXuuuRpukkTvsLuUknva1","no sense","no sense","Baby Keem",2021-03-05,170765,60,spotify:user:emberg547,2021-04-28T02:46:34Z,"hip hop,rap",0.783,0.485,0,-11.262,0,0.521,0.419,0.0998,0.182,0.858,179.948,4
5S5u0EWtlblH00iTNExZ6X,"3OykSjAE6F2Mb51WplFoRk","I Think I Like When It Rains","Locals 2","WILLIS",2017-06-12,278293,67,spotify:user:emberg547,2021-05-01T19:35:57Z,"alabama indie",0.622,0.471,9,-7.105,1,0.0277,0.0448,0,0.0957,0.278,124.455,4
7JXZq0JgG2zTrSOAgY8VMC,"3TVXtAsR1Inumwj472S9r4","Jungle","If You're Reading This It's Too Late","Drake",2015-02-12,320400,73,spotify:user:emberg547,2021-05-14T01:33:31Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap",0.697,0.235,7,-8.651,1,0.0534,0.62,0.000144,0.107,0.378,99.947,4
