Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1YLJVmuzeM2YSUkCCaTNUB,"1moxjboGR7GNWYIMWsRjgG","Dog Days Are Over","Lungs (Deluxe Edition)","Florence + The Machine",2009,251840,74,spotify:user:emberg547,2019-04-18T04:28:29Z,"baroque pop,pop,uk alternative pop",0.492,0.81,7,-5.315,1,0.0847,0.0416,0.00379,0.117,0.245,149.954,4
0rTV5WefWd1J3OwIheTzxM,"6LuN9FCkKOj5PcnpouEgny,6nS5roXSAGhTGr34W6n7Et","Talk","Talk","Khalid,Disclosure",2019-02-07,197487,73,spotify:user:emberg547,2019-04-18T04:28:41Z,"pop,pop r&b,house,uk dance",0.9,0.4,0,-8.443,1,0.124,0.0501,0,0.0876,0.338,136.001,4
4djIFfof5TpbSGRZUpsTXq,"0ZxZlO7oWCSYMXhehpyMvE","Talk Too Much","How Will You Know If You Never Try","COIN",2017-04-21,187133,75,spotify:user:emberg547,2019-04-18T04:35:43Z,"indie pop,indie poptimism,modern alternative rock,modern rock,pop,pop rock",0.598,0.888,4,-5.119,1,0.0807,0.00947,0,0.347,0.482,103.966,4
5dRCujBQZQq6dlkCaGDMV0,"1ZwdS5xdxEREPySFridCfh,4x508hr5pvqmZTnGzEFBFO","Better Dayz","Better Dayz","2Pac,Mr. Biggs",2002-01-01,257626,62,spotify:user:emberg547,2019-04-18T04:38:08Z,"g funk,gangster rap,hip hop,rap,west coast rap",0.752,0.735,1,-3.851,1,0.196,0.0876,0,0.14,0.635,90.87,4
7lQWRAjyhTpCWFC0jmclT4,"3y24n3XhZ96wgwRXjvS17T,2LhsePRtgCo4THVKULQBL7","Gangsta's Paradise","Gangsta's Paradise","Coolio,L.V.",1995-11-07,240693,76,spotify:user:emberg547,2019-04-18T04:38:20Z,"g funk,gangster rap,hip hop,rap,west coast rap",0.647,0.514,8,-10.05,1,0.0593,0.0655,0,0.398,0.387,79.974,4
2JvzF1RMd7lE3KmFlsyZD8,"6l3HvQ5sa6mXTsMTB19rO5","MIDDLE CHILD","MIDDLE CHILD","J. Cole",2019-01-23,213593,83,spotify:user:emberg547,2019-04-18T04:38:34Z,"conscious hip hop,hip hop,north carolina hip hop,rap",0.837,0.364,8,-11.713,1,0.276,0.149,0,0.271,0.463,123.984,4
3oh6SCCeLuXhFpEyepla6G,"3Fl1V19tmjt57oBdxXKAjJ","Thotiana","Famous Cryp","Blueface",2018-12-18,129264,2,spotify:user:emberg547,2019-04-18T04:38:43Z,"cali rap,trap",0.906,0.382,10,-12.89,0,0.269,0.18,0,0.113,0.391,104.025,4
0dbTQYW3Ad1FTzIA9t90E8,"55Aa2cqylxrFIXC767Z865,2YZyLoL8N0Wb9xBt1NhZWg","Mona Lisa (feat. Kendrick Lamar)","Tha Carter V","Lil Wayne,Kendrick Lamar",2018-09-28,324189,70,spotify:user:emberg547,2019-04-18T04:38:57Z,"hip hop,new orleans rap,pop rap,rap,trap,conscious hip hop,west coast rap",0.856,0.694,2,-4.393,1,0.169,0.371,0,0.109,0.489,122.08,4
577YBGuskWkVDCxZrLRB4v,"5f7VJjfbwm532GiveGC0ZK","Pure Cocaine","Street Gossip","Lil Baby",2018-11-30,154023,77,spotify:user:emberg547,2019-04-18T04:40:03Z,"atl hip hop,atl trap,rap,trap",0.964,0.487,10,-6.071,0,0.421,0.00127,0.00000657,0.115,0.107,127.05,4
2G1tXoGBaEMJ7FKGnkf6ud,"13y7CgLHjMVRMDqxdx0Xdo,0du5cEVh5yTK9QJze8zA0C,46SHBwWsqBkxI7EeeBEQG7","Wake Up in the Sky","Evil Genius","Gucci Mane,Bruno Mars,Kodak Black",2018-12-07,203161,73,spotify:user:emberg547,2019-04-18T04:40:11Z,"atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,dance pop,pop,florida rap,melodic rap,miami hip hop",0.8,0.578,4,-5.144,0,0.0485,0.00381,0,0.367,0.367,143.01,4
3Gf5nttwcX9aaSQXRWidEZ,"2gBjLmx6zQnFGQJCAQpRgw,3L2SIGZah4QZSvN4wC8rHl","Ride Wit Me","Country Grammar","Nelly,City Spud",2000-06-27,291781,78,spotify:user:emberg547,2019-04-18T04:50:19Z,"dance pop,hip hop,pop rap,rap,southern hip hop,st louis rap,urban contemporary",0.85,0.7,7,-6.49,1,0.0478,0.0616,0.0000018,0.244,0.722,101.875,4
3ssX20QT5c3nA9wk78V1LQ,"1ZwdS5xdxEREPySFridCfh","Ambitionz Az A Ridah","All Eyez On Me","2Pac",1996-02-13,278386,2,spotify:user:emberg547,2019-04-18T04:57:07Z,"g funk,gangster rap,hip hop,rap,west coast rap",0.801,0.908,2,-6.554,1,0.221,0.00253,0.000655,0.0698,0.805,87.279,4
7yCj2VGsXAb1eErk5k8GM5,"3fMbdgg4jU18AjLCKBhRSm","Rock With You - Single Version","Off The Wall / Thriller","Michael Jackson",1982-11-30,219906,0,spotify:user:emberg547,2019-04-18T04:59:34Z,"pop,r&b,soul",0.799,0.711,1,-7.165,1,0.0344,0.0774,0.000153,0.0988,0.837,114.331,4
02KpkaZbiutsR0ucxce4Sh,"2jgPkn6LuUazBoBk6vvjh5","This Will Be Our Year","Odessey and Oracle","The Zombies",1968-04-19,127733,63,spotify:user:emberg547,2019-04-24T11:50:59Z,"baroque pop,brill building pop,british invasion,bubblegum pop,classic rock,folk rock,psychedelic rock,rock",0.535,0.424,9,-7.491,1,0.0314,0.626,0,0.191,0.539,97.506,4
3Ol2xnObFdKV9pmRD2t9x8,"31W5EY0aAly4Qieq6OFu6I","Look Back at It","Hoodie SZN","A Boogie Wit da Hoodie",2018-12-21,179449,77,spotify:user:emberg547,2019-04-24T22:36:44Z,"melodic rap,rap,trap",0.791,0.587,3,-5.075,0,0.0413,0.407,0,0.148,0.536,96.057,4
63cd4JkwGgYJrbOizbfmsp,"0YinUQ50QDB7ZxSCLyQ40k,6oMuImdp5ZcFhWP0ESe6mG","Pure Water (with Migos)","Pure Water (with Migos)","Mustard,Migos",2019-01-16,194519,3,spotify:user:emberg547,2019-04-24T22:43:39Z,"cali rap,hip hop,pop rap,rap,southern hip hop,trap,atl hip hop",0.68,0.559,0,-5.545,1,0.129,0.172,0,0.318,0.137,202.006,4
3KLo7ByvjCNyBrfz5DZ2mO,"1pPmIToKXyGdsCF6LmqLmI","Splashin","The World Is Yours 2","Rich The Kid",2019-03-22,177864,67,spotify:user:emberg547,2019-04-24T22:46:24Z,"atl hip hop,hip hop,melodic rap,plugg,pop rap,rap,southern hip hop,trap",0.942,0.382,10,-8.099,1,0.564,0.00192,0,0.092,0.379,100.017,4
14mHfNsSHN0FbLftyjrV9g,"2HUwZ0kumzCSlhFcjFZfpp","Leave Me Alone","Leave Me Alone","Flipp Dinero",2018-09-04,195637,69,spotify:user:emberg547,2019-04-25T03:14:44Z,"melodic rap,pop rap,rap,trap,vapor trap",0.792,0.743,7,-2.806,1,0.0851,0.107,0,0.183,0.742,150.024,4
7h2yhVxcZOGyQdOwD4Hu8J,"1dfeR4HaWDbWqFHLkxsg1d","I Want To Break Free - Remastered 2011","The Works (Deluxe Remastered Version)","Queen",1984-02-27,258013,65,spotify:user:emberg547,2019-04-28T13:31:32Z,"classic rock,glam rock,rock",0.795,0.433,4,-8.927,1,0.0324,0.0853,0.000284,0.0762,0.6,108.947,4
1wJRveJZLSb1rjhnUHQiv6,"31W5EY0aAly4Qieq6OFu6I,7gZfnEnfiaHzxARJ2LeXrf","Swervin (feat. 6ix9ine)","Hoodie SZN","A Boogie Wit da Hoodie,6ix9ine",2018-12-21,189486,80,spotify:user:emberg547,2019-04-28T23:26:08Z,"melodic rap,rap,trap,emo rap",0.581,0.662,9,-5.239,1,0.303,0.0153,0,0.111,0.434,93.023,4
05t7JMip6JrLuSrMV5yYjX,"0HkcYmcjrBR3SCw9Ld5VZk","Envy Me","Envy Me","Calboy",2018-12-13,120136,62,spotify:user:emberg547,2019-04-28T23:32:13Z,"chicago rap,melodic rap,pop rap,rap,trap,vapor trap",0.556,0.481,11,-7.663,1,0.313,0.282,0,0.216,0.581,149.025,4
0HEmnAUT8PHznIAAmVXqFJ,"19ra5tSw0tWufvUp8GotLo","Faith - Remastered","Faith","George Michael",1987-10-30,193200,76,spotify:user:emberg547,2019-04-30T12:14:42Z,"soft rock",0.887,0.48,11,-11.994,1,0.117,0.0094,0.0000358,0.0662,0.607,95.846,4
