Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2HQPOVBAOU2EBTy1nBGRiW,"2kCO8LXN1usaOPL3iEE28I","Stuck in the Middle","Stuck in the Middle","Tai Verdes",2020-05-29,196000,0,spotify:user:emberg547,2020-08-03T19:41:46Z,"modern indie pop",0.844,0.429,2,-9.308,1,0.0448,0.574,0,0.0949,0.764,119.989,4
0APAKxMXB7jdDs4kw1l30y,"0NIPkIjTV8mB795yEIiPYL","OK","OK","Wallows",2020-03-20,193293,70,spotify:user:emberg547,2020-08-04T18:24:05Z,"indie pop,modern rock,pop",0.72,0.625,7,-6.274,1,0.0362,0.0112,0.0076,0.0999,0.818,102.006,4
4J8RM3zVT5VXbJZeGIgVOA,"0NIPkIjTV8mB795yEIiPYL","With A Little Help From My Friends","With A Little Help From My Friends","Wallows",2020-05-22,170030,0,spotify:user:emberg547,2020-08-04T18:24:10Z,"indie pop,modern rock,pop",0.674,0.875,6,-4.898,0,0.0283,0.0947,0,0.0907,0.824,108.014,4
3hARuUtzTdUuWH1KiLJlSf,"4iMO20EPodreIaEl8qW66y","Window","Window","Still Woozy",2020-04-17,139293,68,spotify:user:emberg547,2020-08-04T18:24:15Z,"bedroom pop,modern rock,oakland indie",0.714,0.483,4,-9.378,0,0.195,0.436,0.000023,0.28,0.67,91.025,4
5RxpYHVbGJPOvSEATQyg9P,"4iMO20EPodreIaEl8qW66y,5aMIbwZQvP2MHPMVC5zCGj","Lucy","Lucy","Still Woozy,ODIE",2018-03-22,142500,67,spotify:user:emberg547,2020-08-04T18:24:21Z,"bedroom pop,modern rock,oakland indie,alternative r&b,canadian contemporary r&b,chill r&b,indie r&b,r&b",0.647,0.537,6,-12.006,0,0.21,0.43,0.000258,0.119,0.846,84.46,4
7KwZNVEaqikRSBSpyhXK2j,"5me0Irg2ANcsgc93uaYrpb","Hypnotize - 2014 Remaster","Life After Death (2014 Remastered Edition)","The Notorious B.I.G.",1997-03-04,229826,81,spotify:user:emberg547,2020-08-04T18:24:31Z,"east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap",0.901,0.697,9,-3.439,1,0.28,0.145,0,0.287,0.67,93.941,4
11zf7m4vw9Ze7cer9Nyhk1,"0NIPkIjTV8mB795yEIiPYL","Pleaser","Pleaser","Wallows",2017-04-12,187895,73,spotify:user:emberg547,2020-08-04T18:24:35Z,"indie pop,modern rock,pop",0.497,0.914,9,-4.308,1,0.0455,0.126,0.0000198,0.274,0.385,148.893,4
3gCR0WJF4F9Bu2nP7kdI0h,"2D4FOOOtWycb3Aw9nY5n3c","Beautiful Faces","The Key to Life on Earth","Declan McKenna",2020-04-14,196773,18,spotify:user:emberg547,2020-08-04T18:24:39Z,"indie pop,modern alternative rock,modern rock,rock",0.502,0.9,0,-1.516,1,0.0419,0.0166,0.00000279,0.225,0.705,98.92,4
7a2IJHzw9WJjoknwdnCop0,"1dy5WNgIKQU6ezkpZs4y8z","hello!","oh, how perfect","ROLE MODEL",2019-11-13,188546,65,spotify:user:emberg547,2020-08-04T18:24:44Z,"alt z,bedroom pop,indie pop,pop",0.791,0.462,10,-4.023,1,0.0383,0.505,0,0.0991,0.556,125.913,4
3fsaxdtRDMEvZu1XC3FN2i,"6p2HnfM955TI1bX34dkLnI","Kilby Girl","When We Were Friends","The Backseat Lovers",2019-01-27,282205,0,spotify:user:emberg547,2020-08-04T18:24:53Z,"indie pop,modern rock,slc indie",0.327,0.442,1,-9.992,1,0.0418,0.0613,0.0317,0.113,0.231,162.769,4
3sTN90bIP2cJ1783ctHykO,"5Q81rlcTFh3k6DQJXPdsot,13ubrt8QOOCPljQ2FL1Kca","Love$ick (feat. A$AP Rocky)","Mura Masa","Mura Masa,A$AP Rocky",2017-07-14,192160,76,spotify:user:emberg547,2020-08-04T18:25:15Z,"channel islands indie,vapor soul,east coast hip hop,hip hop,rap,trap",0.625,0.763,8,-4.997,0,0.129,0.147,0.0106,0.214,0.721,88.753,4
7KA4W4McWYRpgf0fWsJZWB,"4V8LLVI7PbaPR0K2TGSxFF,1U1el3k54VvEUzo3ybLPlM","See You Again (feat. Kali Uchis)","Flower Boy","Tyler, The Creator,Kali Uchis",2017-07-21,180386,85,spotify:user:emberg547,2020-08-04T18:25:32Z,"hip hop,rap,colombian pop,pop",0.558,0.559,6,-9.222,1,0.0959,0.371,0.00000749,0.109,0.62,78.558,4
3gJDgenxLephg09x86IxPs,"2P5sC9cVZDToPxyomzF1UH","TEMPTATION","ALL-AMERIKKKAN BADA$$","Joey Bada$$",2017-04-07,244197,72,spotify:user:emberg547,2020-08-04T18:25:41Z,"conscious hip hop,hip hop,rap,underground hip hop",0.775,0.707,10,-5.339,0,0.152,0.397,0,0.874,0.78,104.979,4
5CaXxLM568tBh1PwhXdciZ,"5K4W6rqBFWDnAN6FQUkS6x","Good Morning","Graduation","Kanye West",2007-09-11,195093,74,spotify:user:emberg547,2020-08-04T18:25:48Z,"chicago rap,rap",0.48,0.631,7,-5.488,1,0.116,0.0791,0.000105,0.149,0.515,84.164,4
4vBIr27NcRFBNpyIxLHZuB,"1btWGBz4Uu1HozTwb2Lm8A","Golden","Bambi","Hippo Campus",2018-09-28,208280,52,spotify:user:emberg547,2020-08-04T18:25:55Z,"indie pop,indie poptimism,minneapolis indie,modern alternative rock,modern rock,pop rock",0.661,0.942,11,-3.632,0,0.0949,0.382,0.00902,0.0938,0.552,104.012,4
7rm8f8PBmvAGsa9GfJqga1,"71Mm7PHNOerxK5GkaT9ACY","Can't Afford It All","Jakubi","Jakubi",2015,226367,36,spotify:user:emberg547,2020-08-04T18:26:06Z,"",0.798,0.655,7,-4.805,0,0.055,0.0847,0,0.0502,0.77,105.963,4
1pNUmVxDiE8t6P1XxcZAv8,"0NIPkIjTV8mB795yEIiPYL","Scrawny","Nothing Happens","Wallows",2019-03-22,166520,73,spotify:user:emberg547,2020-08-04T18:26:15Z,"indie pop,modern rock,pop",0.639,0.816,6,-5.28,0,0.0485,0.000985,0.0604,0.141,0.802,138.008,4
4sNG6zQBmtq7M8aeeKJRMQ,"2D4FOOOtWycb3Aw9nY5n3c","Brazil","What Do You Think About the Car?","Declan McKenna",2017-07-21,252306,74,spotify:user:emberg547,2020-08-04T18:26:19Z,"indie pop,modern alternative rock,modern rock,rock",0.687,0.617,4,-5.213,1,0.0287,0.0941,0.0000127,0.0898,0.665,121.079,4
4HOg84QsolNLzNp08qZ3sX,"6Bllzm0olEwqGwPujaLiuA","didya think","Wait","Arlie",2018-09-19,200466,64,spotify:user:emberg547,2020-08-04T18:26:23Z,"indie pop,modern rock",0.468,0.89,4,-2.974,1,0.0701,0.00415,0.0000121,0.508,0.709,140.265,4
3uYm4MtU6jUQft2DtGqEoZ,"4LLpKhyESsyAXpc4laK94U","Knock Knock","Knock Knock - Single","Mac Miller",2010,202806,71,spotify:user:emberg547,2020-08-04T18:26:28Z,"hip hop,pittsburgh rap,rap",0.667,0.922,4,-4.857,0,0.128,0.0353,0,0.364,0.509,108.952,4
