Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5FVd6KXrgO9B3JPmC8OPst,"7Ln80lUS6He07XvHI8qqHH","Do I Wanna Know?","AM","Arctic Monkeys",2013-09-09,272394,87,spotify:user:emberg547,2020-05-23T00:32:42Z,"garage rock,permanent wave,rock,sheffield indie",0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,4
3WmgMoWZ1E5yNyn2aUzWAr,"0JDVDA5aG4Y2wXylqghzC6","BOYFREN","BOYFREN","LoveLeo",2020-01-10,136955,66,spotify:user:emberg547,2020-05-23T00:33:04Z,"modern indie pop",0.846,0.364,1,-7.328,1,0.0602,0.246,0.011,0.0902,0.682,79.927,4
4sNG6zQBmtq7M8aeeKJRMQ,"2D4FOOOtWycb3Aw9nY5n3c","Brazil","What Do You Think About the Car?","Declan McKenna",2017-07-21,252306,74,spotify:user:emberg547,2020-05-23T00:33:22Z,"indie pop,modern alternative rock,modern rock,rock",0.687,0.617,4,-5.213,1,0.0287,0.0941,0.0000127,0.0898,0.665,121.079,4
7a2IJHzw9WJjoknwdnCop0,"1dy5WNgIKQU6ezkpZs4y8z","hello!","oh, how perfect","ROLE MODEL",2019-11-13,188546,65,spotify:user:emberg547,2020-05-23T00:33:32Z,"alt z,bedroom pop,indie pop,pop",0.791,0.462,10,-4.023,1,0.0383,0.505,0,0.0991,0.556,125.913,4
3sTN90bIP2cJ1783ctHykO,"5Q81rlcTFh3k6DQJXPdsot,13ubrt8QOOCPljQ2FL1Kca","Love$ick (feat. A$AP Rocky)","Mura Masa","Mura Masa,A$AP Rocky",2017-07-14,192160,76,spotify:user:emberg547,2020-05-23T00:34:25Z,"channel islands indie,vapor soul,east coast hip hop,hip hop,rap,trap",0.625,0.763,8,-4.997,0,0.129,0.147,0.0106,0.214,0.721,88.753,4
7KA4W4McWYRpgf0fWsJZWB,"4V8LLVI7PbaPR0K2TGSxFF,1U1el3k54VvEUzo3ybLPlM","See You Again (feat. Kali Uchis)","Flower Boy","Tyler, The Creator,Kali Uchis",2017-07-21,180386,85,spotify:user:emberg547,2020-05-23T00:34:33Z,"hip hop,rap,colombian pop,pop",0.558,0.559,6,-9.222,1,0.0959,0.371,0.00000749,0.109,0.62,78.558,4
3qiyyUfYe7CRYLucrPmulD,"67ea9eGLXYMsO2eYQRui3w","Baba O'Riley","Who's Next","The Who",1971-08-14,300400,77,spotify:user:emberg547,2020-05-23T00:34:44Z,"album rock,art rock,blues rock,british invasion,classic rock,hard rock,mellow gold,psychedelic rock,rock",0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,4
0GO8y8jQk1PkHzS31d699N,"3kVUvbeRdcrqQ3oHk5hPdx","Tongue Tied","Never Trust a Happy Song","Grouplove",2011-09-02,218013,82,spotify:user:emberg547,2020-05-23T00:35:23Z,"indie pop,indie rock,indietronica,la indie,modern alternative rock,modern rock,pop rock,rock,stomp and holler",0.56,0.936,3,-5.835,1,0.0439,0.00847,0,0.161,0.371,112.96,4
2qPUnoasNe4Ep43emVXEig,"7o9Nl7K1Al6NNAHX6jn6iG,0du5cEVh5yTK9QJze8zA0C","Billionaire (feat. Bruno Mars)","Lazarus","Travie McCoy,Bruno Mars",2010-06-07,211160,74,spotify:user:emberg547,2020-05-23T00:35:31Z,"dance pop,pop rap,pop",0.633,0.673,6,-6.403,0,0.258,0.297,0,0.206,0.659,86.776,4
2iUmqdfGZcHIhS3b9E9EWq,"0RpddSzUHfncUWNJXKOsjy","Everybody Talks","Picture Show","Neon Trees",2012-01-01,177280,84,spotify:user:emberg547,2020-05-23T00:35:39Z,"modern alternative rock,modern rock,pop,pop rock,rock",0.471,0.924,8,-3.906,1,0.0586,0.00301,0,0.313,0.725,154.961,4
