Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6uFn47ACjqYkc0jADwEdj1,"6AgTAQt8XS6jRWi4sX7w49,6jGMq4yGs7aQzuGsMgVgZR","Pop Out (feat. Lil Tjay)","Die A Legend","Polo G,Lil Tjay",2019-06-07,166560,82,spotify:user:emberg547,2020-01-07T05:37:00Z,"chicago rap,brooklyn drill,melodic rap,nyc rap",0.772,0.639,1,-7.119,1,0.467,0.15,0,0.0698,0.261,168.112,4
5WnfnSpuNEGXyEt78PBA6d,"1iNqsUDUraNWrj00bqssQG,70gP6Ry4Uo0Yx6uzPIdaiJ,6U3ybJ9UHNKEdsH7ktGBZ7,0NcPKaSNIHAM2RfioH9vMT,07V3atNq2TyPNDYmzp6Dyy,0vaKiuLwFJLVU664A8GTjE,30C5wgn4celhRP3Tytv7R6,21dooacK2WGBB5amYvKyfM,6PDLwWvgYNMfBRLqC1h5cJ,2rhFzFmezpnW82MNqEKVry","Costa Rica (with Bas & JID feat. Guapdad 4000, Reese LAFLARE, Jace, Mez, Smokepurpp, Buddy & Ski Mask The Slump God)","Revenge Of The Dreamers III","Dreamville,Bas,JID,Guapdad 4000,Reese LAFLARE,Jace,Mez,Smokepurpp,Buddy,Ski Mask The Slump God",2019-07-05,217866,72,spotify:user:emberg547,2020-01-15T00:14:23Z,"hip hop,rap,underground hip hop,queens hip hop,sudanese pop,cali rap,oakland hip hop,pop rap,scam rap,trap soul,vapor trap,north carolina hip hop,dark trap,melodic rap,meme rap,miami hip hop,trap,viral rap,alternative r&b",0.642,0.647,7,-6.312,0,0.428,0.517,0,0.0649,0.664,120.749,4
5pu7aEkjSMFVxFiboIDixE,"1iNqsUDUraNWrj00bqssQG,6l3HvQ5sa6mXTsMTB19rO5,75WcpJKWXBV3o3cfluWapK,4r63FhuTkUYltbVAg5TQnk","Under The Sun (with J. Cole & Lute feat. DaBaby)","Revenge Of The Dreamers III: Director's Cut","Dreamville,J. Cole,Lute,DaBaby",2020-01-16,201773,52,spotify:user:emberg547,2020-01-17T14:58:21Z,"hip hop,rap,underground hip hop,conscious hip hop,north carolina hip hop,indie hip hop",0.723,0.656,0,-6.432,1,0.338,0.539,0,0.298,0.155,138.836,4
4ucPhGibPjInOykvVNViRU,"1iNqsUDUraNWrj00bqssQG,5MbNzCW3qokGyoo9giHA3V","Swivel (with EARTHGANG) - From The Album Mirrorland","Revenge Of The Dreamers III: Director's Cut","Dreamville,EARTHGANG",2020-01-16,194613,44,spotify:user:emberg547,2020-01-17T15:06:37Z,"hip hop,rap,underground hip hop,atl hip hop,psychedelic hip hop",0.594,0.545,2,-7.208,1,0.416,0.247,0,0.239,0.404,109.839,5
5bnMRsrpblLaINuPh6b6QA,"1iNqsUDUraNWrj00bqssQG,6l3HvQ5sa6mXTsMTB19rO5,3OBsADexDJ29wg3OGVoAji,2tMOCIpxj6jwM9e6pmwGiP,6xS5PpBWaVYraexEkEjjXv","Oh Wow...Swerve (with J. Cole feat. Zoink Gang, KEY! & Maxo Kream)","Revenge Of The Dreamers III: Director's Cut","Dreamville,J. Cole,Zoink Gang,KEY!,Maxo Kream",2020-01-16,275986,45,spotify:user:emberg547,2020-01-17T15:11:44Z,"hip hop,rap,underground hip hop,conscious hip hop,north carolina hip hop,vapor trap,houston rap,melodic rap,pop rap,southern hip hop,trap",0.518,0.713,1,-6.143,1,0.508,0.375,0.00000109,0.279,0.307,165.265,3
6Ozh9Ok6h4Oi1wUSLtBseN,"4r63FhuTkUYltbVAg5TQnk","BOP","KIRK","DaBaby",2019-09-27,159714,81,spotify:user:emberg547,2020-01-17T15:36:40Z,"north carolina hip hop,rap",0.769,0.787,11,-3.909,1,0.367,0.189,0,0.129,0.836,126.77,4
5ry2OE6R2zPQFDO85XkgRb,"3TVXtAsR1Inumwj472S9r4,1sBkRIssrMs1AbVkOJbc7a","Money In The Grave (Drake ft. Rick Ross)","The Best In The World Pack","Drake,Rick Ross",2019-06-15,205426,80,spotify:user:emberg547,2020-01-17T15:37:13Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap,dirty south rap,gangster rap,pop rap,southern hip hop,trap",0.831,0.502,10,-4.045,0,0.046,0.101,0,0.122,0.101,100.541,4
3QzAOrNlsabgbMwlZt7TAY,"0YinUQ50QDB7ZxSCLyQ40k,757aE44tKEUQEqRuT6GnEB","Ballin' (with Roddy Ricch)","Perfect Ten","Mustard,Roddy Ricch",2019-06-28,180434,82,spotify:user:emberg547,2020-01-17T15:40:39Z,"cali rap,hip hop,pop rap,rap,southern hip hop,trap,melodic rap",0.809,0.545,7,-6.678,1,0.0735,0.392,0,0.151,0.244,97.008,4
3eekarcy7kvN4yt5ZFzltW,"0Y5tJX1MQlPlqiwlOH1tJY","HIGHEST IN THE ROOM","HIGHEST IN THE ROOM","Travis Scott",2019-10-04,175720,86,spotify:user:emberg547,2020-01-17T15:42:06Z,"rap,slap house",0.598,0.427,7,-8.764,0,0.0317,0.0546,0.00000583,0.21,0.0605,76.469,4
4sWuPniHClkInYAnzXAYUF,"0ErzCpIMyLcjPiwT4elrtZ","Camelot","Camelot","NLE Choppa",2019-09-13,148759,74,spotify:user:emberg547,2020-01-17T15:42:29Z,"memphis hip hop",0.787,0.713,7,-5.252,1,0.401,0.0849,0,0.717,0.761,175.046,4
6Gg1gjgKi2AK4e0qzsR7sd,"4MCBfE4596Uoi2O4DtmEMz,7wlFDEWiM5OoIAt8RSli8b","Bandit (with YoungBoy Never Broke Again)","Bandit (with YoungBoy Never Broke Again)","Juice WRLD,YoungBoy Never Broke Again",2019-10-04,189322,83,spotify:user:emberg547,2020-01-17T15:44:25Z,"chicago rap,melodic rap,baton rouge rap,trap",0.474,0.631,5,-5.884,0,0.343,0.0687,0,0.132,0.425,180.051,4
2zjGJ0dChMR0KxBZS15aqo,"0YinUQ50QDB7ZxSCLyQ40k,7rkW85dBwwrJtlHRDkJDAC,699OTQXzgjhIYAHMy9RyPD,31W5EY0aAly4Qieq6OFu6I","Baguettes in the Face (feat. NAV, Playboi Carti & A Boogie Wit da Hoodie)","Perfect Ten","Mustard,NAV,Playboi Carti,A Boogie Wit da Hoodie",2019-06-28,174100,74,spotify:user:emberg547,2020-01-17T15:45:03Z,"cali rap,hip hop,pop rap,rap,southern hip hop,trap,canadian hip hop,canadian trap,melodic rap,toronto rap,atl hip hop,plugg",0.883,0.525,2,-8.054,0,0.0633,0.189,0,0.0971,0.312,99.978,4
7iHHxY2NLlJRAmlAmC4ahQ,"5zctI4wO9XSKS8XwcnqEHk,2hlmm7s2ICUX0LVIhVFlZQ","Stuck In A Dream (feat. Gunna)","Certified Hitmaker","Lil Mosey,Gunna",2019-11-08,123560,76,spotify:user:emberg547,2020-01-17T15:45:26Z,"melodic rap,rap,rap conscient,trap,vapor trap,atl hip hop,hip hop",0.748,0.648,10,-6.445,0,0.0816,0.484,0,0.126,0.726,139.952,4
