Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6ymTp1jOINm0UURUZ2h603,"0HkcYmcjrBR3SCw9Ld5VZk","Envy Me","Envy Me","Calboy",2018-09-13,120033,0,spotify:user:emberg547,2020-06-28T14:50:10Z,"chicago rap,melodic rap,pop rap,rap,trap,vapor trap",0.733,0.441,8,-9.191,0,0.369,0.155,0,0.197,0.524,149.087,4
78QR3Wp35dqAhFEc2qAGjE,"5f7VJjfbwm532GiveGC0ZK,2hlmm7s2ICUX0LVIhVFlZQ","Drip Too Hard (Lil Baby & Gunna)","Drip Harder","Lil Baby,Gunna",2018-10-05,145542,84,spotify:user:emberg547,2020-06-28T14:50:15Z,"atl hip hop,atl trap,rap,trap,hip hop,melodic rap",0.897,0.662,1,-6.903,0,0.292,0.0852,0,0.534,0.389,112.511,4
2G1tXoGBaEMJ7FKGnkf6ud,"13y7CgLHjMVRMDqxdx0Xdo,0du5cEVh5yTK9QJze8zA0C,46SHBwWsqBkxI7EeeBEQG7","Wake Up in the Sky","Evil Genius","Gucci Mane,Bruno Mars,Kodak Black",2018-12-07,203161,73,spotify:user:emberg547,2020-06-28T14:50:20Z,"atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,dance pop,pop,florida rap,melodic rap,miami hip hop",0.8,0.578,4,-5.144,0,0.0485,0.00381,0,0.367,0.367,143.01,4
1l5lKWHRfyY7Y3FvDBXlvJ,"4kI8Ie27vjvonwaB2ePh8T","Sleep Forever","In the Mountain in the Cloud","Portugal. The Man",2011-06-29,380546,50,spotify:user:emberg547,2020-06-28T14:50:24Z,"indie rock,modern alternative rock,modern rock,rock",0.513,0.467,7,-8.305,1,0.0295,0.367,0.000542,0.319,0.31,145.027,4
5qHirGR7M9tdm6C17DlzSY,"3Gm5F95VdRxW3mqCn8RPBJ","REEL IT IN","ONEPOINTFIVE","Aminé",2018-08-15,121346,79,spotify:user:emberg547,2020-06-28T14:50:32Z,"hip hop,pop,portland hip hop,rap,underground hip hop",0.754,0.342,10,-8.677,0,0.0991,0.073,0,0.193,0.423,128.981,4
5aXgz1oKK8Q9z9xvTmSnrO,"6Xgp2XMz1fhVYe7i6yNAax","Topanga","A Love Letter To You 3","Trippie Redd",2018-11-09,215364,73,spotify:user:emberg547,2020-06-28T14:50:38Z,"melodic rap,rap,trap",0.755,0.615,4,-8.245,1,0.0454,0.00587,0.00000175,0.109,0.039,105.955,4
5IaHrVsrferBYDm0bDyABy,"5LHRHt1k9lMyONurDHEdrp,4DdkRBBYG6Yk9Ka8tdJ9BW","Taste (feat. Offset)","Taste (feat. Offset)","Tyga,Offset",2018-05-16,232959,78,spotify:user:emberg547,2020-06-28T14:50:48Z,"dance pop,hip hop,pop rap,rap,southern hip hop,trap,atl hip hop",0.884,0.559,0,-7.442,1,0.12,0.0236,0,0.101,0.342,97.994,4
7m9OqQk4RVRkw9JJdeAw96,"15UsOTVnJzReFVN1VCnxy4","Jocelyn Flores","17","XXXTENTACION",2017-08-25,119133,88,spotify:user:emberg547,2020-06-28T14:50:54Z,"emo rap,miami hip hop",0.872,0.391,0,-9.144,0,0.242,0.469,0.00000413,0.297,0.437,134.021,4
0iTpQYzJnYgh7kIxyq8A2O,"2Jv5eshHtLycR6R8KQCdc4","Two Weeks","Veckatimest","Grizzly Bear",2009-05-24,243160,75,spotify:user:emberg547,2020-06-28T14:51:02Z,"alternative dance,art pop,baroque pop,brooklyn indie,chillwave,dream pop,freak folk,indie pop,indie rock,modern rock,new weird america,stomp and holler",0.537,0.712,5,-5.597,1,0.0286,0.289,0.00568,0.08,0.704,159.871,4
57nOpVSc3j9o03Cr928ZM4,"15UsOTVnJzReFVN1VCnxy4","what are you so afraid of","SKINS","XXXTENTACION",2018-12-07,150769,68,spotify:user:emberg547,2020-06-28T14:51:11Z,"emo rap,miami hip hop",0.639,0.312,0,-9.902,1,0.0301,0.774,0.469,0.0857,0.347,103.369,4
5wujBwqG7INdStqGd4tRMX,"4MCBfE4596Uoi2O4DtmEMz","Armed And Dangerous","Goodbye & Good Riddance","Juice WRLD",2018-12-10,169999,82,spotify:user:emberg547,2020-06-28T14:51:17Z,"chicago rap,melodic rap",0.736,0.67,10,-6.702,1,0.311,0.186,0,0.114,0.845,130.032,4
3oDkdAySo1VQQG0ptV7uwa,"4MCBfE4596Uoi2O4DtmEMz","Lean Wit Me","Goodbye & Good Riddance","Juice WRLD",2018-12-10,175755,82,spotify:user:emberg547,2020-06-28T14:51:24Z,"chicago rap,melodic rap",0.665,0.651,1,-5.515,1,0.156,0.0414,0,0.0896,0.237,163.935,4
0dbTQYW3Ad1FTzIA9t90E8,"55Aa2cqylxrFIXC767Z865,2YZyLoL8N0Wb9xBt1NhZWg","Mona Lisa (feat. Kendrick Lamar)","Tha Carter V","Lil Wayne,Kendrick Lamar",2018-09-28,324189,70,spotify:user:emberg547,2020-06-28T14:51:39Z,"hip hop,new orleans rap,pop rap,rap,trap,conscious hip hop,west coast rap",0.856,0.694,2,-4.393,1,0.169,0.371,0,0.109,0.489,122.08,4
0Fpen1PTuEnCmOJtUU9Iud,"4O15NlyKLIASxsJ0PrXPfz","New Patek","New Patek","Lil Uzi Vert",2018-09-18,343099,70,spotify:user:emberg547,2020-06-30T14:55:32Z,"melodic rap,philly rap,rap,trap",0.85,0.785,8,-4.963,0,0.345,0.0367,0,0.155,0.718,145.063,4
6JQvHMSaR8flFsN53ypOfP,"5zctI4wO9XSKS8XwcnqEHk","Noticed","Northsbest","Lil Mosey",2018-10-19,165000,1,spotify:user:emberg547,2020-06-30T14:55:51Z,"melodic rap,rap,rap conscient,trap,vapor trap",0.699,0.558,11,-7.622,1,0.0603,0.462,0,0.116,0.493,79.992,4
14mHfNsSHN0FbLftyjrV9g,"2HUwZ0kumzCSlhFcjFZfpp","Leave Me Alone","Leave Me Alone","Flipp Dinero",2018-09-04,195637,69,spotify:user:emberg547,2020-06-30T14:56:20Z,"melodic rap,pop rap,rap,trap,vapor trap",0.792,0.743,7,-2.806,1,0.0851,0.107,0,0.183,0.742,150.024,4
0QIjsbm2fh1cJ45XO9eGqq,"13y7CgLHjMVRMDqxdx0Xdo,0du5cEVh5yTK9QJze8zA0C,46SHBwWsqBkxI7EeeBEQG7","Wake Up in the Sky","Wake Up in the Sky","Gucci Mane,Bruno Mars,Kodak Black",2018-09-14,204664,79,spotify:user:emberg547,2020-06-30T14:56:23Z,"atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,dance pop,pop,florida rap,melodic rap,miami hip hop",0.8,0.578,4,-5.144,0,0.0485,0.00381,0,0.359,0.367,143.01,4
2IRZnDFmlqMuOrYOLnZZyc,"20sxb77xiYeusSH8cVdatc,3TVXtAsR1Inumwj472S9r4","Going Bad (feat. Drake)","Championships","Meek Mill,Drake",2018-11-30,180522,82,spotify:user:emberg547,2020-06-30T14:56:31Z,"hip hop,philly rap,pop rap,rap,southern hip hop,trap,canadian hip hop,canadian pop,toronto rap",0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,4
7lVoniii4QwhNjCeHij2xZ,"7gP3bB2nilZXLfPHJhMdvc","Worst Nites","Worst Nites","Foster The People",2018-11-06,211920,0,spotify:user:emberg547,2020-06-30T14:56:48Z,"indietronica,modern rock,rock",0.741,0.752,2,-4.968,1,0.0386,0.00834,0.00165,0.0438,0.609,114.02,4
7pdF27mSDuPWhppnHAmWHa,"15UsOTVnJzReFVN1VCnxy4","whoa (mind in awe)","SKINS","XXXTENTACION",2018-12-07,157776,74,spotify:user:emberg547,2020-06-30T14:57:24Z,"emo rap,miami hip hop",0.735,0.525,6,-2.939,0,0.0441,0.653,0.918,0.101,0.369,160.147,4
0NlCW2NRTH6kwreOScnyfU,"5XDJlfdfbGNJrOJJNxTcdq","Done Playing Nice","Love Is Hell","Phora",2018-10-05,130482,29,spotify:user:emberg547,2020-06-30T14:58:04Z,"deep underground hip hop,oc rap,pop r&b,pop rap,r&b,sad rap",0.885,0.777,5,-6.408,1,0.357,0.00754,0,0.0895,0.486,140.046,4
1WIZiOuNO3woKfdlSK2gNn,"46SHBwWsqBkxI7EeeBEQG7","Transportin'","Project Baby 2: All Grown Up","Kodak Black",2017-08-18,169344,75,spotify:user:emberg547,2020-06-30T14:58:10Z,"florida rap,hip hop,melodic rap,miami hip hop,rap,southern hip hop,trap",0.804,0.66,10,-4.86,0,0.0726,0.0319,0,0.103,0.257,94.053,4
5p7GiBZNL1afJJDUrOA6C8,"4LLpKhyESsyAXpc4laK94U","Hurt Feelings","Swimming","Mac Miller",2018-08-03,245640,73,spotify:user:emberg547,2020-06-30T14:58:52Z,"hip hop,pittsburgh rap,rap",0.69,0.462,8,-8.054,1,0.13,0.343,0.00218,0.113,0.325,157.655,4
5nrmGFJ87crVoJF5xdRqwn,"1SQRv42e4PjEYfPhS0Tk9E","Waterloo Sunset - Mono Mix","Something Else (Deluxe Edition)","The Kinks",1967-09-15,194216,65,spotify:user:emberg547,2020-06-30T14:58:59Z,"album rock,art rock,british invasion,classic rock,folk rock,glam rock,mellow gold,protopunk,psychedelic rock,rock",0.512,0.69,1,-6.969,0,0.0249,0.162,0,0.167,0.417,107.839,4
6vN77lE9LK6HP2DewaN6HZ,"5f7VJjfbwm532GiveGC0ZK,3TVXtAsR1Inumwj472S9r4","Yes Indeed","Harder Than Ever","Lil Baby,Drake",2018-05-18,142273,82,spotify:user:emberg547,2020-06-30T14:59:04Z,"atl hip hop,atl trap,rap,trap,canadian hip hop,canadian pop,hip hop,toronto rap",0.963,0.346,5,-9.309,0,0.53,0.0355,0,0.108,0.562,119.957,4
1ZVKwJ1pdGEPol8kuOatBC,"3SGLeWc7J5Ve0CinAOrb3a","Mustang","Everyone Is Good at Something","Skegss",2016-07-15,183673,0,spotify:user:emberg547,2020-06-30T14:59:10Z,"australian garage punk,indie surf",0.435,0.898,2,-6.396,1,0.0598,0.00717,0,0.355,0.806,149.167,4
0JP9xo3adEtGSdUEISiszL,"15UsOTVnJzReFVN1VCnxy4","Moonlight","?","XXXTENTACION",2018-03-16,135090,86,spotify:user:emberg547,2020-06-30T14:59:44Z,"emo rap,miami hip hop",0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,4
6QNFQJKlZUKr0xlGZ74CZJ,"4MCBfE4596Uoi2O4DtmEMz","Rich And Blind","Rich And Blind","Juice WRLD",2018-06-22,228720,76,spotify:user:emberg547,2020-06-30T14:59:48Z,"chicago rap,melodic rap",0.638,0.624,10,-5.37,1,0.0798,0.0102,0,0.0944,0.445,159.937,4
4CH66Rxcjcj3VBHwmIBj4T,"15UsOTVnJzReFVN1VCnxy4","BAD!","BAD!","XXXTENTACION",2018-11-09,94245,66,spotify:user:emberg547,2020-06-30T14:59:52Z,"emo rap,miami hip hop",0.78,0.492,5,-3.4,0,0.0671,0.0643,0.0313,0.174,0.374,143.983,4
3ee8Jmje8o58CHK66QrVC2,"15UsOTVnJzReFVN1VCnxy4","SAD!","?","XXXTENTACION",2018-03-16,166605,87,spotify:user:emberg547,2020-06-30T14:59:57Z,"emo rap,miami hip hop",0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,4
