Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0n4bITAu0Y0nigrz3MFJMb,"0ZrpamOxcZybMHGg1AYtHP,4OBJLual30L7gRl5UkeRcT,2RdwBSPQiwcmiDo9kixcl8","Blurred Lines","Blurred Lines (Deluxe)","Robin Thicke,T.I.,Pharrell Williams",2013-01-01,263826,77,spotify:user:emberg547,2020-06-21T14:33:11Z,"contemporary r&b,dance pop,hip pop,neo soul,r&b,urban contemporary,atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap",0.853,0.599,7,-4.756,1,0.0411,0.00334,0.00000793,0.0759,0.843,119.993,4
2iUmqdfGZcHIhS3b9E9EWq,"0RpddSzUHfncUWNJXKOsjy","Everybody Talks","Picture Show","Neon Trees",2012-01-01,177280,84,spotify:user:emberg547,2020-06-21T14:33:56Z,"modern alternative rock,modern rock,pop,pop rock,rock",0.471,0.924,8,-3.906,1,0.0586,0.00301,0,0.313,0.725,154.961,4
44yeuXXaEnaK5Cugptf7GH,"07Asx51VtMw5kbNXKrpZlq","Cigarettes On Patios","Cigarettes On Patios","BabyJake",2019-06-07,207813,57,spotify:user:emberg547,2020-06-21T14:34:13Z,"pop rap",0.754,0.725,7,-5.783,1,0.0528,0.319,0.00000119,0.188,0.597,140.011,4
1hGy2eLcmC8eKx7qr1tOqx,"6S0dmVVn4udvppDhZIWxCr","Beautiful Girls","Beautiful Girls","Sean Kingston",2007-07-23,225373,81,spotify:user:emberg547,2020-06-21T14:34:24Z,"dance pop,miami hip hop,pop,post-teen pop,urban contemporary",0.762,0.661,1,-6.075,0,0.0687,0.15,0,0.256,0.769,130.009,4
0OaunKfsxkgBvPv68jBbmm,"5EvFsr3kj42KNv97ZEnqij,67wCYxOq4A1ohAs7jWYaOJ","It Wasn't Me","The Boombastic Collection - Best of Shaggy","Shaggy,Rik Rok",2008-01-01,227546,64,spotify:user:emberg547,2020-06-21T14:34:49Z,"pop rap,reggae fusion",0.852,0.604,0,-4.569,1,0.0642,0.0503,0,0.327,0.667,94.762,4
5pfJsMwoRYKampPay8amX0,"5BcAKTbp20cv7tC5VqPFoC,3JhNCzhSMTxs9WLGJJxWOY,4myTppRgh0rojLxx8RycOp,0AWhixY9hX7LEPyPMjh4O0,6QeZTS8BrU3r2TYJdA68j9,2RE8NwNxsOyuNZDD0jRxHP,3NoeRIxHApi6qe4yan2Vnn","Downtown (feat. Melle Mel, Grandmaster Caz, Kool Moe Dee & Eric Nally)","This Unruly Mess I've Made","Macklemore & Ryan Lewis,Macklemore,Ryan Lewis,Grandmaster Melle Mel,Grandmaster Caz,Kool Moe Dee,Eric Nally",2016-02-26,292593,69,spotify:user:emberg547,2020-06-21T14:35:11Z,"dance pop,pop,pop rap,seattle hip hop,bronx hip hop,east coast hip hop,electro,old school hip hop,gangster rap,harlem hip hop,hip hop,hip house,new jack swing,rap",0.828,0.609,1,-4.402,1,0.0694,0.0916,0.00000121,0.291,0.707,109.725,4
1ExfPZEiahqhLyajhybFeS,"0du5cEVh5yTK9QJze8zA0C","The Lazy Song","Doo-Wops & Hooligans","Bruno Mars",2010-10-05,189109,74,spotify:user:emberg547,2020-06-21T14:35:21Z,"dance pop,pop",0.794,0.711,8,-5.124,0,0.0699,0.3,0,0.0955,0.955,174.915,4
0rzNMzZsubFcXSEh7dnem7,"6vWDO969PvNqNYHIOW5v0m","Hold Up","Lemonade","Beyoncé",2016-04-23,221093,71,spotify:user:emberg547,2020-06-21T14:35:35Z,"dance pop,pop,r&b",0.524,0.397,0,-11.936,1,0.405,0.745,0,0.521,0.552,80.744,4
7uzmGiiJyRfuViKKK3lVmR,"4GvEc3ANtPPjt1ZJllr5Zl","Mine","COSMIC","Bazzi",2018-04-12,131064,79,spotify:user:emberg547,2020-06-21T14:35:41Z,"dance pop,electropop,pop",0.71,0.789,4,-3.874,1,0.0722,0.0161,0.00000277,0.451,0.717,142.929,4
0GO8y8jQk1PkHzS31d699N,"3kVUvbeRdcrqQ3oHk5hPdx","Tongue Tied","Never Trust a Happy Song","Grouplove",2011-09-02,218013,82,spotify:user:emberg547,2020-06-21T14:35:48Z,"indie pop,indie rock,indietronica,la indie,modern alternative rock,modern rock,pop rock,rock,stomp and holler",0.56,0.936,3,-5.835,1,0.0439,0.00847,0,0.161,0.371,112.96,4
5HQVUIKwCEXpe7JIHyY734,"7hJcb9fa4alzcOq3EaNPoG,137W8MRPWKqSmrBGDBFSop,0du5cEVh5yTK9QJze8zA0C","Young, Wild & Free (feat. Bruno Mars)","Young, Wild & Free (feat. Bruno Mars)","Snoop Dogg,Wiz Khalifa,Bruno Mars",2011-10-11,207333,80,spotify:user:emberg547,2020-06-21T14:35:52Z,"g funk,gangster rap,hip hop,pop rap,rap,west coast rap,dance pop,pittsburgh rap,southern hip hop,trap,pop",0.715,0.655,0,-6.425,1,0.137,0.0525,0,0.115,0.531,95.078,4
2qPUnoasNe4Ep43emVXEig,"7o9Nl7K1Al6NNAHX6jn6iG,0du5cEVh5yTK9QJze8zA0C","Billionaire (feat. Bruno Mars)","Lazarus","Travie McCoy,Bruno Mars",2010-06-07,211160,74,spotify:user:emberg547,2020-06-21T14:35:56Z,"dance pop,pop rap,pop",0.633,0.673,6,-6.403,0,0.258,0.297,0,0.206,0.659,86.776,4
6lV2MSQmRIkycDScNtrBXO,"5ndkK3dpZLKtBklKjxNQwT,6Rx1JKzBrSzoKQtmbVmBnM","Airplanes (feat. Hayley Williams of Paramore)","B.o.B Presents: The Adventures of Bobby Ray","B.o.B,Hayley Williams",2010-04-27,180480,78,spotify:user:emberg547,2020-06-21T14:36:00Z,"atl hip hop,dance pop,hip hop,pop,pop rap,rap,southern hip hop,art pop,indie pop",0.66,0.867,6,-4.285,0,0.116,0.11,0,0.0368,0.377,93.033,4
0qOnSQQF0yzuPWsXrQ9paz,"4IJczjB0fJ04gs4uvP0Fli,4bYPcJP5jwMhSivRcqie2n","Stereo Hearts (feat. Adam Levine)","The Papercut Chronicles II","Gym Class Heroes,Adam Levine",2011-11-11,210960,85,spotify:user:emberg547,2020-06-21T14:36:05Z,"dance pop,pop rap",0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,4
2DPYlWl50ydYsnnuryL5aX,"2KsP6tYLJlTBvSUxnwlVWa,0c173mlxpT3dSFRgMO8XPh","Cooler Than Me (feat. Big Sean)","Cooler Than Me EP","Mike Posner,Big Sean",2009-12-15,227840,71,spotify:user:emberg547,2020-06-21T14:36:31Z,"dance pop,edm,pop,pop rap,rap,detroit hip hop,hip hop,southern hip hop,trap",0.837,0.515,7,-4.065,0,0.0793,0.103,0,0.233,0.769,129.001,4
5KONnBIQ9LqCxyeSPin26k,"07YZf4WDAMNwqr4jfgOZ8y","Trumpets","Talk Dirty","Jason Derulo",2013-09-10,217419,67,spotify:user:emberg547,2020-06-21T14:36:45Z,"dance pop,pop,pop rap,post-teen pop",0.635,0.691,0,-4.862,1,0.258,0.555,0,0.097,0.638,82.142,4
6HZ9VeI5IRFCNQLXhpF4bq,"1VBflYyxBhnDc9uVib98rw,25uiPmTg16RbhZWAqwLBy5","I Love It (feat. Charli XCX)","THIS IS... ICONA POP","Icona Pop,Charli XCX",2013-08-27,157152,70,spotify:user:emberg547,2020-06-21T14:37:19Z,"candy pop,dance pop,edm,electropop,metropopolis,pop,pop dance,swedish electropop,swedish synthpop,art pop,post-teen pop,uk pop",0.711,0.906,8,-2.671,1,0.0284,0.00952,0.0000164,0.153,0.824,125.916,4
5tVA6TkbaAH9QMITTQRrNv,"2UZMlIwnkgAEDBsw1Rejkn","Free Fallin'","Full Moon Fever","Tom Petty",1989-01-01,256000,80,spotify:user:emberg547,2020-06-21T14:37:26Z,"album rock,classic rock,country rock,folk rock,heartland rock,mellow gold,pop rock,rock,singer-songwriter,soft rock",0.623,0.449,5,-13.333,1,0.0253,0.212,0,0.0613,0.572,84.383,4
