Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4qSk2aeaE2dh5ZOP0JdaV3,"1SQRv42e4PjEYfPhS0Tk9E","Waterloo Sunset","Picture Book","The Kinks",2008-12-08,193106,44,spotify:user:emberg547,2018-12-30T05:26:27Z,"album rock,art rock,british invasion,classic rock,folk rock,glam rock,mellow gold,protopunk,psychedelic rock,rock",0.513,0.683,1,-7.996,0,0.0246,0.268,0,0.173,0.467,107.865,4
0UAJH0k4k3slcE83a9UGCe,"1SQRv42e4PjEYfPhS0Tk9E","Lola","Lola Versus Powerman and the Moneygoround, Pt. One","The Kinks",1970-11-27,241040,72,spotify:user:emberg547,2018-12-30T05:26:54Z,"album rock,art rock,british invasion,classic rock,folk rock,glam rock,mellow gold,protopunk,psychedelic rock,rock",0.474,0.917,9,-4.19,1,0.0395,0.582,0.231,0.201,0.902,152.113,4
6dGnYIeXmHdcikdzNNDMm2,"3WrFJ7ztbogyGnTHbHJFl2","Here Comes The Sun - Remastered 2009","Abbey Road (Remastered)","The Beatles",1969-09-26,185733,84,spotify:user:emberg547,2018-12-30T05:27:10Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.557,0.54,9,-10.484,1,0.0347,0.0339,0.00248,0.179,0.394,129.171,4
2EqlS6tkEnglzr7tkKAAYD,"3WrFJ7ztbogyGnTHbHJFl2","Come Together - Remastered 2009","Abbey Road (Remastered)","The Beatles",1969-09-26,259946,80,spotify:user:emberg547,2018-12-30T05:27:15Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.533,0.376,9,-11.913,0,0.0393,0.0302,0.248,0.0926,0.187,165.007,4
7iN1s7xHE4ifF5povM6A48,"3WrFJ7ztbogyGnTHbHJFl2","Let It Be - Remastered 2009","Let It Be (Remastered)","The Beatles",1970-05-08,243026,81,spotify:user:emberg547,2018-12-30T05:27:19Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.443,0.403,0,-8.339,1,0.0322,0.631,0,0.111,0.41,143.462,4
0aym2LBJBk9DAYuHHutrIl,"3WrFJ7ztbogyGnTHbHJFl2","Hey Jude - Remastered 2015","1 (Remastered)","The Beatles",2000-11-13,425653,77,spotify:user:emberg547,2018-12-30T05:27:25Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.386,0.607,10,-7.7,1,0.0261,0.0112,0.0000138,0.088,0.532,147.207,4
4aX3n1Pn6jiCbvqBL8eqyP,"3WrFJ7ztbogyGnTHbHJFl2","Love Me Do - Mono / Remastered","1 (Remastered)","The Beatles",2000-11-13,140173,60,spotify:user:emberg547,2018-12-30T05:27:55Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.524,0.88,0,-3.865,1,0.0987,0.404,0.000191,0.154,0.758,148.058,4
4pbG9SUmWIvsROVLF0zF9s,"3WrFJ7ztbogyGnTHbHJFl2","I Want To Hold Your Hand - Remastered 2015","1 (Remastered)","The Beatles",2000-11-13,145746,74,spotify:user:emberg547,2018-12-30T05:28:26Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.49,0.715,7,-5.549,1,0.0476,0.386,0,0.311,0.866,130.726,4
1pctwlBtIcKIjQMzsVcGHB,"3WrFJ7ztbogyGnTHbHJFl2","A Hard Day's Night - Remastered 2015","1 (Remastered)","The Beatles",2000-11-13,152920,60,spotify:user:emberg547,2018-12-30T05:28:32Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.546,0.818,0,-4.89,1,0.031,0.0487,0,0.0983,0.756,138.561,4
5hhF25sWnZvXhimOHLjTRE,"3WrFJ7ztbogyGnTHbHJFl2","I Feel Fine - Remastered 2015","1 (Remastered)","The Beatles",2000-11-13,139346,67,spotify:user:emberg547,2018-12-30T05:28:37Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.564,0.827,7,-7.089,1,0.0283,0.0904,0.00000373,0.127,0.912,89.847,4
5ylLypaOksxWd75YrGtx2N,"3WrFJ7ztbogyGnTHbHJFl2","Eight Days A Week - Remastered 2015","1 (Remastered)","The Beatles",2000-11-13,163320,58,spotify:user:emberg547,2018-12-30T05:28:47Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.636,0.677,9,-5.605,1,0.0316,0.265,0,0.215,0.837,138.707,4
0Ui8KPWZbJJQ2Y0CIQuVqX,"3WrFJ7ztbogyGnTHbHJFl2","Paperback Writer - Remastered 2015","1 (Remastered)","The Beatles",2000-11-13,138200,65,spotify:user:emberg547,2018-12-30T05:28:59Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.472,0.856,7,-6.03,1,0.0562,0.147,0.00000278,0.595,0.841,78.696,4
7zRmGvtSy36Jr19U5OInJT,"3WrFJ7ztbogyGnTHbHJFl2","Yellow Submarine - Remastered 2015","1 (Remastered)","The Beatles",2000-11-13,158800,57,spotify:user:emberg547,2018-12-30T05:29:04Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.66,0.557,1,-9.597,1,0.03,0.158,0,0.543,0.788,110.743,4
6KqiVlOLfDzJViJVAPym1p,"3WrFJ7ztbogyGnTHbHJFl2","All You Need Is Love - Remastered 2015","1 (Remastered)","The Beatles",2000-11-13,227760,60,spotify:user:emberg547,2018-12-30T05:29:15Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.397,0.625,7,-5.829,1,0.0347,0.437,0.00000547,0.263,0.676,104.54,4
0aym2LBJBk9DAYuHHutrIl,"3WrFJ7ztbogyGnTHbHJFl2","Hey Jude - Remastered 2015","1 (Remastered)","The Beatles",2000-11-13,425653,77,spotify:user:emberg547,2018-12-30T05:29:24Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.386,0.607,10,-7.7,1,0.0261,0.0112,0.0000138,0.088,0.532,147.207,4
3CEFDHJSiERlfwRujZ1CkJ,"3WrFJ7ztbogyGnTHbHJFl2","Come Together - Remastered 2015","1 (Remastered)","The Beatles",2000-11-13,258693,57,spotify:user:emberg547,2018-12-30T05:29:31Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.559,0.343,9,-13.072,0,0.0424,0.0601,0.138,0.1,0.183,164.53,4
