Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2RlgNHKcydI9sayD2Df2xp,"7jefIIksOi1EazgRTfW2Pk","Mr. Blue Sky","Out of the Blue","Electric Light Orchestra",1977,303373,82,spotify:user:emberg547,2018-10-02T22:18:14Z,"album rock,art rock,beatlesque,classic rock,glam rock,mellow gold,rock,soft rock,symphonic rock",0.388,0.338,10,-10.054,1,0.0329,0.652,0.00000373,0.248,0.478,177.765,4
11IzgLRXV7Cgek3tEgGgjw,"1dfeR4HaWDbWqFHLkxsg1d,0oSGxfWSnnOXhD2fKuz2Gy","Under Pressure - Remastered 2011","Hot Space (Deluxe Remastered Version)","Queen,David Bowie",1982-05-03,248440,72,spotify:user:emberg547,2018-11-06T16:20:25Z,"classic rock,glam rock,rock,art rock,permanent wave",0.671,0.711,2,-7.813,1,0.0478,0.422,0,0.104,0.466,113.809,4
3XVozq1aeqsJwpXrEZrDJ9,"7GXXMm3DB1VswVcuGyInUd","Ice Ice Baby","Vanilla Ice Is Back! - Hip Hop Classics","Vanilla Ice",2008-11-04,254466,73,spotify:user:emberg547,2018-11-06T16:20:38Z,"hip house,miami hip hop",0.979,0.792,2,-2.784,1,0.0388,0.0025,0.00000771,0.102,0.583,116.012,4
0jWgAnTrNZmOGmqgvHhZEm,"0Je74SitssvJg1w4Ra2EK7","What's Up?","Bigger, Better, Faster, More !","4 Non Blondes",1992-01-01,295533,82,spotify:user:emberg547,2018-12-02T03:13:58Z,"new wave pop,pop rock",0.565,0.564,2,-10.044,1,0.0292,0.161,0,0.114,0.454,134.355,4
6naxalmIoLFWR0siv8dnQQ,"26dSoYclwsYLMAKD3tpOr4","Oops!...I Did It Again","Oops!... I Did It Again","Britney Spears",2000-05-16,211160,81,spotify:user:emberg547,2018-12-02T03:17:43Z,"dance pop,pop,post-teen pop",0.751,0.834,1,-5.444,0,0.0437,0.3,0.0000177,0.355,0.894,95.053,4
7l3E7lcozEodtVsSTCkcaA,"46SHBwWsqBkxI7EeeBEQG7,4DdkRBBYG6Yk9Ka8tdJ9BW,0Y5tJX1MQlPlqiwlOH1tJY","ZEZE (feat. Travis Scott & Offset)","ZEZE (feat. Travis Scott & Offset)","Kodak Black,Offset,Travis Scott",2018-10-12,228653,29,spotify:user:emberg547,2018-12-10T05:35:42Z,"florida rap,hip hop,melodic rap,miami hip hop,rap,southern hip hop,trap,atl hip hop,pop rap,slap house",0.861,0.637,8,-5.692,0,0.24,0.0515,0.00000335,0.0967,0.474,98.044,4
7hQJA50XrCWABAu5v6QZ4i,"1dfeR4HaWDbWqFHLkxsg1d","Don't Stop Me Now - Remastered 2011","Jazz (Deluxe Remastered Version)","Queen",1978-11-10,209413,75,spotify:user:emberg547,2019-01-06T16:51:34Z,"classic rock,glam rock,rock",0.563,0.865,5,-5.277,1,0.16,0.0472,0.000191,0.77,0.601,156.271,4
3gdewACMIVMEWVbyb8O9sY,"3PhoLpVuITZKcymswpck5b","Rocket Man (I Think It's Going To Be A Long, Long Time)","Honky Chateau","Elton John",1972-05-19,281613,84,spotify:user:emberg547,2019-01-17T13:08:20Z,"glam rock,mellow gold,piano rock",0.601,0.532,10,-9.119,1,0.0286,0.432,0.00000625,0.0925,0.341,136.571,4
2TVxnKdb3tqe1nhQWwwZCO,"3PhoLpVuITZKcymswpck5b","Tiny Dancer","Madman Across The Water","Elton John",1971-11-05,377093,80,spotify:user:emberg547,2019-01-17T13:08:35Z,"glam rock,mellow gold,piano rock",0.414,0.428,0,-11.097,1,0.0278,0.382,0.000243,0.148,0.282,145.075,4
70C4NyhjD5OZUMzvWZ3njJ,"6zFYqv1mOsgBRQbae3JJ9e","Piano Man","Piano Man (Legacy Edition)","Billy Joel",1973-11-07,339000,78,spotify:user:emberg547,2020-05-23T00:40:10Z,"classic rock,folk rock,mellow gold,piano rock,rock,singer-songwriter,soft rock",0.331,0.55,0,-6.483,1,0.0272,0.605,0.00000396,0.192,0.429,177.734,3
5Wj1rJnCLpMHdLaxsFtJLs,"3PhoLpVuITZKcymswpck5b","Bennie And The Jets - Remastered 2014","Goodbye Yellow Brick Road (Remastered)","Elton John",1973-10-05,322548,76,spotify:user:emberg547,2020-05-23T00:40:19Z,"glam rock,mellow gold,piano rock",0.665,0.673,0,-7.95,1,0.0493,0.259,0.00000762,0.497,0.779,132.642,4
