Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2Yer0p7uB2lVBUAtANuuQp,"5UjifI1TYefXWn9GdqDOHl,6icQOAFXDZKsumw3YXyusw","Magic In The Hamptons (feat. Lil Yachty)","Magic In The Hamptons (feat. Lil Yachty)","Social House,Lil Yachty",2018-06-08,164640,78,spotify:user:emberg547,2019-04-09T20:37:29Z,"atl hip hop,hip hop,melodic rap,rap,trap,underground hip hop,viral rap",0.769,0.479,1,-5.339,1,0.0385,0.66,0,0.0914,0.803,96.051,4
4y3OI86AEP6PQoDE6olYhO,"7gOdHgIoIKoe4i9Tta6qdD","Sucker","Sucker","Jonas Brothers",2019-03-01,181040,5,spotify:user:emberg547,2019-04-09T20:37:48Z,"boy band,dance pop,pop,post-teen pop",0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,4
6epn3r7S14KUqlReYr77hA,"1uNFoZAHBGtllmzznpCI3s,3ipn9JLAPI5GUEo4y4jcoi","Baby","My World 2.0","Justin Bieber,Ludacris",2010-01-01,214240,82,spotify:user:emberg547,2019-04-09T20:39:41Z,"canadian pop,pop,atl hip hop,dirty south rap,hip hop,old school atlanta hip hop,pop rap,rap,southern hip hop,trap",0.728,0.859,5,-5.237,0,0.137,0.0401,0,0.111,0.535,65.043,4
1rDklEm1rIKphZ7EvWinHm,"105Paee9vmV5rfLSG652e1,5ITJs06INM9JWxK5hROEj3","Your Song - From Moulin Rouge Soundtrack","Moulin Rouge","Ewan McGregor,Alessandro Safina",2001-01-01,218800,51,spotify:user:emberg547,2019-04-10T11:59:45Z,"hollywood,italian tenor,operatic pop",0.277,0.331,5,-9.292,1,0.0373,0.515,0.0000626,0.111,0.256,133.233,4
3KkXRkHbMCARz0aVfEt68P,"246dkjvS1zLTtiykXe5h60,1zNqQNIdeOUZHb8zbZRFMX","Sunflower - Spider-Man: Into the Spider-Verse","Spider-Man: Into the Spider-Verse (Soundtrack From & Inspired by the Motion Picture)","Post Malone,Swae Lee",2018-12-14,158040,87,spotify:user:emberg547,2019-04-10T11:59:53Z,"dfw rap,melodic rap,rap,trap",0.76,0.479,2,-5.574,1,0.0466,0.556,0,0.0703,0.913,89.911,4
5Q0Nhxo0l2bP3pNjpGJwV1,"5YGY8feqx7naU7z4HrwZM6","Party In The U.S.A.","The Time Of Our Lives","Miley Cyrus",2009-01-01,202066,75,spotify:user:emberg547,2019-04-10T12:00:05Z,"dance pop,pop,post-teen pop",0.652,0.698,10,-4.667,0,0.042,0.00112,0.000115,0.0886,0.47,96.021,4
3LUWWox8YYykohBbHUrrxd,"6LqNN22kT3074XbTVUrhzX","We R Who We R","Cannibal (Expanded Edition)","Kesha",2010-11-19,204760,74,spotify:user:emberg547,2019-04-10T12:00:14Z,"dance pop,electropop,pop,post-teen pop",0.736,0.817,8,-4.9,1,0.0407,0.00987,0.00167,0.117,0.653,119.95,4
4NzMOnvSJVNKF7nw5NkXIP,"6qqNVTkY8uBg9cP3Jd7DAH","bury a friend","bury a friend","Billie Eilish",2019-01-30,193143,1,spotify:user:emberg547,2019-04-10T12:01:04Z,"art pop,electropop,pop",0.905,0.389,8,-14.505,1,0.332,0.74,0.162,0.106,0.196,120.046,4
5hTpBe8h35rJ67eAWHQsJx,"3Gm5F95VdRxW3mqCn8RPBJ","Caroline","Good For You","Aminé",2017-07-28,209640,78,spotify:user:emberg547,2019-04-10T12:01:32Z,"hip hop,pop,portland hip hop,rap,underground hip hop",0.94,0.335,5,-10.179,0,0.505,0.17,0,0.262,0.707,120.04,4
0qy5D3OJre7SPJNMOL9I71,"5M0lbkGluOPXLeFjApw8r8,6icQOAFXDZKsumw3YXyusw","Broccoli","Broccoli","Shelley FKA DRAM,Lil Yachty",2016-04-06,225205,67,spotify:user:emberg547,2019-04-10T12:01:39Z,"alternative r&b,pop rap,rap,virginia hip hop,atl hip hop,hip hop,melodic rap,trap,underground hip hop,viral rap",0.886,0.525,8,-7.39,1,0.132,0.236,0,0.057,0.708,145.99,4
5OMwQFBcte0aWFJFqrr5oj,"6LqNN22kT3074XbTVUrhzX","TiK ToK","Animal","Kesha",2010,199693,0,spotify:user:emberg547,2019-04-10T12:02:01Z,"dance pop,electropop,pop,post-teen pop",0.755,0.832,2,-2.741,0,0.116,0.0746,0.00000127,0.291,0.735,120.032,4
6mnjcTmK8TewHfyOp3fC9C,"6LqNN22kT3074XbTVUrhzX","Die Young","Warrior (Deluxe Version)","Kesha",2012-11-30,211920,0,spotify:user:emberg547,2019-04-10T12:02:06Z,"dance pop,electropop,pop,post-teen pop",0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,4
5uDASfU19gDxSjW8cnCaBp,"2hWs22BmQkK4czFtDLnar2,1rs3y69kDwkIdGJcOYngQt,5ewJHfiGNQJjmKHzLjcojz","Chill Bill (feat. J. Davi$ & Spooks)","Chill Bill (feat. J. Davi$ & Spooks)","Rob $tone,J. Davi$,Spooks",2016-06-17,177184,79,spotify:user:emberg547,2019-04-10T12:02:26Z,"san diego rap",0.886,0.427,6,-10.028,1,0.145,0.0312,0.00099,0.0906,0.23,108.034,4
6qMXubogFdMrvVMJwqATzd,"0HjYETXAvcL6mzaKjAmH2K,1dfpwerOGBId6qD7LVwpoB","Jordan Belfort","Jordan Belfort","Wes Walker,Dyl",2015-08-26,207911,68,spotify:user:emberg547,2019-04-10T12:02:46Z,"viral trap",0.86,0.719,11,-4.325,0,0.33,0.125,0,0.0799,0.496,160.049,4
1D066zixBwqFYqBhKgdPzp,"3r17AfJCCUqC9Lf0OAc73G,085pc2PYOi8bGKj0PNjekA","Fergalicious","The Dutchess","Fergie,will.i.am",2006-01-01,292373,73,spotify:user:emberg547,2019-04-10T12:05:27Z,"dance pop,pop,post-teen pop,urban contemporary,pop rap",0.906,0.584,8,-7.72,0,0.316,0.0576,0,0.128,0.831,129.055,4
0iYebKFUSfF72fUu2OW6ZT,"0hCNtLu0JehylgoiP8L4Gh","Super Bass","Pink Friday (Deluxe)","Nicki Minaj",2010-01-01,200013,2,spotify:user:emberg547,2019-04-10T12:05:32Z,"dance pop,hip pop,pop,pop rap,queens hip hop",0.72,0.861,11,-4.339,1,0.209,0.269,0.00000511,0.601,0.669,126.991,4
3Fj47GNK2kUF0uaEDgXLaD,"6qqNVTkY8uBg9cP3Jd7DAH","wish you were gay","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,221543,79,spotify:user:emberg547,2019-04-10T12:05:57Z,"art pop,electropop,pop",0.853,0.351,7,-10.198,1,0.241,0.39,0.00000938,0.752,0.282,118.028,4
2Fxmhks0bxGSBdJ92vM42m,"6qqNVTkY8uBg9cP3Jd7DAH","bad guy","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,194087,87,spotify:user:emberg547,2019-04-10T12:06:02Z,"art pop,electropop,pop",0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,4
