Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7LZgdL0MxiElfaKZbuuE4l,"3yY2gUcIsjMr8hjo51PoJ8","Asleep - 2011 Remaster","Louder Than Bombs","The Smiths",1987,253560,64,spotify:user:emberg547,2020-03-17T20:44:24Z,"madchester,new wave,permanent wave,rock,uk post-punk",0.512,0.255,0,-15.867,1,0.0291,0.88,0.532,0.146,0.215,115.144,3
58AWfmYbSeMywgJtXkey7Q,"0WPY9nnBy01s5QOt4o4oQX","Vapour Trail - 2001 Remaster","Nowhere (Expanded)","Ride",1990-10-15,257666,52,spotify:user:emberg547,2020-03-17T20:45:06Z,"alternative rock,britpop,dream pop,new wave,noise pop,oxford indie,shoegaze",0.428,0.802,4,-5.682,1,0.0304,0.000636,0.778,0.0944,0.428,107.527,4
3g2fYZW5v2od8KIF7VktT0,"70cRZdQywnSFp9pnc2WTCE","Scarborough Fair / Canticle","Parsley, Sage, Rosemary And Thyme","Simon & Garfunkel",1966-10-10,190346,63,spotify:user:emberg547,2020-03-17T20:45:22Z,"classic rock,folk,folk rock,melancholia,mellow gold,rock",0.336,0.248,2,-15.626,1,0.0324,0.65,0,0.113,0.298,128.548,3
78ZqE2tjAxbqEGGlvGnQfT,"0GbqW5TJr7n4is453VOY4C","A Whiter Shade of Pale - Original Single Version","Hits'n'Flips","Procol Harum",2019-05-03,248946,71,spotify:user:emberg547,2020-03-17T20:45:37Z,"album rock,art rock,blues rock,british invasion,classic rock,folk rock,progressive rock,psychedelic rock,symphonic rock",0.249,0.66,0,-6.905,1,0.0342,0.504,0.0026,0.0891,0.435,149.813,4
2Q8kCpA08VCLRiJY1Tonxa,"5c3GLXai8YOMid29ZEuR9y","Time Of No Reply","The John Peel Session","Nick Drake",2014-11-09,162093,42,spotify:user:emberg547,2020-03-17T20:46:16Z,"british folk,folk,folk rock,melancholia,rock,singer-songwriter",0.612,0.331,7,-14.214,1,0.0416,0.915,0.831,0.1,0.612,118.567,4
5NQYyej46WQkgCbnzGD21W,"3WrFJ7ztbogyGnTHbHJFl2","Dear Prudence - Remastered 2009","The Beatles (Remastered)","The Beatles",1968-11-22,235773,65,spotify:user:emberg547,2020-03-17T20:46:35Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.388,0.529,7,-10.533,1,0.0436,0.16,0.0681,0.108,0.332,150.721,4
0FCKHuRofhl0Z1dvP7BHo1,"3X0tJzVYoWlfjLYI0Ridsw","Gypsy","Close-Up, Vol. 1: Love Songs","Suzanne Vega",2010-02-02,249773,0,spotify:user:emberg547,2020-03-17T20:47:09Z,"lilith,new wave pop,permanent wave,pop rock,singer-songwriter",0.497,0.192,9,-14.784,1,0.0319,0.928,0.0000351,0.0975,0.535,140.047,4
6L5BZEcZmD6RBJnimzlyKr,"5BcZ22XONcRoLhTbZRuME1","Nights In White Satin - Single Version / Mono","Days Of Future Passed (Deluxe Version)","The Moody Blues",1967-11-10,269106,72,spotify:user:emberg547,2020-03-17T20:47:23Z,"album rock,art rock,blues rock,british invasion,classic rock,country rock,flute rock,folk,folk rock,hard rock,mellow gold,progressive rock,psychedelic rock,rock,soft rock,symphonic rock",0.195,0.483,4,-4.991,0,0.03,0.465,0.497,0.0686,0.173,84.71,4
2SR4HVHgDCinAYDVeo3Q2e,"40Yq4vzPs9VNUrIBG5Jr2i","Daydream - Remastered 2011","Gish (Deluxe Edition)","The Smashing Pumpkins",1991,187506,41,spotify:user:emberg547,2020-03-17T20:47:48Z,"alternative metal,alternative rock,grunge,permanent wave,pop rock,rock",0.473,0.376,1,-15.901,0,0.0322,0.634,0.0304,0.108,0.0775,86.901,4
5Pkw0W8pxYi52uSRk3QlYI,"3CkvROUTQ6nRi9yQOcsB50","Dusk","Trespass","Genesis",1970-10-23,254466,35,spotify:user:emberg547,2020-03-17T20:48:03Z,"album rock,art rock,classic rock,mellow gold,progressive rock,rock,soft rock,symphonic rock",0.265,0.159,11,-20.501,1,0.0314,0.886,0.0235,0.118,0.123,88.352,4
4z8mVrBIdpu3Og33nAIrC3,"51Blml2LZPmy7TTiAg47vQ","MLK","The Unforgettable Fire","U2",1984-10-01,152160,27,spotify:user:emberg547,2020-03-17T20:48:13Z,"irish rock,permanent wave,rock",0.196,0.0466,7,-21.61,1,0.0312,0.537,0,0.0875,0.0757,85.659,1
5jgFfDIR6FR0gvlA56Nakr,"3WrFJ7ztbogyGnTHbHJFl2","Blackbird - Remastered 2009","The Beatles (Remastered)","The Beatles",1968-11-22,138386,76,spotify:user:emberg547,2020-03-17T20:48:25Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.686,0.127,7,-14.361,1,0.0342,0.754,0.0000141,0.0573,0.372,93.699,4
5ihS6UUlyQAfmp48eSkxuQ,"08GQAI4eElDnROBrJRGE0X","Landslide","Fleetwood Mac","Fleetwood Mac",1975-07-11,199493,79,spotify:user:emberg547,2020-03-17T20:48:38Z,"album rock,classic rock,mellow gold,rock,soft rock,yacht rock",0.414,0.161,7,-22.32,0,0.0318,0.883,0.000223,0.117,0.423,159.375,4
