Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
51NFxnQvaosfDDutk0tams,"6qqNVTkY8uBg9cP3Jd7DAH","bellyache","Bellyache","Billie Eilish",2017-02-24,179172,78,spotify:user:emberg547,2018-07-22T07:53:26Z,"art pop,electropop,pop",0.695,0.573,4,-8.597,0,0.106,0.46,0.0734,0.482,0.408,99.939,4
3kxfsdsCpFgN412fpnW85Y,"73sIBHcqh3Z3NyqHKZ7FOL","Redbone","Awaken, My Love!","Childish Gambino",2016-12-02,326933,2,spotify:user:emberg547,2018-07-22T14:39:50Z,"atl hip hop,hip hop,pop,pop rap,rap",0.745,0.356,1,-10.425,1,0.0941,0.172,0.00943,0.123,0.607,160.033,4
4j3GWI86JvSaF0BLdmgcfF,"73sIBHcqh3Z3NyqHKZ7FOL","Summertime Magic","Summer Pack","Childish Gambino",2018-07-11,213600,67,spotify:user:emberg547,2018-07-22T14:45:49Z,"atl hip hop,hip hop,pop,pop rap,rap",0.76,0.579,0,-7.374,1,0.0567,0.0127,0.00344,0.106,0.129,100.011,4
0g3Vm5xbQsDslbTeN9SwEb,"11nbBcaBk8uXBPQsc3Sq9p","Making All Things New","Making All Things New","Aaron Espe",2015-10-23,159600,0,spotify:user:emberg547,2018-07-23T13:13:46Z,"indiecoustica,stomp and flutter",0.787,0.343,0,-11.413,1,0.0298,0.895,0.0275,0.11,0.47,100.007,4
0PZLSFZUf910nZ9qFtQqAf,"14dULnNGmLKnS59BzNrHi4","Dreamer","Isbells","Isbells",2009-12-06,265013,0,spotify:user:emberg547,2018-07-23T13:17:59Z,"belgian indie,belgian rock",0.629,0.383,8,-13.195,1,0.044,0.735,0.0259,0.0928,0.421,154.001,4
1WvRxjDesc8qkTwYQO55gI,"4SOtk3HtPYKqxnVuxNBMti","It'll Work Itself Out","They Are Going Away","Donovan Woods",2017-03-03,182805,0,spotify:user:emberg547,2018-07-23T13:22:40Z,"acoustic pop,canadian singer-songwriter,deep new americana,indie folk,indiecoustica,neo mellow,new americana,stomp and holler",0.625,0.432,5,-12.19,1,0.0313,0.108,0.00304,0.0995,0.538,98.002,4
5BMwpS4iYKR30kq9U9beaT,"6kXm2YCtdUOpRYNKeKhfue","City Of Stars","La La Land (Original Motion Picture Soundtrack)","Ryan Gosling",2016-12-09,111240,64,spotify:user:emberg547,2018-07-23T13:29:28Z,"hollywood",0.585,0.0809,6,-19.346,0,0.0523,0.954,0.0233,0.0935,0.204,98.379,4
0zswVEAFordAn8lbrgWsb6,"2XdtmipGVPmA62ptDgX8QC","Real Peach","Real Peach","Henry Jamison",2016-08-17,233289,0,spotify:user:emberg547,2018-07-23T13:29:47Z,"indie anthem-folk,indie folk,new americana,pop folk,stomp and holler,vermont indie",0.579,0.559,1,-7.338,1,0.0325,0.398,0.000206,0.0817,0.328,151.985,4
77vpyfnzo1ROWQERRRe21h,"3Dd1WVQvZUgyi9XEqOIPhA","All Is Well","All Is Well","Austin Basham",2014-11-10,256681,0,spotify:user:emberg547,2018-07-23T13:35:58Z,"indie folk",0.34,0.419,11,-12.244,1,0.0337,0.859,0.00211,0.141,0.263,99.938,4
2fSIF8CJhoc9CJhF9vJDXp,"6DoH7ywD5BcQvjloe9OcIj","Jolene","Trouble","Ray LaMontagne",2004-08-15,250866,64,spotify:user:emberg547,2018-07-23T13:45:40Z,"acoustic pop,indie folk,neo mellow,new americana,pop rock,stomp and holler",0.588,0.142,7,-15.196,1,0.0329,0.863,0.000162,0.0953,0.288,119.656,4
2sEq2rC3ynYsT49x7utWnd,"3cR4rhS2hBWqI7rJEBacvN,4aXXDj9aZnlshx7mzj3W1N","Dear Theodosia","Hamilton (Original Broadway Cast Recording)","Leslie Odom Jr.,Lin-Manuel Miranda",2015-09-25,184004,69,spotify:user:emberg547,2018-07-23T13:50:26Z,"broadway,hollywood,show tunes,vocal jazz",0.598,0.221,9,-10.484,1,0.0303,0.907,0.0000419,0.0723,0.274,106.771,4
2if6QiLvbXVKSszehXtgwg,"33kge1mmCkHoYWJ4kJe6BC","I Shall Cross This River","Reverence for Fallen Trees","The Black Atlantic",2009-08-21,201040,0,spotify:user:emberg547,2018-07-23T13:51:37Z,"dutch indie",0.558,0.0991,9,-18.512,1,0.0353,0.979,0.0183,0.0981,0.0562,119.127,4
4JKHACLkotsxdKNF9vJYOS,"2m1l9MLSslzup4vvokKgvQ","Nothing Arrived - Live from Spotify London","Spotify Sessions","Villagers",2013-02-18,219093,0,spotify:user:emberg547,2018-07-23T13:54:42Z,"chamber pop,indie folk,indie rock,stomp and holler",0.579,0.415,7,-11.599,1,0.0397,0.929,0.0018,0.671,0.42,102.713,4
1iepnn71MidOJZ7Y3vfgE4,"5Bcrb5qQMVTEbJ43fdIS4A","People Change","Edges Run","Mipso",2018-04-06,212853,3,spotify:user:emberg547,2018-07-23T14:19:29Z,"deep new americana,new americana,north carolina roots,progressive bluegrass,stomp and holler",0.374,0.276,7,-14.945,1,0.0353,0.884,0.0123,0.122,0.412,80.169,4
250RLekaiL1q9qZer975Eg,"3Lg3FGwBxOGuefqekQzRUf","If We Were Vampires","The Nashville Sound","Jason Isbell and the 400 Unit",2017-06-16,215563,68,spotify:user:emberg547,2018-07-24T12:07:39Z,"alternative country,deep new americana,folk,new americana,roots rock,stomp and holler",0.629,0.208,5,-16.225,1,0.0324,0.824,0.0000037,0.107,0.685,96.609,4
02a2RQEICEzbdPPYh0aLnJ,"0CdbG1eHVjqjkQsGoH2u1V","My Arms Were Always Around You","My Arms Were Always Around You","Peter Bradley Adams",2017-03-31,200800,58,spotify:user:emberg547,2018-07-24T12:07:45Z,"acoustic pop,indie folk,indiecoustica,neo mellow,new americana,stomp and holler",0.643,0.436,1,-12.245,1,0.0273,0.724,0.459,0.11,0.422,91.485,4
0xtIp0lgccN85GfGOekS5L,"5INjqkS1o8h1imAzPqGZBb","Yes I'm Changing","Currents","Tame Impala",2015-07-17,270680,72,spotify:user:emberg547,2018-07-24T12:19:50Z,"australian psych,neo-psychedelic",0.373,0.609,0,-7,1,0.0316,0.108,0.000427,0.0755,0.354,179.955,4
