Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7mLIL4OdNdwFcGNlTcWa0c,"2hR4h1Cao2ueuI7Cx9c7V8","Talk to Me","Dear.","Cavetown",2018-06-29,277327,0,spotify:user:emberg547,2019-01-06T21:05:17Z,"bedroom pop,indie pop",0.626,0.323,4,-9.607,1,0.0339,0.667,0,0.0605,0.234,130.086,4
36DcfX0BSdwNHPqsBPQ1AH,"02YLJJnWC7YQVixkjEBRn7","La Lune","La Lune","Billie Marten",2016-06-17,188426,47,spotify:user:emberg547,2019-01-06T21:08:33Z,"art pop,british singer-songwriter,indie anthem-folk,indie folk,indie pop",0.337,0.338,2,-12.073,1,0.0364,0.878,0.000934,0.116,0.0958,158.786,3
5rIVvxrkGWLGYV4UrEh1WE,"7dEFLdpxjmqhnv5ePvCTP7,032KwgTrwjRFmANQ7R0oKX","Feeling Good","Feeling Good","Madson Project.,Ok2222",2018-04-21,141111,39,spotify:user:emberg547,2019-01-06T21:23:07Z,"lo-fi chill,lo-fi beats",0.664,0.323,9,-10.599,1,0.116,0.856,0.167,0.0942,0.346,109.55,4
1HiMCREUZS570hU1PHwWms,"0botW5W7KGHTm8BkLemEH8","Disco Girl","Cold Blood Magic","Parks, Squares and Alleys",2018-01-26,271000,28,spotify:user:emberg547,2019-01-06T21:34:29Z,"modern dream pop,russian shoegaze",0.867,0.33,10,-11.053,1,0.0455,0.081,0.000167,0.108,0.443,100.014,4
5KO53tfiVN6daF4w6twc63,"04vj3iPUiVh5melWr0w3xT","5 dollars","Chris","Christine and the Queens",2018-09-21,208293,48,spotify:user:emberg547,2019-01-06T21:38:41Z,"art pop,electro-pop francais,electropop,metropopolis,shimmer pop",0.726,0.654,2,-6.201,1,0.0423,0.424,0,0.0668,0.624,129.013,4
1175r6ZmkUjX8dRJLz9Ohk,"027TpXKGwdXP7iwbjUSpV8","I Love You So","Songs for Dads","The Walters",2014-11-28,160253,71,spotify:user:emberg547,2019-01-06T21:40:28Z,"chicago indie,indie pop",0.578,0.669,10,-4.898,1,0.0377,0.65,0,0.13,0.503,75.995,4
0cXRafInOlc1QH519RXltN,"4Uc8Dsxct0oMqx0P6i60ea","Idle Town","Sunset Season","Conan Gray",2018-11-16,237920,65,spotify:user:emberg547,2019-01-06T21:47:57Z,"bedroom pop,electropop,indie pop,pop",0.606,0.478,7,-6.035,1,0.0276,0.872,0.0000202,0.106,0.266,77.086,4
2RUhtNBh43RtSg0WBPPq3m,"1GLtl8uqKmnyCWxHmw9tL4","Naive","Inside In / Inside Out","The Kooks",2006-01-01,203506,63,spotify:user:emberg547,2019-01-08T00:53:54Z,"brighton indie,modern rock,rock",0.547,0.816,8,-6.165,0,0.0624,0.0688,0,0.127,0.722,102.765,4
1YUcTZ0ehoHY6G6Prhcbj0,"3XHO7cRUPCLOr6jwp8vsx5","Warm Foothills","This Is All Yours","alt-J",2014-09-22,225017,52,spotify:user:emberg547,2019-01-14T00:23:48Z,"indie rock,modern rock",0.274,0.209,2,-16.158,1,0.0411,0.913,0.0968,0.0978,0.0661,92.997,4
0lgScP4Sc9teQbV8TBJac6,"1KP6TWI40m7p3QBTU6u2xo","Sweet Dreams","Blue Madonna","BØRNS",2018-01-12,199767,55,spotify:user:emberg547,2019-01-14T01:18:03Z,"modern rock,pop",0.623,0.534,11,-6.678,1,0.0315,0.0427,0.0000824,0.119,0.387,91.997,4
7pegxVesMmE2qK0o58xoFG,"5J81VungUjSVHxlPpTI9KG","Homage","Skiptracing","Mild High Club",2016-08-26,177493,11,spotify:user:emberg547,2019-01-17T04:00:57Z,"indie garage rock,neo-psychedelic",0.546,0.468,5,-8.167,1,0.0287,0.153,0.00257,0.321,0.416,73.372,4
5mTJcvxRxq3uF5wUjjciDw,"3WGpXCj9YhhfX11TToZcXP","Lucky Strike","Bloom","Troye Sivan",2018-08-31,208967,0,spotify:user:emberg547,2019-01-17T04:01:01Z,"australian pop,dance pop,electropop,pop,viral pop",0.612,0.694,2,-7.363,1,0.0514,0.579,0,0.0914,0.564,103.031,4
7taz0xlj0NuYGIKEsDn9ok,"02mmPJCzXVNykiTwDgD5Pu","Better Off This Way","Better Off This Way","Bruce Wiegner",2019-01-24,210000,0,spotify:user:emberg547,2019-02-23T05:45:00Z,"",0.668,0.48,5,-9.143,1,0.0674,0.183,0,0.106,0.428,142.972,4
297rZsBEjFw9d0Gl3iBLnd,"4iMO20EPodreIaEl8qW66y","Goodie Bag","Goodie Bag","Still Woozy",2017-11-05,146390,1,spotify:user:emberg547,2019-06-14T13:08:58Z,"bedroom pop,modern rock,oakland indie",0.701,0.529,7,-12.242,0,0.147,0.82,0.00113,0.249,0.577,138.216,4
19JzJOMs4wkuKxY8WEOMea,"2b0aKuno01NxPWVCUVIEc8","this girl","Gentle Boy","Elijah Who",2017-09-29,122704,67,spotify:user:emberg547,2019-09-05T22:31:22Z,"lo-fi beats,lo-fi rap,sad lo-fi",0.79,0.133,8,-9.365,1,0.0915,0.875,0.808,0.111,0.422,69.997,4
6iGWH4PRPDwtN9NydaHK8b,"2hR4h1Cao2ueuI7Cx9c7V8","Fool","Lemon Boy","Cavetown",2018-01-01,233785,0,spotify:user:emberg547,2020-01-27T19:04:17Z,"bedroom pop,indie pop",0.671,0.464,1,-9.277,1,0.149,0.0632,0.073,0.0711,0.131,79.509,4
0KyAGiNGUytG5JLxJu4F6l,"3l0CmX0FuQjFxr8SK7Vqag","Pretty Girl","Pretty Girl","Clairo",2017-08-04,178352,80,spotify:user:emberg547,2020-01-27T19:04:29Z,"bedroom pop,indie pop,pop",0.93,0.611,0,-4.406,1,0.0415,0.593,0.00124,0.0592,0.695,112.127,4
4EpZ4eYuZOwPSSwyqpdHnJ,"7pbDxGE6nQSZVfiFdq9lOL","Sunflower","Sunflower","Rex Orange County",2017-03-22,252230,80,spotify:user:emberg547,2020-01-27T19:04:31Z,"bedroom pop,pop",0.384,0.765,6,-4.463,1,0.0579,0.646,0.00352,0.522,0.567,129.903,4
0sHFw13WH3LtSB3yP8UMYJ,"7gvbCoLA8lJUktp8G2xIRR,0HthCchcL0kVLHTr113Vk1","Falling for U","Falling for U","Peachy!,mxmtoon",2017-08-14,124000,4,spotify:user:emberg547,2020-01-27T19:04:32Z,"lo-fi beats,sad lo-fi,alt z,bedroom pop,indie pop,pop",0.516,0.358,8,-12.018,0,0.424,0.743,0.0000013,0.0813,0.397,79.509,4
76tGvMdmFKuiMew33ZNNA9,"2Tglaf8nvDzwSQnpSrjLHP","Lover Is a Day","Wannabewithu","Cuco",2016-07-09,456000,76,spotify:user:emberg547,2020-01-27T19:04:35Z,"bedroom pop,dream pop",0.406,0.647,3,-10.453,1,0.0413,0.0427,0.193,0.1,0.344,180.044,4
2zPcVDSpYNVKQ5c7jR7MXj,"3uwAm6vQy7kWPS2bciKWx9","summer depression","summer depression","girl in red",2018-03-03,151693,73,spotify:user:emberg547,2020-01-27T19:04:36Z,"bedroom pop,bubblegrunge,indie pop,norwegian indie,pop",0.691,0.306,9,-15.651,1,0.0544,0.632,0.479,0.108,0.62,129.929,4
79e2GU4RLPjAqnijfvsXYr,"4Uc8Dsxct0oMqx0P6i60ea","Generation Why","Sunset Season","Conan Gray",2018-11-16,219680,68,spotify:user:emberg547,2020-01-27T19:04:36Z,"bedroom pop,electropop,indie pop,pop",0.561,0.684,9,-8.235,1,0.0669,0.347,0.00000293,0.122,0.528,81.977,4
5Ss6DqCldgTmIo6BekVOJT,"5BCnLrqpwYtufR1bDWn0hG","You Say I'm in Love","You Say I'm in Love","Banes World",2017-01-26,176760,68,spotify:user:emberg547,2020-01-27T19:04:38Z,"bedroom pop,indie garage rock",0.625,0.285,1,-16.686,0,0.0537,0.438,0.00279,0.192,0.357,140.02,4
0ZK8TGOsngrstVPsnrHbK1,"6fC2AcsQtd9h4BWELbbire","Peach Pit","Sweet FA","Peach Pit",2018-06-27,287080,66,spotify:user:emberg547,2020-01-27T19:04:38Z,"indie pop,modern rock,rock,vancouver indie",0.515,0.804,6,-5.345,0,0.0398,0.00322,0.00229,0.149,0.298,123.969,4
4zvHZWOGyL7WcmqHOgtGCW,"7wbkl3zgDZEoZer357mVIw","Everytime","Roy Pablo","boy pablo",2017-05-19,172941,69,spotify:user:emberg547,2020-01-27T19:04:40Z,"bedroom pop,bergen indie,indie pop,norwegian indie",0.431,0.663,2,-10.066,1,0.0351,0.0249,0.0397,0.117,0.855,203.908,4
4cJOLN346rtOty3UPACsao,"2sSGPbdZJkaSE2AbcGOACx","I Don't Know You","I Don't Know You","The Marías",2017-06-14,209449,67,spotify:user:emberg547,2020-01-27T19:04:40Z,"bedroom pop,indie pop,la indie",0.884,0.333,9,-9.753,0,0.0617,0.293,0.0205,0.103,0.587,118.065,4
2TI2fw9FWPeah6N4k1b4NU,"2hR4h1Cao2ueuI7Cx9c7V8","This Is Home","This Is Home","Cavetown",2015-08-03,226073,0,spotify:user:emberg547,2020-01-27T19:04:40Z,"bedroom pop,indie pop",0.81,0.266,7,-12.478,1,0.0407,0.56,0.00000105,0.0962,0.212,130.041,4
1F6IbA7di42uPc3cff8PXV,"3l0CmX0FuQjFxr8SK7Vqag","Flaming Hot Cheetos","Flaming Hot Cheetos","Clairo",2017-06-14,123884,79,spotify:user:emberg547,2020-01-27T19:04:41Z,"bedroom pop,indie pop,pop",0.817,0.551,7,-9.33,0,0.133,0.865,0.000151,0.101,0.142,109.966,4
0ZTjo2BjVAicpu6LRusfeg,"2hR4h1Cao2ueuI7Cx9c7V8","Lemon Boy","Lemon Boy","Cavetown",2018-01-01,272902,0,spotify:user:emberg547,2020-01-27T19:04:42Z,"bedroom pop,indie pop",0.507,0.478,4,-10.054,1,0.0396,0.184,0.00000162,0.0891,0.318,139.927,4
6GGdkwYk4NXuiIcQD16AZg,"0HthCchcL0kVLHTr113Vk1","feelings are fatal","plum blossom","mxmtoon",2018-12-07,124853,69,spotify:user:emberg547,2020-01-27T19:04:43Z,"alt z,bedroom pop,indie pop,pop",0.545,0.169,0,-16.249,1,0.132,0.908,0,0.0942,0.482,98.225,4
3h3pOvw6hjOvZxRUseB7h9,"3uwAm6vQy7kWPS2bciKWx9","i wanna be your girlfriend","i wanna be your girlfriend","girl in red",2018-03-02,204990,81,spotify:user:emberg547,2020-01-27T19:04:43Z,"bedroom pop,bubblegrunge,indie pop,norwegian indie,pop",0.54,0.381,7,-14.323,1,0.0347,0.0217,0.000687,0.305,0.343,155.882,4
47Bg6IrMed1GPbxRgwH2aC,"7pbDxGE6nQSZVfiFdq9lOL","Best Friend","Best Friend","Rex Orange County",2017-01-25,262231,81,spotify:user:emberg547,2020-01-27T19:04:43Z,"bedroom pop,pop",0.575,0.714,6,-5.247,1,0.0596,0.395,0,0.115,0.32,144.982,4
