Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7svpAkwc6xaSxlbZ7V7JiS,"0pg0Zm8FsGAYy5kdHuBnSo","i was all over her","melanchole","salvia palth",2013-01-01,161462,79,spotify:user:emberg547,2020-03-22T17:54:22Z,"indie pop,lo-fi emo,lo-fi indie,slowcore,small room",0.529,0.353,7,-12.835,1,0.0292,0.788,0.853,0.116,0.0601,104.557,4
2XUr5R4NSpALxUwpPdqmwh,"57SA5Qv24Vydwd6bJnV8fI","Get Away","Get Away","Kid Trunks",2019-12-03,128064,34,spotify:user:emberg547,2020-03-22T17:55:37Z,"asian american hip hop,dark trap,underground hip hop,vapor trap",0.804,0.376,9,-10.438,0,0.534,0.573,0.000153,0.0828,0.372,150.112,4
1B9i3NrezfT8SVD3wM6QvK,"6oeSQ4qmDQ7n89Rdt6tLLn,1t9KewtUvFMq6q7FRX1nHC,2RKb9P7ELTmQMAvKEZSJr2","Halve-Life","SKIN","Rav,Kill Bill: The Rapper,Scuare",2020-02-26,344808,42,spotify:user:emberg547,2020-03-22T17:56:10Z,"lo-fi rap,meme rap",0.428,0.719,11,-7.122,0,0.117,0.75,0,0.624,0.559,82.161,4
2OFrAsP5Vrcb0DtsPNsm54,"3Sz7ZnJQBIHsXLUSo0OQtM","My Kind of Woman","2","Mac DeMarco",2012-10-16,190845,40,spotify:user:emberg547,2020-03-22T17:56:47Z,"edmonton indie,lo-fi indie",0.501,0.765,6,-7.063,0,0.0281,0.00294,0.49,0.184,0.46,91.769,4
6rqj2zeKhLy3exkuFi6mSz,"4V8LLVI7PbaPR0K2TGSxFF","Answer","Wolf","Tyler, The Creator",2013-04-01,230066,67,spotify:user:emberg547,2020-03-22T17:57:04Z,"hip hop,rap",0.352,0.838,8,-6.465,0,0.0496,0.00329,0.00000574,0.115,0.475,72.291,4
5aXgz1oKK8Q9z9xvTmSnrO,"6Xgp2XMz1fhVYe7i6yNAax","Topanga","A Love Letter To You 3","Trippie Redd",2018-11-09,215364,73,spotify:user:emberg547,2020-03-22T17:57:12Z,"melodic rap,rap,trap",0.755,0.615,4,-8.245,1,0.0454,0.00587,0.00000175,0.109,0.039,105.955,4
606F3qdYCXtDVtKN53YsuW,"3MZsBdqDrRTJihTHQrO6Dq","I'LL SEE YOU IN 40","BALLADS 1","Joji",2018-10-26,253780,63,spotify:user:emberg547,2020-03-22T17:57:30Z,"alternative r&b,viral pop",0.411,0.377,3,-9.553,1,0.0296,0.347,0.765,0.222,0.0321,139.881,4
1nXZnTALNXiPlvXotqHm66,"4V8LLVI7PbaPR0K2TGSxFF","A BOY IS A GUN*","IGOR","Tyler, The Creator",2019-05-17,210253,74,spotify:user:emberg547,2020-03-22T17:57:52Z,"hip hop,rap",0.417,0.689,2,-8.302,0,0.178,0.575,0,0.496,0.505,79.568,4
5NBwUkF6megAVibpshbj4H,"4V8LLVI7PbaPR0K2TGSxFF","Tron Cat","Goblin","Tyler, The Creator",2011-05-09,253746,0,spotify:user:emberg547,2020-03-22T17:58:04Z,"hip hop,rap",0.632,0.634,8,-8.415,1,0.274,0.0302,0,0.153,0.388,81,4
6LdqQr5vqYsIkqpt5eRvX5,"2YSzmcSn7vQaFiB2B5LpCB","Yours","MOJO","Evann McIntosh",2019-10-07,286406,0,spotify:user:emberg547,2020-03-25T08:33:51Z,"chill r&b",0.45,0.179,0,-10.996,1,0.0331,0.917,0,0.0969,0.262,66.223,4
