Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7Lbxvt42JsNSKVCaN63qhD,"4STHEaNw4mPZ2tzheohgXB","Wonderful Christmastime [Edited Version] - Remastered 2011 / Edited Version","McCartney II (Special Edition)","Paul McCartney",1980-05-16,227653,57,spotify:user:emberg547,2018-11-25T16:15:02Z,"album rock,beatlesque,classic rock,mellow gold,rock,soft rock",0.774,0.511,11,-8.914,1,0.0319,0.322,0,0.0672,0.771,94.736,4
3zJw3rugfpVrmBeDDnUYzy,"4x1nvY2FN8jxqAFA0DA02H,0vneleczrRRNPF1vj0x0vy,4m2kfAHEnK7Z7qLGxeWtro,2s4tjL6W3qrblOe0raIzwJ","Happy Xmas (War Is Over) - Remastered 2010","Power To The People - The Hits","John Lennon,The Harlem Community Choir,The Plastic Ono Band,Yoko Ono",2010-10-04,213880,18,spotify:user:emberg547,2018-11-25T16:15:21Z,"album rock,beatlesque,classic rock,mellow gold,rock,experimental rock,experimental,experimental pop",0.328,0.607,2,-11.076,1,0.0315,0.318,0,0.765,0.395,146.537,3
2FRnf9qhLbvw8fu4IBXx78,"5lpH0xAS4fVfLkACg9DAuM","Last Christmas","LAST CHRISTMAS","Wham!",1984-11-29,262960,96,spotify:user:emberg547,2018-11-25T16:23:07Z,"new romantic,new wave pop,soft rock",0.735,0.478,2,-12.472,1,0.0293,0.189,0.00000248,0.355,0.947,107.682,4
0bYg9bo50gSsH3LtXe2SQn,"4iHNK0tOyZPYnBU7nGAgpQ","All I Want for Christmas Is You","Merry Christmas","Mariah Carey",1994-11-01,241106,100,spotify:user:emberg547,2018-11-25T16:23:09Z,"dance pop,pop,urban contemporary",0.336,0.627,7,-7.463,1,0.0384,0.164,0,0.0708,0.35,150.273,4
0247StOpd3AkeBQzANX4Zf,"35S20clEkkSNUo23ViaslZ","Do They Know It's Christmas? - 1984 Version","Do They Know It's Christmas?","Band Aid",2004-01-01,222533,89,spotify:user:emberg547,2018-11-25T16:23:14Z,"musical advocacy",0.599,0.642,0,-6.936,1,0.0363,0.164,0.0000333,0.0992,0.349,115.412,4
1XBc4r6ltXjkFJBrsttwIF,"4cPHsZM98sKzmV26wlwD2W","Rockin' Around The Christmas Tree - Single Version","Anthology 1956-1980 (Volume 1 & 2)","Brenda Lee",1991-01-01,125826,6,spotify:user:emberg547,2018-11-25T16:23:16Z,"adult standards,brill building pop",0.691,0.402,8,-12.149,1,0.0599,0.703,0,0.463,0.844,139.752,4
5hslUAKq9I9CG2bAulFkHN,"4sj6D0zlMOl25nprDJBiU9","It's the Most Wonderful Time of the Year","The Andy Williams Christmas Album","Andy Williams",1963-11-24,151933,94,spotify:user:emberg547,2018-11-25T16:23:19Z,"adult standards,easy listening",0.24,0.598,7,-8.435,1,0.0369,0.766,0,0.117,0.776,201.629,3
4so0Wek9Ig1p6CRCHuINwW,"6ZjFtWeHP9XN7FeKSUe80S,69UfPJgUmFFAVT740qGVZi,735L650pvygCZZlPMyHqsN","White Christmas","Holiday Inn (Original Motion Picture Soundtrack)","Bing Crosby,Ken Darby Singers,John Scott Trotter & His Orchestra",1942-01-01,177480,89,spotify:user:emberg547,2018-11-25T16:23:27Z,"adult standards,easy listening,light music",0.317,0.158,9,-16.485,1,0.0381,0.673,0.353,0.338,0.247,130.503,3
7vQbuQcyTflfCIOu3Uzzya,"38EmEgXkgK51MT2tPY0EoC","Jingle Bell Rock","Jingle Bell Rock/Captain Santa Claus (And His Reindeer Space Patrol)","Bobby Helms",1957-12-02,130973,96,spotify:user:emberg547,2018-11-25T16:23:30Z,"adult standards",0.754,0.424,2,-8.463,1,0.0363,0.643,0,0.0652,0.806,119.705,4
1foCxQtxBweJtZmdxhEHVO,"1AwO9pWEBSBoWdEZu28XDC,52G7KZspBD4cCmuRDYRAtx","Santa Baby (with Henri René & His Orchestra)","Heavenly Eartha","Eartha Kitt,Henri Rene & His Orchestra",2002,206066,81,spotify:user:emberg547,2018-11-25T16:24:55Z,"adult standards,lounge,torch song,vocal jazz",0.7,0.139,8,-12.346,1,0.0607,0.902,0,0.185,0.49,84.485,4
0lLdorYw7lVrJydTINhWdI,"1GxkXlMwML1oSg5eLPiAz3","It's Beginning to Look a Lot like Christmas","Christmas","Michael Bublé",2011-10-14,206639,80,spotify:user:emberg547,2018-11-25T16:24:57Z,"adult standards,canadian pop,jazz pop,lounge",0.339,0.214,4,-11.714,1,0.0375,0.908,0.00000747,0.341,0.363,94.775,3
3QiAAp20rPC3dcAtKtMaqQ,"43ZHCT0cAZBISjO8DG9PnE","Blue Christmas","Elvis' Christmas Album","Elvis Presley",1957-10-15,129173,88,spotify:user:emberg547,2018-11-25T16:25:00Z,"adult standards,rock-and-roll,rockabilly",0.465,0.27,4,-16.661,1,0.0425,0.9,0.00104,0.145,0.58,94.518,4
65Q2mv3UlVi9eO70OpsmSe,"0MHgLfmQdutffmvWe5XBTN","A Holly Jolly Christmas - Single Version","Have A Holly Jolly Christmas","Burl Ives",1965-01-01,135533,4,spotify:user:emberg547,2018-11-25T16:25:02Z,"adult standards,american folk revival",0.683,0.375,0,-13.056,1,0.0303,0.579,0,0.076,0.888,140.467,4
2pnPe4pJtq7689i5ydzvJJ,"293zczrfYafIItmnmM3coR","Run Rudolph Run - Single Version","Rock 'N' Roll Rarities","Chuck Berry",1986-01-01,165733,88,spotify:user:emberg547,2018-11-28T02:39:57Z,"blues rock,classic rock,rock,rock-and-roll,rockabilly,soul",0.681,0.715,7,-10.609,0,0.0912,0.812,0.00000943,0.0777,0.957,152.132,4
3sDdyBHQ60Cs1opmIyRvhp,"4sj6D0zlMOl25nprDJBiU9","Happy Holiday / The Holiday Season","The Andy Williams Christmas Album","Andy Williams",1963-11-24,156866,84,spotify:user:emberg547,2018-11-28T02:40:03Z,"adult standards,easy listening",0.505,0.451,9,-10.193,0,0.0329,0.727,0,0.233,0.744,74.347,4
1dtIaSlyrLI04sqYa8nLyN,"5ixB75BQR3ADoWQkcHQJTs","Rudolph the Red-Nosed Reindeer","Rudolph The Red Nosed Reindeer And Other Christmas Classics","Gene Autry",1947,186733,80,spotify:user:emberg547,2018-11-28T02:40:12Z,"adult standards,cowboy western,oklahoma country,traditional country,yodeling",0.629,0.159,8,-14.056,1,0.0495,0.883,0,0.222,0.642,142.157,4
2FPfeYlrbSBR8PwCU0zaqq,"1Mxqyy3pSjf8kZZL4QVxS0","Have Yourself A Merry Little Christmas - Remastered 1999","A Jolly Christmas From Frank Sinatra","Frank Sinatra",1957-09,206600,82,spotify:user:emberg547,2018-11-28T02:40:18Z,"adult standards,easy listening,lounge",0.262,0.137,8,-15.235,1,0.0344,0.913,0.00000674,0.267,0.288,92.183,3
6wn2nmFn3wDuiMldRiuRuL,"5lpH0xAS4fVfLkACg9DAuM","Last Christmas - Remastered","Twenty Five","Wham!",2006-11-11,267160,86,spotify:user:emberg547,2018-11-29T22:38:48Z,"new romantic,new wave pop,soft rock",0.757,0.618,11,-7.964,0,0.0282,0.262,0,0.221,0.861,106.856,4
5PuKlCjfEVIXl0ZBp5ZW9g,"1GxkXlMwML1oSg5eLPiAz3","Holly Jolly Christmas","Christmas (Deluxe Special Edition)","Michael Bublé",2012-11-09,119786,90,spotify:user:emberg547,2018-11-29T22:38:54Z,"adult standards,canadian pop,jazz pop,lounge",0.647,0.465,7,-8.308,1,0.0428,0.865,0,0.0882,0.699,151.251,4
2wCPMWR3y4xclijuCcLJv7,"38EmEgXkgK51MT2tPY0EoC","Jingle Bell Rock","Four Christmases","Bobby Helms",2008-01-01,131546,4,spotify:user:emberg547,2018-11-29T22:38:59Z,"adult standards",0.709,0.506,2,-5.628,1,0.0377,0.844,0,0.062,0.682,119.345,4
1ADjWm8QNhgNV8yCNNgQ1T,"66CXWjxzNUsdJxJ2JdwvnR","Santa Tell Me","Santa Tell Me","Ariana Grande",2014-11-24,204093,7,spotify:user:emberg547,2018-11-29T22:39:04Z,"dance pop,pop",0.464,0.63,7,-7.337,1,0.182,0.0464,0,0.295,0.527,132.96,5
1prYSRBfwPvE3v8jSRZL3Q,"49e4v89VmlDcFCMyDv9wQ9","Let It Snow, Let It Snow, Let It Snow","My Kind Of Christmas","Dean Martin",2011-09-20,117586,10,spotify:user:emberg547,2018-11-29T22:39:23Z,"adult standards,easy listening,lounge",0.504,0.287,1,-11.109,1,0.0346,0.782,0.0000019,0.218,0.707,133.928,4
2BDOXelusiQedIRpyec3Uc,"7CyeXFnOrfC1N6z4naIpgo","Sleigh Ride","Christmas Crooners and Classics","The Ronettes",2018-09-21,180906,27,spotify:user:emberg547,2018-11-29T22:39:28Z,"adult standards,brill building pop,classic girl group,motown,soul",0.522,0.788,2,-6.725,1,0.0307,0.398,0.00000153,0.32,0.813,91.532,4
5Q2P43CJra0uRAogjHyJDK,"0qSX3s5pJnAlSsgsCne8Cz,6JL8zeS1NmiOftqZTRgdTz","Baby, It's Cold Outside (feat. Meghan Trainor)","Glow","Brett Eldredge,Meghan Trainor",2016-10-28,173560,83,spotify:user:emberg547,2018-11-29T22:39:34Z,"adult standards,contemporary country,country,country road,modern country rock,dance pop,hip pop,pop,post-teen pop",0.583,0.572,1,-4.776,1,0.0366,0.738,0,0.266,0.684,113.998,4
6YJdPrH3i2POzu7hdHIRrb,"66CXWjxzNUsdJxJ2JdwvnR,7pLntWGInZPQxc4kXxzzjB","Santa Baby","Christmas Kisses","Ariana Grande,Liz Gillies",2013-01-01,170933,84,spotify:user:emberg547,2018-11-29T22:39:38Z,"dance pop,pop",0.748,0.778,0,-5.752,1,0.137,0.0501,0,0.284,0.777,95.989,4
5a1iz510sv2W9Dt1MvFd5R,"1GxkXlMwML1oSg5eLPiAz3","It's Beginning to Look a Lot like Christmas","Christmas (Deluxe Special Edition)","Michael Bublé",2012-11-09,206639,94,spotify:user:emberg547,2018-11-29T22:39:42Z,"adult standards,canadian pop,jazz pop,lounge",0.339,0.214,4,-11.714,1,0.0375,0.908,0.00000747,0.341,0.363,94.775,3
1hvpDAxZPKjKztOc72sv06,"35S20clEkkSNUo23ViaslZ","Do They Know It's Christmas? - 1984 Version","Do They Know Its Christmas?","Band Aid",2004-01-01,222533,2,spotify:user:emberg547,2018-11-29T22:39:48Z,"musical advocacy",0.599,0.642,0,-6.936,1,0.0363,0.164,0.0000333,0.0992,0.349,115.412,4
