Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5ZJDSpuqaq9QjGLI0EuVXy,"4egZ32RFtwuvHCw1UpaIMy","Jessie's Girl","Jessie's Girl","Frickin' A",2014-07-22,176920,19,spotify:user:emberg547,2016-09-10T21:27:08Z,"",0.664,0.715,2,-7.23,1,0.0446,0.0219,0,0.0765,0.96,139.045,4
2u2udGmop1z67EPpr91km7,"3fMbdgg4jU18AjLCKBhRSm","Man in the Mirror","HIStory - PAST, PRESENT AND FUTURE - BOOK I","Michael Jackson",1995-06-16,319306,68,spotify:user:emberg547,2016-09-10T21:29:08Z,"pop,r&b,soul",0.794,0.798,8,-5.639,1,0.0366,0.429,0.0000116,0.118,0.265,100.338,4
1fDsrQ23eTAVFElUMaf38X,"1gRNBaI4yn6wCCTvRhGWh8","American Pie","American Pie","Don McLean",1971,516893,78,spotify:user:emberg547,2016-12-02T04:28:59Z,"adult standards,classic rock,folk,folk rock,mellow gold,singer-songwriter,soft rock",0.531,0.481,4,-11.709,0,0.06,0.699,0,0.0842,0.491,138.45,4
2HHtWyy5CgaQbC7XSoOb0e,"26bcq2nyj5GB7uRr558iQg","Eye of the Tiger","Eye Of The Tiger","Survivor",1982,243773,76,spotify:user:emberg547,2016-12-02T04:32:14Z,"album rock,hard rock,mellow gold,rock,soft rock",0.815,0.438,0,-14.522,0,0.0346,0.216,0.000466,0.0787,0.552,108.965,4
7tFiyTwD0nx5a1eklYtX2J,"1dfeR4HaWDbWqFHLkxsg1d","Bohemian Rhapsody - Remastered 2011","A Night At The Opera (Deluxe Remastered Version)","Queen",1975-11-21,354320,76,spotify:user:emberg547,2016-12-02T04:32:51Z,"classic rock,glam rock,rock",0.392,0.402,0,-9.961,0,0.0536,0.288,0,0.243,0.228,143.883,4
57JVGBtBLCfHw2muk5416J,"1dfeR4HaWDbWqFHLkxsg1d","Another One Bites The Dust - Remastered 2011","The Game (Deluxe Remastered Version)","Queen",1980-06-27,214653,76,spotify:user:emberg547,2016-12-02T04:33:54Z,"classic rock,glam rock,rock",0.933,0.528,5,-6.472,0,0.162,0.112,0.329,0.163,0.756,109.975,4
4kzvAGJirpZ9ethvKZdJtg,"1dfeR4HaWDbWqFHLkxsg1d","We Are The Champions","News Of The World","Queen",1977-10-28,180666,56,spotify:user:emberg547,2016-12-02T04:34:39Z,"classic rock,glam rock,rock",0.476,0.455,10,-7.845,1,0.0298,0.255,0,0.101,0.189,94.504,3
7nrtHjt4Vk4Z5jMHOwaS8F,"43mhFhQ4JAknA7Ik1bOZuV","Hit Me With Your Best Shot - 1999 Digital Remaster","Synchronistic Wanderings","Pat Benatar",1999-09-23,171293,0,spotify:user:emberg547,2016-12-02T04:36:06Z,"album rock,classic rock,heartland rock,mellow gold,new wave pop,rock,soft rock",0.715,0.702,4,-6.055,1,0.0296,0.109,0.00000773,0.255,0.954,127.446,4
2zYzyRzz6pRmhPzyfMEC8s,"711MCceyCBcFnzjGY4Q7Un","Highway to Hell","Highway to Hell","AC/DC",1979-07-27,208400,86,spotify:user:emberg547,2016-12-02T04:37:54Z,"australian rock,hard rock,rock",0.574,0.913,6,-4.793,0,0.133,0.061,0.00158,0.156,0.423,115.728,4
1Je1IMUlBXcx1Fz0WE7oPT,"0uq5PttqEjj3IH1bzwcrXF","Wannabe","Spice","Spice Girls",1996-01-01,173026,83,spotify:user:emberg547,2016-12-02T04:39:26Z,"dance pop,europop,girl group,pop",0.768,0.864,11,-6.145,1,0.0324,0.101,0,0.162,0.891,110.008,4
