Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3qiyyUfYe7CRYLucrPmulD,"67ea9eGLXYMsO2eYQRui3w","Baba O'Riley","Who's Next","The Who",1971-08-14,300400,77,spotify:user:emberg547,2020-05-13T17:59:07Z,"album rock,art rock,blues rock,british invasion,classic rock,hard rock,mellow gold,psychedelic rock,rock",0.489,0.724,5,-8.367,1,0.0352,0.313,0.185,0.287,0.15,117.292,4
6ADSaE87h8Y3lccZlBJdXH,"51Blml2LZPmy7TTiAg47vQ","With Or Without You - Remastered","The Joshua Tree (Super Deluxe)","U2",1987-03-03,295515,82,spotify:user:emberg547,2020-05-13T18:11:00Z,"irish rock,permanent wave,rock",0.54,0.429,2,-11.822,1,0.0285,0.000202,0.355,0.141,0.113,110.171,4
4RvWPyQ5RL0ao9LPZeSouE,"4bthk9UfsYUYdcFyqxmSUU","Everybody Wants To Rule The World","Songs From The Big Chair (Super Deluxe Edition)","Tears For Fears",1985-02-25,251488,85,spotify:user:emberg547,2020-05-13T18:11:30Z,"new romantic,new wave,new wave pop,permanent wave,rock,soft rock,sophisti-pop,synthpop",0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,4
3fH4KjXFYMmljxrcGrbPj9,"6hN9F0iuULZYWXppob22Aj","Don't You (Forget About Me)","Once Upon A Time (Super Deluxe)","Simple Minds",1985,263040,77,spotify:user:emberg547,2020-05-13T18:12:15Z,"art rock,dance rock,mellow gold,new romantic,new wave,new wave pop,rock,scottish new wave,soft rock,synthpop",0.66,0.816,2,-6.61,1,0.0299,0.168,0.0181,0.0608,0.678,111.346,4
2GiJYvgVaD2HtM8GqD9EgQ,"1KP6TWI40m7p3QBTU6u2xo","Electric Love","Dopamine","BØRNS",2015-10-16,218106,85,spotify:user:emberg547,2020-05-13T18:15:39Z,"modern rock,pop",0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,4
6ft9PAgNOjmZ2kFVP7LGqb,"3CDKmzJu6uwEGnPLLZffpD","Can't Take My Eyes off You","The Very Best of Frankie Valli & The 4 Seasons","Frankie Valli",2003-01-14,203240,72,spotify:user:emberg547,2020-05-13T18:39:57Z,"adult standards,brill building pop,bubblegum pop,mellow gold,soft rock",0.575,0.764,4,-7.448,1,0.0746,0.566,0.0000107,0.0692,0.536,123.821,4
2MvvoeRt8NcOXWESkxWn3g,"163tK9Wjr9P9DmM0AVK7lm","Ribs","Pure Heroine","Lorde",2013-09-27,258969,79,spotify:user:emberg547,2020-05-13T18:40:52Z,"art pop,electropop,metropopolis,nz pop,pop",0.511,0.472,4,-9.277,1,0.091,0.534,0.614,0.11,0.0399,127.978,4
7a86XRg84qjasly9f6bPSD,"5nCi3BB41mBaMH9gfr6Su0,6ueGR6SWhUJfvEhqkvMsVs","We Are Young (feat. Janelle Monáe)","Some Nights","fun.,Janelle Monáe",2012-02-21,250626,75,spotify:user:emberg547,2020-05-13T18:41:18Z,"baroque pop,metropopolis,modern rock,pop rock,rock,afrofuturism,alternative r&b,art pop,atl hip hop,dance pop,electropop,escape room,neo soul,pop,r&b,urban contemporary",0.378,0.638,10,-5.576,1,0.075,0.02,0.0000766,0.0849,0.735,184.086,4
0GO8y8jQk1PkHzS31d699N,"3kVUvbeRdcrqQ3oHk5hPdx","Tongue Tied","Never Trust a Happy Song","Grouplove",2011-09-02,218013,82,spotify:user:emberg547,2020-05-13T22:53:04Z,"indie pop,indie rock,indietronica,la indie,modern alternative rock,modern rock,pop rock,rock,stomp and holler",0.56,0.936,3,-5.835,1,0.0439,0.00847,0,0.161,0.371,112.96,4
5Bge1Dsqjc14hhGguYML5w,"2D4FOOOtWycb3Aw9nY5n3c","Why Do You Feel So Down","What Do You Think About the Car?","Declan McKenna",2017-07-21,220706,68,spotify:user:emberg547,2020-05-14T19:01:59Z,"indie pop,modern alternative rock,modern rock,rock",0.558,0.909,7,-5.851,1,0.0406,0.0576,0,0.102,0.452,114.56,4
6Fqf0OTfB9VPfYk2HfBhPn,"7vtSUU3zpHeYJfX6BPNrJd","Freakin' Out On the Interstate","Carnival","Briston Maroney",2018-11-16,251906,66,spotify:user:emberg547,2020-05-30T19:06:33Z,"indie pop,modern rock,nashville indie",0.452,0.79,4,-5.01,1,0.0534,0.391,0,0.303,0.362,143.861,4
6GG73Jik4jUlQCkKg9JuGO,"3Ayl7mCk0nScecqOzvNp6s","The Middle","Bleed American","Jimmy Eat World",2001-07-17,165853,82,spotify:user:emberg547,2020-07-01T08:38:01Z,"alternative rock,emo,modern power pop,modern rock,pop punk,pop rock,rock",0.643,0.849,2,-5.428,1,0.0526,0.0371,0,0.058,0.903,162.152,4
