Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2xYlyywNgefLCRDG8hlxZq,"7EK1bQADBoqbYXnT4Cqv9w","Take Me Home, Country Roads - Rerecorded","The John Denver Collection, Vol. 1: Take Me Home Country Roads","John Denver",1997-06-17,197813,6,spotify:user:emberg547,2019-07-09T19:36:41Z,"adult standards,classic country pop,folk,folk rock,mellow gold,soft rock",0.255,0.43,9,-12.564,1,0.0322,0.546,0.0000187,0.188,0.546,164.267,4
4HlFJV71xXKIGcU3kRyttv,"3FUY2gzHeIiaesXtOAdB7A","Hey, Soul Sister","Save Me, San Francisco (Golden Gate Edition)","Train",2010-12-01,216773,85,spotify:user:22ygpvtvfd7iwj7hpq4wjal7a,2019-07-09T19:39:14Z,"dance pop,neo mellow,pop,pop rock",0.673,0.886,1,-4.44,0,0.0431,0.185,0,0.0826,0.795,97.012,4
2WAqjXV5uUz4q8pbHI5ysm,"3FUY2gzHeIiaesXtOAdB7A","Sing Together","California 37","Train",2012-04-17,205826,40,spotify:user:22ygpvtvfd7iwj7hpq4wjal7a,2019-07-09T19:39:47Z,"dance pop,neo mellow,pop,pop rock",0.656,0.378,1,-7.177,1,0.0307,0.919,0.0000844,0.0816,0.47,82.886,4
1hGy2eLcmC8eKx7qr1tOqx,"6S0dmVVn4udvppDhZIWxCr","Beautiful Girls","Beautiful Girls","Sean Kingston",2007-07-23,225373,81,spotify:user:emberg547,2019-07-10T12:26:56Z,"dance pop,miami hip hop,pop,post-teen pop,urban contemporary",0.762,0.661,1,-6.075,0,0.0687,0.15,0,0.256,0.769,130.009,4
5vlEg2fT4cFWAqU5QptIpQ,"5tKXB9uuebKE34yowVaU3C","Replay","Replay","Iyaz",2009-08-11,182306,75,spotify:user:emberg547,2019-07-10T12:27:43Z,"dance pop,pop rap,post-teen pop",0.706,0.751,9,-6.323,1,0.0708,0.173,0,0.168,0.195,91.031,4
1ExfPZEiahqhLyajhybFeS,"0du5cEVh5yTK9QJze8zA0C","The Lazy Song","Doo-Wops & Hooligans","Bruno Mars",2010-10-05,189109,74,spotify:user:emberg547,2019-07-10T12:27:51Z,"dance pop,pop",0.794,0.711,8,-5.124,0,0.0699,0.3,0,0.0955,0.955,174.915,4
0GO8y8jQk1PkHzS31d699N,"3kVUvbeRdcrqQ3oHk5hPdx","Tongue Tied","Never Trust a Happy Song","Grouplove",2011-09-02,218013,82,spotify:user:emberg547,2019-07-10T12:27:59Z,"indie pop,indie rock,indietronica,la indie,modern alternative rock,modern rock,pop rock,rock,stomp and holler",0.56,0.936,3,-5.835,1,0.0439,0.00847,0,0.161,0.371,112.96,4
59dLtGBS26x7kc0rHbaPrq,"5ndkK3dpZLKtBklKjxNQwT,0du5cEVh5yTK9QJze8zA0C","Nothin' on You (feat. Bruno Mars)","B.o.B Presents: The Adventures of Bobby Ray","B.o.B,Bruno Mars",2010-04-27,268320,77,spotify:user:emberg547,2019-07-10T12:28:18Z,"atl hip hop,dance pop,hip hop,pop,pop rap,rap,southern hip hop",0.688,0.853,10,-5.814,1,0.0493,0.386,0,0.0862,0.743,103.993,4
0qOnSQQF0yzuPWsXrQ9paz,"4IJczjB0fJ04gs4uvP0Fli,4bYPcJP5jwMhSivRcqie2n","Stereo Hearts (feat. Adam Levine)","The Papercut Chronicles II","Gym Class Heroes,Adam Levine",2011-11-11,210960,85,spotify:user:emberg547,2019-07-10T12:28:27Z,"dance pop,pop rap",0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,4
2i0AUcEnsDm3dsqLrFWUCq,"6jTnHxhb6cDCaCu4rdvsQ0","Tonight Tonight","Whatever","Hot Chelle Rae",2011-11-25,200466,77,spotify:user:emberg547,2019-07-10T12:28:31Z,"dance pop,dance rock,neon pop punk,pop,pop punk,pop rap,pop rock,post-teen pop,viral pop",0.686,0.783,4,-4.977,1,0.119,0.0764,0,0.163,0.814,99.978,4
