Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7aiClxsDWFRQ0Kzk5KI5ku,"2cFrymmkijnjDg9SS92EPM","hot girl bummer","hot girl bummer","blackbear",2019-08-23,185093,9,spotify:user:emberg547,2019-12-08T22:59:48Z,"pop,pop rap",0.778,0.559,6,-7.109,0,0.0776,0.128,0,0.399,0.678,129.989,1
4D3Twi99sdqxesC68XAPf5,"7nkLRaWHImCvWGHdNGnhVE","I'd Love To Change The World","The Anthology (1967-1971)","Ten Years After",2002-01-01,224026,6,spotify:user:emberg547,2019-12-14T15:05:10Z,"album rock,art rock,blues,blues rock,british blues,classic rock,country rock,electric blues,folk rock,hard rock,psychedelic rock,rock,symphonic rock",0.382,0.497,4,-11.815,0,0.0328,0.117,0.233,0.11,0.391,117.446,4
6K4t31amVTZDgR3sKmwUJJ,"5INjqkS1o8h1imAzPqGZBb","The Less I Know The Better","Currents","Tame Impala",2015-07-17,216320,86,spotify:user:emberg547,2019-12-14T15:05:58Z,"australian psych,neo-psychedelic",0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,4
20JtELGPfOAMq7FpUt8eSM,"4jpsw9CQS439N0B7SecMgf","Yellow Hearts","Yellow Hearts","Ant Saunders",2019-06-18,223255,0,spotify:user:emberg547,2019-12-14T15:07:45Z,"chill r&b,pop",0.866,0.399,7,-10.938,1,0.0745,0.117,0,0.0689,0.713,129.047,4
1tNJrcVe6gwLEiZCtprs1u,"6USv9qhCn6zfxlBQIYJ9qs","3 Nights","Don't Forget About Me, Demos","Dominic Fike",2018-10-16,177666,78,spotify:user:emberg547,2019-12-14T15:07:49Z,"alternative pop rock,pop",0.815,0.518,7,-6.594,0,0.0897,0.223,0,0.104,0.877,151.891,4
1ZPWWSwCkxKfqdp4H0RFCo,"0vRvGUQVUjytro0xpb26bs","ROXANNE","ROXANNE","Arizona Zervas",2019-10-10,163636,0,spotify:user:emberg547,2019-12-14T15:07:54Z,"pop rap,rhode island rap",0.621,0.601,6,-5.616,0,0.148,0.0522,0,0.46,0.457,116.735,5
2gwkD6igEhQbDQegRCcdoB,"4r63FhuTkUYltbVAg5TQnk","Suge","Baby On Baby","DaBaby",2019-03-01,163320,77,spotify:user:emberg547,2019-12-14T15:07:58Z,"north carolina hip hop,rap",0.876,0.662,2,-6.482,0,0.426,0.0608,0,0.127,0.844,75.445,4
25yQPHgC35WNnnOUqFhgVR,"3WrFJ7ztbogyGnTHbHJFl2","Lucy In The Sky With Diamonds - Remastered 2009","Sgt. Pepper's Lonely Hearts Club Band (Remastered)","The Beatles",1967-06-01,208466,71,spotify:user:emberg547,2019-12-14T15:08:02Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.311,0.325,2,-9.042,1,0.0283,0.0469,0,0.139,0.668,65.09,1
1xbtojAZsQjOgiGdGX6ChU,"4Ga1P7PMIsmqEZqhYZQgDo","Ransom","Ransom","Lil Tecca",2019-05-22,131248,0,spotify:user:emberg547,2019-12-14T15:08:11Z,"melodic rap,rap",0.745,0.642,7,-6.257,0,0.287,0.0204,0,0.0658,0.226,179.974,4
0dBatXn1vVUl0jLgXRClwD,"3PhoLpVuITZKcymswpck5b","Bennie And The Jets - Remastered 2014","Goodbye Yellow Brick Road (Remastered / Deluxe Edition)","Elton John",1973-10-05,322548,1,spotify:user:emberg547,2019-12-14T15:08:15Z,"glam rock,mellow gold,piano rock",0.665,0.673,0,-7.95,1,0.0493,0.259,0.00000762,0.497,0.779,132.642,4
3MODES4TNtygekLl146Dxd,"36QJpDe2go2KgaRleHCDTp","Ramble On - 1990 Remaster","Led Zeppelin II (1994 Remaster)","Led Zeppelin",1969-10-22,263333,72,spotify:user:emberg547,2019-12-14T15:08:18Z,"album rock,classic rock,hard rock,rock",0.468,0.607,9,-11.367,1,0.0336,0.072,0.000852,0.225,0.886,98.429,4
297rZsBEjFw9d0Gl3iBLnd,"4iMO20EPodreIaEl8qW66y","Goodie Bag","Goodie Bag","Still Woozy",2017-11-05,146390,1,spotify:user:emberg547,2019-12-14T15:08:21Z,"bedroom pop,modern rock,oakland indie",0.701,0.529,7,-12.242,0,0.147,0.82,0.00113,0.249,0.577,138.216,4
4EpZ4eYuZOwPSSwyqpdHnJ,"7pbDxGE6nQSZVfiFdq9lOL","Sunflower","Sunflower","Rex Orange County",2017-03-22,252230,80,spotify:user:emberg547,2019-12-14T15:08:26Z,"bedroom pop,pop",0.384,0.765,6,-4.463,1,0.0579,0.646,0.00352,0.522,0.567,129.903,4
795VzZodMdZzC5fXMp2L3T,"6WkUZyqghQei2G809wMKuZ,7d3WFRME3vBY2cgoP38RDo","Waterslide (feat. Lil Skies)","Yung Bans","Yung Bans,Lil Skies",2018-12-31,158137,46,spotify:user:emberg547,2019-12-14T15:08:32Z,"plugg,rap,trap,underground hip hop,vapor trap,melodic rap",0.883,0.384,0,-10.163,1,0.348,0.202,0,0.138,0.425,75.02,4
