Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2cX2coZS1PYBfPs8wgbdWE,"1LZEQNv7sE11VDY3SdxQeN","More Than A Woman - From Saturday Night Fever Soundtrack","How Can You Mend A Broken Heart","Bee Gees",2020-12-11,196213,81,spotify:user:emberg547,2021-12-06T17:59:32Z,"disco,mellow gold,soft rock",0.601,0.703,7,-6.24,1,0.0379,0.175,0.000084,0.571,0.673,106.164,4
2Nh2cMryoXl7BrZoIeN2Pr,"6vHBuUxrcpn1do5UaEJ7g6,3jK9MiCrA42lLAdMGUZpwa","Dapper (feat. Anderson .Paak)","Genesis","Domo Genesis,Anderson .Paak",2016-03-25,193093,63,spotify:user:emberg547,2021-12-08T21:30:35Z,"alternative hip hop,escape room,hip hop,rap,underground hip hop",0.753,0.594,1,-9.486,0,0.0816,0.0711,0,0.391,0.562,112.568,4
5ziFqEEcLfe7G6MdrnCLy8,"2jbd7OqeJJd1hz81vOXwwW","Invisible Fence","MOTOR FUNCTION","binki",2021-08-13,155254,54,spotify:user:emberg547,2021-12-09T00:58:53Z,"indie r&b,modern indie pop",0.657,0.862,4,-3.206,1,0.115,0.0283,0.00799,0.289,0.799,129.992,4
6LmNmPxViPRou1YAvyg1OS,"4XquDVA8pkg5Lx91No1JxB,73sIBHcqh3Z3NyqHKZ7FOL","Stay High - Childish Gambino Version","Jaime (Reimagined)","Brittany Howard,Childish Gambino",2021-07-23,218400,59,spotify:user:emberg547,2021-12-10T16:48:52Z,"black americana,modern blues rock,neo soul,atl hip hop,hip hop,pop,pop rap,rap",0.839,0.655,9,-5.793,1,0.049,0.161,0.00026,0.153,0.754,123.004,3
1nBVHNr7KSYHNj6BdhlNx3,"25pd339V2rRJo84USlcSRP","Best Thing","The Story Of Hugo","JAWNY",2021-07-14,156706,57,spotify:user:emberg547,2021-12-15T01:22:15Z,"bedroom pop",0.65,0.739,5,-6.252,0,0.569,0.529,0,0.101,0.874,192.135,4
7FjIYiD53wxlQmzTT6Wdpf,"5uuqghaOBgtv92jDyDveQl","space girl","space girl","Frances Forever",2020-03-27,231440,74,spotify:user:emberg547,2021-12-15T01:22:31Z,"bedroom pop,indie pop",0.669,0.395,9,-9.598,1,0.03,0.332,0.000196,0.37,0.196,125.979,4
6XGLwzmePvcYS2cbGOhxLJ,"4EhmdnjkRcRrJaRmyUkzAK","Darlin' darlin'","Darlin' darlin'","The Knee-Hi's",2020-08-18,142307,47,spotify:user:emberg547,2021-12-15T01:22:34Z,"",0.523,0.381,7,-11.158,1,0.03,0.073,0.00000259,0.172,0.452,95.606,4
0qPeakaeFndczx9OhJIFp6,"1LbK4g8mKezX7iAmpiq3sX","Weekend","Weekend","Clubhouse",2020-05-01,188380,0,spotify:user:emberg547,2021-12-15T02:33:12Z,"columbus ohio indie",0.921,0.438,6,-8.771,0,0.0442,0.0948,0.00271,0.37,0.596,98.972,4
2g0Bmi3kYEntusDP6xlAGZ,"53k2km8u55n9YaJJB7scjX","striptease","striptease","carwash",2019-11-05,160659,75,spotify:user:emberg547,2021-12-15T18:37:45Z,"indie pop",0.693,0.572,8,-8.89,1,0.0749,0.127,0.952,0.102,0.732,130.05,4
35r28RDot7nPE7y9K9H7l0,"246dkjvS1zLTtiykXe5h60","Feeling Whitney","Stoney (Deluxe)","Post Malone",2016-12-09,257266,79,spotify:user:emberg547,2021-12-15T19:26:50Z,"dfw rap,melodic rap,rap",0.412,0.227,0,-12.696,1,0.0359,0.787,0.00000469,0.282,0.226,80.111,4
6Kkt27YmFyIFrcX3QXFi2o,"163tK9Wjr9P9DmM0AVK7lm","Liability","Melodrama","Lorde",2017-06-16,171727,79,spotify:user:emberg547,2021-12-16T03:46:27Z,"art pop,electropop,metropopolis,nz pop,pop",0.587,0.229,10,-11.254,0,0.128,0.92,0,0.1,0.379,75.67,4
0VE4kBnHJUgtMf0dy6DRmW,"06HL4z0CvFAxyc27GXpf02","Getaway Car","reputation","Taylor Swift",2017-11-10,233626,80,spotify:user:emberg547,2021-12-16T03:50:47Z,"pop",0.562,0.689,2,-6.745,1,0.127,0.00465,0.00000223,0.0888,0.351,172.054,4
