Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6pmDqTidfGwyMtUXPogaOM,"5PrHzxc3kFm4hIrGNmelpX","Can't Get Away","Searching For Sugar Man (Original Motion Picture Soundtrack)","Rodríguez",2012-07-24,236146,33,spotify:user:emberg547,2018-12-09T23:37:52Z,"folk,folk rock",0.561,0.565,2,-8.22,0,0.0342,0.35,0.00422,0.0853,0.957,134.722,4
5nrmGFJ87crVoJF5xdRqwn,"1SQRv42e4PjEYfPhS0Tk9E","Waterloo Sunset - Mono Mix","Something Else (Deluxe Edition)","The Kinks",1967-09-15,194216,65,spotify:user:emberg547,2018-12-10T00:26:21Z,"album rock,art rock,british invasion,classic rock,folk rock,glam rock,mellow gold,protopunk,psychedelic rock,rock",0.512,0.69,1,-6.969,0,0.0249,0.162,0,0.167,0.417,107.839,4
1ZVKwJ1pdGEPol8kuOatBC,"3SGLeWc7J5Ve0CinAOrb3a","Mustang","Everyone Is Good at Something","Skegss",2016-07-15,183673,0,spotify:user:emberg547,2018-12-10T00:32:07Z,"australian garage punk,indie surf",0.435,0.898,2,-6.396,1,0.0598,0.00717,0,0.355,0.806,149.167,4
1l5lKWHRfyY7Y3FvDBXlvJ,"4kI8Ie27vjvonwaB2ePh8T","Sleep Forever","In the Mountain in the Cloud","Portugal. The Man",2011-06-29,380546,50,spotify:user:emberg547,2018-12-10T01:02:24Z,"indie rock,modern alternative rock,modern rock,rock",0.513,0.467,7,-8.305,1,0.0295,0.367,0.000542,0.319,0.31,145.027,4
0iTpQYzJnYgh7kIxyq8A2O,"2Jv5eshHtLycR6R8KQCdc4","Two Weeks","Veckatimest","Grizzly Bear",2009-05-24,243160,75,spotify:user:emberg547,2018-12-10T01:07:12Z,"alternative dance,art pop,baroque pop,brooklyn indie,chillwave,dream pop,freak folk,indie pop,indie rock,modern rock,new weird america,stomp and holler",0.537,0.712,5,-5.597,1,0.0286,0.289,0.00568,0.08,0.704,159.871,4
6vN77lE9LK6HP2DewaN6HZ,"5f7VJjfbwm532GiveGC0ZK,3TVXtAsR1Inumwj472S9r4","Yes Indeed","Harder Than Ever","Lil Baby,Drake",2018-05-18,142273,82,spotify:user:emberg547,2018-12-10T02:44:32Z,"atl hip hop,atl trap,rap,trap,canadian hip hop,canadian pop,hip hop,toronto rap",0.963,0.346,5,-9.309,0,0.53,0.0355,0,0.108,0.562,119.957,4
7m9OqQk4RVRkw9JJdeAw96,"15UsOTVnJzReFVN1VCnxy4","Jocelyn Flores","17","XXXTENTACION",2017-08-25,119133,88,spotify:user:emberg547,2018-12-10T03:18:55Z,"emo rap,miami hip hop",0.872,0.391,0,-9.144,0,0.242,0.469,0.00000413,0.297,0.437,134.021,4
1A6OTy97kk0mMdm78rHsm8,"246dkjvS1zLTtiykXe5h60,1zNqQNIdeOUZHb8zbZRFMX","Sunflower - Spider-Man: Into the Spider-Verse","Sunflower (Spider-Man: Into the Spider-Verse)","Post Malone,Swae Lee",2018-10-18,158053,1,spotify:user:emberg547,2018-12-10T04:27:45Z,"dfw rap,melodic rap,rap,trap",0.753,0.498,2,-5.61,1,0.0504,0.551,0,0.0706,0.927,89.95,4
0bYg9bo50gSsH3LtXe2SQn,"4iHNK0tOyZPYnBU7nGAgpQ","All I Want for Christmas Is You","Merry Christmas","Mariah Carey",1994-11-01,241106,100,spotify:user:emberg547,2018-12-10T05:39:13Z,"dance pop,pop,urban contemporary",0.336,0.627,7,-7.463,1,0.0384,0.164,0,0.0708,0.35,150.273,4
2rPE9A1vEgShuZxxzR2tZH,"66CXWjxzNUsdJxJ2JdwvnR","thank u, next","thank u, next","Ariana Grande",2018-11-03,207333,24,spotify:user:emberg547,2018-12-10T05:44:08Z,"dance pop,pop",0.724,0.647,1,-5.642,1,0.0658,0.28,0,0.102,0.435,106.96,4
