Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2oehKmL80oyarh1ZutMESN,"4lxfqrEsLX6N1N4OCSkILp","You'll Be In My Heart","Tarzan Original Soundtrack (Spanish Version)","Phil Collins",1999,258399,0,spotify:user:emberg547,2018-07-23T13:36:44Z,"mellow gold,rock drums,soft rock",0.569,0.744,8,-6.48,1,0.0298,0.0559,0.00000319,0.0915,0.655,96.596,4
4iFaSTGYq5S7uhPBhYPneG,"4lxfqrEsLX6N1N4OCSkILp","Strangers Like Me","Tarzan Original Soundtrack (Spanish Version)","Phil Collins",1999,180586,0,spotify:user:emberg547,2018-07-23T13:36:49Z,"mellow gold,rock drums,soft rock",0.589,0.805,8,-6.124,1,0.0395,0.167,0.00109,0.268,0.569,120.928,4
2AILbz83cBnrAMAG06rZts,"1GlMjIezcLwV3OFlX0uXOv","Reflection - From Mulan / Soundtrack Version","Mulan","Lea Salonga",1998-01-01,146760,60,spotify:user:emberg547,2018-08-10T13:36:37Z,"hollywood,movie tunes,show tunes,tagalog worship",0.255,0.174,9,-19.217,1,0.0379,0.805,0.00911,0.335,0.0829,80.707,4
28UMEtwyUUy5u0UWOVHwiI,"5ZEAzHE2TzAwUcOj6jMIgf,4KpdqBDU2C5gB3vhdojuqA","I'll Make a Man Out of You - From Mulan/Soundtrack","Mulan","Donny Osmond,Chorus - Mulan",1998-01-01,201680,70,spotify:user:emberg547,2018-08-10T13:36:43Z,"adult standards,bubblegum pop,soft rock,disney,movie tunes,show tunes",0.672,0.322,7,-17.669,1,0.0339,0.144,0.0000296,0.074,0.496,113.852,4
3wjgPeXocinhLyPL37p70e,"1GlMjIezcLwV3OFlX0uXOv,7G6zawIBBtDX1WvuT97Ei9,3bmFPbLMiLxtR9tFrTcKcP,00erTY7OuCOdNTN36srPNN,3wUpOiaLjwAZNregbC7CxO","A Girl Worth Fighting For - From Mulan/Soundtrack","Mulan","Lea Salonga,Harvey Fierstein,Matthew Wilder,James Hong,Jerry Tondo",1998-01-01,146053,63,spotify:user:emberg547,2018-08-10T13:36:49Z,"hollywood,movie tunes,show tunes,tagalog worship,new wave pop",0.368,0.35,4,-17.313,1,0.0617,0.564,0,0.281,0.849,175.741,4
2raDhxswfVoyTJgRFlmIog,"6Id8rcDNyBXPcgKQVfQ8rX","Under the Sea","The Little Mermaid: Special Edition","Samuel E. Wright",2006-11-27,195146,0,spotify:user:emberg547,2018-08-10T13:37:12Z,"disney,hollywood,movie tunes,show tunes",0.654,0.454,5,-15.318,1,0.135,0.718,0,0.0835,0.85,100.336,4
1DPVF3BxeY4ynlO1MKWqOi,"6utdPEv71mR0DnGp74cJIz,0Yy9u86cq66Se2pB9fYaiW","Poor Unfortunate Souls","The Little Mermaid: Special Edition","Disney Characters,Pat Carroll",2006-11-27,291693,0,spotify:user:emberg547,2018-08-10T13:37:23Z,"disney,movie tunes",0.462,0.167,0,-17.955,1,0.0768,0.752,0,0.388,0.418,76.957,4
2sdmCeSEKgmbZsICkBp4BL,"5vLv7RBpAmIPypST2zhKUw","Les Poissons","The Little Mermaid: Special Edition","Rene Auberjonois",2006-11-27,95706,0,spotify:user:emberg547,2018-08-10T13:37:28Z,"",0.499,0.336,7,-15.14,1,0.343,0.735,0,0.188,0.689,110.076,4
3jl5gcLJt012JZRWZBWhwr,"6Id8rcDNyBXPcgKQVfQ8rX","Kiss the Girl","The Little Mermaid: Special Edition","Samuel E. Wright",2006-11-27,163400,0,spotify:user:emberg547,2018-08-10T13:37:33Z,"disney,hollywood,movie tunes,show tunes",0.678,0.226,0,-16.56,1,0.0481,0.657,0,0.0952,0.714,134.869,4
2B8nZ8dC5VHVDNrLm8jEBK,"4mmMtabvFCKA6HfmVmitNH","Part Of Your World","The Little Mermaid: Special Edition","Jodi Benson",2006-11-27,195493,0,spotify:user:emberg547,2018-08-10T13:37:47Z,"disney,hollywood,movie tunes,show tunes",0.362,0.128,5,-15.138,1,0.0385,0.916,0.000376,0.283,0.309,133.816,1
