Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7p54iuWHqvdeN224OglZ9t,"0c173mlxpT3dSFRgMO8XPh,3crnzLy8R4lVwaigKEOz7V","I Don't Fuck With You","I Don't Fuck With You","Big Sean,E-40",2014-01-01,284560,0,spotify:user:emberg547,2019-07-18T02:40:37Z,"detroit hip hop,hip hop,pop,pop rap,rap,southern hip hop,trap,cali rap,gangster rap,hyphy,oakland hip hop,west coast rap",0.82,0.723,1,-5.505,1,0.0656,0.0327,0,0.347,0.417,97.98,4
0VgkVdmE4gld66l8iyGjgx,"1RyvyyTE3xzB2ZywiAwp0i","Mask Off","FUTURE","Future",2017-06-30,204600,83,spotify:user:emberg547,2019-07-18T02:41:03Z,"atl hip hop,hip hop,pop rap,rap,southern hip hop,trap",0.833,0.434,2,-8.795,1,0.431,0.0102,0.0219,0.165,0.281,150.062,4
22DKsoYFV5npPXmnPpXL7i,"17lzZA2AlOHwCwFALHttmp","Watch Out","Watch Out","2 Chainz",2015-07-22,207813,61,spotify:user:emberg547,2019-07-18T02:56:27Z,"atl hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap",0.899,0.504,8,-6.758,0,0.5,0.826,0,0.052,0.537,129.89,4
7guTVjzgdF5IJ1VPfkqdjo,"67nwj3Y5sZQLl72VNUHEYE,55Aa2cqylxrFIXC767Z865","Running Back (feat. Lil Wayne)","Running Back (feat. Lil Wayne)","Wale,Lil Wayne",2017-01-20,215360,32,spotify:user:emberg547,2019-07-18T03:04:25Z,"hip hop,pop,pop rap,r&b,rap,southern hip hop,trap,urban contemporary,new orleans rap",0.587,0.671,2,-4.48,1,0.144,0.0823,0,0.161,0.1,127.133,4
33JcUj9qQDayKswunZP9ar,"50co4Is1HCEo8bhOyUWKpn","Best Friend","Best Friend","Young Thug",2015-11-20,213000,64,spotify:user:emberg547,2019-07-18T03:41:13Z,"atl hip hop,atl trap,gangster rap,hip hop,melodic rap,rap,trap",0.959,0.598,8,-5.534,1,0.0713,0.0358,0,0.358,0.408,127.029,4
5uDASfU19gDxSjW8cnCaBp,"2hWs22BmQkK4czFtDLnar2,1rs3y69kDwkIdGJcOYngQt,5ewJHfiGNQJjmKHzLjcojz","Chill Bill (feat. J. Davi$ & Spooks)","Chill Bill (feat. J. Davi$ & Spooks)","Rob $tone,J. Davi$,Spooks",2016-06-17,177184,79,spotify:user:emberg547,2019-07-27T04:48:29Z,"san diego rap",0.886,0.427,6,-10.028,1,0.145,0.0312,0.00099,0.0906,0.23,108.034,4
376KnY4TrgBITxjlnbnmIy,"1Zatb2YN4erBOoSivOXc0o,3HiuzBlSW7pGDXlSFMhO2g","Cut It (feat. Young Dolph)","Cut It (feat. Young Dolph)","O.T. Genasis,Young Dolph",2015-09-25,222600,66,spotify:user:emberg547,2019-07-27T04:48:44Z,"pop rap,rap,southern hip hop,trap,gangster rap,hip hop,memphis hip hop,tennessee hip hop",0.875,0.673,7,-4.184,1,0.0932,0.135,0,0.292,0.231,130,4
1LxKKYsJNPeBdOwdudsJzv,"6Ha4aES39QiVjR0L2lwuwq","Down In the DM","The Art of Hustle (Deluxe)","Yo Gotti",2016-02-19,182733,60,spotify:user:emberg547,2019-07-27T04:48:48Z,"dirty south rap,gangster rap,hip hop,memphis hip hop,pop rap,rap,southern hip hop,tennessee hip hop,trap",0.776,0.662,1,-7.016,0,0.0489,0.00157,0.000021,0.0887,0.324,152.927,4
49zD0wr2S3d0lZPib0K4e1,"1RyvyyTE3xzB2ZywiAwp0i","F*ck Up Some Commas","DS2 (Deluxe)","Future",2015-07-17,237400,68,spotify:user:emberg547,2019-07-27T04:48:58Z,"atl hip hop,hip hop,pop rap,rap,southern hip hop,trap",0.874,0.568,11,-5.896,0,0.224,0.0698,0.0000138,0.149,0.46,139.995,4
1O8qWS9w2wI3jvPX8hg56W,"6oMuImdp5ZcFhWP0ESe6mG","Fight Night","Fight Night","Migos",2014-04-08,215219,48,spotify:user:emberg547,2019-07-27T04:49:02Z,"atl hip hop,pop rap,rap,trap",0.83,0.727,1,-5.366,1,0.304,0.188,0,0.228,0.863,89.855,4
3XQY8kDjI8LARMIC9xkxQk,"6f4XkbvYlXMH0QgVRzW0sM","Hard in Da Paint","Flockaveli","Waka Flocka Flame",2010-10-01,246386,67,spotify:user:emberg547,2019-07-27T04:49:10Z,"atl hip hop,dirty south rap,gangster rap,pop rap,rap,southern hip hop,trap",0.611,0.66,11,-5.883,1,0.0839,0.198,0,0.365,0.583,71.544,4
6qMXubogFdMrvVMJwqATzd,"0HjYETXAvcL6mzaKjAmH2K,1dfpwerOGBId6qD7LVwpoB","Jordan Belfort","Jordan Belfort","Wes Walker,Dyl",2015-08-26,207911,68,spotify:user:emberg547,2019-07-27T04:49:16Z,"viral trap",0.86,0.719,11,-4.325,0,0.33,0.125,0,0.0799,0.496,160.049,4
7DTlsMOQjGysXHpwwpHuPl,"6h2J3dxLnTyURwIUBumKog,50co4Is1HCEo8bhOyUWKpn,5lHRUCqkQZCIWeX7xG4sYT","Lifestyle","Lifestyle","Rich Gang,Young Thug,Rich Homie Quan",2014-06-05,269693,71,spotify:user:emberg547,2019-07-27T04:49:33Z,"pop rap,rap,southern hip hop,trap,atl hip hop,atl trap,gangster rap,hip hop,melodic rap",0.546,0.667,1,-5.236,1,0.274,0.0152,0,0.0895,0.471,87.666,4
7hpGGPTNTgdmyjtudEmLfX,"0A0FS04o6zMoto8OKPsDwY,4yBK75WVCQXej1p04GWqxH,5lHRUCqkQZCIWeX7xG4sYT","My Nigga","My Nigga","YG,Jeezy,Rich Homie Quan",2013-01-01,236093,0,spotify:user:emberg547,2019-07-27T04:49:43Z,"cali rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,atl hip hop,crunk,dirty south rap,old school atlanta hip hop",0.665,0.475,10,-6.58,0,0.224,0.0756,0,0.176,0.785,171.255,4
7yyRTcZmCiyzzJlNzGC9Ol,"5M0lbkGluOPXLeFjApw8r8,6icQOAFXDZKsumw3YXyusw","Broccoli (feat. Lil Yachty)","Big Baby DRAM","Shelley FKA DRAM,Lil Yachty",2016-10-21,225205,66,spotify:user:emberg547,2019-07-27T04:49:59Z,"alternative r&b,pop rap,rap,virginia hip hop,atl hip hop,hip hop,melodic rap,trap,underground hip hop,viral rap",0.886,0.525,8,-7.39,1,0.131,0.236,0,0.057,0.708,145.99,4
2ANLarE8yHVsLWW21nj79M,"4O15NlyKLIASxsJ0PrXPfz","You Was Right","Lil Uzi Vert vs. The World","Lil Uzi Vert",2016-05-27,163944,72,spotify:user:emberg547,2019-07-30T03:31:30Z,"melodic rap,philly rap,rap,trap",0.843,0.359,0,-7.417,1,0.461,0.069,0,0.12,0.156,81.987,4
4scpF6J5uMBvoh6sFB7EL1,"7iZtZyCzp3LItcw1wtPI3D","No Type","SremmLife","Rae Sremmurd",2015-01-06,200080,76,spotify:user:emberg547,2019-08-16T02:27:23Z,"hip hop,melodic rap,mississippi hip hop,pop rap,rap,southern hip hop,trap",0.891,0.486,6,-7.803,1,0.159,0.0158,0.00000378,0.0925,0.239,125.01,4
1Kym30HhxluYlqAxyu1QqQ,"5OrB6Jhhrl9y2PK0pSV4VP,3TVXtAsR1Inumwj472S9r4","Trophies","Trophies","Young Money,Drake",2014-01-01,188333,0,spotify:user:emberg547,2019-09-08T00:34:06Z,"dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,canadian hip hop,canadian pop,toronto rap",0.747,0.696,1,-7.463,1,0.432,0.141,0,0.125,0.294,143.933,4
6luNyXcde9izZNoerbzG9n,"0A0FS04o6zMoto8OKPsDwY","One Time Comin'","Def Jam Presents: Direct Deposit (Vol. 1)","YG",2016-12-02,167706,0,spotify:user:emberg547,2019-09-08T00:40:32Z,"cali rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap",0.816,0.642,8,-5.233,1,0.0345,0.00203,0,0.333,0.447,108.055,4
2Zb7wnGUnNPCas2E0wWSQ5,"3nFkdlSjzX9mRTtwJOzDYB,5K4W6rqBFWDnAN6FQUkS6x","Ni**as In Paris","Watch The Throne (Deluxe)","JAY-Z,Kanye West",2011-08-08,219333,39,spotify:user:emberg547,2019-10-16T02:28:01Z,"east coast hip hop,hip hop,rap,chicago rap",0.788,0.859,1,-5.542,1,0.315,0.127,0,0.348,0.769,140.027,4
3CLd7BfvgsBwBUI8kwFLU6,"4qBgvVog0wzW75IQ48mU7v,46SHBwWsqBkxI7EeeBEQG7","iSpy (feat. Kodak Black)","iSpy (feat. Kodak Black)","KYLE,Kodak Black",2017-06-09,227778,61,spotify:user:emberg547,2019-10-16T02:30:24Z,"pop,pop rap,rap,florida rap,hip hop,melodic rap,miami hip hop,southern hip hop,trap",0.776,0.724,7,-4.874,1,0.216,0.455,0,0.109,0.677,74.987,4
