Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
31I3Rt1bPa2LrE74DdNizO,"5K4W6rqBFWDnAN6FQUkS6x,7u6LfVyYpEzMpHLL7jTyvU","Flashing Lights","Graduation","Kanye West,Dwele",2007-09-11,237506,83,spotify:user:emberg547,2020-12-01T07:31:18Z,"chicago rap,rap,alternative r&b,neo soul,r&b,urban contemporary",0.639,0.628,6,-7.578,0,0.0399,0.0381,0,0.386,0.43,90.482,4
7vgTNTaEz3CsBZ1N4YQalM,"5K4W6rqBFWDnAN6FQUkS6x,2HPaUgqeutzr3jx5a9WyDV","Ghost Town","ye","Kanye West,PARTYNEXTDOOR",2018-06-01,271386,80,spotify:user:emberg547,2020-12-01T07:31:42Z,"chicago rap,rap,pop,pop rap,r&b,toronto rap,trap,urban contemporary",0.573,0.545,7,-4.247,0,0.0288,0.0969,0,0.329,0.297,83.378,4
4jQqM4NI79HEcWHUJb8Hvf,"5K4W6rqBFWDnAN6FQUkS6x","I Wonder","Graduation","Kanye West",2007-09-11,243440,79,spotify:user:emberg547,2020-12-01T07:31:53Z,"chicago rap,rap",0.542,0.466,0,-8.665,1,0.0831,0.141,0.000445,0.125,0.124,191.385,4
1eQBEelI2NCy7AUTerX0KS,"5K4W6rqBFWDnAN6FQUkS6x","Ultralight Beam","The Life Of Pablo","Kanye West",2016-06-10,320680,74,spotify:user:emberg547,2020-12-01T07:31:56Z,"chicago rap,rap",0.592,0.403,0,-8.768,0,0.414,0.62,0,0.54,0.391,105.169,4
1UGD3lW3tDmgZfAVDh6w7r,"5K4W6rqBFWDnAN6FQUkS6x,1sBkRIssrMs1AbVkOJbc7a","Devil In A New Dress","My Beautiful Dark Twisted Fantasy","Kanye West,Rick Ross",2010-11-22,351946,79,spotify:user:emberg547,2020-12-01T07:39:13Z,"chicago rap,rap,dirty south rap,gangster rap,hip hop,pop rap,southern hip hop,trap",0.435,0.76,8,-4.935,0,0.0721,0.0175,0,0.158,0.206,80.082,4
3s7MCdXyWmwjdcWh7GWXas,"5K4W6rqBFWDnAN6FQUkS6x","Violent Crimes","ye","Kanye West",2018-06-01,215320,78,spotify:user:emberg547,2020-12-01T07:46:48Z,"chicago rap,rap",0.669,0.419,1,-6.724,0,0.522,0.376,0,0.187,0.0397,109.813,4
22L7bfCiAkJo5xGSQgmiIO,"5K4W6rqBFWDnAN6FQUkS6x","All Of The Lights","My Beautiful Dark Twisted Fantasy","Kanye West",2010-11-22,299613,79,spotify:user:emberg547,2020-12-01T07:47:18Z,"chicago rap,rap",0.531,0.803,1,-3.284,1,0.0717,0.0796,0.0000171,0.176,0.221,142.113,4
4EWCNWgDS8707fNSZ1oaA5,"5K4W6rqBFWDnAN6FQUkS6x","Heartless","808s & Heartbreak","Kanye West",2008-11-24,211000,83,spotify:user:emberg547,2020-12-01T07:47:24Z,"chicago rap,rap",0.79,0.647,10,-5.983,0,0.136,0.0515,0,0.248,0.654,87.999,4
6JyEh4kl9DLwmSAoNDRn5b,"2hPgGN4uhvXAxiXQBIXOmE,52lBOxCxbJg0ttXEW9CQpW","4th Dimension","KIDS SEE GHOSTS","KIDS SEE GHOSTS,Louis Prima",2018-06-08,153351,71,spotify:user:emberg547,2020-12-01T07:47:36Z,"hip hop,rap,adult standards,jump blues,lounge,soul,swing,vocal jazz",0.765,0.542,1,-6.755,1,0.39,0.278,0.0000187,0.609,0.734,171.945,4
4RVbK6cV0VqWdpCDcx3hiT,"2hPgGN4uhvXAxiXQBIXOmE","Reborn","KIDS SEE GHOSTS","KIDS SEE GHOSTS",2018-06-08,324674,75,spotify:user:emberg547,2020-12-01T07:47:48Z,"hip hop,rap",0.585,0.597,0,-7.499,1,0.037,0.339,0.0404,0.195,0.227,100.051,4
