Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4z0PnuB07fxtVZZRWsCfxb,"4LLpKhyESsyAXpc4laK94U","100 Grandkids","GO:OD AM","Mac Miller",2015-09-18,278506,66,spotify:user:emberg547,2021-07-04T13:19:49Z,"hip hop,pittsburgh rap,rap",0.735,0.749,10,-3.766,0,0.0874,0.371,0,0.47,0.373,93.718,4
4gT3mNJA8lnlkYFqGZ8IA2,"4LLpKhyESsyAXpc4laK94U","Small Worlds","Swimming","Mac Miller",2018-08-03,271733,76,spotify:user:emberg547,2021-07-04T13:19:53Z,"hip hop,pittsburgh rap,rap",0.516,0.546,5,-9.105,1,0.249,0.814,0.0000045,0.0995,0.515,78.267,4
5bJ1DrEM4hNCafcDd1oxHx,"4LLpKhyESsyAXpc4laK94U","Self Care","Swimming","Mac Miller",2018-08-03,345133,82,spotify:user:emberg547,2021-07-04T13:19:56Z,"hip hop,pittsburgh rap,rap",0.52,0.538,1,-8.109,1,0.206,0.367,0.00187,0.119,0.177,141.894,4
29GefKRTSVW3ag4Xegm8jP,"4LLpKhyESsyAXpc4laK94U","Nikes On My Feet","K.I.D.S.","Mac Miller",2010-08-13,164631,71,spotify:user:emberg547,2021-07-04T13:19:59Z,"hip hop,pittsburgh rap,rap",0.8,0.569,9,-5.104,0,0.265,0.563,0,0.111,0.589,92.063,4
34hoVcS0YCuUCzx1aFENjq,"4LLpKhyESsyAXpc4laK94U,137W8MRPWKqSmrBGDBFSop","Keep Floatin'","Best Day Ever (5th Anniversary Remastered Edition)","Mac Miller,Wiz Khalifa",2016-06-03,263337,61,spotify:user:emberg547,2021-07-04T13:20:08Z,"hip hop,pittsburgh rap,rap,dance pop,pop rap,southern hip hop,trap",0.697,0.716,5,-6.671,0,0.151,0.0795,0,0.139,0.348,140.082,4
7yPGXCaeIr1ofJoqp3LeKF,"4LLpKhyESsyAXpc4laK94U,1RyvyyTE3xzB2ZywiAwp0i","Earth","Live From Space","Mac Miller,Future",2013-12-17,256773,59,spotify:user:emberg547,2021-07-04T13:20:11Z,"hip hop,pittsburgh rap,rap,atl hip hop,pop rap,southern hip hop,trap",0.763,0.483,1,-8.251,1,0.118,0.111,0.00000129,0.0996,0.641,84.011,4
6GnhWMhgJb7uyiiPEiEkDA,"4LLpKhyESsyAXpc4laK94U,360IAlyVv4PCEVjgyMZrxK","Weekend (feat. Miguel)","GO:OD AM","Mac Miller,Miguel",2015-09-18,208080,79,spotify:user:emberg547,2021-07-04T13:20:21Z,"hip hop,pittsburgh rap,rap,dance pop,pop,r&b,urban contemporary",0.843,0.435,8,-8.442,1,0.178,0.47,0,0.147,0.19,120.058,4
2hwOoMtWPtTSSn6WHV7Vp5,"4LLpKhyESsyAXpc4laK94U","Blue World","Circles","Mac Miller",2020-01-17,209440,78,spotify:user:emberg547,2021-07-04T13:20:23Z,"hip hop,pittsburgh rap,rap",0.742,0.553,8,-8.98,1,0.419,0.389,0,0.0694,0.508,84.931,4
3ycf2bdoyYW6KFX0PL9NDO,"4LLpKhyESsyAXpc4laK94U","Back In The Day","K.I.D.S. (Deluxe)","Mac Miller",2010-08-13,246865,53,spotify:user:emberg547,2021-07-04T13:20:30Z,"hip hop,pittsburgh rap,rap",0.691,0.64,6,-7.963,1,0.275,0.118,0.0000103,0.107,0.411,82.273,4
1Fi3GQIOz0JUygjNWe7oY3,"4LLpKhyESsyAXpc4laK94U","Someone Like You","Watching Movies with the Sound Off (Deluxe Edition)","Mac Miller",2013-06-18,256423,61,spotify:user:emberg547,2021-07-04T13:21:51Z,"hip hop,pittsburgh rap,rap",0.628,0.598,2,-5.483,1,0.119,0.0451,0.00000329,0.119,0.0603,135.047,4
