Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1t4pPnbkOjzoA5RvsDjvUU,"1Bl6wpkWCQ4KVgnASpvzzA","1999 WILDFIRE","1999 WILDFIRE","BROCKHAMPTON",2018-07-07,251250,64,spotify:user:emberg547,2020-01-30T01:50:42Z,"boy band,hip hop,pop,rap",0.811,0.57,5,-8.093,1,0.129,0.253,0,0.148,0.814,128.066,4
2pyjbGTpJCPjMYwCbdymiF,"5xkAtLTf309LAGZTbvULBn","Dazed & Confused","Dazed & Confused","Ruel",2018-04-27,189608,71,spotify:user:emberg547,2020-01-30T01:53:06Z,"alt z,australian alternative pop,dance pop,electropop,pop",0.688,0.5,2,-7.411,1,0.138,0.102,0,0.355,0.418,127.906,3
7hpJ9tATWb2vztlq99hERP,"4Uc8Dsxct0oMqx0P6i60ea","Maniac","Maniac","Conan Gray",2019-10-25,185786,25,spotify:user:emberg547,2020-02-02T14:49:16Z,"bedroom pop,electropop,indie pop,pop",0.623,0.647,8,-5.438,1,0.04,0.00122,0,0.354,0.522,107.987,4
2gtFMLjQpCTGekMi4oXZxN,"1iNqsUDUraNWrj00bqssQG,6U3ybJ9UHNKEdsH7ktGBZ7,5MbNzCW3qokGyoo9giHA3V,6PDLwWvgYNMfBRLqC1h5cJ,0NcPKaSNIHAM2RfioH9vMT","Wells Fargo (with JID & EARTHGANG feat. Buddy & Guapdad 4000) - Interlude","Revenge Of The Dreamers III","Dreamville,JID,EARTHGANG,Buddy,Guapdad 4000",2019-07-05,123413,60,spotify:user:emberg547,2020-02-05T13:40:47Z,"hip hop,rap,underground hip hop,atl hip hop,psychedelic hip hop,alternative r&b,cali rap,oakland hip hop,pop rap,scam rap,trap soul,vapor trap",0.8,0.826,1,-3.198,1,0.107,0.0706,0.00000476,0.181,0.241,148.021,4
2YouqYog7JYsVXqgxBikIi,"5nYfBUxnHtI6LAp32fl9qY","Uptown Boys","P3ace","Netherfriends",2014-03-03,135448,43,spotify:user:emberg547,2020-02-05T13:50:33Z,"shimmer pop",0.6,0.644,11,-5.18,1,0.0405,0.518,0.00301,0.108,0.588,73.004,4
0qdQUeKVyevrbKhAo0ibxS,"7FIoB5PHdrMZVC3q2HE5MS","My Sweet Lord - Remastered 2014","All Things Must Pass (Remastered 2014)","George Harrison",1970-11-27,281226,78,spotify:user:emberg547,2020-02-05T19:09:46Z,"album rock,beatlesque,classic rock,folk rock,mellow gold,rock,soft rock",0.537,0.701,1,-8.913,0,0.0335,0.0972,0,0.0832,0.583,120.919,4
03TzvVWdkVbLT9pzewYiDw,"55Aa2cqylxrFIXC767Z865,3EW0kQ1skZiK1NHg3Spt9J","I Don't Sleep (ft. Takeoff)","Funeral","Lil Wayne,Takeoff",2020-01-31,200733,54,spotify:user:emberg547,2020-02-06T19:53:02Z,"hip hop,new orleans rap,pop rap,rap,trap,atl hip hop,southern hip hop",0.587,0.635,8,-6.369,1,0.422,0.0785,0,0.175,0.758,82.517,4
4D3Twi99sdqxesC68XAPf5,"7nkLRaWHImCvWGHdNGnhVE","I'd Love To Change The World","The Anthology (1967-1971)","Ten Years After",2002-01-01,224026,6,spotify:user:emberg547,2020-02-06T20:04:47Z,"album rock,art rock,blues,blues rock,british blues,classic rock,country rock,electric blues,folk rock,hard rock,psychedelic rock,rock,symphonic rock",0.382,0.497,4,-11.815,0,0.0328,0.117,0.233,0.11,0.391,117.446,4
4Yxc55NX3tAXC2mHRAhtcW,"1McMsnEElThX1knmY4oliG","All I Want - From High School Musical: The Musical: The Series","All I Want (From High School Musical: The Musical: The Series)","Olivia Rodrigo",2019-11-27,177322,78,spotify:user:emberg547,2020-02-06T20:05:06Z,"pop",0.376,0.43,0,-6.585,0,0.0328,0.0902,0,0.0912,0.129,77.599,3
6K4t31amVTZDgR3sKmwUJJ,"5INjqkS1o8h1imAzPqGZBb","The Less I Know The Better","Currents","Tame Impala",2015-07-17,216320,86,spotify:user:emberg547,2020-02-06T20:05:18Z,"australian psych,neo-psychedelic",0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,4
3jjujdWJ72nww5eGnfs2E7,"6KImCVD70vtIoJWnq6nGn3","Adore You","Fine Line","Harry Styles",2019-12-13,207133,87,spotify:user:emberg547,2020-02-06T20:06:24Z,"pop",0.676,0.771,8,-3.675,1,0.0483,0.0237,0.000007,0.102,0.569,99.048,4
4sebUbjqbcgDSwG6PbSGI0,"26T3LtbuGT1Fu9m0eRq5X3","Come a Little Closer","Melophobia","Cage The Elephant",2013-10-08,229346,75,spotify:user:emberg547,2020-02-06T20:06:29Z,"modern rock,punk blues,rock",0.44,0.778,1,-1.786,0,0.0327,0.0265,0.00000104,0.151,0.304,148.038,4
1Cv1YLb4q0RzL6pybtaMLo,"4ETSs924pXMzjIeD6E9b4u","Sunday Best","Where the Light Is","Surfaces",2019-01-06,158571,81,spotify:user:emberg547,2020-02-06T20:06:59Z,"bedroom soul,pop",0.878,0.525,5,-6.832,1,0.0578,0.183,0,0.0714,0.694,112.022,4
6UelLqGlWMcVH1E5c4H7lY,"6KImCVD70vtIoJWnq6nGn3","Watermelon Sugar","Fine Line","Harry Styles",2019-12-13,174000,91,spotify:user:emberg547,2020-02-06T20:07:03Z,"pop",0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,4
3pndPhlQWjuSoXhcIIdBjv,"1z7b1Pr1rSlvWRzsW3HOrS","What They Want","There's Really A Wolf","Russ",2017-05-05,165853,75,spotify:user:emberg547,2020-02-06T20:07:15Z,"hawaiian hip hop,rap",0.71,0.404,1,-10.04,0,0.379,0.484,0,0.0953,0.398,139.553,4
0nbXyq5TXYPCO7pr3N8S4I,"757aE44tKEUQEqRuT6GnEB","The Box","Please Excuse Me for Being Antisocial","Roddy Ricch",2019-12-06,196652,86,spotify:user:emberg547,2020-02-06T20:07:50Z,"melodic rap,rap,trap",0.896,0.586,10,-6.687,0,0.0559,0.104,0,0.79,0.642,116.971,4
3QzAOrNlsabgbMwlZt7TAY,"0YinUQ50QDB7ZxSCLyQ40k,757aE44tKEUQEqRuT6GnEB","Ballin' (with Roddy Ricch)","Perfect Ten","Mustard,Roddy Ricch",2019-06-28,180434,82,spotify:user:emberg547,2020-02-06T20:09:58Z,"cali rap,hip hop,pop rap,rap,southern hip hop,trap,melodic rap",0.809,0.545,7,-6.678,1,0.0735,0.392,0,0.151,0.244,97.008,4
4sWuPniHClkInYAnzXAYUF,"0ErzCpIMyLcjPiwT4elrtZ","Camelot","Camelot","NLE Choppa",2019-09-13,148759,74,spotify:user:emberg547,2020-02-06T20:10:54Z,"memphis hip hop",0.787,0.713,7,-5.252,1,0.401,0.0849,0,0.717,0.761,175.046,4
1abFkY2jm6KDFMZ7RD9YJh,"5xkAtLTf309LAGZTbvULBn","Painkiller","Painkiller","Ruel",2019-04-30,213597,64,spotify:user:emberg547,2020-02-06T20:10:57Z,"alt z,australian alternative pop,dance pop,electropop,pop",0.675,0.414,5,-6.508,1,0.0569,0.105,0,0.192,0.439,128.927,4
5GFDrUTLGJix84sNhjCG0g,"3Gm5F95VdRxW3mqCn8RPBJ","Caroline","Caroline","Aminé",2016-08-26,209746,0,spotify:user:emberg547,2020-02-06T20:31:11Z,"hip hop,pop,portland hip hop,rap,underground hip hop",0.945,0.394,10,-8.571,1,0.492,0.303,0,0.131,0.743,120.058,4
53BHUFdQphHiZUUG3nx9zn,"6s22t5Y3prQHyaHWUN1R1C","Bang!","Bang!","AJR",2020-02-12,170858,73,spotify:user:emberg547,2020-02-12T13:02:25Z,"modern rock,pop rap",0.74,0.516,1,-6.233,0,0.0507,0.0183,0,0.0558,0.698,139.918,4
6U0FIYXCQ3TGrk4tFpLrEA,"1Bl6wpkWCQ4KVgnASpvzzA","SUGAR","GINGER","BROCKHAMPTON",2019-08-23,204533,78,spotify:user:emberg547,2020-02-16T23:23:00Z,"boy band,hip hop,pop,rap",0.453,0.538,1,-8.212,1,0.0638,0.449,0,0.19,0.516,122.973,4
6zUw4QJytKkTBhwbRC6OiM,"0dn62y7ayEAxcIcMcBWXIE","Clean Me Up","Clean Me Up","Thomas Headon",2019-11-29,165000,58,spotify:user:emberg547,2020-02-17T05:49:12Z,"modern indie pop",0.631,0.402,0,-10.054,1,0.124,0.519,0,0.0686,0.534,91.945,4
7iHHxY2NLlJRAmlAmC4ahQ,"5zctI4wO9XSKS8XwcnqEHk,2hlmm7s2ICUX0LVIhVFlZQ","Stuck In A Dream (feat. Gunna)","Certified Hitmaker","Lil Mosey,Gunna",2019-11-08,123560,76,spotify:user:emberg547,2020-02-17T05:53:51Z,"melodic rap,rap,rap conscient,trap,vapor trap,atl hip hop,hip hop",0.748,0.648,10,-6.445,0,0.0816,0.484,0,0.126,0.726,139.952,4
2nC3QhMI9reBIOWutbU3Tj,"6P5NO5hzJbuOqSdyPB7SJM","Moral of the Story","Moral of the Story","Ashe",2019-02-14,201083,79,spotify:user:emberg547,2020-02-21T04:24:35Z,"alt z,electropop,pop",0.572,0.406,10,-8.624,1,0.0427,0.587,0.00000448,0.102,0.265,119.812,4
23TPP1eeElFfvYVznskwCY,"0Cp8WN4V8Tu4QJQwCN5Md4","Glitter","FIRE ON MARZZ","BENEE",2019-06-28,180146,72,spotify:user:emberg547,2020-02-22T21:58:09Z,"alt z,nz pop,pop",0.801,0.589,7,-5.157,1,0.0485,0.0863,0,0.162,0.58,116.934,4
3Dv1eDb0MEgF93GpLXlucZ,"5cj0lLjcoR7YOSnhnX0Po5","Say So","Hot Pink","Doja Cat",2019-11-07,237893,85,spotify:user:emberg547,2020-02-22T21:58:44Z,"dance pop,pop",0.787,0.673,11,-4.583,0,0.159,0.264,0.00000335,0.0904,0.779,110.962,4
4efZXKOFm1rk22FDjScLbE,"0lawSNBxNgJFQYJnQzLH8c","Sunkissed","Now and Then","khai dreams",2019-10-11,126464,0,spotify:user:emberg547,2020-02-22T21:59:10Z,"indie pop,lo-fi rap,sad lo-fi",0.768,0.354,6,-9.484,1,0.0539,0.592,0,0.399,0.793,153.97,4
3WmgMoWZ1E5yNyn2aUzWAr,"0JDVDA5aG4Y2wXylqghzC6","BOYFREN","BOYFREN","LoveLeo",2020-01-10,136955,66,spotify:user:emberg547,2020-02-22T21:59:21Z,"modern indie pop",0.846,0.364,1,-7.328,1,0.0602,0.246,0.011,0.0902,0.682,79.927,4
6WrI0LAC5M1Rw2MnX2ZvEg,"6M2wZ9GZgrQXHCFfjv46we","Don't Start Now","Don't Start Now","Dua Lipa",2019-10-31,183290,84,spotify:user:emberg547,2020-02-22T21:59:31Z,"dance pop,pop,uk pop",0.794,0.793,11,-4.521,0,0.0842,0.0125,0,0.0952,0.677,123.941,4
755inykyaG4w22GWAsA3MX,"6pF6MN603wSrisJcf7HS5v","Marlboro Nights","Marlboro Nights","Lonely God",2018-06-28,68522,76,spotify:user:emberg547,2020-02-22T21:59:36Z,"modern indie pop",0.466,0.823,2,-6.635,1,0.311,0.00237,0.000321,0.332,0.782,175.797,4
0zePbRMJ9sd7wsZRlbPQua,"6eJa3zG1QZLRB3xgRuyxbm","Hot Rod","Fuzzybrain","Dayglow",2019-11-14,204014,78,spotify:user:emberg547,2020-02-22T21:59:42Z,"austindie,indie pop,modern rock",0.707,0.767,7,-7.072,1,0.0323,0.0279,0.000295,0.169,0.832,139.985,4
