Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
34hoVcS0YCuUCzx1aFENjq,"4LLpKhyESsyAXpc4laK94U,137W8MRPWKqSmrBGDBFSop","Keep Floatin'","Best Day Ever (5th Anniversary Remastered Edition)","Mac Miller,Wiz Khalifa",2016-06-03,263337,61,spotify:user:emberg547,2021-02-01T21:48:15Z,"hip hop,pittsburgh rap,rap,dance pop,pop rap,southern hip hop,trap",0.697,0.716,5,-6.671,0,0.151,0.0795,0,0.139,0.348,140.082,4
3sNVsP50132BTNlImLx70i,"5K4W6rqBFWDnAN6FQUkS6x","Bound 2","Yeezus","Kanye West",2013-06-18,229146,82,spotify:user:emberg547,2021-02-02T21:54:33Z,"chicago rap,rap",0.367,0.665,1,-2.821,1,0.0465,0.145,0,0.113,0.31,148.913,4
7yPGXCaeIr1ofJoqp3LeKF,"4LLpKhyESsyAXpc4laK94U,1RyvyyTE3xzB2ZywiAwp0i","Earth","Live From Space","Mac Miller,Future",2013-12-17,256773,59,spotify:user:emberg547,2021-02-03T01:13:17Z,"hip hop,pittsburgh rap,rap,atl hip hop,pop rap,southern hip hop,trap",0.763,0.483,1,-8.251,1,0.118,0.111,0.00000129,0.0996,0.641,84.011,4
1UGD3lW3tDmgZfAVDh6w7r,"5K4W6rqBFWDnAN6FQUkS6x,1sBkRIssrMs1AbVkOJbc7a","Devil In A New Dress","My Beautiful Dark Twisted Fantasy","Kanye West,Rick Ross",2010-11-22,351946,79,spotify:user:emberg547,2021-02-03T01:23:26Z,"chicago rap,rap,dirty south rap,gangster rap,hip hop,pop rap,southern hip hop,trap",0.435,0.76,8,-4.935,0,0.0721,0.0175,0,0.158,0.206,80.082,4
2HbKqm4o0w5wEeEFXm2sD4,"2YZyLoL8N0Wb9xBt1NhZWg,28ExwzUQsvgJooOI0X1mr3","Money Trees","good kid, m.A.A.d city","Kendrick Lamar,Jay Rock",2012,386906,80,spotify:user:emberg547,2021-02-03T01:24:48Z,"conscious hip hop,hip hop,rap,west coast rap,gangster rap,pop rap,southern hip hop,trap,underground hip hop",0.716,0.531,7,-7.355,1,0.122,0.0703,0,0.224,0.344,71.994,4
51EC3I1nQXpec4gDk0mQyP,"0Y5tJX1MQlPlqiwlOH1tJY,4dYQmk5ma04mZ1KJ9KkAQK","90210 (feat. Kacy Hill)","Rodeo (Expanded Edition)","Travis Scott,Kacy Hill",2015-09-04,339066,79,spotify:user:emberg547,2021-02-03T01:44:16Z,"rap,slap house,alternative r&b,art pop,electropop,indie pop,la pop,modern alternative pop,vapor soul",0.402,0.526,9,-6.741,0,0.0904,0.113,0.00000833,0.105,0.312,81.404,4
4KW1lqgSr8TKrvBII0Brf8,"5K4W6rqBFWDnAN6FQUkS6x","Father Stretch My Hands Pt. 1","The Life Of Pablo","Kanye West",2016-06-10,135920,82,spotify:user:emberg547,2021-02-03T01:50:35Z,"chicago rap,rap",0.724,0.573,7,-4.113,1,0.0549,0.118,0,0.538,0.438,113.088,4
4S7YHmlWwfwArgd8LfSPud,"13ubrt8QOOCPljQ2FL1Kca","L$D","AT.LONG.LAST.A$AP","A$AP Rocky",2015-05-26,238306,78,spotify:user:emberg547,2021-02-03T02:17:36Z,"east coast hip hop,hip hop,rap,trap",0.598,0.252,2,-15.086,1,0.0644,0.194,0.133,0.0992,0.0352,120.064,4
7umZiitjVsEjMQ6HNddpUI,"2P5sC9cVZDToPxyomzF1UH","Love Is Only a Feeling","Love Is Only a Feeling","Joey Bada$$",2017-07-06,152041,82,spotify:user:emberg547,2021-02-03T02:24:38Z,"conscious hip hop,hip hop,rap,underground hip hop",0.629,0.676,1,-7.088,0,0.191,0.53,0.000325,0.701,0.497,90.377,4
4gT3mNJA8lnlkYFqGZ8IA2,"4LLpKhyESsyAXpc4laK94U","Small Worlds","Swimming","Mac Miller",2018-08-03,271733,76,spotify:user:emberg547,2021-02-03T02:26:37Z,"hip hop,pittsburgh rap,rap",0.516,0.546,5,-9.105,1,0.249,0.814,0.0000045,0.0995,0.515,78.267,4
1Fi3GQIOz0JUygjNWe7oY3,"4LLpKhyESsyAXpc4laK94U","Someone Like You","Watching Movies with the Sound Off (Deluxe Edition)","Mac Miller",2013-06-18,256423,61,spotify:user:emberg547,2021-02-03T02:39:07Z,"hip hop,pittsburgh rap,rap",0.628,0.598,2,-5.483,1,0.119,0.0451,0.00000329,0.119,0.0603,135.047,4
5bkhrGvabAPrugPUm7DvsD,"0fA0VVWsXO9YnASrzqfmYu,5K4W6rqBFWDnAN6FQUkS6x,2GHclqNVjqGuiE5mA7BEoc","Make Her Say","Man On The Moon: The End Of Day","Kid Cudi,Kanye West,Common",2009-09-15,216413,52,spotify:user:emberg547,2021-02-03T02:43:08Z,"hip hop,ohio hip hop,pop rap,rap,chicago rap,alternative hip hop,conscious hip hop,gangster rap,neo soul,political hip hop",0.93,0.712,10,-5.156,0,0.0666,0.245,0.0000148,0.116,0.456,99.054,4
3y3lDeOb2c3FYCniav00EY,"4r63FhuTkUYltbVAg5TQnk,20sxb77xiYeusSH8cVdatc","8 Figures (feat. Meek Mill)","My Brother’s Keeper (Long Live G)","DaBaby,Meek Mill",2020-11-20,178948,51,spotify:user:emberg547,2021-02-03T02:43:12Z,"north carolina hip hop,rap,hip hop,philly rap,pop rap,southern hip hop,trap",0.703,0.555,8,-8.199,1,0.382,0.0382,0,0.246,0.702,177.205,4
2t7IyE7fBnYO5mFdhdCt8g,"3Gm5F95VdRxW3mqCn8RPBJ,6U3ybJ9UHNKEdsH7ktGBZ7,6CxZzQFUTM6AzgluGwtq5w","Roots (feat. JID, Charlie Wilson)","Limbo (Deluxe)","Aminé,JID,Charlie Wilson",2020-12-04,267982,38,spotify:user:emberg547,2021-02-03T02:52:08Z,"hip hop,pop,portland hip hop,rap,underground hip hop,contemporary r&b,neo soul,quiet storm,r&b,urban contemporary",0.55,0.76,0,-3.707,1,0.219,0.358,0,0.59,0.509,138.137,4
4TAXISYNjMv2PGh9d9nlID,"3Gm5F95VdRxW3mqCn8RPBJ","Woodlawn","Limbo (Deluxe)","Aminé",2020-12-04,143152,44,spotify:user:emberg547,2021-02-03T02:58:41Z,"hip hop,pop,portland hip hop,rap,underground hip hop",0.784,0.586,10,-5.148,1,0.057,0.159,0,0.183,0.824,113.973,4
2GtaNlidzvK3hY78kCdsHa,"0fA0VVWsXO9YnASrzqfmYu","Marijuana","Man On The Moon II: The Legend Of Mr. Rager","Kid Cudi",2010-11-09,260200,66,spotify:user:emberg547,2021-02-03T03:04:40Z,"hip hop,ohio hip hop,pop rap,rap",0.673,0.403,8,-9.809,0,0.0273,0.829,0.829,0.272,0.54,140.986,4
3oGbHF3Kdwf3AsRCbBjUxu,"5IbEL2xjRtKsunfmsahLuO,0uGk2czvcpWQA383Im6ajf","Moon & Stars (feat. Maggie Lindemann)","- TRAGEDY +","$NOT,Maggie Lindemann",2020-03-06,187586,75,spotify:user:emberg547,2021-02-03T03:39:37Z,"aesthetic rap,florida rap,underground hip hop,vapor trap,alt z,pop,post-teen pop",0.713,0.47,9,-8.698,1,0.0864,0.606,0.0000135,0.306,0.0825,84.518,4
1dOlBYd9p7MC2BAvWzP4zb,"0FtsMKmZEq8fBWqdSOWtqp","Substance","The Wolf of Grape Street","03 Greedo",2018-03-09,219834,37,spotify:user:emberg547,2021-02-03T03:53:06Z,"cali rap,melodic rap,rap,trap,underground hip hop,vapor trap",0.599,0.32,3,-13.716,0,0.0787,0.258,0,0.106,0.197,70.996,4
0j8ppsOOawdPCJnSTcXgOy,"5IbEL2xjRtKsunfmsahLuO","GOSHA","- TRAGEDY +","$NOT",2020-03-06,120000,78,spotify:user:emberg547,2021-02-03T04:06:01Z,"aesthetic rap,florida rap,underground hip hop,vapor trap",0.847,0.448,0,-10.14,1,0.416,0.81,0.0000135,0.325,0.488,79.975,4
