Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
3gY6tiCNsuVi6s8kPV6aQg,"20qISvAhX20dpIbOOzGK3q","Nas Is Like","I Am...","Nas",1999-04-06,237026,69,spotify:user:emberg547,2021-03-03T17:26:26Z,"conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,queens hip hop,rap",0.634,0.845,11,-5.058,0,0.352,0.00602,0.00000529,0.0598,0.929,94,4
26q6YTrXt9l8qshIveiTX9,"0gqIrDRL7CEPBWMmkuZPdQ","Rebirth Of Slick (Cool Like Dat)","Reachin' (A New Refutation Of Time And Space)","Digable Planets",1993-01-01,261266,62,spotify:user:emberg547,2021-03-03T17:26:50Z,"afrofuturism,alternative hip hop,east coast hip hop,hardcore hip hop,hip hop,jazz rap,psychedelic hip hop,rap",0.884,0.334,1,-18.943,0,0.228,0.0476,0.0588,0.107,0.571,98.315,4
6HNT76YDwHxv5DMny3zVpJ,"3PyWEKLWI0vHPmoNrIX0QE","When I Be On Tha Mic","The Master","Rakim",1999-01-01,222933,28,spotify:user:emberg547,2021-03-03T17:26:57Z,"east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap",0.874,0.506,10,-7.248,0,0.285,0.0411,0,0.0409,0.808,95.93,4
5zwz05jkQVT68CjUpPwFZe,"20qISvAhX20dpIbOOzGK3q","N.Y. State of Mind","Illmatic XX","Nas",2014-04-15,293973,63,spotify:user:emberg547,2021-03-03T17:27:08Z,"conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,queens hip hop,rap",0.665,0.91,6,-4.682,0,0.223,0.0394,0,0.227,0.887,84.099,4
0XRbYXQUymj9SJkrr8YK5B,"1ZwdS5xdxEREPySFridCfh","Keep Ya Head Up","Strictly 4 My N.I.G.G.A.Z...","2Pac",1993-02-16,262506,72,spotify:user:emberg547,2021-03-03T17:27:20Z,"g funk,gangster rap,hip hop,rap,west coast rap",0.598,0.732,4,-7.013,1,0.425,0.144,0,0.508,0.595,172.329,4
20fBuVybkHgjF6vNhSMROD,"1ZwdS5xdxEREPySFridCfh","Ambitionz Az A Ridah","All Eyez On Me","2Pac",1996,278386,35,spotify:user:emberg547,2021-03-03T17:27:30Z,"g funk,gangster rap,hip hop,rap,west coast rap",0.801,0.908,2,-6.554,1,0.221,0.00253,0.000655,0.0698,0.805,87.279,4
17larILaMHwsprsMFnYI77,"5me0Irg2ANcsgc93uaYrpb","Big Poppa - 2005 Remaster","Bad Boy's 10th Anniversary- The Hits","The Notorious B.I.G.",2004-03-09,252746,66,spotify:user:emberg547,2021-03-03T17:27:41Z,"east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap",0.778,0.578,9,-7.22,0,0.274,0.432,0,0.138,0.758,84.487,4
7KwZNVEaqikRSBSpyhXK2j,"5me0Irg2ANcsgc93uaYrpb","Hypnotize - 2014 Remaster","Life After Death (2014 Remastered Edition)","The Notorious B.I.G.",1997-03-04,229826,81,spotify:user:emberg547,2021-03-03T17:27:51Z,"east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap",0.901,0.697,9,-3.439,1,0.28,0.145,0,0.287,0.67,93.941,4
5ByAIlEEnxYdvpnezg7HTX,"5me0Irg2ANcsgc93uaYrpb","Juicy - 2005 Remaster","Ready to Die (The Remaster)","The Notorious B.I.G.",1994-09-13,302760,78,spotify:user:emberg547,2021-03-03T17:27:57Z,"east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap",0.889,0.818,9,-4.639,1,0.253,0.47,0,0.179,0.782,96.063,4
4INDiWSKvqSKDEu7mh8HFz,"5me0Irg2ANcsgc93uaYrpb,1wiBLzTI7z9RUwEpNPdFT6,59wfkuBoNyhDMQGCljbUbA","Mo Money Mo Problems (feat. Puff Daddy & Mase) - 2014 Remaster","Life After Death (2014 Remastered Edition)","The Notorious B.I.G.,Mase,Diddy",1997-03-04,257399,76,spotify:user:emberg547,2021-03-03T17:28:01Z,"east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap,harlem hip hop,hip pop,pop rap,southern hip hop,urban contemporary,dance pop",0.845,0.884,6,-4.506,0,0.0759,0.0128,0.0000021,0.203,0.904,104.536,4
5PQmSHzWnlgG4EBuIqjac2,"20qISvAhX20dpIbOOzGK3q,2Mu5NfyYm8n5iTomuKAEHl","If I Ruled the World (Imagine That) (feat. Lauryn Hill)","It Was Written","Nas,Ms. Lauryn Hill",1996-07-02,282373,72,spotify:user:emberg547,2021-03-04T05:15:02Z,"conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,queens hip hop,rap,hip pop,neo soul,new jersey rap,r&b,urban contemporary",0.879,0.564,10,-7.682,0,0.247,0.0474,0.00000943,0.0519,0.523,93.908,4
0IVAlb0cFCH1cQ974iR1TU,"0Mz5XE0kb1GBnbLQm2VbcO","Ms. Fat Booty","Black On Both Sides","Mos Def",1999-10-12,223546,73,spotify:user:emberg547,2021-03-04T05:32:47Z,"alternative hip hop,conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap,southern hip hop",0.782,0.589,1,-4.827,1,0.189,0.148,0,0.164,0.869,90.438,4
5FHXxdJeq1iAE9PjDTEgyd,"20qISvAhX20dpIbOOzGK3q","The World Is Yours","Illmatic XX","Nas",2014-04-15,290573,56,spotify:user:emberg547,2021-03-04T05:38:20Z,"conscious hip hop,east coast hip hop,gangster rap,hardcore hip hop,hip hop,queens hip hop,rap",0.678,0.794,10,-6.186,0,0.14,0.274,0.00000168,0.124,0.54,87.374,4
2lUirvUhqfBqJzUvk4tLoK,"3Mcii5XWf6E0lrY3Uky4cA","It Was A Good Day","The Predator (World) [Explicit]","Ice Cube",1992-11-17,259946,0,spotify:user:emberg547,2021-03-04T16:50:10Z,"conscious hip hop,g funk,gangster rap,hip hop,rap,west coast rap",0.792,0.82,7,-3.58,0,0.116,0.279,0.000403,0.25,0.793,82.363,4
0eEXcw3JLVXcRxYrVYMy68,"09hVIj6vWgoCDtT03h8ZCa","Electric Relaxation","The Anthology","A Tribe Called Quest",1999-10-26,226133,69,spotify:user:emberg547,2021-03-04T17:31:07Z,"alternative hip hop,conscious hip hop,east coast hip hop,gangster rap,golden age hip hop,hardcore hip hop,hip hop,jazz rap,queens hip hop,rap",0.866,0.534,11,-9.201,1,0.229,0.184,0.266,0.0929,0.841,98.243,4
4fuLWKNpY01OLMT9tARnB4,"2iclO3rlyF0YVNE46ctYRj","Doin' Our Own Dang","Done By The Forces Of Nature","Jungle Brothers",1989-11-08,258933,56,spotify:user:emberg547,2021-03-05T00:10:48Z,"alternative hip hop,east coast hip hop,golden age hip hop,hardcore hip hop,hip hop,hip house,jazz rap,old school hip hop,turntablism",0.835,0.447,6,-14.901,1,0.22,0.155,0.00876,0.108,0.839,113.082,4
0I3q5fE6wg7LIfHGngUTnV,"1G9G7WwrXka3Z1r7aIDjI7","Ms. Jackson","Stankonia","Outkast",2000-10-31,270506,84,spotify:user:emberg547,2021-03-05T00:10:55Z,"atl hip hop,dirty south rap,hip hop,old school atlanta hip hop,rap,southern hip hop",0.843,0.806,4,-5.946,0,0.269,0.143,0,0.0771,0.613,94.948,4
7lQWRAjyhTpCWFC0jmclT4,"3y24n3XhZ96wgwRXjvS17T,2LhsePRtgCo4THVKULQBL7","Gangsta's Paradise","Gangsta's Paradise","Coolio,L.V.",1995-11-07,240693,76,spotify:user:emberg547,2021-03-05T00:11:03Z,"g funk,gangster rap,hip hop,rap,west coast rap",0.647,0.514,8,-10.05,1,0.0593,0.0655,0,0.398,0.387,79.974,4
71XhXay6rKPZCVAaDtFlSR,"2Mu5NfyYm8n5iTomuKAEHl","Lost Ones","The Miseducation of Lauryn Hill","Ms. Lauryn Hill",1998-08-25,333906,62,spotify:user:emberg547,2021-03-07T18:06:58Z,"conscious hip hop,hip pop,neo soul,new jersey rap,r&b,urban contemporary",0.832,0.749,2,-6.129,1,0.37,0.0998,0.00000374,0.0837,0.65,94.899,4
119c93MHjrDLJTApCVGpvx,"34EP7KEpOjXcM2TCat1ISk,4VmEWwd8y9MCLwexFMdpwt,2yQf6b8hxahZaT5dHlWaB1,4OBbOrkD4geIjOLrICN3wO,4QTIR7KM0trauXspUNduhh","C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)","Enter The Wu-Tang (36 Chambers) [Expanded Edition]","Wu-Tang Clan,Method Man,Raekwon,Inspectah Deck,Buddha Monk",1993-11-09,252186,77,spotify:user:emberg547,2021-03-07T20:10:25Z,"east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap,pop rap,southern hip hop,alternative hip hop,wu fam",0.479,0.549,11,-10.551,0,0.373,0.57,0.0235,0.127,0.576,180.985,4
3X414ZlCf5U7pcpIaIcUkT,"4akj4uteQQrrGxhX9Rjuyf","Flava in Ya Ear","Project: Funk Da World","Craig Mack",1994-01-01,217466,57,spotify:user:emberg547,2021-03-07T20:19:44Z,"gangster rap,hardcore hip hop,hip hop,hip pop,rap",0.763,0.541,9,-8.843,0,0.329,0.466,0,0.0693,0.885,90.032,4
0uEp9E98JB5awlA084uaIg,"2Mu5NfyYm8n5iTomuKAEHl","Doo Wop (That Thing)","The Miseducation of Lauryn Hill","Ms. Lauryn Hill",1998-08-25,320266,75,spotify:user:emberg547,2021-03-07T20:36:25Z,"conscious hip hop,hip pop,neo soul,new jersey rap,r&b,urban contemporary",0.535,0.505,2,-8.926,0,0.245,0.0393,0,0.0923,0.495,99.935,4
3vZO25GdYuqFrR1kzZADnp,"2WKdxPFRD7IqZvlIAvhMgY,2Mu5NfyYm8n5iTomuKAEHl,7aBzpmFXB4WWpPl2F7RjBe,0kJMPTXq7h3ztpDukSx5iD","Ready or Not","The Score (Expanded Edition)","Fugees,Ms. Lauryn Hill,Wyclef Jean,Pras",1996-02-13,226986,74,spotify:user:emberg547,2021-03-07T20:41:09Z,"east coast hip hop,gangster rap,hip hop,new jersey rap,rap,conscious hip hop,hip pop,neo soul,r&b,urban contemporary,rap kreyol",0.607,0.422,10,-13.364,0,0.499,0.209,0,0.0839,0.563,130.47,3
7nYvUtkQMx1v80S2FH2s9J,"2B4ZHz4QDWJTXPFPgO5peE,1Oa0bMld0A3u5OTYfMzp5h","Regulate","Regulate… G Funk Era","Warren G,Nate Dogg",1994-06-07,248866,77,spotify:user:emberg547,2021-03-27T19:53:36Z,"g funk,gangster rap,hardcore hip hop,hip hop,pop rap,rap,west coast rap",0.849,0.521,11,-12.999,0,0.216,0.304,0.00000165,0.115,0.763,95.265,4
3Ti0GdlrotgwsAVBBugv0I,"09hVIj6vWgoCDtT03h8ZCa","Can I Kick It?","People's Instinctive Travels and the Paths of Rhythm (25th Anniversary Edition)","A Tribe Called Quest",1990-04-17,251573,72,spotify:user:emberg547,2021-03-29T00:52:22Z,"alternative hip hop,conscious hip hop,east coast hip hop,gangster rap,golden age hip hop,hardcore hip hop,hip hop,jazz rap,queens hip hop,rap",0.848,0.666,0,-6.547,1,0.274,0.173,0.000699,0.129,0.744,96.662,4
5dRCujBQZQq6dlkCaGDMV0,"1ZwdS5xdxEREPySFridCfh,4x508hr5pvqmZTnGzEFBFO","Better Dayz","Better Dayz","2Pac,Mr. Biggs",2002-01-01,257626,62,spotify:user:emberg547,2021-04-19T21:04:08Z,"g funk,gangster rap,hip hop,rap,west coast rap",0.752,0.735,1,-3.851,1,0.196,0.0876,0,0.14,0.635,90.87,4
