Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0NlCW2NRTH6kwreOScnyfU,"5XDJlfdfbGNJrOJJNxTcdq","Done Playing Nice","Love Is Hell","Phora",2018-10-05,130482,29,spotify:user:emberg547,2018-12-25T19:57:05Z,"deep underground hip hop,oc rap,pop r&b,pop rap,r&b,sad rap",0.885,0.777,5,-6.408,1,0.357,0.00754,0,0.0895,0.486,140.046,4
1YUcTZ0ehoHY6G6Prhcbj0,"3XHO7cRUPCLOr6jwp8vsx5","Warm Foothills","This Is All Yours","alt-J",2014-09-22,225017,52,spotify:user:emberg547,2018-12-25T19:59:31Z,"indie rock,modern rock",0.274,0.209,2,-16.158,1,0.0411,0.913,0.0968,0.0978,0.0661,92.997,4
5rIVvxrkGWLGYV4UrEh1WE,"7dEFLdpxjmqhnv5ePvCTP7,032KwgTrwjRFmANQ7R0oKX","Feeling Good","Feeling Good","Madson Project.,Ok2222",2018-04-21,141111,39,spotify:user:emberg547,2018-12-27T22:23:41Z,"lo-fi chill,lo-fi beats",0.664,0.323,9,-10.599,1,0.116,0.856,0.167,0.0942,0.346,109.55,4
6ymTp1jOINm0UURUZ2h603,"0HkcYmcjrBR3SCw9Ld5VZk","Envy Me","Envy Me","Calboy",2018-09-13,120033,0,spotify:user:emberg547,2018-12-31T17:41:08Z,"chicago rap,melodic rap,pop rap,rap,trap,vapor trap",0.733,0.441,8,-9.191,0,0.369,0.155,0,0.197,0.524,149.087,4
1175r6ZmkUjX8dRJLz9Ohk,"027TpXKGwdXP7iwbjUSpV8","I Love You So","Songs for Dads","The Walters",2014-11-28,160253,71,spotify:user:emberg547,2019-01-06T18:43:03Z,"chicago indie,indie pop",0.578,0.669,10,-4.898,1,0.0377,0.65,0,0.13,0.503,75.995,4
6WG1dmVoqbbbabD3GjTrev,"0HkcYmcjrBR3SCw9Ld5VZk","Miss Me","Anxiety","Calboy",2017-12-07,93963,26,spotify:user:emberg547,2019-01-06T19:15:09Z,"chicago rap,melodic rap,pop rap,rap,trap,vapor trap",0.763,0.545,1,-6.185,1,0.479,0.037,0,0.129,0.141,169.185,4
230OmgLIQ7142D5WfSRwSK,"3koiLjNrgRTNbOwViDipeA","Let's Get It On","Gold","Marvin Gaye",2005-01-11,291600,20,spotify:user:emberg547,2019-01-07T22:09:50Z,"classic soul,funk,indie r&b,motown,northern soul,quiet storm,soul",0.507,0.603,3,-12.685,1,0.0736,0.235,0,0.0708,0.655,166.466,4
2RUhtNBh43RtSg0WBPPq3m,"1GLtl8uqKmnyCWxHmw9tL4","Naive","Inside In / Inside Out","The Kooks",2006-01-01,203506,63,spotify:user:emberg547,2019-01-07T22:10:22Z,"brighton indie,modern rock,rock",0.547,0.816,8,-6.165,0,0.0624,0.0688,0,0.127,0.722,102.765,4
7N1Vjtzr1lmmCW9iasQ8YO,"6O2zJ0tId7g07yzHtX0yap","Survival of the Fittest","The Infamous","Mobb Deep",1995-04-25,224533,73,spotify:user:emberg547,2019-01-07T22:10:53Z,"east coast hip hop,gangster rap,hardcore hip hop,hip hop,queens hip hop,rap",0.813,0.703,11,-5.077,0,0.268,0.125,0.00000126,0.237,0.241,94.828,4
4EQVPoWgpb0BzO0CmlPzOu,"6imRNjLGoofHTQtBEk0ooM","Intro (Santa Barbara)","Intro (Santa Barbara)","Box Dreams",2017-01-25,254001,27,spotify:user:emberg547,2019-01-07T22:11:11Z,"",0.45,0.428,5,-12.303,0,0.127,0.658,0.847,0.1,0.359,75.093,4
1WIZiOuNO3woKfdlSK2gNn,"46SHBwWsqBkxI7EeeBEQG7","Transportin'","Project Baby 2: All Grown Up","Kodak Black",2017-08-18,169344,75,spotify:user:emberg547,2019-01-09T02:33:30Z,"florida rap,hip hop,melodic rap,miami hip hop,rap,southern hip hop,trap",0.804,0.66,10,-4.86,0,0.0726,0.0319,0,0.103,0.257,94.053,4
5Yl3O4S7SO0BhpjkUIl3sn,"0botW5W7KGHTm8BkLemEH8","We're Not Just Friends","Cold Blood Magic","Parks, Squares and Alleys",2018-01-26,184000,42,spotify:user:emberg547,2019-01-09T02:33:58Z,"modern dream pop,russian shoegaze",0.662,0.613,4,-8.481,1,0.0296,0.315,0.0000766,0.0983,0.592,114.983,4
2ux8CLOcArj4QsXygAB7u3,"07QEuhtrNmmZ0zEcqE9SF6","This Isn’t The End","Mobile Orchestra","Owl City",2015-07-10,203840,54,spotify:user:emberg547,2019-01-09T02:34:33Z,"indietronica,modern rock,pop,pop rock,post-teen pop",0.664,0.655,7,-5.752,1,0.0291,0.0173,0.000312,0.15,0.449,128.013,5
5p7GiBZNL1afJJDUrOA6C8,"4LLpKhyESsyAXpc4laK94U","Hurt Feelings","Swimming","Mac Miller",2018-08-03,245640,73,spotify:user:emberg547,2019-01-09T02:37:18Z,"hip hop,pittsburgh rap,rap",0.69,0.462,8,-8.054,1,0.13,0.343,0.00218,0.113,0.325,157.655,4
7uWVT3UkCAZyANvv0bdyQn,"2YZyLoL8N0Wb9xBt1NhZWg,4jCbgl5Dmt3uOh8WRQfpPs,0N41KJ4H6bkPAm2tx7VS8C,4frXpPxQQZwbCu3eTGnZEw","These Walls","To Pimp A Butterfly","Kendrick Lamar,Bilal,Anna Wise,Thundercat",2015-03-16,300973,66,spotify:user:emberg547,2019-01-10T12:56:54Z,"conscious hip hop,hip hop,rap,west coast rap,indie jazz,indie soul,neo soul,urban contemporary,alternative r&b,indie r&b,afrofuturism",0.752,0.489,1,-5.233,1,0.137,0.11,0.00000357,0.202,0.373,108.005,4
3klMnAnAWXdo6MomqXeJMn,"4LG4Bs1Gadht7TCrMytQUO","40 Mark Strasse","Port Of Morrow","The Shins",2012-03-16,278533,38,spotify:user:emberg547,2019-01-11T03:11:11Z,"albuquerque indie,alternative rock,indie folk,indie pop,indie rock,modern rock,pop rock,portland indie,rock,stomp and holler",0.653,0.542,9,-7.542,1,0.0279,0.00567,0.00193,0.102,0.631,140.012,4
0lgScP4Sc9teQbV8TBJac6,"1KP6TWI40m7p3QBTU6u2xo","Sweet Dreams","Blue Madonna","BØRNS",2018-01-12,199767,55,spotify:user:emberg547,2019-01-11T22:36:58Z,"modern rock,pop",0.623,0.534,11,-6.678,1,0.0315,0.0427,0.0000824,0.119,0.387,91.997,4
3kqx0TEseCe6voL75NgujZ,"29Fx8D8mDYcSQx0xvcWfJE","Lemon Lime","One","Ben Lukas",2019-01-11,74894,0,spotify:user:emberg547,2019-01-12T01:23:50Z,"",0.692,0.214,2,-23.567,1,0.17,0.575,0.479,0.108,0.701,130.309,4
6xagjcywpcyNFghafZPQJv,"360IAlyVv4PCEVjgyMZrxK","Banana Clip","War & Leisure","Miguel",2017-12-01,201626,65,spotify:user:emberg547,2019-01-13T01:18:45Z,"dance pop,pop,r&b,urban contemporary",0.638,0.708,1,-5.342,0,0.0754,0.0973,0,0.177,0.606,84.978,4
7lQWRAjyhTpCWFC0jmclT4,"3y24n3XhZ96wgwRXjvS17T,2LhsePRtgCo4THVKULQBL7","Gangsta's Paradise","Gangsta's Paradise","Coolio,L.V.",1995-11-07,240693,76,spotify:user:emberg547,2019-01-13T04:47:18Z,"g funk,gangster rap,hip hop,rap,west coast rap",0.647,0.514,8,-10.05,1,0.0593,0.0655,0,0.398,0.387,79.974,4
5mTJcvxRxq3uF5wUjjciDw,"3WGpXCj9YhhfX11TToZcXP","Lucky Strike","Bloom","Troye Sivan",2018-08-31,208967,0,spotify:user:emberg547,2019-01-14T13:13:25Z,"australian pop,dance pop,electropop,pop,viral pop",0.612,0.694,2,-7.363,1,0.0514,0.579,0,0.0914,0.564,103.031,4
7pegxVesMmE2qK0o58xoFG,"5J81VungUjSVHxlPpTI9KG","Homage","Skiptracing","Mild High Club",2016-08-26,177493,11,spotify:user:emberg547,2019-01-15T00:06:50Z,"indie garage rock,neo-psychedelic",0.546,0.468,5,-8.167,1,0.0287,0.153,0.00257,0.321,0.416,73.372,4
6pGuOWYOFDcSgmVvFWRWSv,"1z7b1Pr1rSlvWRzsW3HOrS","The Flute Song","ZOO","Russ",2018-09-07,147600,63,spotify:user:emberg547,2019-01-15T23:53:47Z,"hawaiian hip hop,rap",0.789,0.524,1,-7.942,0,0.273,0.212,0,0.221,0.343,138.064,4
25F6MWrnFBCXVnpN4n76EK,"4xRYI6VqpkE3UwrDrAZL8L","Keanu Reeves","Keanu Reeves","Logic",2019-01-18,225986,0,spotify:user:emberg547,2019-01-18T12:57:06Z,"conscious hip hop,dmv rap,hip hop,pop rap,rap",0.71,0.888,2,-6.457,1,0.235,0.0591,0,0.134,0.816,170.193,4
2JvzF1RMd7lE3KmFlsyZD8,"6l3HvQ5sa6mXTsMTB19rO5","MIDDLE CHILD","MIDDLE CHILD","J. Cole",2019-01-23,213593,83,spotify:user:emberg547,2019-01-24T03:39:53Z,"conscious hip hop,hip hop,north carolina hip hop,rap",0.837,0.364,8,-11.713,1,0.276,0.149,0,0.271,0.463,123.984,4
68jM3HGqCToav6bsNY2slc,"6FBDaR13swtiWwGhX1WQsP","San Diego","California","blink-182",2016-07-01,192946,54,spotify:user:emberg547,2019-02-06T03:22:00Z,"pop punk,punk,rock,socal pop punk",0.478,0.947,0,-3.644,1,0.0778,0.000816,0,0.394,0.524,158.004,4
3g9mw4A8vdljOKgwrit88g,"4LEiUm1SRbFMgfqnQTwUbQ","Wash.","Bon Iver","Bon Iver",2011-06-21,298586,22,spotify:user:emberg547,2019-02-07T01:15:32Z,"eau claire indie,indie folk,melancholia",0.31,0.146,0,-19.278,1,0.0303,0.99,0.261,0.076,0.333,162.831,3
41uX0L4bro4KfKtDIIEFFe,"68kEuyFKyqrdQQLLsmiatm","FUN!","FM!","Vince Staples",2018-11-02,171106,55,spotify:user:emberg547,2019-02-07T01:16:14Z,"conscious hip hop,escape room,hip hop,rap,underground hip hop",0.953,0.554,0,-5.12,1,0.076,0.616,0.000869,0.106,0.457,101.011,4
