Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7tFiyTwD0nx5a1eklYtX2J,"1dfeR4HaWDbWqFHLkxsg1d","Bohemian Rhapsody - Remastered 2011","A Night At The Opera (Deluxe Remastered Version)","Queen",1975-11-21,354320,76,spotify:user:emberg547,2018-08-22T13:57:14Z,"classic rock,glam rock,rock",0.392,0.402,0,-9.961,0,0.0536,0.288,0,0.243,0.228,143.883,4
3MjUtNVVq3C8Fn0MP3zhXa,"26dSoYclwsYLMAKD3tpOr4","...Baby One More Time","...Baby One More Time (Digital Deluxe Version)","Britney Spears",1999-01-12,211066,81,spotify:user:emberg547,2018-08-22T13:57:20Z,"dance pop,pop,post-teen pop",0.759,0.699,0,-5.745,0,0.0307,0.202,0.000131,0.443,0.907,92.96,4
4bHsxqR3GMrXTxEPLuK5ue,"0rvjqX7ttXeg3mTy8Xscbt","Don't Stop Believin'","Escape","Journey",1981,250986,84,spotify:user:emberg547,2018-08-22T13:57:23Z,"album rock,classic rock,hard rock,mellow gold,rock,soft rock",0.5,0.748,4,-9.072,1,0.0363,0.127,0,0.447,0.514,118.852,4
0J6mQxEZnlRt9ymzFntA6z,"58lV9VcRSjABbAbfWS6skp","Livin' On A Prayer","Slippery When Wet","Bon Jovi",1986-01-01,249293,0,spotify:user:emberg547,2018-08-22T13:57:24Z,"glam metal,rock",0.534,0.887,0,-3.777,1,0.0345,0.0768,0.0000993,0.325,0.72,122.494,4
4w1lzcaoZ1IC2K5TwjalRP,"5ILrArfIV0tMURcHJN8Q07","A Thousand Miles","Be Not Nobody","Vanessa Carlton",2002-04-30,237493,78,spotify:user:emberg547,2018-08-22T13:59:09Z,"lilith,neo mellow,piano rock,pop rock,post-teen pop",0.56,0.825,11,-3.862,1,0.0379,0.323,0,0.161,0.268,94.931,4
1Je1IMUlBXcx1Fz0WE7oPT,"0uq5PttqEjj3IH1bzwcrXF","Wannabe","Spice","Spice Girls",1996-01-01,173026,83,spotify:user:emberg547,2018-08-22T13:59:50Z,"dance pop,europop,girl group,pop",0.768,0.864,11,-6.145,1,0.0324,0.101,0,0.162,0.891,110.008,4
5R9a4t5t5O0IsznsrKPVro,"6vWDO969PvNqNYHIOW5v0m","Single Ladies (Put a Ring on It)","I AM...SASHA FIERCE","Beyoncé",2008-11-17,193213,71,spotify:user:emberg547,2018-08-22T14:00:37Z,"dance pop,pop,r&b",0.426,0.584,1,-5.293,1,0.296,0.0383,0,0.188,0.272,193.437,4
7oK9VyNzrYvRFo7nQEYkWN,"0C0XlULifJtAgn6ZNCW2eu","Mr. Brightside","Hot Fuss","The Killers",2004-06-15,222586,78,spotify:user:emberg547,2018-08-22T14:01:01Z,"alternative rock,dance rock,modern rock,permanent wave,rock",0.356,0.924,1,-3.74,1,0.0808,0.00101,0,0.0953,0.232,148.017,4
7aHRctaQ7vjxVTVmY8OhAA,"0kObWap02DEg9EAJ3PBxzf","We Built This City","Knee Deep In The Hoopla","Starship",1985,296080,0,spotify:user:emberg547,2018-08-22T14:01:12Z,"album rock,mellow gold,new romantic,new wave,new wave pop,soft rock",0.661,0.908,5,-4.897,1,0.039,0.052,0,0.0708,0.656,144.091,4
32OlwWuMpZ6b0aN2RZOeMS,"3hv9jJF3adDNsBSIQDqcjp,0du5cEVh5yTK9QJze8zA0C","Uptown Funk (feat. Bruno Mars)","Uptown Special","Mark Ronson,Bruno Mars",2015-01-12,269666,85,spotify:user:emberg547,2018-08-22T14:06:14Z,"dance pop,pop",0.856,0.609,0,-7.223,1,0.0824,0.00801,0.0000815,0.0344,0.928,114.988,4
78WVLOP9pN0G3gRLFy1rAa,"6zFYqv1mOsgBRQbae3JJ9e","Piano Man","Piano Man","Billy Joel",1973-11-09,336200,66,spotify:user:emberg547,2018-08-22T14:12:19Z,"classic rock,folk rock,mellow gold,piano rock,rock,singer-songwriter,soft rock",0.334,0.477,0,-8.806,1,0.0276,0.618,0.00000417,0.312,0.405,179.239,3
4NtUY5IGzHCaqfZemmAu56,"0LcJLqbBmaGUft1e9Mm8HV","Dancing Queen","Arrival","ABBA",1976,230693,2,spotify:user:emberg547,2018-08-22T14:12:22Z,"europop,swedish pop",0.539,0.884,9,-6.53,1,0.0403,0.382,0.00166,0.76,0.752,100.812,4
1QEEqeFIZktqIpPI4jSVSF,"29kkCKKGXheHuoO829FxWK","More Than a Feeling","Boston","Boston",1976,285133,80,spotify:user:emberg547,2018-08-22T14:14:16Z,"album rock,blues rock,classic rock,country rock,hard rock,mellow gold,rock,soft rock",0.377,0.681,7,-8.039,1,0.0298,0.00088,0.0023,0.0504,0.285,108.789,4
47BBI51FKFwOMlIiX6m8ya,"5rSXSAkZ67PYJSvpUpkOr7","I Want It That Way","Millennium","Backstreet Boys",1999-05-18,213306,82,spotify:user:emberg547,2018-08-22T14:14:17Z,"boy band,dance pop",0.689,0.694,6,-5.83,0,0.027,0.257,0,0.148,0.482,99.039,4
5RsUlxLto4NZbhJpqJbHfN,"6IFXsrXBpwbIqtOUOiAa3p","Jessie's Girl","Working Class Dog","Rick Springfield",1981,194120,72,spotify:user:emberg547,2018-08-22T14:14:21Z,"album rock,australian rock,classic rock,heartland rock,mellow gold,new wave pop,soft rock,yacht rock",0.727,0.834,2,-5.851,1,0.0496,0.165,0,0.105,0.816,131.7,4
0EMmVUYs9ZZRHtlADB88uz,"4QTVePrFu1xuGM9K0kNXkk","Come On Eileen","Too Rye Ay","Dexys Midnight Runners",1982-08,287306,0,spotify:user:emberg547,2018-08-22T14:14:21Z,"new romantic,new wave,new wave pop,ska",0.45,0.658,2,-7.064,1,0.0472,0.648,0.00000314,0.264,0.781,106.799,4
67iAlVNDDdddxqSD2EZhFs,"1A92IAcd7A6npCA33oGM5i","I'm Gonna Be (500 Miles)","Sunshine on Leith","The Proclaimers",1988,219466,73,spotify:user:emberg547,2018-08-22T14:14:28Z,"celtic rock,scottish rock",0.851,0.551,4,-5.177,1,0.0396,0.151,0,0.0827,0.807,131.922,4
47nm8czanMUzIqHsnr5x61,"2bA6fzP0lMAQ4kz6CF61w8","Red Solo Cup","Clancy's Tavern (Deluxe Edition)","Toby Keith",2011-01-01,223386,0,spotify:user:emberg547,2018-08-22T14:14:30Z,"contemporary country,country,country road,oklahoma country",0.549,0.563,4,-6.655,1,0.0669,0.279,0,0.215,0.81,163.991,4
3XVozq1aeqsJwpXrEZrDJ9,"7GXXMm3DB1VswVcuGyInUd","Ice Ice Baby","Vanilla Ice Is Back! - Hip Hop Classics","Vanilla Ice",2008-11-04,254466,73,spotify:user:emberg547,2018-08-22T14:14:32Z,"hip house,miami hip hop",0.979,0.792,2,-2.784,1,0.0388,0.0025,0.00000771,0.102,0.583,116.012,4
2WfaOiMkCvy7F5fcp2zZ8L,"2jzc5TC5TVFLXQlBNiIUzE","Take on Me","Hunting High and Low","a-ha",1985-06-01,225280,86,spotify:user:emberg547,2018-08-22T14:14:34Z,"new romantic,new wave,new wave pop,permanent wave,soft rock,synthpop",0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,4
27L8sESb3KR79asDUBu8nW,"1pgtr4nhBQjp9oCUBPyYWh","Stacy's Mom","Welcome Interstate Managers","Fountains Of Wayne",2003-01-01,197986,77,spotify:user:emberg547,2018-08-22T14:14:36Z,"alternative rock,pop rock,power pop",0.774,0.75,11,-4.927,0,0.0412,0.00207,0.0000178,0.0808,0.927,118.015,4
5zA8vzDGqPl2AzZkEYQGKh,"6zFYqv1mOsgBRQbae3JJ9e","Uptown Girl","An Innocent Man","Billy Joel",1983-08-08,197706,79,spotify:user:emberg547,2018-08-22T14:14:39Z,"classic rock,folk rock,mellow gold,piano rock,rock,singer-songwriter,soft rock",0.701,0.944,4,-2.986,1,0.0455,0.0755,0,0.601,0.792,128.993,4
06qEGQMavekDfu9fVsFAMz,"3vLHHLcJnVDoKOyKYdH1g6","I Love Rock 'n' Roll","ReCovered Hits, Vol. 2","The Black Jets",2010-08-02,177086,64,spotify:user:emberg547,2018-08-22T14:14:43Z,"",0.762,0.482,4,-4.35,0,0.0734,0.0725,0.00000326,0.0802,0.684,94.009,4
4dGJf1SER1T6ooX46vwzRB,"6yJCxee7QumYr820xdIsjo","Chicken Fried","The Foundation","Zac Brown Band",2008-11-17,238146,3,spotify:user:emberg547,2018-08-22T14:14:45Z,"contemporary country,country,country road,modern country rock",0.566,0.713,6,-4.25,1,0.0417,0.645,0,0.114,0.807,169.864,4
2374M0fQpWi3dLnB54qaLX,"0PFtn5NtBbbUNbU9EAmIWF","Africa","Toto IV","TOTO",1982-04-08,295893,84,spotify:user:emberg547,2018-08-22T14:14:46Z,"album rock,classic rock,mellow gold,rock,soft rock,yacht rock",0.671,0.373,9,-18.064,1,0.0323,0.257,0.0000801,0.0481,0.732,92.718,4
1fDsrQ23eTAVFElUMaf38X,"1gRNBaI4yn6wCCTvRhGWh8","American Pie","American Pie","Don McLean",1971,516893,78,spotify:user:emberg547,2018-08-22T14:14:53Z,"adult standards,classic rock,folk,folk rock,mellow gold,singer-songwriter,soft rock",0.531,0.481,4,-11.709,0,0.06,0.699,0,0.0842,0.491,138.45,4
3L7RtEcu1Hw3OXrpnthngx,"1aX2dmV8XoHYCOQRxjPESG","Don't You Want Me","Dare!","The Human League",1981,236920,77,spotify:user:emberg547,2018-08-22T14:18:31Z,"art rock,new romantic,new wave,new wave pop,permanent wave,sophisti-pop,synthpop",0.731,0.738,9,-8.125,0,0.0377,0.184,0,0.214,0.958,117.656,4
6uQKuonTU8VKBz5SHZuQXD,"0iVrCROxeyon7MZUW3MfzT,2UEm3mXEPGyxeWQJYc8WSx","This Is How We Do It","This Is How We Do It","Montell Jordan,Wino",1995-01-01,238800,67,spotify:user:emberg547,2018-08-22T14:18:36Z,"contemporary r&b,hip hop,hip pop,new jack swing,pop rap,quiet storm,r&b,urban contemporary",0.799,0.623,0,-9.374,1,0.0812,0.0141,0,0.43,0.773,103.649,4
6mghCOaaSvrke0z1EUVUIf,"3FUY2gzHeIiaesXtOAdB7A","Hey, Soul Sister","Save Me, San Francisco (Golden Gate Edition)","Train",2009,216773,0,spotify:user:emberg547,2018-08-22T14:19:15Z,"dance pop,neo mellow,pop,pop rock",0.674,0.89,1,-4.446,0,0.0459,0.203,0,0.0819,0.737,97.02,4
4wCmqSrbyCgxEXROQE6vtV,"2AsusXITU8P25dlRNhcAbG,6hk7Yq1DU9QcCCrz9uc0Ti","Somebody That I Used To Know","Making Mirrors","Gotye,Kimbra",2011-01-01,244973,79,spotify:user:emberg547,2018-08-22T14:19:32Z,"australian pop,bergen indie,electropop,nz pop",0.864,0.495,0,-7.036,1,0.037,0.591,0.000133,0.0992,0.72,129.062,4
