Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4Yxc55NX3tAXC2mHRAhtcW,"1McMsnEElThX1knmY4oliG","All I Want - From High School Musical: The Musical: The Series","All I Want (From High School Musical: The Musical: The Series)","Olivia Rodrigo",2019-11-27,177322,78,spotify:user:emberg547,2020-01-06T16:20:40Z,"pop",0.376,0.43,0,-6.585,0,0.0328,0.0902,0,0.0912,0.129,77.599,3
4PwYS8MvNbD3qOCGJXZ8L9,"0Q7gK5T29pJT5TXXRdt2pP","I Did It","I Did It","Kris Yute",2019-07-18,165875,0,spotify:user:emberg547,2020-01-07T05:14:49Z,"viral rap",0.769,0.429,1,-15.592,1,0.0581,0.116,0.0000647,0.0666,0.567,143.94,4
4D3Twi99sdqxesC68XAPf5,"7nkLRaWHImCvWGHdNGnhVE","I'd Love To Change The World","The Anthology (1967-1971)","Ten Years After",2002-01-01,224026,6,spotify:user:emberg547,2020-01-07T05:15:09Z,"album rock,art rock,blues,blues rock,british blues,classic rock,country rock,electric blues,folk rock,hard rock,psychedelic rock,rock,symphonic rock",0.382,0.497,4,-11.815,0,0.0328,0.117,0.233,0.11,0.391,117.446,4
6K4t31amVTZDgR3sKmwUJJ,"5INjqkS1o8h1imAzPqGZBb","The Less I Know The Better","Currents","Tame Impala",2015-07-17,216320,86,spotify:user:emberg547,2020-01-07T05:15:48Z,"australian psych,neo-psychedelic",0.64,0.74,4,-4.083,1,0.0284,0.0115,0.00678,0.167,0.785,116.879,4
297rZsBEjFw9d0Gl3iBLnd,"4iMO20EPodreIaEl8qW66y","Goodie Bag","Goodie Bag","Still Woozy",2017-11-05,146390,1,spotify:user:emberg547,2020-01-07T05:16:05Z,"bedroom pop,modern rock,oakland indie",0.701,0.529,7,-12.242,0,0.147,0.82,0.00113,0.249,0.577,138.216,4
6SIR9Zx1I9VaFDPj99z9JW,"5MbNzCW3qokGyoo9giHA3V,50co4Is1HCEo8bhOyUWKpn","Proud Of U (feat. Young Thug)","Proud Of U (feat. Young Thug)","EARTHGANG,Young Thug",2019-02-05,238069,0,spotify:user:emberg547,2020-01-07T05:16:12Z,"atl hip hop,hip hop,psychedelic hip hop,rap,underground hip hop,atl trap,gangster rap,melodic rap,trap",0.775,0.516,2,-5.924,1,0.32,0.0679,0,0.152,0.419,78.022,4
6H0AwSQ20mo62jGlPGB8S6,"17lzZA2AlOHwCwFALHttmp,7c0XG5cIJTrrAgEC3ULPiq,2iojnBLj0qIMiKPvVhLnsH,5ZS223C6JyBfXasXxrRqOk","It's A Vibe","Pretty Girls Like Trap Music","2 Chainz,Ty Dolla $ign,Trey Songz,Jhené Aiko",2017-06-16,210200,76,spotify:user:emberg547,2020-01-07T05:16:18Z,"atl hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,pop,r&b,trap soul,dance pop,hip pop,urban contemporary,alternative r&b",0.822,0.502,7,-7.38,1,0.148,0.0312,0.000887,0.114,0.525,73.003,4
6pmDqTidfGwyMtUXPogaOM,"5PrHzxc3kFm4hIrGNmelpX","Can't Get Away","Searching For Sugar Man (Original Motion Picture Soundtrack)","Rodríguez",2012-07-24,236146,33,spotify:user:emberg547,2020-01-07T05:16:21Z,"folk,folk rock",0.561,0.565,2,-8.22,0,0.0342,0.35,0.00422,0.0853,0.957,134.722,4
3OaunNUlXXs5e2PXtNAzzG,"5eIbEEQnDM8yuDVB0bimSP,4isewEHTP7Az2QheDdBQ6J","UCLA","NOVA","RL Grime,24hrs",2018-07-27,192000,74,spotify:user:emberg547,2020-01-07T05:16:25Z,"bass trap,edm,electro house,electronic trap,electropop,pop dance,vapor twitch,trap,trap soul,vapor trap",0.536,0.879,1,-3.019,1,0.0621,0.0742,0,0.0847,0.334,140.137,4
3jjujdWJ72nww5eGnfs2E7,"6KImCVD70vtIoJWnq6nGn3","Adore You","Fine Line","Harry Styles",2019-12-13,207133,87,spotify:user:emberg547,2020-01-07T05:16:29Z,"pop",0.676,0.771,8,-3.675,1,0.0483,0.0237,0.000007,0.102,0.569,99.048,4
6cjSh516BbrNUs213jDAGm,"5CiGnKThu5ctn9pBxv7DGa,4MCBfE4596Uoi2O4DtmEMz","Graduation (with Juice WRLD)","Graduation (with Juice WRLD)","benny blanco,Juice WRLD",2019-08-30,177847,74,spotify:user:emberg547,2020-01-07T05:16:33Z,"electropop,pop,pop rap,chicago rap,melodic rap",0.731,0.65,0,-5.286,1,0.271,0.107,0,0.124,0.605,154.968,4
6rbeWjEavBHvX2kr6lSogS,"6l3HvQ5sa6mXTsMTB19rO5","Work Out","Cole World: The Sideline Story","J. Cole",2011-09-23,234773,0,spotify:user:emberg547,2020-01-07T05:16:36Z,"conscious hip hop,hip hop,north carolina hip hop,rap",0.831,0.427,2,-6.903,1,0.106,0.0531,0,0.316,0.216,93.004,4
4sebUbjqbcgDSwG6PbSGI0,"26T3LtbuGT1Fu9m0eRq5X3","Come a Little Closer","Melophobia","Cage The Elephant",2013-10-08,229346,75,spotify:user:emberg547,2020-01-07T05:16:46Z,"modern rock,punk blues,rock",0.44,0.778,1,-1.786,0,0.0327,0.0265,0.00000104,0.151,0.304,148.038,4
0XVum2ypOSNAnsdeKkija1,"5nYfBUxnHtI6LAp32fl9qY,5cdbXEnJgop6zjIxn4ljZ8","Don't Be a Fuck Boy","Don't Be a Fuck Boy","Netherfriends,Blake Rules",2016-04-08,211875,40,spotify:user:emberg547,2020-01-07T05:16:50Z,"shimmer pop,kids hip hop",0.744,0.543,6,-7.233,0,0.0739,0.51,0.000131,0.101,0.33,127.94,4
1Cv1YLb4q0RzL6pybtaMLo,"4ETSs924pXMzjIeD6E9b4u","Sunday Best","Where the Light Is","Surfaces",2019-01-06,158571,81,spotify:user:emberg547,2020-01-07T05:16:56Z,"bedroom soul,pop",0.878,0.525,5,-6.832,1,0.0578,0.183,0,0.0714,0.694,112.022,4
6UelLqGlWMcVH1E5c4H7lY,"6KImCVD70vtIoJWnq6nGn3","Watermelon Sugar","Fine Line","Harry Styles",2019-12-13,174000,91,spotify:user:emberg547,2020-01-07T05:17:00Z,"pop",0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,4
3EYOJ48Et32uATr9ZmLnAo,"5NGO30tJxFlKixkPSgXcFE","Roxanne","Outlandos D'Amour (Remastered 2003)","The Police",1978-11-02,191946,79,spotify:user:emberg547,2020-01-07T05:17:08Z,"album rock,art rock,classic rock,mellow gold,new wave,permanent wave,rock,soft rock",0.618,0.748,0,-8.905,1,0.358,0.0384,0.0000041,0.0473,0.663,134.114,4
1rDklEm1rIKphZ7EvWinHm,"105Paee9vmV5rfLSG652e1,5ITJs06INM9JWxK5hROEj3","Your Song - From Moulin Rouge Soundtrack","Moulin Rouge","Ewan McGregor,Alessandro Safina",2001-01-01,218800,51,spotify:user:emberg547,2020-01-07T05:19:18Z,"hollywood,italian tenor,operatic pop",0.277,0.331,5,-9.292,1,0.0373,0.515,0.0000626,0.111,0.256,133.233,4
5RcuACCOhgoc4ZH57AVCLA,"1U1el3k54VvEUzo3ybLPlM","Feel Like A Fool","Isolation","Kali Uchis",2018-04-06,185239,55,spotify:user:emberg547,2020-01-07T05:30:34Z,"colombian pop,pop",0.7,0.812,3,-4.8,1,0.0311,0.0245,0,0.102,0.855,107.983,4
5nrmGFJ87crVoJF5xdRqwn,"1SQRv42e4PjEYfPhS0Tk9E","Waterloo Sunset - Mono Mix","Something Else (Deluxe Edition)","The Kinks",1967-09-15,194216,65,spotify:user:emberg547,2020-01-07T05:31:42Z,"album rock,art rock,british invasion,classic rock,folk rock,glam rock,mellow gold,protopunk,psychedelic rock,rock",0.512,0.69,1,-6.969,0,0.0249,0.162,0,0.167,0.417,107.839,4
3pndPhlQWjuSoXhcIIdBjv,"1z7b1Pr1rSlvWRzsW3HOrS","What They Want","There's Really A Wolf","Russ",2017-05-05,165853,75,spotify:user:emberg547,2020-01-07T05:32:03Z,"hawaiian hip hop,rap",0.71,0.404,1,-10.04,0,0.379,0.484,0,0.0953,0.398,139.553,4
7ewXoDdfXOYdMIJ7k9QJmh,"3MATPJ9tYbcMhw5VOZrRU6","Rockaway","Driving to Hawaii","Summer Salt",2015-07-04,170101,0,spotify:user:emberg547,2020-01-07T05:33:20Z,"indie garage rock,indie pop",0.662,0.561,8,-6.679,1,0.0299,0.653,0.000204,0.108,0.273,104.127,4
6lj0jgxdeE6wFqddzYY0Sd,"2D4FOOOtWycb3Aw9nY5n3c","The Kids Don't Wanna Come Home - Single Version","The Kids Don't Wanna Come Home","Declan McKenna",2017-01-11,260399,50,spotify:user:emberg547,2020-01-07T05:34:33Z,"indie pop,modern alternative rock,modern rock,rock",0.523,0.79,7,-5.665,1,0.0353,0.0377,0,0.174,0.338,121.989,4
3d8y0t70g7hw2FOWl9Z4Fm,"16oZKvXb6WkQlVAjwo2Wbg","Ophelia","Cleopatra","The Lumineers",2016-04-08,160097,77,spotify:user:emberg547,2020-01-13T07:54:50Z,"folk-pop,modern rock,pop,pop rock,stomp and holler",0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,4
