Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6ymTp1jOINm0UURUZ2h603,"0HkcYmcjrBR3SCw9Ld5VZk","Envy Me","Envy Me","Calboy",2018-09-13,120033,0,spotify:user:emberg547,2019-01-03T04:46:25Z,"chicago rap,melodic rap,pop rap,rap,trap,vapor trap",0.733,0.441,8,-9.191,0,0.369,0.155,0,0.197,0.524,149.087,4
41zXlQxzTi6cGAjpOXyLYH,"6qqNVTkY8uBg9cP3Jd7DAH","idontwannabeyouanymore","dont smile at me","Billie Eilish",2017-12-22,203569,81,spotify:user:emberg547,2019-01-04T05:26:38Z,"art pop,electropop,pop",0.483,0.412,7,-8.461,1,0.0402,0.737,0,0.116,0.247,170.163,3
78QR3Wp35dqAhFEc2qAGjE,"5f7VJjfbwm532GiveGC0ZK,2hlmm7s2ICUX0LVIhVFlZQ","Drip Too Hard (Lil Baby & Gunna)","Drip Harder","Lil Baby,Gunna",2018-10-05,145542,84,spotify:user:emberg547,2019-01-04T13:23:40Z,"atl hip hop,atl trap,rap,trap,hip hop,melodic rap",0.897,0.662,1,-6.903,0,0.292,0.0852,0,0.534,0.389,112.511,4
2G1tXoGBaEMJ7FKGnkf6ud,"13y7CgLHjMVRMDqxdx0Xdo,0du5cEVh5yTK9QJze8zA0C,46SHBwWsqBkxI7EeeBEQG7","Wake Up in the Sky","Evil Genius","Gucci Mane,Bruno Mars,Kodak Black",2018-12-07,203161,73,spotify:user:emberg547,2019-01-04T13:31:49Z,"atl hip hop,dirty south rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,dance pop,pop,florida rap,melodic rap,miami hip hop",0.8,0.578,4,-5.144,0,0.0485,0.00381,0,0.367,0.367,143.01,4
5IaHrVsrferBYDm0bDyABy,"5LHRHt1k9lMyONurDHEdrp,4DdkRBBYG6Yk9Ka8tdJ9BW","Taste (feat. Offset)","Taste (feat. Offset)","Tyga,Offset",2018-05-16,232959,78,spotify:user:emberg547,2019-01-04T13:35:06Z,"dance pop,hip hop,pop rap,rap,southern hip hop,trap,atl hip hop",0.884,0.559,0,-7.442,1,0.12,0.0236,0,0.101,0.342,97.994,4
1l5lKWHRfyY7Y3FvDBXlvJ,"4kI8Ie27vjvonwaB2ePh8T","Sleep Forever","In the Mountain in the Cloud","Portugal. The Man",2011-06-29,380546,50,spotify:user:emberg547,2019-01-06T16:55:46Z,"indie rock,modern alternative rock,modern rock,rock",0.513,0.467,7,-8.305,1,0.0295,0.367,0.000542,0.319,0.31,145.027,4
5aXgz1oKK8Q9z9xvTmSnrO,"6Xgp2XMz1fhVYe7i6yNAax","Topanga","A Love Letter To You 3","Trippie Redd",2018-11-09,215364,73,spotify:user:emberg547,2019-01-06T19:26:26Z,"melodic rap,rap,trap",0.755,0.615,4,-8.245,1,0.0454,0.00587,0.00000175,0.109,0.039,105.955,4
5qHirGR7M9tdm6C17DlzSY,"3Gm5F95VdRxW3mqCn8RPBJ","REEL IT IN","ONEPOINTFIVE","Aminé",2018-08-15,121346,79,spotify:user:emberg547,2019-01-06T19:46:23Z,"hip hop,pop,portland hip hop,rap,underground hip hop",0.754,0.342,10,-8.677,0,0.0991,0.073,0,0.193,0.423,128.981,4
0iTpQYzJnYgh7kIxyq8A2O,"2Jv5eshHtLycR6R8KQCdc4","Two Weeks","Veckatimest","Grizzly Bear",2009-05-24,243160,75,spotify:user:emberg547,2019-01-06T20:08:35Z,"alternative dance,art pop,baroque pop,brooklyn indie,chillwave,dream pop,freak folk,indie pop,indie rock,modern rock,new weird america,stomp and holler",0.537,0.712,5,-5.597,1,0.0286,0.289,0.00568,0.08,0.704,159.871,4
7m9OqQk4RVRkw9JJdeAw96,"15UsOTVnJzReFVN1VCnxy4","Jocelyn Flores","17","XXXTENTACION",2017-08-25,119133,88,spotify:user:emberg547,2019-01-06T20:15:51Z,"emo rap,miami hip hop",0.872,0.391,0,-9.144,0,0.242,0.469,0.00000413,0.297,0.437,134.021,4
6MWtB6iiXyIwun0YzU6DFP,"246dkjvS1zLTtiykXe5h60","Wow.","Wow.","Post Malone",2018-12-24,149520,5,spotify:user:emberg547,2019-01-06T21:02:22Z,"dfw rap,melodic rap,rap",0.833,0.539,11,-7.399,0,0.178,0.163,0.0000021,0.101,0.385,99.947,4
