Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
297rZsBEjFw9d0Gl3iBLnd,"4iMO20EPodreIaEl8qW66y","Goodie Bag","Goodie Bag","Still Woozy",2017-11-05,146390,1,spotify:user:emberg547,2019-07-04T16:25:16Z,"bedroom pop,modern rock,oakland indie",0.701,0.529,7,-12.242,0,0.147,0.82,0.00113,0.249,0.577,138.216,4
7nnz5nWr6iHtiEhH3a22HH,"1Q2mS59tFYLm2KGFoCgWN4","How Does It Feel?","How Does It Feel?","Samm Henshaw",2018-05-31,190877,55,spotify:user:emberg547,2019-07-04T16:25:57Z,"alternative r&b,british soul,indie soul,uk contemporary r&b",0.613,0.669,0,-6.049,1,0.156,0.1,0,0.281,0.599,80.033,4
6lOHJvk1ss3cH42PlxyLvo,"6vqMDhoigg5btfdPsPTVFt","Come on Mess Me Up","This Is Our Vice","Cub Sport",2016-03-04,203640,59,spotify:user:emberg547,2019-07-04T16:26:03Z,"australian indie,australian indie rock,australian pop,brisbane indie",0.344,0.592,4,-5.582,1,0.0323,0.0626,0.00000598,0.13,0.0396,149.724,4
2T64m94VBrsEISkAYq6Cnq,"4iMO20EPodreIaEl8qW66y","Cooks","Cooks","Still Woozy",2017-07-16,174105,0,spotify:user:emberg547,2019-07-07T10:36:38Z,"bedroom pop,modern rock,oakland indie",0.363,0.579,7,-10.533,1,0.0986,0.446,0.0127,0.264,0.719,78.032,4
4EpZ4eYuZOwPSSwyqpdHnJ,"7pbDxGE6nQSZVfiFdq9lOL","Sunflower","Sunflower","Rex Orange County",2017-03-22,252230,80,spotify:user:emberg547,2019-07-07T10:38:48Z,"bedroom pop,pop",0.384,0.765,6,-4.463,1,0.0579,0.646,0.00352,0.522,0.567,129.903,4
0k664IuFwVP557Gnx7RhIl,"56oDRnqbIiwx4mymNEv7dS","Juice","Cuz I Love You","Lizzo",2019-04-19,195144,78,spotify:user:emberg547,2019-07-07T10:40:41Z,"dance pop,escape room,minnesota hip hop,pop,trap queen",0.767,0.889,7,-2.988,1,0.0963,0.00611,0,0.402,0.843,119.93,4
5qmq61DAAOUaW8AUo8xKhh,"56oDRnqbIiwx4mymNEv7dS","Truth Hurts","Cuz I Love You (Deluxe)","Lizzo",2019-05-03,173325,68,spotify:user:emberg547,2019-07-07T10:40:45Z,"dance pop,escape room,minnesota hip hop,pop,trap queen",0.715,0.624,4,-3.046,0,0.114,0.11,0,0.123,0.412,158.087,4
1ITsmuChPVC05ogvorAyVu,"56oDRnqbIiwx4mymNEv7dS","Boys","Cuz I Love You (Deluxe)","Lizzo",2019-05-03,172630,63,spotify:user:emberg547,2019-07-07T10:40:49Z,"dance pop,escape room,minnesota hip hop,pop,trap queen",0.891,0.587,6,-4.281,0,0.115,0.00317,0.000154,0.0487,0.753,120.029,4
0I3q5fE6wg7LIfHGngUTnV,"1G9G7WwrXka3Z1r7aIDjI7","Ms. Jackson","Stankonia","Outkast",2000-10-31,270506,84,spotify:user:emberg547,2019-07-07T10:40:54Z,"atl hip hop,dirty south rap,hip hop,old school atlanta hip hop,rap,southern hip hop",0.843,0.806,4,-5.946,0,0.269,0.143,0,0.0771,0.613,94.948,4
3Ol2xnObFdKV9pmRD2t9x8,"31W5EY0aAly4Qieq6OFu6I","Look Back at It","Hoodie SZN","A Boogie Wit da Hoodie",2018-12-21,179449,77,spotify:user:emberg547,2019-07-07T10:40:58Z,"melodic rap,rap,trap",0.791,0.587,3,-5.075,0,0.0413,0.407,0,0.148,0.536,96.057,4
