Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4KD0lLJ4OGonZhBeKtct9I,"6oMuImdp5ZcFhWP0ESe6mG","Avalanche","Culture III","Migos",2021-06-11,206271,64,spotify:user:emberg547,2021-07-10T20:30:01Z,"atl hip hop,rap,trap",0.917,0.623,1,-8.231,1,0.135,0.0985,0,0.0833,0.687,126.063,4
5Qs6gTnyrG0KGYbuCzoK5k,"6oMuImdp5ZcFhWP0ESe6mG","Vaccine","Culture III","Migos",2021-06-11,221958,60,spotify:user:emberg547,2021-07-10T20:34:44Z,"atl hip hop,rap,trap",0.845,0.67,4,-4.806,0,0.0595,0.109,0,0.0988,0.504,124.036,4
3v1zVVdzNVNt7vmI9VG2gq,"6oMuImdp5ZcFhWP0ESe6mG,6AgTAQt8XS6jRWi4sX7w49","Malibu (feat. Polo G)","Culture III","Migos,Polo G",2021-06-11,248651,65,spotify:user:emberg547,2021-07-10T20:39:42Z,"atl hip hop,rap,trap,chicago rap",0.831,0.719,10,-6.836,1,0.235,0.514,0,0.0675,0.859,155.038,4
6UjfByV1lDLW0SOVQA4NAi,"3TVXtAsR1Inumwj472S9r4","Gyalchester","More Life","Drake",2017-03-18,189229,68,spotify:user:emberg547,2021-07-10T20:51:29Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap",0.877,0.391,1,-8.196,1,0.063,0.0317,0.000502,0.0945,0.122,131.018,4
5B0kgjHULYJhAQkK5XsMoC,"4V8LLVI7PbaPR0K2TGSxFF,7wlFDEWiM5OoIAt8RSli8b,7c0XG5cIJTrrAgEC3ULPiq","WUSYANAME (feat. Youngboy Never Broke Again & Ty Dolla $ign)","CALL ME IF YOU GET LOST","Tyler, The Creator,YoungBoy Never Broke Again,Ty Dolla $ign",2021-06-25,121572,80,spotify:user:emberg547,2021-07-10T20:51:41Z,"hip hop,rap,baton rouge rap,trap,pop,pop rap,r&b,southern hip hop,trap soul",0.493,0.653,0,-5.666,0,0.0466,0.269,0,0.511,0.852,142.347,4
07MDkzWARZaLEdKxo6yArG,"64H8UqGLbJFHwKtGxiV8OP,3rWZHrfrsPBxVy692yAIxF,1xoxekeb8jUVHKJB7m6bfg","Meet Me At Our Spot","THE ANXIETY","THE ANXIETY,WILLOW,Tyler Cole",2020-03-13,162680,92,spotify:user:emberg547,2021-07-10T20:51:47Z,"modern alternative pop,afrofuturism,dance pop,electropop,pop,post-teen pop,bedroom soul",0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995,4
0MMyJUC3WNnFS1lit5pTjk,"1McMsnEElThX1knmY4oliG","jealousy, jealousy","SOUR","Olivia Rodrigo",2021-05-21,173160,86,spotify:user:emberg547,2021-07-10T20:51:50Z,"pop",0.695,0.575,10,-6.334,0,0.116,0.198,0,0.0614,0.699,163.929,4
0UV5zxRMz6AO4ZwUOZNIKI,"4mLJ3XfOM5FPjSAWdQ2Jk7","Where'd All the Time Go?","Shame, Shame (Deluxe Edition)","Dr. Dog",2010-11-02,234800,78,spotify:user:emberg547,2021-07-10T20:51:57Z,"indie folk,indie pop,indie rock,modern folk rock,modern rock,philly indie,stomp and holler",0.454,0.82,2,-4.193,1,0.0567,0.132,0.000969,0.115,0.575,166.303,4
28kOGtTZzbfQ8fMmTwjRFq,"4STHEaNw4mPZ2tzheohgXB,6USv9qhCn6zfxlBQIYJ9qs","The Kiss Of Venus (Dominic Fike)","McCartney III Imagined","Paul McCartney,Dominic Fike",2021-04-16,143530,56,spotify:user:emberg547,2021-07-10T20:52:00Z,"album rock,art rock,beatlesque,classic rock,mellow gold,rock,soft rock,alternative pop rock,pop",0.715,0.374,8,-6.665,1,0.0399,0.627,0,0.11,0.633,89.982,4
5SkRLpaGtvYPhw02vZhQQ9,"5K4W6rqBFWDnAN6FQUkS6x,1lE6SEy8f84Zhjvp7r8yTD","All Falls Down","The College Dropout","Kanye West,Syleena Johnson",2004-02-10,223506,75,spotify:user:emberg547,2021-07-10T20:52:06Z,"chicago rap,rap,hip pop,neo soul,r&b,urban contemporary",0.657,0.734,8,-4.832,0,0.484,0.149,0,0.139,0.434,91.03,4
