Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1v3Ozpbcx2B926aVW0UuXk,"2kCO8LXN1usaOPL3iEE28I","A-O-K","A-O-K","Tai Verdes",2021-05-06,173640,69,spotify:user:emberg547,2021-06-12T05:20:49Z,"modern indie pop",0.731,0.626,11,-6.919,1,0.0805,0.125,0,0.183,0.862,82.488,4
3vkQ5DAB1qQMYO4Mr9zJN6,"0LcJLqbBmaGUft1e9Mm8HV","Gimme! Gimme! Gimme! (A Man After Midnight)","Voulez-Vous","ABBA",1979,292613,81,spotify:user:emberg547,2021-06-13T16:26:31Z,"europop,swedish pop",0.749,0.491,10,-9.655,1,0.0403,0.02,0.00899,0.159,0.536,119.528,4
44CZRkOxv7UItaAUmh8PgN,"00dwwnz3V4kRfu3UFYpJLz","Doses & Mimosas","Year of the Caprese","Cherub",2014,323253,71,spotify:user:emberg547,2021-06-15T05:32:27Z,"",0.775,0.655,5,-7.333,1,0.102,0.114,0.00016,0.035,0.346,114.503,4
4wqzOaLxiCRy2Et8tRyNSX,"137W8MRPWKqSmrBGDBFSop,67hb7towEyKvt5Z8Bx306c","The Thrill","The Thrill","Wiz Khalifa,Empire of the Sun",2020-11-11,234333,80,spotify:user:emberg547,2021-06-19T03:30:21Z,"dance pop,hip hop,pittsburgh rap,pop rap,rap,southern hip hop,trap,alternative dance,australian dance,australian electropop,dance rock,electropop,indietronica,neo-synthpop,new rave",0.817,0.775,10,-4.767,0,0.108,0.277,0,0.108,0.806,126.984,4
73M0rMVx5CWE8M4uATSsto,"7oPxPZSk7y5q0fhzpmX5Gi","seaside_demo","seaside_demo","SEB",2021-05-17,132000,28,spotify:user:emberg547,2021-06-19T03:34:39Z,"",0.706,0.824,0,-7.959,1,0.0694,0.355,0.000133,0.111,0.86,94.98,4
3pYaPf2nqhr28Kaw8zkAYH,"4ANMwDtqwfkzPgFoUoLZ3Y","Sol Del Sur","Sol Del Sur","Sun Room",2020-07-10,145298,54,spotify:user:emberg547,2021-06-19T03:37:43Z,"",0.541,0.754,11,-6.373,1,0.0309,0.00177,0.233,0.0764,0.674,122.101,4
6tzRbK0GxZPUDe0ZSsQOS8,"00VJeNzGN01xG6Si00jcZq","Sugar How You Get So Fly","Sugar How You Get So Fly","Dj Meetha",2016-01-29,211778,56,spotify:user:emberg547,2021-06-19T03:37:48Z,"",0.737,0.586,10,-8.382,0,0.0567,0.076,0,0.151,0.515,122.999,4
4DkeNKHcmZo2Z0Eb1XcaNC,"4sGXRKVt3jXcqjUCRuK67C","Go Down on You","Love Is the Law","The Memories",2013-04-10,60693,60,spotify:user:emberg547,2021-06-19T03:38:50Z,"popgaze",0.591,0.488,1,-9.229,1,0.11,0.937,0.786,0.11,0.697,136.516,4
1170VohRSx6GwE6QDCHPPH,"6p2HnfM955TI1bX34dkLnI","Kilby Girl","When We Were Friends","The Backseat Lovers",2019-01-27,282205,80,spotify:user:emberg547,2021-06-19T03:38:54Z,"indie pop,modern rock,slc indie",0.329,0.444,1,-9.973,1,0.0417,0.0578,0.0352,0.113,0.225,162.279,4
7JXZq0JgG2zTrSOAgY8VMC,"3TVXtAsR1Inumwj472S9r4","Jungle","If You're Reading This It's Too Late","Drake",2015-02-12,320400,73,spotify:user:emberg547,2021-06-19T15:46:24Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap",0.697,0.235,7,-8.651,1,0.0534,0.62,0.000144,0.107,0.378,99.947,4
1ko2lVN0vKGUl9zrU0qSlT,"05YVYeV4HxYp5rrWalvuE1,1ThoqLcyIYvZn7iWbj8fsj","Just the Two of Us (feat. Bill Withers)","Anthology","Grover Washington, Jr.,Bill Withers",1985,438493,81,spotify:user:emberg547,2021-06-19T15:46:44Z,"funk,motown,quiet storm,soul",0.749,0.497,10,-12.609,0,0.105,0.41,0.0499,0.0504,0.585,95.818,4
119c93MHjrDLJTApCVGpvx,"34EP7KEpOjXcM2TCat1ISk,4VmEWwd8y9MCLwexFMdpwt,2yQf6b8hxahZaT5dHlWaB1,4OBbOrkD4geIjOLrICN3wO,4QTIR7KM0trauXspUNduhh","C.R.E.A.M. (Cash Rules Everything Around Me) (feat. Method Man, Raekwon, Inspectah Deck & Buddha Monk)","Enter The Wu-Tang (36 Chambers) [Expanded Edition]","Wu-Tang Clan,Method Man,Raekwon,Inspectah Deck,Buddha Monk",1993-11-09,252186,75,spotify:user:emberg547,2021-06-19T15:46:48Z,"east coast hip hop,gangster rap,hardcore hip hop,hip hop,rap,pop rap,southern hip hop,alternative hip hop,wu fam",0.479,0.549,11,-10.551,0,0.373,0.57,0.0235,0.127,0.576,180.985,4
6XkuklKiHYVTlVvWlTgQYP,"0fA0VVWsXO9YnASrzqfmYu,5K4W6rqBFWDnAN6FQUkS6x","Erase Me - Main","Man On The Moon II: The Legend Of Mr. Rager","Kid Cudi,Kanye West",2010-11-09,192253,72,spotify:user:emberg547,2021-06-19T15:46:54Z,"hip hop,ohio hip hop,pop rap,rap,chicago rap",0.687,0.631,9,-5.612,1,0.129,0.063,0,0.108,0.853,186.071,4
0Epl79nHvdyTdZRAiWpJah,"0fA0VVWsXO9YnASrzqfmYu","REVOFEV","Man On The Moon II: The Legend Of Mr. Rager","Kid Cudi",2010-11-09,183173,60,spotify:user:emberg547,2021-06-19T15:46:58Z,"hip hop,ohio hip hop,pop rap,rap",0.608,0.544,11,-6.465,0,0.0474,0.15,0.00062,0.146,0.381,68.861,4
