Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2t16D9V5FmmRAJjsSpwvZf,"2feDdbD5araYcm6JhFHHw7","When I R.I.P.","Euphoria (Original Score from the HBO Series)","Labrinth",2019-10-04,174567,71,spotify:user:emberg547,2020-01-07T05:23:54Z,"indie poptimism,pop",0.417,0.551,8,-6.456,0,0.174,0.73,0.00166,0.0907,0.444,87.614,4
7cX4PJz1old9fyFI8RlfgW,"0C0XlULifJtAgn6ZNCW2eu","Read My Mind","Sam's Town","The Killers",2006-09-27,246840,72,spotify:user:emberg547,2020-01-07T05:27:05Z,"alternative rock,dance rock,modern rock,permanent wave,rock",0.543,0.917,1,-3.391,1,0.0444,0.00572,0.0000776,0.104,0.329,132.246,4
3d8y0t70g7hw2FOWl9Z4Fm,"16oZKvXb6WkQlVAjwo2Wbg","Ophelia","Cleopatra","The Lumineers",2016-04-08,160097,77,spotify:user:emberg547,2020-01-13T07:54:55Z,"folk-pop,modern rock,pop,pop rock,stomp and holler",0.664,0.573,5,-6.519,1,0.0277,0.613,0.000363,0.0857,0.566,76.023,4
1abFkY2jm6KDFMZ7RD9YJh,"5xkAtLTf309LAGZTbvULBn","Painkiller","Painkiller","Ruel",2019-04-30,213597,64,spotify:user:emberg547,2020-01-19T07:02:49Z,"alt z,australian alternative pop,dance pop,electropop,pop",0.675,0.414,5,-6.508,1,0.0569,0.105,0,0.192,0.439,128.927,4
2pyjbGTpJCPjMYwCbdymiF,"5xkAtLTf309LAGZTbvULBn","Dazed & Confused","Dazed & Confused","Ruel",2018-04-27,189608,71,spotify:user:emberg547,2020-02-01T04:57:19Z,"alt z,australian alternative pop,dance pop,electropop,pop",0.688,0.5,2,-7.411,1,0.138,0.102,0,0.355,0.418,127.906,3
5jiYx70OBzEI99jx1Gn3FN,"6s22t5Y3prQHyaHWUN1R1C,4LAz9VRX8Nat9kvIzgkg2v","Sober Up (feat. Rivers Cuomo)","The Click","AJR,Rivers Cuomo",2017-06-09,218763,67,spotify:user:emberg547,2020-02-02T14:46:34Z,"modern rock,pop rap,alternative rock",0.648,0.62,5,-4.938,1,0.0276,0.284,0,0.0833,0.772,93.011,4
7hpJ9tATWb2vztlq99hERP,"4Uc8Dsxct0oMqx0P6i60ea","Maniac","Maniac","Conan Gray",2019-10-25,185786,25,spotify:user:emberg547,2020-02-02T14:48:46Z,"bedroom pop,electropop,indie pop,pop",0.623,0.647,8,-5.438,1,0.04,0.00122,0,0.354,0.522,107.987,4
4iG2gAwKXsOcijVaVXzRPW,"0SwO7SWeDHJijQ3XNS7xEE","Time to Pretend","Oracular Spectacular","MGMT",2007-12-14,261000,74,spotify:user:emberg547,2020-02-06T19:08:22Z,"alternative dance,indie rock,indietronica,modern rock,rock",0.438,0.94,2,-3.249,1,0.0452,0.0000874,0.0777,0.3,0.421,100.99,3
0cXRafInOlc1QH519RXltN,"4Uc8Dsxct0oMqx0P6i60ea","Idle Town","Sunset Season","Conan Gray",2018-11-16,237920,65,spotify:user:emberg547,2020-02-06T19:35:56Z,"bedroom pop,electropop,indie pop,pop",0.606,0.478,7,-6.035,1,0.0276,0.872,0.0000202,0.106,0.266,77.086,4
5QUsyhPk2WXnMQ0KwvyEp2,"4Uc8Dsxct0oMqx0P6i60ea","Crush Culture","Crush Culture","Conan Gray",2018-10-26,204133,0,spotify:user:emberg547,2020-02-06T19:36:29Z,"bedroom pop,electropop,indie pop,pop",0.631,0.772,0,-5.36,1,0.0649,0.131,0,0.126,0.439,89.996,4
1jJci4qxiYcOHhQR247rEU,"0SwO7SWeDHJijQ3XNS7xEE","Kids","Oracular Spectacular","MGMT",2007-12-14,302840,80,spotify:user:emberg547,2020-02-06T19:36:45Z,"alternative dance,indie rock,indietronica,modern rock,rock",0.451,0.931,9,-3.871,1,0.0719,0.00076,0.0049,0.361,0.172,122.961,4
5hc71nKsUgtwQ3z52KEKQk,"3mIj9lX2MWuHmhNCA7LSCW","Somebody Else","I like it when you sleep, for you are so beautiful yet so unaware of it","The 1975",2016-02-26,347520,76,spotify:user:emberg547,2020-02-06T20:01:11Z,"modern alternative rock,modern rock,pop,rock",0.61,0.788,0,-5.724,1,0.0585,0.195,0.0142,0.153,0.472,101.045,4
1eyzqe2QqGZUmfcPZtrIyt,"63MQldklfxkjYDoUE4Tppz","Midnight City","Hurry Up, We're Dreaming","M83",2011,241440,74,spotify:user:emberg547,2020-02-06T20:02:59Z,"french shoegaze,french synthpop,indietronica,metropopolis,neo-synthpop",0.526,0.712,11,-6.525,0,0.0356,0.0161,0,0.179,0.32,105.009,4
297rZsBEjFw9d0Gl3iBLnd,"4iMO20EPodreIaEl8qW66y","Goodie Bag","Goodie Bag","Still Woozy",2017-11-05,146390,1,spotify:user:emberg547,2020-02-06T20:05:24Z,"bedroom pop,modern rock,oakland indie",0.701,0.529,7,-12.242,0,0.147,0.82,0.00113,0.249,0.577,138.216,4
6lj0jgxdeE6wFqddzYY0Sd,"2D4FOOOtWycb3Aw9nY5n3c","The Kids Don't Wanna Come Home - Single Version","The Kids Don't Wanna Come Home","Declan McKenna",2017-01-11,260399,50,spotify:user:emberg547,2020-02-06T20:07:28Z,"indie pop,modern alternative rock,modern rock,rock",0.523,0.79,7,-5.665,1,0.0353,0.0377,0,0.174,0.338,121.989,4
4EWBhKf1fOFnyMtUzACXEc,"7pbDxGE6nQSZVfiFdq9lOL","Pluto Projector","Pony","Rex Orange County",2019-10-25,267520,81,spotify:user:emberg547,2020-03-07T03:14:17Z,"bedroom pop,pop",0.379,0.219,5,-11.196,1,0.0307,0.707,0.000691,0.118,0.188,79.786,4
60k0xRw1oYUwZYp4e2iue8,"066X20Nz7iquqkkCW6Jxy6","american dream","american dream","LCD Soundsystem",2017-09-01,366786,47,spotify:user:emberg547,2020-03-14T17:06:26Z,"alternative dance,alternative rock,art pop,dance rock,dance-punk,electronic rock,electronica,indie rock,indietronica,modern rock,new rave,rock",0.295,0.54,0,-8.372,1,0.0314,0.0529,0.00372,0.209,0.199,202.015,3
7DdXf9x75iEVCHWfoRwRuR,"3XHO7cRUPCLOr6jwp8vsx5","Fitzpleasure","An Awesome Wave","alt-J",2012-09-18,219400,62,spotify:user:emberg547,2020-04-05T13:05:10Z,"indie rock,modern rock",0.582,0.604,9,-6.962,1,0.0493,0.134,0.000957,0.102,0.341,143.952,4
2MvvoeRt8NcOXWESkxWn3g,"163tK9Wjr9P9DmM0AVK7lm","Ribs","Pure Heroine","Lorde",2013-09-27,258969,79,spotify:user:emberg547,2020-04-14T06:26:25Z,"art pop,electropop,metropopolis,nz pop,pop",0.511,0.472,4,-9.277,1,0.091,0.534,0.614,0.11,0.0399,127.978,4
0hNhlwnzMLzZSlKGDCuHOo,"56ZTgzPBDge0OvCGgMO3OY","Space Song","Depression Cherry","Beach House",2015-08-28,320466,1,spotify:user:emberg547,2020-04-30T14:52:06Z,"art pop,baltimore indie,dream pop,dreamo,modern dream pop",0.508,0.788,0,-7.288,0,0.0296,0.233,0.13,0.144,0.586,147.06,4
3n69hLUdIsSa1WlRmjMZlW,"3XHO7cRUPCLOr6jwp8vsx5","Breezeblocks","An Awesome Wave","alt-J",2012-09-18,227080,75,spotify:user:emberg547,2020-05-18T18:25:18Z,"indie rock,modern rock",0.616,0.656,5,-7.298,1,0.0344,0.096,0.000879,0.205,0.286,150.071,4
6Fqf0OTfB9VPfYk2HfBhPn,"7vtSUU3zpHeYJfX6BPNrJd","Freakin' Out On the Interstate","Carnival","Briston Maroney",2018-11-16,251906,66,spotify:user:emberg547,2020-05-30T19:06:24Z,"indie pop,modern rock,nashville indie",0.452,0.79,4,-5.01,1,0.0534,0.391,0,0.303,0.362,143.861,4
4sNG6zQBmtq7M8aeeKJRMQ,"2D4FOOOtWycb3Aw9nY5n3c","Brazil","What Do You Think About the Car?","Declan McKenna",2017-07-21,252306,74,spotify:user:emberg547,2020-06-09T04:07:55Z,"indie pop,modern alternative rock,modern rock,rock",0.687,0.617,4,-5.213,1,0.0287,0.0941,0.0000127,0.0898,0.665,121.079,4
0Gys3jTqao4MzSWnfzcdmk,"4gtH8goYkYOaa6MxaOxISr","Stormz","Stormz","Ephraim Bugumba",2020-06-14,203998,0,spotify:user:emberg547,2020-07-16T16:41:32Z,"",0.621,0.382,7,-15.463,0,0.392,0.339,0.0000222,0.0884,0.396,133.958,5
3DK6m7It6Pw857FcQftMds,"5K4W6rqBFWDnAN6FQUkS6x,0ONHkAv9pCAFxb0zJwDNTy","Runaway","My Beautiful Dark Twisted Fantasy","Kanye West,Pusha T",2010-11-22,547733,79,spotify:user:emberg547,2020-12-02T23:49:16Z,"chicago rap,rap,alternative hip hop,gangster rap,hip hop,pop rap,southern hip hop,trap,underground hip hop,virginia hip hop",0.374,0.568,1,-3.825,0,0.109,0.219,0.00219,0.513,0.111,84.733,4
7vgTNTaEz3CsBZ1N4YQalM,"5K4W6rqBFWDnAN6FQUkS6x,2HPaUgqeutzr3jx5a9WyDV","Ghost Town","ye","Kanye West,PARTYNEXTDOOR",2018-06-01,271386,80,spotify:user:emberg547,2020-12-02T23:55:45Z,"chicago rap,rap,pop,pop rap,r&b,toronto rap,trap,urban contemporary",0.573,0.545,7,-4.247,0,0.0288,0.0969,0,0.329,0.297,83.378,4
2nMeu6UenVvwUktBCpLMK9,"00FQb4jTyendYWaN8pK0wa","Young And Beautiful","Young And Beautiful","Lana Del Rey",2013-01-01,236053,81,spotify:user:emberg547,2021-01-21T03:27:16Z,"art pop,pop",0.324,0.416,11,-8.92,0,0.0368,0.262,0.0000369,0.11,0.151,113.986,4
4NeHCGpTPVCudqVpJiT7O9,"6mkvJ6XHWVtPer8k0B0nTn","Pink Skies (Demo)","Demo 001","Wiley from Atlanta",2018-10-26,223101,62,spotify:user:emberg547,2021-05-17T03:41:22Z,"",0.565,0.566,9,-8.737,0,0.141,0.485,0.00000655,0.104,0.435,138.836,4
3EoQSIQ91sDN2gYIcPXa5b,"4JLuMu6NZUAU8gYhrzvOdX","Don't Wait Forever","What Box?","Terry Presume",2021-07-29,208066,44,spotify:user:emberg547,2021-11-08T16:53:27Z,"indie hip hop,indie r&b",0.713,0.297,1,-11.281,1,0.0628,0.45,0.00000404,0.105,0.137,111.872,4
