Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7pKfPomDEeI4TPT6EOYjn9,"4x1nvY2FN8jxqAFA0DA02H","Imagine - Remastered 2010","Imagine","John Lennon",1971-09-09,187866,80,spotify:user:emberg547,2021-02-15T22:48:09Z,"album rock,beatlesque,classic rock,mellow gold,rock",0.547,0.257,0,-12.358,1,0.0252,0.907,0.183,0.0935,0.169,75.752,4
4U45aEWtQhrm8A5mxPaFZ7,"6zFYqv1mOsgBRQbae3JJ9e","Vienna","The Stranger (Legacy Edition)","Billy Joel",1977,214240,77,spotify:user:emberg547,2021-02-15T22:51:39Z,"classic rock,folk rock,mellow gold,piano rock,rock,singer-songwriter,soft rock",0.532,0.495,10,-6.662,1,0.0343,0.659,0,0.0754,0.308,124.936,4
6l8EbYRtQMgKOyc1gcDHF9,"70cRZdQywnSFp9pnc2WTCE","Bridge Over Troubled Water","Bridge Over Troubled Water","Simon & Garfunkel",1970-01-26,293120,73,spotify:user:emberg547,2021-02-15T22:57:29Z,"classic rock,folk,folk rock,melancholia,mellow gold,rock",0.149,0.206,3,-13.888,1,0.0323,0.822,0.000649,0.115,0.264,79.764,4
0qdQUeKVyevrbKhAo0ibxS,"7FIoB5PHdrMZVC3q2HE5MS","My Sweet Lord - Remastered 2014","All Things Must Pass (Remastered 2014)","George Harrison",1970-11-27,281226,78,spotify:user:emberg547,2021-02-15T23:01:08Z,"album rock,beatlesque,classic rock,folk rock,mellow gold,rock,soft rock",0.537,0.701,1,-8.913,0,0.0335,0.0972,0,0.0832,0.583,120.919,4
7iN1s7xHE4ifF5povM6A48,"3WrFJ7ztbogyGnTHbHJFl2","Let It Be - Remastered 2009","Let It Be (Remastered)","The Beatles",1970-05-08,243026,81,spotify:user:emberg547,2021-02-15T23:05:49Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.443,0.403,0,-8.339,1,0.0322,0.631,0,0.111,0.41,143.462,4
3BQHpFgAp4l80e1XslIjNI,"3WrFJ7ztbogyGnTHbHJFl2","Yesterday - Remastered 2009","Help! (Remastered)","The Beatles",1965-08-06,125666,79,spotify:user:emberg547,2021-02-15T23:10:32Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.332,0.179,5,-11.83,1,0.0326,0.879,0,0.0886,0.315,96.529,4
3D9iV6cYkYJRAPFO6DRKIE,"4x1nvY2FN8jxqAFA0DA02H","Jealous Guy - Remastered 2010","Imagine","John Lennon",1971-09-09,257786,69,spotify:user:emberg547,2021-02-15T23:12:57Z,"album rock,beatlesque,classic rock,mellow gold,rock",0.489,0.389,4,-11.653,0,0.0284,0.877,0.32,0.105,0.254,131.366,4
44AyOl4qVkzS48vBsbNXaC,"43ZHCT0cAZBISjO8DG9PnE","Can't Help Falling in Love","Blue Hawaii","Elvis Presley",1961-10-20,182360,80,spotify:user:emberg547,2021-02-15T23:16:23Z,"adult standards,rock-and-roll,rockabilly",0.396,0.293,2,-14.062,1,0.0275,0.941,0.000196,0.105,0.343,100.307,3
5b7OgznPJJr1vHNYGyvxau,"1Mxqyy3pSjf8kZZL4QVxS0,2jFZlvIea42ZvcCw4OeEdA","Fly Me To The Moon (In Other Words)","Sinatra/Basie: The Complete Reprise Studio Recordings","Frank Sinatra,Count Basie",1962-12-10,147000,76,spotify:user:emberg547,2021-02-15T23:16:49Z,"adult standards,easy listening,lounge,big band,harlem renaissance,jazz,jazz piano,stride,swing,vocal jazz",0.668,0.26,7,-14.256,1,0.0523,0.453,0,0.0621,0.368,119.416,4
41ETKVJbZDSjATzW2wAqmc,"3WrFJ7ztbogyGnTHbHJFl2","Blackbird / Yesterday","Love","The Beatles",2006-11-17,151991,49,spotify:user:emberg547,2021-02-16T01:21:27Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.483,0.107,5,-15.465,1,0.031,0.828,0,0.092,0.195,94.371,4
5RgFlk1fcClZd0Y4SGYhqH,"6zFYqv1mOsgBRQbae3JJ9e","She's Always a Woman","The Stranger (Legacy Edition)","Billy Joel",1977,201373,74,spotify:user:emberg547,2021-02-20T07:59:16Z,"classic rock,folk rock,mellow gold,piano rock,rock,singer-songwriter,soft rock",0.292,0.324,3,-11.996,1,0.0346,0.797,0.000473,0.12,0.384,176.631,3
1ko2lVN0vKGUl9zrU0qSlT,"05YVYeV4HxYp5rrWalvuE1,1ThoqLcyIYvZn7iWbj8fsj","Just the Two of Us (feat. Bill Withers)","Anthology","Grover Washington, Jr.,Bill Withers",1985,438493,83,spotify:user:emberg547,2021-03-03T17:35:23Z,"funk,motown,quiet storm,soul",0.749,0.497,10,-12.609,0,0.105,0.41,0.0499,0.0504,0.585,95.818,4
