Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6Rb0ptOEjBjPPQUlQtQGbL,"0TnOYISbd1XYRBk9myaseg","Hotel Room Service","Pitbull Starring In Rebelution","Pitbull",2009-08-31,237640,75,spotify:user:emberg547,2020-06-23T16:27:01Z,"dance pop,latin,miami hip hop,pop,pop rap",0.851,0.629,1,-8.385,1,0.175,0.00705,0.000372,0.0746,0.789,125.984,4
6btyEL6NwUa97Nex9cZFvo,"1yxSLGMDHlW21z4YXirZDS","Pump It","Monkey Business","Black Eyed Peas",2005-01-01,213066,71,spotify:user:emberg547,2020-06-23T16:27:16Z,"dance pop,pop,pop rap",0.649,0.931,1,-3.15,0,0.181,0.0093,0,0.751,0.744,153.645,4
0CAfXk7DXMnon4gLudAp7J,"0jnsk9HBra6NMjO2oANoPY,3aQeKQSyrW4qWr35idm0cy","Low (feat. T-Pain)","Mail on Sunday","Flo Rida,T-Pain",2008-03-17,231400,84,spotify:user:emberg547,2020-06-23T16:27:47Z,"dance pop,miami hip hop,pop,pop rap,hip hop,r&b,rap,southern hip hop,urban contemporary",0.918,0.609,10,-5.64,0,0.0791,0.0928,0,0.139,0.304,128.008,4
66TRwr5uJwPt15mfFkzhbi,"6GMYJwaziB4ekv1Y6wCDWS","Crank That (Soulja Boy)","souljaboytellem.com","Soulja Boy",2007-01-01,221933,78,spotify:user:emberg547,2020-06-23T16:28:14Z,"atl hip hop,chicago bop,dance pop,dirty south rap,pop rap,rap,southern hip hop,trap,viral rap",0.736,0.74,0,-2.18,1,0.0786,0.515,0,0.0468,0.803,140.141,4
4P6BuLsqtg5uISdE77ypI9,"6z1cicLMt9XArxN10q7m8a,5LHRHt1k9lMyONurDHEdrp","Ayy Ladies (feat. Tyga)","From Day 1","Travis Porter,Tyga",2012-05-28,211293,72,spotify:user:emberg547,2020-06-23T16:28:53Z,"atl hip hop,dirty south rap,futuristic swag,pop rap,rap,southern hip hop,trap,viral rap,dance pop,hip hop",0.905,0.782,10,-3.604,0,0.164,0.096,0,0.0623,0.798,96.055,4
6JLcz9UGiVxAmEZXlCucn5,"49mHZzhcsoQB1JXWv8Q9gU","Wobble","Beast","V.I.C.",2008,321986,64,spotify:user:emberg547,2020-06-23T16:29:11Z,"atl hip hop,futuristic swag,pop rap,southern hip hop",0.855,0.746,3,-3.777,0,0.232,0.402,0,0.146,0.375,95.026,4
6qMXubogFdMrvVMJwqATzd,"0HjYETXAvcL6mzaKjAmH2K,1dfpwerOGBId6qD7LVwpoB","Jordan Belfort","Jordan Belfort","Wes Walker,Dyl",2015-08-26,207911,68,spotify:user:emberg547,2020-06-23T21:50:06Z,"viral trap",0.86,0.719,11,-4.325,0,0.33,0.125,0,0.0799,0.496,160.049,4
03tqyYWC9Um2ZqU0ZN849H,"6f4XkbvYlXMH0QgVRzW0sM,0bfX8pF8kuHNCs57Ms4jZb,67nwj3Y5sZQLl72VNUHEYE","No Hands (feat. Roscoe Dash & Wale)","Flockaveli","Waka Flocka Flame,Roscoe Dash,Wale",2010-10-01,263773,78,spotify:user:maryq113,2020-06-23T20:21:14Z,"atl hip hop,dirty south rap,gangster rap,pop rap,rap,southern hip hop,trap,futuristic swag,hip hop,pop,r&b,urban contemporary",0.76,0.595,1,-6.366,1,0.0391,0.00544,0,0.241,0.361,131.497,4
1UMKquW1olreYO1LlLmTqi,"6d47Z08T4snK50HgTEHo5Z,2ZavqCJe7uqkRpISes0NFi","Gas Pedal","Remember Me","Sage The Gemini,Iamsu!",2014-03-25,208160,72,spotify:user:maryq113,2020-06-23T20:21:19Z,"dance pop,hyphy,pop rap,rap,southern hip hop,trap,cali rap,west coast trap",0.843,0.538,1,-8.028,1,0.0833,0.0273,0,0.124,0.428,97.49,4
4hanO6Du5J7QEguNHYZHmw,"3Fl1V19tmjt57oBdxXKAjJ,1pPmIToKXyGdsCF6LmqLmI","Daddy (feat. Rich The Kid)","Dirt Bag","Blueface,Rich The Kid",2019-08-09,151146,68,spotify:user:emberg547,2020-06-23T21:50:40Z,"cali rap,trap,atl hip hop,hip hop,melodic rap,plugg,pop rap,rap,southern hip hop",0.869,0.59,11,-8.214,1,0.257,0.07,0,0.236,0.479,107.934,4
1Ser4X0TKttOvo8bgdytTP,"7iZtZyCzp3LItcw1wtPI3D","Come Get Her","SremmLife","Rae Sremmurd",2015-01-06,212946,78,spotify:user:emberg547,2020-06-23T21:50:54Z,"hip hop,melodic rap,mississippi hip hop,pop rap,rap,southern hip hop,trap",0.689,0.564,2,-6.226,1,0.136,0.187,0,0.0721,0.123,185.023,4
56uXDJRCuoS7abX3SkzHKQ,"4O15NlyKLIASxsJ0PrXPfz","Myron","Eternal Atake (Deluxe) - LUV vs. The World 2","Lil Uzi Vert",2020-03-13,224954,79,spotify:user:emberg547,2020-06-23T21:51:21Z,"melodic rap,philly rap,rap,trap",0.771,0.654,8,-6.976,0,0.298,0.055,0,0.214,0.573,155.047,4
5hTpBe8h35rJ67eAWHQsJx,"3Gm5F95VdRxW3mqCn8RPBJ","Caroline","Good For You","Aminé",2017-07-28,209640,78,spotify:user:emberg547,2020-06-23T21:51:46Z,"hip hop,pop,portland hip hop,rap,underground hip hop",0.94,0.335,5,-10.179,0,0.505,0.17,0,0.262,0.707,120.04,4
7KXjTSCq5nL1LoYtL7XAwS,"2YZyLoL8N0Wb9xBt1NhZWg","HUMBLE.","DAMN.","Kendrick Lamar",2017-04-14,177000,84,spotify:user:emberg547,2020-06-23T21:52:22Z,"conscious hip hop,hip hop,rap,west coast rap",0.908,0.621,1,-6.638,0,0.102,0.000282,0.0000539,0.0958,0.421,150.011,4
0iYebKFUSfF72fUu2OW6ZT,"0hCNtLu0JehylgoiP8L4Gh","Super Bass","Pink Friday (Deluxe)","Nicki Minaj",2010-01-01,200013,2,spotify:user:emberg547,2020-06-23T21:52:46Z,"dance pop,hip pop,pop,pop rap,queens hip hop",0.72,0.861,11,-4.339,1,0.209,0.269,0.00000511,0.601,0.669,126.991,4
0WjYgf4qH3B0v0HmW61doL,"4qBgvVog0wzW75IQ48mU7v,6icQOAFXDZKsumw3YXyusw","iSpy","iSpy","KYLE,Lil Yachty",2016-12-02,253106,0,spotify:user:emberg547,2020-06-23T21:53:29Z,"pop,pop rap,rap,atl hip hop,hip hop,melodic rap,trap,underground hip hop,viral rap",0.746,0.653,7,-6.745,1,0.289,0.378,0,0.229,0.672,75.016,4
7floNISpH8VF4z4459Qo18,"15UsOTVnJzReFVN1VCnxy4","Look At Me!","Look At Me!","XXXTENTACION",2017-02-20,126345,85,spotify:user:emberg547,2020-06-23T21:53:44Z,"emo rap,miami hip hop",0.763,0.726,1,-6.405,1,0.282,0.259,0,0.0976,0.349,139.059,4
2xLMifQCjDGFmkHkpNLD9h,"0Y5tJX1MQlPlqiwlOH1tJY","SICKO MODE","ASTROWORLD","Travis Scott",2018-08-03,312820,86,spotify:user:emberg547,2020-06-23T21:54:00Z,"rap,slap house",0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,4
2IRZnDFmlqMuOrYOLnZZyc,"20sxb77xiYeusSH8cVdatc,3TVXtAsR1Inumwj472S9r4","Going Bad (feat. Drake)","Championships","Meek Mill,Drake",2018-11-30,180522,82,spotify:user:emberg547,2020-06-23T21:54:30Z,"hip hop,philly rap,pop rap,rap,southern hip hop,trap,canadian hip hop,canadian pop,toronto rap",0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,4
7l3E7lcozEodtVsSTCkcaA,"46SHBwWsqBkxI7EeeBEQG7,4DdkRBBYG6Yk9Ka8tdJ9BW,0Y5tJX1MQlPlqiwlOH1tJY","ZEZE (feat. Travis Scott & Offset)","ZEZE (feat. Travis Scott & Offset)","Kodak Black,Offset,Travis Scott",2018-10-12,228653,29,spotify:user:emberg547,2020-06-23T21:54:36Z,"florida rap,hip hop,melodic rap,miami hip hop,rap,southern hip hop,trap,atl hip hop,pop rap,slap house",0.861,0.637,8,-5.692,0,0.24,0.0515,0.00000335,0.0967,0.474,98.044,4
3W3KtDwAIg3mAruSpnfG3Q,"5yG7ZAZafVaAlMTeBybKAL,25uiPmTg16RbhZWAqwLBy5","Fancy","The New Classic (Deluxe Version)","Iggy Azalea,Charli XCX",2014-01-01,199938,73,spotify:user:emberg547,2020-06-23T21:55:14Z,"australian hip hop,dance pop,hip pop,pop,pop rap,post-teen pop,art pop,candy pop,electropop,metropopolis,uk pop",0.912,0.716,10,-4.141,0,0.0697,0.0904,0,0.0491,0.377,94.981,4
0RiRZpuVRbi7oqRdSMwhQY,"246dkjvS1zLTtiykXe5h60,1zNqQNIdeOUZHb8zbZRFMX","Sunflower - Spider-Man: Into the Spider-Verse","Hollywood's Bleeding","Post Malone,Swae Lee",2019-09-06,157560,83,spotify:user:emberg547,2020-06-23T21:55:24Z,"dfw rap,melodic rap,rap,trap",0.755,0.522,2,-4.368,1,0.0575,0.533,0,0.0685,0.925,89.96,4
739vCwA3EpBSkk3uDsI2wB,"5wPoxI5si3eJsYYwyXV4Wi,5pKCCKE2ajJHZ9KAiaK11H,3TVXtAsR1Inumwj472S9r4","Lemon (feat. Drake) - Drake Remix","Lemon (feat. Drake) [Drake Remix]","N.E.R.D,Rihanna,Drake",2018-03-18,226106,62,spotify:user:emberg547,2020-06-23T21:55:54Z,"hip hop,virginia hip hop,barbadian pop,dance pop,pop,pop rap,urban contemporary,canadian hip hop,canadian pop,rap,toronto rap",0.777,0.657,1,-6.434,1,0.237,0.000738,0.00000334,0.0932,0.245,189.992,4
