Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6t1FIJlZWTQfIZhsGjaulM,"057gc1fxmJ2vkctjQJ7Tal","Video Killed The Radio Star","The Age Of Plastic","The Buggles",1980-01-10,253800,65,spotify:user:emberg547,2020-03-02T15:45:20Z,"early synthpop,new romantic,new wave,new wave pop,synthpop,zolo",0.675,0.61,1,-13.811,1,0.085,0.0852,0.0188,0.159,0.344,131.037,4
0wXuerDYiBnERgIpbb3JBR,"73sIBHcqh3Z3NyqHKZ7FOL","Redbone","Awaken, My Love!","Childish Gambino",2016-12-02,326933,85,spotify:user:emberg547,2020-03-02T19:37:50Z,"atl hip hop,hip hop,pop,pop rap,rap",0.743,0.347,1,-11.174,1,0.121,0.167,0.00951,0.103,0.572,160.143,4
3Fj47GNK2kUF0uaEDgXLaD,"6qqNVTkY8uBg9cP3Jd7DAH","wish you were gay","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,221543,79,spotify:user:emberg547,2020-03-02T20:29:01Z,"art pop,electropop,pop",0.853,0.351,7,-10.198,1,0.241,0.39,0.00000938,0.752,0.282,118.028,4
2pyjbGTpJCPjMYwCbdymiF,"5xkAtLTf309LAGZTbvULBn","Dazed & Confused","Dazed & Confused","Ruel",2018-04-27,189608,71,spotify:user:emberg547,2020-03-03T04:53:52Z,"alt z,australian alternative pop,dance pop,electropop,pop",0.688,0.5,2,-7.411,1,0.138,0.102,0,0.355,0.418,127.906,3
7hpJ9tATWb2vztlq99hERP,"4Uc8Dsxct0oMqx0P6i60ea","Maniac","Maniac","Conan Gray",2019-10-25,185786,25,spotify:user:emberg547,2020-03-03T04:53:57Z,"bedroom pop,electropop,indie pop,pop",0.623,0.647,8,-5.438,1,0.04,0.00122,0,0.354,0.522,107.987,4
2YouqYog7JYsVXqgxBikIi,"5nYfBUxnHtI6LAp32fl9qY","Uptown Boys","P3ace","Netherfriends",2014-03-03,135448,43,spotify:user:emberg547,2020-03-03T04:54:02Z,"shimmer pop",0.6,0.644,11,-5.18,1,0.0405,0.518,0.00301,0.108,0.588,73.004,4
0qdQUeKVyevrbKhAo0ibxS,"7FIoB5PHdrMZVC3q2HE5MS","My Sweet Lord - Remastered 2014","All Things Must Pass (Remastered 2014)","George Harrison",1970-11-27,281226,78,spotify:user:emberg547,2020-03-03T04:54:05Z,"album rock,beatlesque,classic rock,folk rock,mellow gold,rock,soft rock",0.537,0.701,1,-8.913,0,0.0335,0.0972,0,0.0832,0.583,120.919,4
03TzvVWdkVbLT9pzewYiDw,"55Aa2cqylxrFIXC767Z865,3EW0kQ1skZiK1NHg3Spt9J","I Don't Sleep (ft. Takeoff)","Funeral","Lil Wayne,Takeoff",2020-01-31,200733,54,spotify:user:emberg547,2020-03-03T04:54:08Z,"hip hop,new orleans rap,pop rap,rap,trap,atl hip hop,southern hip hop",0.587,0.635,8,-6.369,1,0.422,0.0785,0,0.175,0.758,82.517,4
53BHUFdQphHiZUUG3nx9zn,"6s22t5Y3prQHyaHWUN1R1C","Bang!","Bang!","AJR",2020-02-12,170858,73,spotify:user:emberg547,2020-03-03T04:54:22Z,"modern rock,pop rap",0.74,0.516,1,-6.233,0,0.0507,0.0183,0,0.0558,0.698,139.918,4
6zUw4QJytKkTBhwbRC6OiM,"0dn62y7ayEAxcIcMcBWXIE","Clean Me Up","Clean Me Up","Thomas Headon",2019-11-29,165000,58,spotify:user:emberg547,2020-03-03T04:54:26Z,"modern indie pop",0.631,0.402,0,-10.054,1,0.124,0.519,0,0.0686,0.534,91.945,4
2nC3QhMI9reBIOWutbU3Tj,"6P5NO5hzJbuOqSdyPB7SJM","Moral of the Story","Moral of the Story","Ashe",2019-02-14,201083,79,spotify:user:emberg547,2020-03-03T04:54:31Z,"alt z,electropop,pop",0.572,0.406,10,-8.624,1,0.0427,0.587,0.00000448,0.102,0.265,119.812,4
23TPP1eeElFfvYVznskwCY,"0Cp8WN4V8Tu4QJQwCN5Md4","Glitter","FIRE ON MARZZ","BENEE",2019-06-28,180146,72,spotify:user:emberg547,2020-03-03T04:54:34Z,"alt z,nz pop,pop",0.801,0.589,7,-5.157,1,0.0485,0.0863,0,0.162,0.58,116.934,4
3WmgMoWZ1E5yNyn2aUzWAr,"0JDVDA5aG4Y2wXylqghzC6","BOYFREN","BOYFREN","LoveLeo",2020-01-10,136955,66,spotify:user:emberg547,2020-03-03T04:54:39Z,"modern indie pop",0.846,0.364,1,-7.328,1,0.0602,0.246,0.011,0.0902,0.682,79.927,4
28luqgS4NCuFKP6YSOtia5,"41DGOfz7IFMVvf9wKAzeZS","Foreplay","Foreplay","Jalen Santoy",2016-07-07,173784,67,spotify:user:emberg547,2020-03-03T07:12:55Z,"north carolina hip hop,underground hip hop",0.73,0.422,5,-6.211,0,0.0678,0.123,0.00292,0.105,0.505,118.427,4
4xgtWOWGwxehDX8S21di2K,"4ETSs924pXMzjIeD6E9b4u","Shine On Top","Where the Light Is","Surfaces",2019-01-06,145454,57,spotify:user:emberg547,2020-03-04T14:53:16Z,"bedroom soul,pop",0.808,0.754,4,-4.99,0,0.171,0.137,0,0.14,0.966,82.547,4
1Cv1YLb4q0RzL6pybtaMLo,"4ETSs924pXMzjIeD6E9b4u","Sunday Best","Where the Light Is","Surfaces",2019-01-06,158571,81,spotify:user:emberg547,2020-03-05T19:06:08Z,"bedroom soul,pop",0.878,0.525,5,-6.832,1,0.0578,0.183,0,0.0714,0.694,112.022,4
1e9oZCCiX42nJl0AcqriVo,"6KImCVD70vtIoJWnq6nGn3","Watermelon Sugar","Watermelon Sugar","Harry Styles",2019-11-17,174000,74,spotify:user:emberg547,2020-03-06T22:11:27Z,"pop",0.548,0.816,0,-4.209,1,0.0465,0.122,0,0.335,0.557,95.39,4
1M4qEo4HE3PRaCOM7EXNJq,"6KImCVD70vtIoJWnq6nGn3","Adore You","Adore You","Harry Styles",2019-12-06,207133,72,spotify:user:emberg547,2020-03-06T22:12:47Z,"pop",0.676,0.771,8,-3.675,1,0.0483,0.0237,0.000007,0.102,0.569,99.048,4
1YlulsUKDduOmC7WxvXYPW,"5xkAtLTf309LAGZTbvULBn","Painkiller","Free Time","Ruel",2019-09-13,213506,75,spotify:user:emberg547,2020-03-06T22:13:59Z,"alt z,australian alternative pop,dance pop,electropop,pop",0.683,0.42,5,-6.51,1,0.0542,0.0875,0,0.225,0.469,128.621,4
4nK5YrxbMGZstTLbvj6Gxw,"0Cp8WN4V8Tu4QJQwCN5Md4,6sHCvZe1PHrOAuYlwTLNH4","Supalonely","STELLA & STEVE","BENEE,Gus Dapperton",2019-11-15,223480,78,spotify:user:emberg547,2020-03-06T22:14:03Z,"alt z,nz pop,pop,bedroom pop,indie pop,indie poptimism",0.863,0.631,7,-4.689,1,0.0534,0.305,0.0000304,0.123,0.817,128.977,4
47Bg6IrMed1GPbxRgwH2aC,"7pbDxGE6nQSZVfiFdq9lOL","Best Friend","Best Friend","Rex Orange County",2017-01-25,262231,81,spotify:user:emberg547,2020-03-06T22:17:22Z,"bedroom pop,pop",0.575,0.714,6,-5.247,1,0.0596,0.395,0,0.115,0.32,144.982,4
02tvc9CFnTyHuSRlGeNv9w,"7pbDxGE6nQSZVfiFdq9lOL","Corduroy Dreams","Bcos U Will Never B Free","Rex Orange County",2016-11-07,206974,75,spotify:user:emberg547,2020-03-06T22:17:55Z,"bedroom pop,pop",0.608,0.305,4,-14.037,1,0.053,0.653,0,0.103,0.222,113.818,4
3SxSrUogj4LpAkLKXeTtTQ,"7pbDxGE6nQSZVfiFdq9lOL","Always","Pony","Rex Orange County",2019-10-25,197333,67,spotify:user:emberg547,2020-03-06T22:49:34Z,"bedroom pop,pop",0.669,0.373,1,-7.349,1,0.0387,0.774,0,0.326,0.394,127.94,4
6eT7xZZlB2mwyzJ2sUKG6w,"246dkjvS1zLTtiykXe5h60","White Iverson","Stoney (Deluxe)","Post Malone",2016-12-09,256533,79,spotify:user:emberg547,2020-03-07T19:23:13Z,"dfw rap,melodic rap,rap",0.675,0.562,7,-7.678,1,0.0352,0.233,0,0.0816,0.309,130.098,4
4A31dX3j2qcNIgipwRV0eS,"2jbd7OqeJJd1hz81vOXwwW","Marco","Marco","binki",2018-10-11,152322,58,spotify:user:emberg547,2020-03-14T18:42:36Z,"indie r&b,modern indie pop",0.771,0.57,4,-8.607,0,0.0336,0.0188,0.000158,0.141,0.638,105.038,4
4NFD9ea0uH0MtoC30yNYE1,"12trz2INGglrKMzLmg0y2C","West Coast Love","The Juice: Vol. II","Emotional Oranges",2019-11-08,215386,69,spotify:user:emberg547,2020-03-14T22:58:30Z,"alternative r&b,chill r&b",0.696,0.65,4,-5.712,0,0.0326,0.00666,0.153,0.14,0.587,91.997,4
4D7NrSeqkTarBrJ80b2sBc,"4O15NlyKLIASxsJ0PrXPfz,7rkW85dBwwrJtlHRDkJDAC","Leaders (feat. NAV)","Eternal Atake (Deluxe) - LUV vs. The World 2","Lil Uzi Vert,NAV",2020-03-13,194843,63,spotify:user:emberg547,2020-03-16T19:53:40Z,"melodic rap,philly rap,rap,trap,canadian hip hop,canadian trap,hip hop,toronto rap",0.95,0.654,0,-5.895,0,0.307,0.0744,0,0.138,0.886,132.936,4
