Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4mUIe9gfsdtsVP2zFIl74x,"4MCBfE4596Uoi2O4DtmEMz","Maze","Death Race For Love","Juice WRLD",2019-03-08,144090,74,spotify:user:emberg547,2019-03-08T16:00:21Z,"chicago rap,melodic rap",0.674,0.726,11,-3.813,0,0.141,0.126,0.00000156,0.115,0.443,160.067,4
2JvzF1RMd7lE3KmFlsyZD8,"6l3HvQ5sa6mXTsMTB19rO5","MIDDLE CHILD","MIDDLE CHILD","J. Cole",2019-01-23,213593,83,spotify:user:emberg547,2019-03-08T16:00:26Z,"conscious hip hop,hip hop,north carolina hip hop,rap",0.837,0.364,8,-11.713,1,0.276,0.149,0,0.271,0.463,123.984,4
6LkawpJyy0TZJ6Z41gMVyy,"4MCBfE4596Uoi2O4DtmEMz","The Bees Knees","Death Race For Love","Juice WRLD",2019-03-08,325809,68,spotify:user:emberg547,2019-03-08T21:00:58Z,"chicago rap,melodic rap",0.427,0.724,0,-4.751,1,0.0844,0.125,0,0.749,0.289,140.029,4
5UYK9MervBCROg8AHNeEIy,"4MCBfE4596Uoi2O4DtmEMz","Hear Me Calling","Hear Me Calling","Juice WRLD",2019-03-01,189977,0,spotify:user:emberg547,2019-03-08T21:04:30Z,"chicago rap,melodic rap",0.648,0.701,10,-3.546,1,0.186,0.417,0.0000099,0.103,0.588,177.943,4
0baYVkFX4vIXXmIuHRWXDN,"4MCBfE4596Uoi2O4DtmEMz","Out My Way","Death Race For Love","Juice WRLD",2019-03-08,156620,67,spotify:user:emberg547,2019-03-08T21:06:20Z,"chicago rap,melodic rap",0.664,0.832,10,-3.166,0,0.34,0.107,0,0.776,0.498,164.144,4
3usM520kfIRpWNaYOwdnYI,"4MCBfE4596Uoi2O4DtmEMz","Rider","Death Race For Love","Juice WRLD",2019-03-08,192093,68,spotify:user:emberg547,2019-03-08T21:10:06Z,"chicago rap,melodic rap",0.583,0.815,7,-4.257,1,0.0365,0.214,0,0.413,0.451,140.031,4
4y3OI86AEP6PQoDE6olYhO,"7gOdHgIoIKoe4i9Tta6qdD","Sucker","Sucker","Jonas Brothers",2019-03-01,181040,5,spotify:user:emberg547,2019-03-09T04:30:52Z,"boy band,dance pop,pop,post-teen pop",0.842,0.734,1,-5.065,0,0.0588,0.0427,0,0.106,0.952,137.958,4
3oh6SCCeLuXhFpEyepla6G,"3Fl1V19tmjt57oBdxXKAjJ","Thotiana","Famous Cryp","Blueface",2018-12-18,129264,2,spotify:user:emberg547,2019-03-09T05:19:24Z,"cali rap,trap",0.906,0.382,10,-12.89,0,0.269,0.18,0,0.113,0.391,104.025,4
2IRZnDFmlqMuOrYOLnZZyc,"20sxb77xiYeusSH8cVdatc,3TVXtAsR1Inumwj472S9r4","Going Bad (feat. Drake)","Championships","Meek Mill,Drake",2018-11-30,180522,82,spotify:user:emberg547,2019-03-09T05:28:45Z,"hip hop,philly rap,pop rap,rap,southern hip hop,trap,canadian hip hop,canadian pop,toronto rap",0.889,0.496,4,-6.365,0,0.0905,0.259,0,0.252,0.544,86.003,4
4E1MZSeJcc2nljxRNC1L2r,"1DvtabXAjfrMihPP6JQdHs","Funeral","LAW 3: Now Or Never","Shy Glizzy",2014-12-02,198146,43,spotify:user:emberg547,2019-03-10T03:08:53Z,"dmv rap,drill,pop rap,rap,southern hip hop,trap,vapor trap",0.787,0.692,1,-3.561,1,0.0371,0.0498,0,0.251,0.57,133.875,4
