Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0OFknyqxmSQ42SoKxWVTok,"2q10Wskc3lPYmEuV7rzMCv,09oR0uKhqwScsKa2eUK97p","Un Poco Loco","Coco (Original Motion Picture Soundtrack)","Anthony Gonzalez,Gael Garcia Bernal",2017-11-10,112205,70,spotify:user:emberg547,2019-05-13T18:11:57Z,"movie tunes",0.62,0.496,7,-7.509,1,0.133,0.597,0.0000136,0.322,0.636,126.032,4
0rzNMzZsubFcXSEh7dnem7,"6vWDO969PvNqNYHIOW5v0m","Hold Up","Lemonade","Beyoncé",2016-04-23,221093,71,spotify:user:emberg547,2019-05-13T18:12:06Z,"dance pop,pop,r&b",0.524,0.397,0,-11.936,1,0.405,0.745,0,0.521,0.552,80.744,4
0I3q5fE6wg7LIfHGngUTnV,"1G9G7WwrXka3Z1r7aIDjI7","Ms. Jackson","Stankonia","Outkast",2000-10-31,270506,84,spotify:user:emberg547,2019-05-15T12:04:36Z,"atl hip hop,dirty south rap,hip hop,old school atlanta hip hop,rap,southern hip hop",0.843,0.806,4,-5.946,0,0.269,0.143,0,0.0771,0.613,94.948,4
7lQWRAjyhTpCWFC0jmclT4,"3y24n3XhZ96wgwRXjvS17T,2LhsePRtgCo4THVKULQBL7","Gangsta's Paradise","Gangsta's Paradise","Coolio,L.V.",1995-11-07,240693,76,spotify:user:emberg547,2019-05-16T22:04:17Z,"g funk,gangster rap,hip hop,rap,west coast rap",0.647,0.514,8,-10.05,1,0.0593,0.0655,0,0.398,0.387,79.974,4
0dbTQYW3Ad1FTzIA9t90E8,"55Aa2cqylxrFIXC767Z865,2YZyLoL8N0Wb9xBt1NhZWg","Mona Lisa (feat. Kendrick Lamar)","Tha Carter V","Lil Wayne,Kendrick Lamar",2018-09-28,324189,70,spotify:user:emberg547,2019-05-16T22:04:21Z,"hip hop,new orleans rap,pop rap,rap,trap,conscious hip hop,west coast rap",0.856,0.694,2,-4.393,1,0.169,0.371,0,0.109,0.489,122.08,4
3ssX20QT5c3nA9wk78V1LQ,"1ZwdS5xdxEREPySFridCfh","Ambitionz Az A Ridah","All Eyez On Me","2Pac",1996-02-13,278386,2,spotify:user:emberg547,2019-05-16T22:04:29Z,"g funk,gangster rap,hip hop,rap,west coast rap",0.801,0.908,2,-6.554,1,0.221,0.00253,0.000655,0.0698,0.805,87.279,4
5dRCujBQZQq6dlkCaGDMV0,"1ZwdS5xdxEREPySFridCfh,4x508hr5pvqmZTnGzEFBFO","Better Dayz","Better Dayz","2Pac,Mr. Biggs",2002-01-01,257626,62,spotify:user:emberg547,2019-05-16T22:04:34Z,"g funk,gangster rap,hip hop,rap,west coast rap",0.752,0.735,1,-3.851,1,0.196,0.0876,0,0.14,0.635,90.87,4
3Ol2xnObFdKV9pmRD2t9x8,"31W5EY0aAly4Qieq6OFu6I","Look Back at It","Hoodie SZN","A Boogie Wit da Hoodie",2018-12-21,179449,77,spotify:user:emberg547,2019-05-16T22:04:41Z,"melodic rap,rap,trap",0.791,0.587,3,-5.075,0,0.0413,0.407,0,0.148,0.536,96.057,4
7h2yhVxcZOGyQdOwD4Hu8J,"1dfeR4HaWDbWqFHLkxsg1d","I Want To Break Free - Remastered 2011","The Works (Deluxe Remastered Version)","Queen",1984-02-27,258013,65,spotify:user:emberg547,2019-05-16T22:04:48Z,"classic rock,glam rock,rock",0.795,0.433,4,-8.927,1,0.0324,0.0853,0.000284,0.0762,0.6,108.947,4
0HEmnAUT8PHznIAAmVXqFJ,"19ra5tSw0tWufvUp8GotLo","Faith - Remastered","Faith","George Michael",1987-10-30,193200,76,spotify:user:emberg547,2019-05-16T22:04:52Z,"soft rock",0.887,0.48,11,-11.994,1,0.117,0.0094,0.0000358,0.0662,0.607,95.846,4
1YLJVmuzeM2YSUkCCaTNUB,"1moxjboGR7GNWYIMWsRjgG","Dog Days Are Over","Lungs (Deluxe Edition)","Florence + The Machine",2009,251840,74,spotify:user:emberg547,2019-05-16T22:04:57Z,"baroque pop,pop,uk alternative pop",0.492,0.81,7,-5.315,1,0.0847,0.0416,0.00379,0.117,0.245,149.954,4
6u7jPi22kF8CTQ3rb9DHE7,"7jVv8c5Fj3E9VhNjxT4snq,60rpJ9SgigSd16DOAG7GSa","Old Town Road (feat. Billy Ray Cyrus) - Remix","Old Town Road","Lil Nas X,Billy Ray Cyrus",2019-04-05,157066,5,spotify:user:emberg547,2019-05-16T22:10:06Z,"lgbtq+ hip hop,pop,country,country rock",0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,4
4ZT9FnbFu1PaBfV3itxiqT,"7d3WFRME3vBY2cgoP38RDo","I","Shelby","Lil Skies",2019-03-01,181890,75,spotify:user:emberg547,2019-05-18T03:04:12Z,"melodic rap,rap,trap",0.649,0.453,6,-7.28,1,0.085,0.627,0,0.116,0.431,99.183,4
795VzZodMdZzC5fXMp2L3T,"6WkUZyqghQei2G809wMKuZ,7d3WFRME3vBY2cgoP38RDo","Waterslide (feat. Lil Skies)","Yung Bans","Yung Bans,Lil Skies",2018-12-31,158137,46,spotify:user:emberg547,2019-05-19T08:45:24Z,"plugg,rap,trap,underground hip hop,vapor trap,melodic rap",0.883,0.384,0,-10.163,1,0.348,0.202,0,0.138,0.425,75.02,4
6JQvHMSaR8flFsN53ypOfP,"5zctI4wO9XSKS8XwcnqEHk","Noticed","Northsbest","Lil Mosey",2018-10-19,165000,1,spotify:user:emberg547,2019-05-19T08:51:02Z,"melodic rap,rap,rap conscient,trap,vapor trap",0.699,0.558,11,-7.622,1,0.0603,0.462,0,0.116,0.493,79.992,4
2GiJYvgVaD2HtM8GqD9EgQ,"1KP6TWI40m7p3QBTU6u2xo","Electric Love","Dopamine","BØRNS",2015-10-16,218106,85,spotify:user:emberg547,2019-05-22T17:48:37Z,"modern rock,pop",0.611,0.797,6,-7.627,0,0.0533,0.00543,0.00137,0.26,0.518,120.041,4
3YcUuROdNqbATDLG9itprJ,"5zctI4wO9XSKS8XwcnqEHk","Kamakaze","Northsbest","Lil Mosey",2018-10-19,139200,0,spotify:user:emberg547,2019-05-22T19:43:22Z,"melodic rap,rap,rap conscient,trap,vapor trap",0.811,0.568,8,-7.525,0,0.0973,0.329,0.00000264,0.101,0.601,99.979,4
2JvzF1RMd7lE3KmFlsyZD8,"6l3HvQ5sa6mXTsMTB19rO5","MIDDLE CHILD","MIDDLE CHILD","J. Cole",2019-01-23,213593,83,spotify:user:emberg547,2019-05-28T17:31:34Z,"conscious hip hop,hip hop,north carolina hip hop,rap",0.837,0.364,8,-11.713,1,0.276,0.149,0,0.271,0.463,123.984,4
1wJRveJZLSb1rjhnUHQiv6,"31W5EY0aAly4Qieq6OFu6I,7gZfnEnfiaHzxARJ2LeXrf","Swervin (feat. 6ix9ine)","Hoodie SZN","A Boogie Wit da Hoodie,6ix9ine",2018-12-21,189486,80,spotify:user:emberg547,2019-05-28T17:31:44Z,"melodic rap,rap,trap,emo rap",0.581,0.662,9,-5.239,1,0.303,0.0153,0,0.111,0.434,93.023,4
6Hj9jySrnFppAI0sEMCZpJ,"4MCBfE4596Uoi2O4DtmEMz","Robbery","Death Race For Love","Juice WRLD",2019-03-08,240050,86,spotify:user:emberg547,2019-05-28T17:35:06Z,"chicago rap,melodic rap",0.685,0.692,2,-5.122,1,0.0457,0.328,0,0.153,0.578,159.966,5
1ThmUihH9dF8EV08ku5AXN,"2rhFzFmezpnW82MNqEKVry","Faucet Failure","STOKELEY","Ski Mask The Slump God",2018-11-30,145626,79,spotify:user:emberg547,2019-05-28T17:53:46Z,"miami hip hop,rap,underground hip hop",0.935,0.552,10,-9.373,0,0.335,0.111,0,0.0952,0.615,99.993,4
