Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5RsUlxLto4NZbhJpqJbHfN,"6IFXsrXBpwbIqtOUOiAa3p","Jessie's Girl","Working Class Dog","Rick Springfield",1981,194120,72,spotify:user:emberg547,2019-07-06T10:40:37Z,"album rock,australian rock,classic rock,heartland rock,mellow gold,new wave pop,soft rock,yacht rock",0.727,0.834,2,-5.851,1,0.0496,0.165,0,0.105,0.816,131.7,4
6GF6Q45OAiqqbm6nkaIh9u,"1n2LWYgwtGp7EzDapUoniE","8675309 Jenny Jenny","Retro Classic Rock Live","Tommy Tutone",2007,226011,46,spotify:user:emberg547,2019-07-06T10:42:59Z,"album rock,new wave pop",0.587,0.716,2,-10.207,0,0.0583,0.0252,0.00202,0.147,0.586,137.641,4
4nI8e3fy1hHvhCvJURv5JI,"2HB65P72dFRiOKvbLLcil2","Mamma Mia - From 'Mamma Mia!' Original Motion Picture Soundtrack","Mamma Mia! The Movie Soundtrack","Meryl Streep",2008-01-01,214906,68,spotify:user:emberg547,2019-07-06T10:43:25Z,"hollywood",0.746,0.848,2,-4.638,1,0.0331,0.15,0.00000218,0.37,0.756,138.047,4
33trZRsRCHDPemnACBcLJJ,"2HB65P72dFRiOKvbLLcil2,5Yi0y4bNdc04Oxk9l6nwXa,1L4nOFaQKejFy75REi9BKh","Dancing Queen - From 'Mamma Mia!' Original Motion Picture Soundtrack","Mamma Mia! The Movie Soundtrack","Meryl Streep,Julie Walters,Christine Baranski",2008-01-01,244226,67,spotify:user:emberg547,2019-07-06T10:43:29Z,"hollywood",0.551,0.951,9,-3.395,1,0.0717,0.0242,0.00000291,0.156,0.509,99.992,4
7tFiyTwD0nx5a1eklYtX2J,"1dfeR4HaWDbWqFHLkxsg1d","Bohemian Rhapsody - Remastered 2011","A Night At The Opera (Deluxe Remastered Version)","Queen",1975-11-21,354320,76,spotify:user:emberg547,2019-07-06T10:43:41Z,"classic rock,glam rock,rock",0.392,0.402,0,-9.961,0,0.0536,0.288,0,0.243,0.228,143.883,4
7oK9VyNzrYvRFo7nQEYkWN,"0C0XlULifJtAgn6ZNCW2eu","Mr. Brightside","Hot Fuss","The Killers",2004-06-15,222586,78,spotify:user:emberg547,2019-07-06T10:43:59Z,"alternative rock,dance rock,modern rock,permanent wave,rock",0.356,0.924,1,-3.74,1,0.0808,0.00101,0,0.0953,0.232,148.017,4
2RlgNHKcydI9sayD2Df2xp,"7jefIIksOi1EazgRTfW2Pk","Mr. Blue Sky","Out of the Blue","Electric Light Orchestra",1977,303373,82,spotify:user:emberg547,2019-07-06T10:44:20Z,"album rock,art rock,beatlesque,classic rock,glam rock,mellow gold,rock,soft rock,symphonic rock",0.388,0.338,10,-10.054,1,0.0329,0.652,0.00000373,0.248,0.478,177.765,4
2374M0fQpWi3dLnB54qaLX,"0PFtn5NtBbbUNbU9EAmIWF","Africa","Toto IV","TOTO",1982-04-08,295893,84,spotify:user:emberg547,2019-07-06T10:44:32Z,"album rock,classic rock,mellow gold,rock,soft rock,yacht rock",0.671,0.373,9,-18.064,1,0.0323,0.257,0.0000801,0.0481,0.732,92.718,4
6e40mgJiCid5HRAGrbpGA6,"5rSXSAkZ67PYJSvpUpkOr7","I Want It That Way","The Hits--Chapter One","Backstreet Boys",2001-10-23,213600,75,spotify:user:emberg547,2019-07-06T10:44:50Z,"boy band,dance pop",0.689,0.702,6,-5.642,0,0.0261,0.216,0,0.159,0.484,99.031,4
2WfaOiMkCvy7F5fcp2zZ8L,"2jzc5TC5TVFLXQlBNiIUzE","Take on Me","Hunting High and Low","a-ha",1985-06-01,225280,86,spotify:user:emberg547,2019-07-06T10:44:58Z,"new romantic,new wave,new wave pop,permanent wave,soft rock,synthpop",0.573,0.902,6,-7.638,0,0.054,0.018,0.00125,0.0928,0.876,84.412,4
0GONea6G2XdnHWjNZd6zt3,"3Z02hBLubJxuFJfhacLSDc","Summer Of '69","Reckless (30th Anniversary / Deluxe Edition)","Bryan Adams",1984-11-05,216053,83,spotify:user:emberg547,2019-07-06T10:45:11Z,"album rock,canadian pop,canadian singer-songwriter,classic canadian rock,heartland rock,mellow gold,soft rock",0.508,0.834,2,-6.205,1,0.0386,0.0183,0,0.0732,0.774,139.131,4
6u7jPi22kF8CTQ3rb9DHE7,"7jVv8c5Fj3E9VhNjxT4snq,60rpJ9SgigSd16DOAG7GSa","Old Town Road (feat. Billy Ray Cyrus) - Remix","Old Town Road","Lil Nas X,Billy Ray Cyrus",2019-04-05,157066,5,spotify:user:emberg547,2019-07-06T10:45:40Z,"lgbtq+ hip hop,pop,country,country rock",0.878,0.619,6,-5.56,1,0.102,0.0533,0,0.113,0.639,136.041,4
2xYlyywNgefLCRDG8hlxZq,"7EK1bQADBoqbYXnT4Cqv9w","Take Me Home, Country Roads - Rerecorded","The John Denver Collection, Vol. 1: Take Me Home Country Roads","John Denver",1997-06-17,197813,6,spotify:user:emberg547,2019-07-06T10:46:11Z,"adult standards,classic country pop,folk,folk rock,mellow gold,soft rock",0.255,0.43,9,-12.564,1,0.0322,0.546,0.0000187,0.188,0.546,164.267,4
7Cuk8jsPPoNYQWXK9XRFvG,"4QQgXkCYTt3BlENzhyNETg","September","September","Earth, Wind & Fire",2018-04-17,215080,71,spotify:user:emberg547,2019-07-06T10:46:33Z,"disco,funk,jazz funk,motown,quiet storm,soul",0.694,0.831,9,-7.288,1,0.0301,0.165,0.000892,0.25,0.98,125.901,4
5rb9QrpfcKFHM1EUbSIurX,"23zg3TcAtWQy7J6upgbUnj,7sfl4Xt5KmfyDs2T3SVSMK,3ipn9JLAPI5GUEo4y4jcoi","Yeah! (feat. Lil Jon & Ludacris)","Confessions (Expanded Edition)","Usher,Lil Jon,Ludacris",2004-03-23,250373,84,spotify:user:emberg547,2019-07-06T10:47:01Z,"atl hip hop,contemporary r&b,dance pop,pop,r&b,south carolina hip hop,urban contemporary,crunk,dirty south rap,old school atlanta hip hop,pop rap,southern hip hop,hip hop,rap,trap",0.894,0.791,2,-4.699,1,0.112,0.0183,0,0.0388,0.583,105.018,4
1hGy2eLcmC8eKx7qr1tOqx,"6S0dmVVn4udvppDhZIWxCr","Beautiful Girls","Beautiful Girls","Sean Kingston",2007-07-23,225373,81,spotify:user:emberg547,2019-07-06T10:47:09Z,"dance pop,miami hip hop,pop,post-teen pop,urban contemporary",0.762,0.661,1,-6.075,0,0.0687,0.15,0,0.256,0.769,130.009,4
5vlEg2fT4cFWAqU5QptIpQ,"5tKXB9uuebKE34yowVaU3C","Replay","Replay","Iyaz",2009-08-11,182306,75,spotify:user:emberg547,2019-07-06T10:47:23Z,"dance pop,pop rap,post-teen pop",0.706,0.751,9,-6.323,1,0.0708,0.173,0,0.168,0.195,91.031,4
5n5uyFpfopa4mNdSN0gTaH,"5BcAKTbp20cv7tC5VqPFoC","Wing$","The Heist","Macklemore & Ryan Lewis",2012-10-09,298640,69,spotify:user:emberg547,2019-07-06T10:47:32Z,"dance pop,pop,pop rap,seattle hip hop",0.4,0.602,7,-6.988,0,0.197,0.353,0,0.191,0.0964,74.142,4
6PH9KFqfn8qCF9WDs3bGAq,"3Fl1V19tmjt57oBdxXKAjJ,0A0FS04o6zMoto8OKPsDwY","Thotiana (Remix) [feat. YG]","Thotiana (Remix) [feat. YG]","Blueface,YG",2019-02-15,202975,0,spotify:user:emberg547,2019-07-06T10:48:15Z,"cali rap,trap,gangster rap,hip hop,pop rap,rap,southern hip hop",0.923,0.667,10,-5.049,0,0.249,0.0351,0.00000284,0.112,0.712,104.095,4
5cy3CNTBZbX8vZUIsu4p7K,"04gDigrS5kc9YWfZHwBETP,137W8MRPWKqSmrBGDBFSop","Payphone - Edit","Overexposed (Deluxe)","Maroon 5,Wiz Khalifa",2012-01-01,231373,50,spotify:user:emberg547,2019-07-06T10:48:36Z,"pop,pop rock,dance pop,hip hop,pittsburgh rap,pop rap,rap,southern hip hop,trap",0.741,0.783,4,-4.791,1,0.0415,0.015,0,0.302,0.534,110.002,4
3DmW6y7wTEYHJZlLo1r6XJ,"4obzFoKoKRHIphyHzJ35G3","Shower","Shower","Becky G",2014-04-23,206166,80,spotify:user:emberg547,2019-07-06T10:48:58Z,"dance pop,latin,latin pop,latin viral pop,pop,rap latina,reggaeton,trap latino",0.699,0.529,2,-7.548,1,0.0487,0.0317,0.0000359,0.285,0.121,119.987,4
1ExfPZEiahqhLyajhybFeS,"0du5cEVh5yTK9QJze8zA0C","The Lazy Song","Doo-Wops & Hooligans","Bruno Mars",2010-10-05,189109,74,spotify:user:emberg547,2019-07-06T10:49:11Z,"dance pop,pop",0.794,0.711,8,-5.124,0,0.0699,0.3,0,0.0955,0.955,174.915,4
0mUyMawtxj1CJ76kn9gIZK,"7xTcuBOIAAIGDOSvwYFPzk","Bad Day","Daniel Powter","Daniel Powter",2005-02-22,233640,78,spotify:user:emberg547,2019-07-06T10:49:23Z,"canadian pop,neo mellow",0.599,0.785,3,-4.013,1,0.0309,0.448,0.00336,0.151,0.52,140.046,4
023OVLNzXhX0j7CxswUt6D,"5MouCg6ta7zAxsfMEbc1uh","Cheerleader - Felix Jaehn Remix Radio Edit","Me 4 U","OMI",2015-10-16,180560,68,spotify:user:emberg547,2019-07-06T10:49:33Z,"dance pop",0.78,0.68,4,-6.081,1,0.0305,0.141,0.000012,0.138,0.594,118.026,4
2q4rjDy9WhaN3o9MvDbO21,"6GMYJwaziB4ekv1Y6wCDWS,4p07QU02SrLsaORo25h2Lg","Kiss Me Thru The Phone","iSouljaBoyTellem","Soulja Boy,Sammie",2008-01-01,193386,79,spotify:user:emberg547,2019-07-06T10:49:52Z,"atl hip hop,chicago bop,dance pop,dirty south rap,pop rap,rap,southern hip hop,trap,viral rap,contemporary r&b,hip pop,pop r&b,r&b,urban contemporary",0.758,0.712,7,-3.781,1,0.112,0.0185,0,0.0677,0.795,149.998,4
0GO8y8jQk1PkHzS31d699N,"3kVUvbeRdcrqQ3oHk5hPdx","Tongue Tied","Never Trust a Happy Song","Grouplove",2011-09-02,218013,82,spotify:user:emberg547,2019-07-06T10:50:01Z,"indie pop,indie rock,indietronica,la indie,modern alternative rock,modern rock,pop rock,rock,stomp and holler",0.56,0.936,3,-5.835,1,0.0439,0.00847,0,0.161,0.371,112.96,4
4DvhkX2ic4zWkQeWMwQ2qf,"698hF4vcwHwPy8ltmXermq,7C64wNX3howEFZjAYRKsfP,7Ip2u3e5Nv6fFb5xyIHxEE","Like A G6","Free Wired","Far East Movement,The Cataracs,DEV",2010-01-01,216893,72,spotify:user:emberg547,2019-07-06T10:50:20Z,"asian american hip hop,dance pop,edm,pop rap,electropop",0.435,0.837,3,-8.126,1,0.449,0.00676,0,0.117,0.778,124.913,4
0qOnSQQF0yzuPWsXrQ9paz,"4IJczjB0fJ04gs4uvP0Fli,4bYPcJP5jwMhSivRcqie2n","Stereo Hearts (feat. Adam Levine)","The Papercut Chronicles II","Gym Class Heroes,Adam Levine",2011-11-11,210960,85,spotify:user:emberg547,2019-07-06T10:50:39Z,"dance pop,pop rap",0.646,0.795,9,-3.293,1,0.0976,0.0319,0,0.267,0.796,89.99,4
59dLtGBS26x7kc0rHbaPrq,"5ndkK3dpZLKtBklKjxNQwT,0du5cEVh5yTK9QJze8zA0C","Nothin' on You (feat. Bruno Mars)","B.o.B Presents: The Adventures of Bobby Ray","B.o.B,Bruno Mars",2010-04-27,268320,77,spotify:user:emberg547,2019-07-06T10:50:44Z,"atl hip hop,dance pop,hip hop,pop,pop rap,rap,southern hip hop",0.688,0.853,10,-5.814,1,0.0493,0.386,0,0.0862,0.743,103.993,4
3DamFFqW32WihKkTVlwTYQ,"07QEuhtrNmmZ0zEcqE9SF6","Fireflies","Ocean Eyes","Owl City",2009-01-01,228346,82,spotify:user:emberg547,2019-07-06T10:50:48Z,"indietronica,modern rock,pop,pop rock,post-teen pop",0.512,0.662,3,-6.797,1,0.0439,0.0275,0,0.118,0.472,180.114,4
2i0AUcEnsDm3dsqLrFWUCq,"6jTnHxhb6cDCaCu4rdvsQ0","Tonight Tonight","Whatever","Hot Chelle Rae",2011-11-25,200466,77,spotify:user:emberg547,2019-07-06T10:50:53Z,"dance pop,dance rock,neon pop punk,pop,pop punk,pop rap,pop rock,post-teen pop,viral pop",0.686,0.783,4,-4.977,1,0.119,0.0764,0,0.163,0.814,99.978,4
4HlFJV71xXKIGcU3kRyttv,"3FUY2gzHeIiaesXtOAdB7A","Hey, Soul Sister","Save Me, San Francisco (Golden Gate Edition)","Train",2010-12-01,216773,85,spotify:user:emberg547,2019-07-06T10:51:34Z,"dance pop,neo mellow,pop,pop rock",0.673,0.886,1,-4.44,0,0.0431,0.185,0,0.0826,0.795,97.012,4
2DPYlWl50ydYsnnuryL5aX,"2KsP6tYLJlTBvSUxnwlVWa,0c173mlxpT3dSFRgMO8XPh","Cooler Than Me (feat. Big Sean)","Cooler Than Me EP","Mike Posner,Big Sean",2009-12-15,227840,71,spotify:user:emberg547,2019-07-06T10:52:03Z,"dance pop,edm,pop,pop rap,rap,detroit hip hop,hip hop,southern hip hop,trap",0.837,0.515,7,-4.065,0,0.0793,0.103,0,0.233,0.769,129.001,4
5jzKL4BDMClWqRguW5qZvh,"6jJ0s89eD6GaHleKKya26X","Teenage Dream","Teenage Dream","Katy Perry",2010-01-01,227741,72,spotify:user:emberg547,2019-07-06T10:52:08Z,"dance pop,pop,post-teen pop",0.719,0.798,10,-4.582,1,0.0361,0.0162,0.00000234,0.134,0.591,120.011,4
3bC1ahPIYt1btJzSSEyyrF,"0jnsk9HBra6NMjO2oANoPY","Whistle","Wild Ones","Flo Rida",2012-06-22,224653,81,spotify:user:emberg547,2019-07-06T10:52:13Z,"dance pop,miami hip hop,pop,pop rap",0.747,0.937,0,-5.746,1,0.0453,0.0208,0,0.29,0.739,103.976,4
4fINc8dnfcz7AdhFYVA4i7,"07YZf4WDAMNwqr4jfgOZ8y","It Girl","Future History (Deluxe Edition)","Jason Derulo",2011-09-16,192200,74,spotify:user:emberg547,2019-07-06T10:52:23Z,"dance pop,pop,pop rap,post-teen pop",0.668,0.718,1,-4.736,0,0.0605,0.0165,0,0.104,0.345,91.993,4
0HPD5WQqrq7wPWR7P7Dw1i,"6LqNN22kT3074XbTVUrhzX","TiK ToK","Animal (Expanded Edition)","Kesha",2010-01-01,199693,83,spotify:user:emberg547,2019-07-06T10:53:03Z,"dance pop,electropop,pop,post-teen pop",0.755,0.837,2,-2.718,0,0.142,0.0991,0,0.289,0.714,120.028,4
7EQGXaVSyEDsCWKmUcfpLk,"6LqNN22kT3074XbTVUrhzX","Die Young","Warrior (Expanded Edition)","Kesha",2012-11-30,211920,81,spotify:user:emberg547,2019-07-06T10:53:07Z,"dance pop,electropop,pop,post-teen pop",0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,4
3LUWWox8YYykohBbHUrrxd,"6LqNN22kT3074XbTVUrhzX","We R Who We R","Cannibal (Expanded Edition)","Kesha",2010-11-19,204760,74,spotify:user:emberg547,2019-07-06T10:53:10Z,"dance pop,electropop,pop,post-teen pop",0.736,0.817,8,-4.9,1,0.0407,0.00987,0.00167,0.117,0.653,119.95,4
49eplIHvgCLY8HAgcaWrUb,"0TnOYISbd1XYRBk9myaseg,41PsMGvbGsJRtAXk6Kbh5n","Fireball (feat. John Ryan)","Fireball (feat. John Ryan)","Pitbull,John Ryan",2014-07-23,235012,67,spotify:user:emberg547,2019-07-06T10:53:57Z,"dance pop,latin,miami hip hop,pop,pop rap",0.69,0.937,10,-5.393,1,0.0642,0.0894,0.000104,0.0532,0.794,122.951,4
7hQJA50XrCWABAu5v6QZ4i,"1dfeR4HaWDbWqFHLkxsg1d","Don't Stop Me Now - Remastered 2011","Jazz (Deluxe Remastered Version)","Queen",1978-11-10,209413,75,spotify:user:emberg547,2019-07-06T10:54:37Z,"classic rock,glam rock,rock",0.563,0.865,5,-5.277,1,0.16,0.0472,0.000191,0.77,0.601,156.271,4
57JVGBtBLCfHw2muk5416J,"1dfeR4HaWDbWqFHLkxsg1d","Another One Bites The Dust - Remastered 2011","The Game (Deluxe Remastered Version)","Queen",1980-06-27,214653,76,spotify:user:emberg547,2019-07-06T10:54:42Z,"classic rock,glam rock,rock",0.933,0.528,5,-6.472,0,0.162,0.112,0.329,0.163,0.756,109.975,4
11IzgLRXV7Cgek3tEgGgjw,"1dfeR4HaWDbWqFHLkxsg1d,0oSGxfWSnnOXhD2fKuz2Gy","Under Pressure - Remastered 2011","Hot Space (Deluxe Remastered Version)","Queen,David Bowie",1982-05-03,248440,72,spotify:user:emberg547,2019-07-06T10:54:47Z,"classic rock,glam rock,rock,art rock,permanent wave",0.671,0.711,2,-7.813,1,0.0478,0.422,0,0.104,0.466,113.809,4
