Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
606WoZeEY2gs7wCne8VPUN,"7K78lVZ8XzkjfRSI7570FF,105Paee9vmV5rfLSG652e1,1ovhUSI1EXp1WnBP9NHw35","El Tango De Roxanne - From Moulin Rouge Soundtrack","Moulin Rouge","José Feliciano,Ewan McGregor,Jacek Koman",2001-01-01,283933,51,spotify:user:emberg547,2018-07-23T13:38:52Z,"latin pop,puerto rican pop,hollywood",0.322,0.473,7,-7.644,0,0.0466,0.524,0.0457,0.222,0.193,128.987,4
1rDklEm1rIKphZ7EvWinHm,"105Paee9vmV5rfLSG652e1,5ITJs06INM9JWxK5hROEj3","Your Song - From Moulin Rouge Soundtrack","Moulin Rouge","Ewan McGregor,Alessandro Safina",2001-01-01,218800,51,spotify:user:emberg547,2018-07-23T13:42:20Z,"hollywood,italian tenor,operatic pop",0.277,0.331,5,-9.292,1,0.0373,0.515,0.0000626,0.111,0.256,133.233,4
7GQqj9jRtDkMp8zByehXQI,"1l7ZsJRRS8wlW3WfJfPfNS,5tth2a3v0sWwV1C7bApBdX,6lHL3ubAMgSasKjNqKb8HF,1KCSPY1glIKqW2TotWuXOR","Lady Marmalade - From Moulin Rouge Soundtrack","Moulin Rouge","Christina Aguilera,Lil' Kim,Mýa,P!nk",2001-01-01,264846,63,spotify:user:emberg547,2018-07-23T13:42:42Z,"dance pop,pop,post-teen pop,east coast hip hop,gangster rap,hip hop,hip pop,pop rap,r&b,rap,southern hip hop,trap queen,urban contemporary,contemporary r&b,neo soul,pop r&b",0.756,0.808,5,-3.655,1,0.0541,0.0175,0.00000367,0.66,0.638,109.902,4
5QwsotyVII6Qh7LCLtvOpZ,"4aP1lp10BRYZO658B2NwkG,3LfD2yRlfHAtTryX8rFp25","Masquerade","Highlights From The Phantom Of The Opera","Andrew Lloyd Webber,Phantom Of The Opera Original London Cast",1987-01-01,327893,23,spotify:user:emberg547,2018-07-23T13:45:26Z,"broadway,show tunes,west end",0.387,0.33,0,-15.002,1,0.0644,0.667,0,0.248,0.406,95.374,3
36cDxP6IYh3ODxaxEtn0EP,"4aP1lp10BRYZO658B2NwkG,3LfD2yRlfHAtTryX8rFp25","Prima Donna","Highlights From The Phantom Of The Opera","Andrew Lloyd Webber,Phantom Of The Opera Original London Cast",1987-01-01,222800,23,spotify:user:emberg547,2018-07-23T13:45:56Z,"broadway,show tunes,west end",0.282,0.389,5,-12.641,1,0.0447,0.793,0,0.148,0.269,121.513,4
0g8H61FNXHHhMVHB0jwdzH,"68h2f0WXn4zEctSgNYozXx,4EJP6Qhk6l18LumCcpEfLw,7oaoEBdRqHXfoiGYa55Atp,71wy5iisVKXLZgoPxdFi8A","Do You Hear The People Sing?","Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition)","Aaron Tveit,Eddie Redmayne,Students,Les Misérables Cast",2013-01-01,123160,51,spotify:user:emberg547,2018-07-23T13:49:21Z,"broadway,hollywood,show tunes,doo-wop",0.328,0.384,0,-10.323,1,0.0379,0.886,0,0.143,0.504,76.744,4
6ophEFs89SOktBpFnRM8BK,"71wy5iisVKXLZgoPxdFi8A","One Day More","Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition)","Les Misérables Cast",2013-01-01,221933,51,spotify:user:emberg547,2018-07-23T13:49:36Z,"hollywood,show tunes",0.264,0.265,11,-11.901,0,0.033,0.832,0,0.0738,0.307,86.193,4
1VUChQjlhCIDGF724QpKb9,"5F1aoppMtU3OMiltO8ymJ2,0nIyPY7J7G68WgQEOLHn0x,3h4B6ffpCQVSn3QSaTLBna,71wy5iisVKXLZgoPxdFi8A","At The End Of The Day","Les Misérables: The Motion Picture Soundtrack Deluxe (Deluxe Edition)","Hugh Jackman,Anne Hathaway,The Factory Girls,Les Misérables Cast",2013-01-01,266773,44,spotify:user:emberg547,2018-07-23T13:49:43Z,"hollywood,show tunes",0.501,0.394,5,-12.519,0,0.389,0.822,0,0.673,0.565,120.886,4
71X7bPDljJHrmEGYCe7kQ8,"5VJN4jB6PqqEg4kJiAj6Eu,2OEGI2wrCVmvavKEOMlccy,4H3e5t5utgPvj6Nsuda5QF,3cR4rhS2hBWqI7rJEBacvN,3UUJfRbrA2nTbcg4i0MOwu","The Schuyler Sisters","Hamilton (Original Broadway Cast Recording)","Renée Elise Goldsberry,Phillipa Soo,Jasmine Cephas-Jones,Leslie Odom Jr.,Original Broadway Cast of Hamilton",2015-09-25,186542,72,spotify:user:emberg547,2018-07-23T13:50:15Z,"hollywood,show tunes,broadway,vocal jazz",0.74,0.727,2,-6.253,1,0.278,0.187,0,0.627,0.792,101.409,4
54Sc7mZQ1RM03STpk4SfaA,"2OEGI2wrCVmvavKEOMlccy,3UUJfRbrA2nTbcg4i0MOwu","Helpless","Hamilton (Original Broadway Cast Recording)","Phillipa Soo,Original Broadway Cast of Hamilton",2015-09-25,249770,71,spotify:user:emberg547,2018-07-23T13:50:46Z,"hollywood,show tunes,broadway",0.688,0.491,5,-7.494,1,0.269,0.334,0,0.0914,0.737,79.009,4
3dP0pLbg9OfVwssDjp9aT0,"5VJN4jB6PqqEg4kJiAj6Eu,3UUJfRbrA2nTbcg4i0MOwu","Satisfied","Hamilton (Original Broadway Cast Recording)","Renée Elise Goldsberry,Original Broadway Cast of Hamilton",2015-09-25,329228,73,spotify:user:emberg547,2018-07-23T13:50:51Z,"hollywood,show tunes,broadway",0.707,0.593,5,-8.581,0,0.0949,0.287,0,0.15,0.478,123.772,4
7EqpEBPOohgk7NnKvBGFWo,"3cR4rhS2hBWqI7rJEBacvN,3UUJfRbrA2nTbcg4i0MOwu","Wait for It","Hamilton (Original Broadway Cast Recording)","Leslie Odom Jr.,Original Broadway Cast of Hamilton",2015-09-25,193749,71,spotify:user:emberg547,2018-07-23T13:51:03Z,"broadway,hollywood,show tunes,vocal jazz",0.543,0.473,6,-9.638,1,0.157,0.124,0.00000404,0.0922,0.519,86.534,4
7m9XR7FquXLP1FewdAcNS9,"3cR4rhS2hBWqI7rJEBacvN,3twuAojvYNrlWZpMkxLm3P,3UUJfRbrA2nTbcg4i0MOwu","Guns and Ships","Hamilton (Original Broadway Cast Recording)","Leslie Odom Jr.,Daveed Diggs,Original Broadway Cast of Hamilton",2015-09-25,127578,70,spotify:user:emberg547,2018-07-23T13:51:15Z,"broadway,hollywood,show tunes,vocal jazz,alternative hip hop",0.72,0.666,7,-6.914,1,0.328,0.399,0,0.0844,0.383,138.03,4
733tju3KUeatsbjcTRQ04i,"3UUJfRbrA2nTbcg4i0MOwu","Yorktown (The World Turned Upside Down)","Hamilton (Original Broadway Cast Recording)","Original Broadway Cast of Hamilton",2015-09-25,242587,68,spotify:user:emberg547,2018-07-23T13:51:25Z,"broadway,hollywood,show tunes",0.76,0.883,9,-5.397,0,0.25,0.297,0,0.727,0.51,98.012,4
2W9u3whoCkQYOUbmnSrHi1,"3twuAojvYNrlWZpMkxLm3P,3cR4rhS2hBWqI7rJEBacvN,6G3sPhnj4JBCsBVBGvZnkk,3UUJfRbrA2nTbcg4i0MOwu","What'd I Miss","Hamilton (Original Broadway Cast Recording)","Daveed Diggs,Leslie Odom Jr.,Okieriete Onaodowan,Original Broadway Cast of Hamilton",2015-09-25,236701,67,spotify:user:emberg547,2018-07-23T13:51:46Z,"alternative hip hop,broadway,hollywood,show tunes,vocal jazz",0.539,0.577,7,-7.763,1,0.386,0.169,0,0.14,0.319,177.787,4
3TfKt8mPpdXfQTMfRjHzyz,"6sLwRSXSUF5JTUnQaFenyj,3twuAojvYNrlWZpMkxLm3P,4aXXDj9aZnlshx7mzj3W1N,6G3sPhnj4JBCsBVBGvZnkk","Cabinet Battle #1","Hamilton (Original Broadway Cast Recording)","Christopher Jackson,Daveed Diggs,Lin-Manuel Miranda,Okieriete Onaodowan",2015-09-25,215226,66,spotify:user:emberg547,2018-07-23T13:51:54Z,"hollywood,show tunes,alternative hip hop",0.607,0.658,11,-7.762,0,0.423,0.0859,0,0.489,0.513,87.043,4
6KRHMYPIWRgFWlXPgqO2Fp,"6sLwRSXSUF5JTUnQaFenyj,3twuAojvYNrlWZpMkxLm3P,4aXXDj9aZnlshx7mzj3W1N,6G3sPhnj4JBCsBVBGvZnkk","Cabinet Battle #2","Hamilton (Original Broadway Cast Recording)","Christopher Jackson,Daveed Diggs,Lin-Manuel Miranda,Okieriete Onaodowan",2015-09-25,142639,64,spotify:user:emberg547,2018-07-23T13:52:05Z,"hollywood,show tunes,alternative hip hop",0.753,0.539,11,-9.117,1,0.537,0.0582,0,0.353,0.519,99.455,4
4B3qvzOMzLQXLeYgPsG3KA,"2OEGI2wrCVmvavKEOMlccy","Burn","Hamilton (Original Broadway Cast Recording)","Phillipa Soo",2015-09-25,225240,70,spotify:user:emberg547,2018-07-23T13:52:14Z,"hollywood,show tunes",0.582,0.428,2,-9.13,1,0.0516,0.752,0,0.102,0.255,99.608,3
6lsFGDo1IEEPFKh94c9kFe,"660YptcR0hNHJ8iEr1qcse,1Np9GsrPO7dlczjvdehBxs,0Pg2rEmiZEnmxw4eQwtvsR,3brilvMAN6ILRUMvaqJWdG,4aXXDj9aZnlshx7mzj3W1N,3UUJfRbrA2nTbcg4i0MOwu","Blow Us All Away","Hamilton (Original Broadway Cast Recording)","Anthony Ramos,Ariana DeBose,Sasha Hutchings,Ephraim Sykes,Lin-Manuel Miranda,Original Broadway Cast of Hamilton",2015-09-25,173594,62,spotify:user:emberg547,2018-07-23T13:52:19Z,"hollywood,show tunes,broadway",0.82,0.451,9,-10.177,1,0.461,0.388,0,0.563,0.665,88.566,4
6SHI6STEW51cQkAXBRpLNj,"3cR4rhS2hBWqI7rJEBacvN,4aXXDj9aZnlshx7mzj3W1N,3UUJfRbrA2nTbcg4i0MOwu","Your Obedient Servant","Hamilton (Original Broadway Cast Recording)","Leslie Odom Jr.,Lin-Manuel Miranda,Original Broadway Cast of Hamilton",2015-09-25,150063,64,spotify:user:emberg547,2018-07-23T13:52:46Z,"broadway,hollywood,show tunes,vocal jazz",0.736,0.37,5,-11.072,1,0.502,0.293,0,0.042,0.619,165.908,3
7EsSVPxaYoAZjQwhspJBs2,"3UUJfRbrA2nTbcg4i0MOwu","Who Lives, Who Dies, Who Tells Your Story","Hamilton (Original Broadway Cast Recording)","Original Broadway Cast of Hamilton",2015-09-25,217229,66,spotify:user:emberg547,2018-07-23T13:52:56Z,"broadway,hollywood,show tunes",0.353,0.326,2,-9.687,1,0.0901,0.777,0,0.0904,0.156,75.5,4
6b8HkRXKPE29AVqxzMMpib,"3A0KDCVy46KwrkFz5Xivnz,5lizPWT35GgfQAJugVlnVj,2o6Jz2wyAo7Luk9O1bsTAh,4i2oP1nCmFT4QokWnqNhef,2VSbPlH1rrpi6468cZfcso","Wouldn't It Be Loverly?","My Fair Lady (2018 Broadway Cast Recording)","Lauren Ambrose,John Treacy Egan,Christopher Faison,Adam Grupper,Justin Lee Miller",2018-06-08,275053,25,spotify:user:emberg547,2018-07-23T13:53:22Z,"",0.449,0.312,5,-8.115,1,0.0465,0.935,0,0.367,0.436,116.438,4
1BnFrCYByt8DeWVMNNmrzX,"5ipR12homsbpGjWoIWCn5I,3A0KDCVy46KwrkFz5Xivnz,0mkSmuc0M7wEPbDvmM04or,3RXldiyYG9Lg67lrbf4RqO","The Rain in Spain","My Fair Lady (2018 Broadway Cast Recording)","Harry Hadden-Paton,Lauren Ambrose,Allan Corduner,My Fair Lady Ensemble",2018-06-08,178906,20,spotify:user:emberg547,2018-07-23T13:53:30Z,"",0.453,0.43,5,-6.184,1,0.117,0.774,0,0.0505,0.458,149.571,4
1r834EF69ac3n4roRFX0fm,"3A0KDCVy46KwrkFz5Xivnz,2XNH9AdvUwkRQ4Njg8C4WD,3RXldiyYG9Lg67lrbf4RqO","I Could Have Danced All Night","My Fair Lady (2018 Broadway Cast Recording)","Lauren Ambrose,Linda Mugleston,My Fair Lady Ensemble",2018-06-08,228826,27,spotify:user:emberg547,2018-07-23T13:53:45Z,"",0.271,0.446,0,-6.462,1,0.0465,0.903,0,0.148,0.299,63.76,4
31L8Bcm1bgPuWIulW5GLJ3,"13y0kncDD4J9wxCyfKr10W,5N5nt5smNdmXFhkoePG5Lv","Hello, Dolly!","Hello, Dolly! (New Broadway Cast Recording)","Bette Midler,Hello, Dolly! Ensemble (2017)",2017-05-12,400840,31,spotify:user:emberg547,2018-07-23T13:54:21Z,"adult standards,mellow gold,new wave pop,soft rock",0.401,0.315,0,-9.781,0,0.0358,0.817,0,0.306,0.338,119.651,4
5kRBzRZmZTXVg8okC7SJFZ,"6T70tWxqyIpdVbsFvPzqM3","Another Day Of Sun","La La Land (Original Motion Picture Soundtrack)","La La Land Cast",2016-12-09,228173,67,spotify:user:emberg547,2018-07-23T13:55:25Z,"",0.588,0.742,8,-6.757,1,0.0528,0.0162,0.00000398,0.653,0.824,125.819,4
39ncDMVidHOeQgeC5anYZM,"68Uwx1d3EbjDJhYsLjqvIq,13kKxNPnxPeeWQaAaZwvCP,4FFGJ9ERSX06Sl8hD7GRVv,21yiGQIpkiP8edfxDipQaW","Someone In The Crowd","La La Land (Original Motion Picture Soundtrack)","Emma Stone,Callie Hernandez,Sonoya Mizuno,Jessica Rothe",2016-12-09,259613,63,spotify:user:emberg547,2018-07-23T13:55:29Z,"hollywood",0.616,0.538,0,-9.165,0,0.17,0.0906,0.00000898,0.192,0.278,127.948,4
5BMwpS4iYKR30kq9U9beaT,"6kXm2YCtdUOpRYNKeKhfue","City Of Stars","La La Land (Original Motion Picture Soundtrack)","Ryan Gosling",2016-12-09,111240,64,spotify:user:emberg547,2018-07-23T13:55:38Z,"hollywood",0.585,0.0809,6,-19.346,0,0.0523,0.954,0.0233,0.0935,0.204,98.379,4
6j0wBBAP3hMe4t1Ymj7GIe,"68Uwx1d3EbjDJhYsLjqvIq","Audition (The Fools Who Dream)","La La Land (Original Motion Picture Soundtrack)","Emma Stone",2016-12-09,228266,59,spotify:user:emberg547,2018-07-23T13:55:51Z,"hollywood",0.344,0.157,5,-11.773,1,0.0457,0.756,0,0.351,0.313,57.86,4
4lpb2G8gEDgg03CJFJX78a,"1xqwGBikt66LDmSSeaFvp5,2Npf96k0QoY8YYwqnELDmQ,1I9NMgOxP4qsAPbxAG5sKb,2LaIJDDpfnZ333bEuONwtJ,5ktpNQLvpix0NP8gyHGl9X","Getting To Know You - Remastered 2001","The King And I: Music From The Motion Picture (Remastered 2001)","Deborah Kerr,Marni Nixon,The Children,Darcy M. Proper,Jen Wyler",2001-01-01,300906,30,spotify:user:emberg547,2018-07-23T13:56:23Z,"vintage hollywood",0.476,0.146,8,-13.506,1,0.0409,0.925,0,0.12,0.388,121.296,4
2laBcnH7gRXWtxZvVSnYgI,"1xqwGBikt66LDmSSeaFvp5,2Npf96k0QoY8YYwqnELDmQ,5ctGvibG1nCPQRi4mAKjac,2LaIJDDpfnZ333bEuONwtJ,5ktpNQLvpix0NP8gyHGl9X","Shall We Dance? - From The King And I Soundtrack / Remastered 2001","The King And I: Music From The Motion Picture (Remastered 2001)","Deborah Kerr,Marni Nixon,Yul Brynner,Darcy M. Proper,Jen Wyler",2001-01-01,263666,36,spotify:user:emberg547,2018-07-23T13:56:42Z,"vintage hollywood",0.47,0.265,3,-12.286,1,0.0392,0.758,0.0000196,0.0765,0.451,101.581,4
5b0WDp9ay46r1zENJlMkI8,"0mvTBNG2hAuAEzUVgTYpQ2,3ykv0g1DnwB8exhwbdgfgH","Sixteen Going On Seventeen","The Sound Of Music - 45th Anniversary Edition","Charmian Carr,Dan Truhitte",1965,198560,0,spotify:user:emberg547,2018-07-23T13:57:17Z,"disney",0.444,0.159,8,-13.978,1,0.0345,0.867,0,0.0648,0.277,61.627,4
5bC3Elhc2z2mIjB8WPeSZv,"5RdqZVi36tpDPYNPw8jJbO","My Favorite Things","The Sound Of Music - 45th Anniversary Edition","Julie Andrews",1965,139173,0,spotify:user:emberg547,2018-07-23T13:57:20Z,"adult standards,hollywood,movie tunes,show tunes",0.615,0.251,1,-11.778,1,0.0679,0.825,0,0.176,0.673,112.34,4
4Oau9TRrgpMwsziAgkvr0c,"5RdqZVi36tpDPYNPw8jJbO,0mvTBNG2hAuAEzUVgTYpQ2,54dXJA9AzCTXZ8gmX0nX6T,0JSadiWcHiwpHQhq8DhXJl,0QWBkbHktK9RQYaMSZnZ01,5wPIr3J58uJUeU9Xu2mOuc,4HiH23Ui1OvUZfRp5YBQxs,2RqZ8Pqz6WmjR3VmQF9dgA","Do-Re-Mi","The Sound Of Music - 45th Anniversary Edition","Julie Andrews,Charmian Carr,Heather Menzies,Nicholas Hammond,Duane Chase,Angela Cartwright,Debbie Turner,Kym Karath",1965,333520,0,spotify:user:emberg547,2018-07-23T13:57:26Z,"adult standards,hollywood,movie tunes,show tunes,disney",0.5,0.234,10,-11.384,1,0.0686,0.822,0,0.292,0.471,136.431,4
77pelCw3fDFpWchzclG6v1,"1Vb1cXNxIUyb3Geb9cvSvL,0mvTBNG2hAuAEzUVgTYpQ2","Edelweiss","The Sound Of Music - 45th Anniversary Edition","Bill Lee,Charmian Carr",1965,137320,0,spotify:user:emberg547,2018-07-23T13:57:37Z,"disney",0.312,0.117,8,-20.289,1,0.0353,0.858,0.0127,0.11,0.36,100.407,3
6CgFQZ7PyEAenIK9O3Xct1,"0mvTBNG2hAuAEzUVgTYpQ2,54dXJA9AzCTXZ8gmX0nX6T,0JSadiWcHiwpHQhq8DhXJl,0QWBkbHktK9RQYaMSZnZ01,5wPIr3J58uJUeU9Xu2mOuc,4HiH23Ui1OvUZfRp5YBQxs,2RqZ8Pqz6WmjR3VmQF9dgA","So Long, Farewell","The Sound Of Music - 45th Anniversary Edition","Charmian Carr,Heather Menzies,Nicholas Hammond,Duane Chase,Angela Cartwright,Debbie Turner,Kym Karath",1965,175213,0,spotify:user:emberg547,2018-07-23T13:57:57Z,"disney,show tunes",0.545,0.172,10,-15.305,1,0.0462,0.821,0.0000307,0.112,0.36,119.313,4
2SdnYaB5Py2btGBTLXsK7m,"2RWaZohsuqSJX9xWX3p95G,4hpQ9lAGXa07eXIFhujMe0","Thoroughly Modern Millie","Thoroughly Modern Millie (Original Broadway Cast Recording)","Sutton Foster,Thoroughly Modern Millie Ensemble",2002,177333,35,spotify:user:emberg547,2018-07-23T13:58:38Z,"broadway,hollywood,show tunes",0.678,0.538,0,-8.417,1,0.0699,0.75,0,0.331,0.773,99.239,4
5WTm2HOC7Sbhl2wFsD1uJx,"4EJP6Qhk6l18LumCcpEfLw,68h2f0WXn4zEctSgNYozXx,7oaoEBdRqHXfoiGYa55Atp","ABC Café / Red & Black","Les Misérables: Highlights From The Motion Picture Soundtrack","Eddie Redmayne,Aaron Tveit,Students",2012-01-01,261800,30,spotify:user:emberg547,2018-07-23T14:03:13Z,"hollywood,show tunes,broadway,doo-wop",0.477,0.205,11,-13.404,1,0.0599,0.903,0,0.162,0.325,58.998,4
6Jmk1iTfUs8YL2d620NcHB,"4gOl5m9dY7IGAipqpul7GZ","On My Own","Les Misérables: Highlights From The Motion Picture Soundtrack","Samantha Barks",2012-01-01,191413,34,spotify:user:emberg547,2018-07-23T14:03:22Z,"show tunes",0.357,0.109,0,-15.667,1,0.0526,0.889,0,0.133,0.188,83.778,3
4FjRidYO7BZcJRtGsMFvRa,"4EJP6Qhk6l18LumCcpEfLw","Empty Chairs At Empty Tables","Les Misérables: Highlights From The Motion Picture Soundtrack","Eddie Redmayne",2012-01-01,192973,29,spotify:user:emberg547,2018-07-23T14:04:07Z,"hollywood,show tunes",0.286,0.0711,6,-18.091,1,0.0618,0.939,0.0000285,0.121,0.102,79.475,3
6uie49Ul2wKawsbIGc8MYb,"5bse9w1FhvHOjwC110JLe5","When You're An Addams","The Addams Family (Original Cast Recording)","Company",2010-01-01,265146,44,spotify:user:emberg547,2018-07-23T14:04:32Z,"",0.633,0.509,7,-9.344,0,0.216,0.634,0,0.343,0.843,86.644,4
6W6mfGp42e0npejwRfK5Mt,"7achJdkPpg7LVBU4ZvdlZA,4qOQ9LvXXcjqQGEA5ccuwD","Pulled","The Addams Family (Original Cast Recording)","Krysta Rodriguez,Adam Riegler",2010-01-01,179293,46,spotify:user:emberg547,2018-07-23T14:04:38Z,"",0.509,0.476,0,-7.958,1,0.071,0.772,0,0.288,0.495,124.678,4
3zDQrzqq3PPRnuylK7VojP,"5bse9w1FhvHOjwC110JLe5","Full Disclosure","The Addams Family (Original Cast Recording)","Company",2010-01-01,154560,35,spotify:user:emberg547,2018-07-23T14:04:47Z,"",0.619,0.478,1,-9.375,1,0.38,0.8,0,0.671,0.638,131.126,3
4xvwjdCasFrBXS2BoUjlp8,"2HTaDbxoU8q9ByDFSbxtwl","Just Around The Corner","The Addams Family (Original Cast Recording)","Bebe Neuwirth",2010-01-01,238986,35,spotify:user:emberg547,2018-07-23T14:04:55Z,"broadway,hollywood,show tunes",0.567,0.404,6,-9.854,1,0.312,0.616,0,0.0727,0.641,129.137,4
4OXDosr6Bmg0O2POGhoAvO,"6korWWGsk6Mbm51fHRzWdP,5oXv6bHFXZA1kw2BjCVa1h,3cfeFJ0yiGFQMKe4xxc3QD,2NS2JjFpX4vkrTJ8DjWHXD,5LqY5fqjiYI7ykQaXW6NZm","Matchmaker","Fiddler on the Roof (New Broadway Cast Recording)","Laura Michelle Kelly,Tricia Paoluccio,Sally Murphy,Lea Michelle,Molly Ephraim",2004-06-08,261853,27,spotify:user:emberg547,2018-07-23T14:05:29Z,"west end",0.516,0.208,4,-11.796,1,0.312,0.834,0,0.0532,0.392,77.814,4
4IDvLovTxyuYNEloCrFbMs,"63TDvoeug4OyhpcQ2vaYVd","If I Were a Rich Man","Fiddler on the Roof (New Broadway Cast Recording)","Alfred Molina",2004-06-08,313346,37,spotify:user:emberg547,2018-07-23T14:05:35Z,"",0.569,0.149,1,-14.099,1,0.261,0.776,0,0.0779,0.352,73.516,4
4x2jjjCg6gKn8YrriuM8Yy,"63TDvoeug4OyhpcQ2vaYVd,2iRiwwxcJb6fXCxO5jt1cz","Sabbath Prayer","Fiddler on the Roof (New Broadway Cast Recording)","Alfred Molina,Randy Graff",2004-06-08,167080,21,spotify:user:emberg547,2018-07-23T14:05:41Z,"",0.296,0.117,5,-15.301,1,0.0316,0.95,0,0.109,0.11,76.887,4
5AeGXqM1TmedVvccCYlSYJ,"63TDvoeug4OyhpcQ2vaYVd,2FGAYgw7LbRbATdobmzhI5,79ZraksnB48gGR9diz1Ivt","To Life","Fiddler on the Roof (New Broadway Cast Recording)","Alfred Molina,David Wolhl,David Ayers",2004-06-08,260306,25,spotify:user:emberg547,2018-07-23T14:05:45Z,"",0.672,0.529,5,-7.809,0,0.385,0.685,0,0.665,0.794,130.617,4
4UqoQ74pRIHvZxvj5dDrpK,"63TDvoeug4OyhpcQ2vaYVd,2iRiwwxcJb6fXCxO5jt1cz,1QYEDrtyv4L2zVaWKjrjNe","Sunrise, Sunset","Fiddler on the Roof (New Broadway Cast Recording)","Alfred Molina,Randy Graff,Fiddler On The Roof Company",2004-06-08,211560,23,spotify:user:emberg547,2018-07-23T14:05:57Z,"broadway",0.3,0.152,5,-15.508,0,0.0371,0.907,0,0.115,0.264,135.344,4
