Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
1xLs8Mu1QEVbGCpyHQ2r2U,"6USv9qhCn6zfxlBQIYJ9qs","Why","What Could Possibly Go Wrong","Dominic Fike",2020-07-31,139906,69,spotify:user:,2021-03-26T05:01:00Z,"alternative pop rock,pop",0.684,0.856,6,-2.676,1,0.0411,0.342,0.00728,0.109,0.343,117.027,4
0UV5zxRMz6AO4ZwUOZNIKI,"4mLJ3XfOM5FPjSAWdQ2Jk7","Where'd All the Time Go?","Shame, Shame (Deluxe Edition)","Dr. Dog",2010-11-02,234800,80,spotify:user:,2021-03-26T05:01:00Z,"indie folk,indie pop,indie rock,modern folk rock,modern rock,philly indie,stomp and holler",0.454,0.82,2,-4.193,1,0.0567,0.132,0.000969,0.115,0.575,166.303,4
4RvWPyQ5RL0ao9LPZeSouE,"4bthk9UfsYUYdcFyqxmSUU","Everybody Wants To Rule The World","Songs From The Big Chair (Super Deluxe Edition)","Tears For Fears",1985-02-25,251488,85,spotify:user:,2021-03-26T05:01:00Z,"new romantic,new wave,new wave pop,permanent wave,rock,soft rock,sophisti-pop,synthpop",0.645,0.795,7,-12.095,1,0.0527,0.347,0.00389,0.104,0.535,112.067,4
6Fqf0OTfB9VPfYk2HfBhPn,"7vtSUU3zpHeYJfX6BPNrJd","Freakin' Out On the Interstate","Carnival","Briston Maroney",2018-11-16,251906,66,spotify:user:,2021-03-26T05:01:00Z,"indie pop,modern rock,nashville indie",0.452,0.79,4,-5.01,1,0.0534,0.391,0,0.303,0.362,143.861,4
5r5cp9IpziiIsR6b93vcnQ,"67hb7towEyKvt5Z8Bx306c","Walking On A Dream","Walking On A Dream (10th Anniversary Edition)","Empire of the Sun",2008-10-03,198440,80,spotify:user:,2021-03-26T05:01:00Z,"alternative dance,australian dance,australian electropop,dance rock,electropop,indietronica,neo-synthpop,new rave",0.871,0.701,5,-5.594,0,0.0458,0.257,0.00000752,0.0589,0.716,126.975,4
51pshtuYkgUQnt5huMPbKL,"4LLpKhyESsyAXpc4laK94U","The Spins","K.I.D.S.","Mac Miller",2010-08-13,195873,84,spotify:user:,2021-06-18T16:32:19Z,"hip hop,pittsburgh rap,rap",0.794,0.766,9,-3.894,0,0.0377,0.0135,0,0.0785,0.55,127.007,4
1170VohRSx6GwE6QDCHPPH,"6p2HnfM955TI1bX34dkLnI","Kilby Girl","When We Were Friends","The Backseat Lovers",2019-01-27,282205,81,spotify:user:,2021-03-26T05:01:00Z,"indie pop,modern rock,slc indie",0.329,0.444,1,-9.973,1,0.0417,0.0578,0.0352,0.113,0.225,162.279,4
1XrSjpNe49IiygZfzb74pk,"77mJc3M7ZT5oOVM7gNdXim","What Once Was","Songs of Her's","Her's",2017-05-12,255067,76,spotify:user:,2021-03-26T05:01:00Z,"indie garage rock,indie pop,liverpool indie,modern rock",0.526,0.877,3,-4.369,0,0.033,0.172,0.0108,0.223,0.436,145.568,3
2RlgNHKcydI9sayD2Df2xp,"7jefIIksOi1EazgRTfW2Pk","Mr. Blue Sky","Out of the Blue","Electric Light Orchestra",1977,303373,82,spotify:user:,2021-03-26T05:01:00Z,"album rock,art rock,beatlesque,classic rock,glam rock,mellow gold,rock,soft rock,symphonic rock",0.388,0.338,10,-10.054,1,0.0329,0.652,0.00000373,0.248,0.478,177.765,4
6FmnMoph4yx7zjhuBcrHDv,"4iMO20EPodreIaEl8qW66y","Kenny","Kenny","Still Woozy",2021-04-30,194133,65,spotify:user:,2021-04-30T17:01:45Z,"bedroom pop,modern rock,oakland indie",0.743,0.49,1,-10.845,1,0.0377,0.307,0.0393,0.108,0.394,120.028,4
1H7zdcRD0gLGQY0w5ejGgX,"0Y6dVaC9DZtPNH4591M42W","Lovers Rock","French Exit","TV Girl",2014-06-05,213920,81,spotify:user:,2021-03-26T05:01:00Z,"indie pop",0.559,0.871,5,-5.338,0,0.0392,0.00000753,0.00524,0.096,0.573,104.976,4
07MDkzWARZaLEdKxo6yArG,"64H8UqGLbJFHwKtGxiV8OP,3rWZHrfrsPBxVy692yAIxF,1xoxekeb8jUVHKJB7m6bfg","Meet Me At Our Spot","THE ANXIETY","THE ANXIETY,WILLOW,Tyler Cole",2020-03-13,162680,92,spotify:user:,2021-08-27T20:05:11Z,"modern alternative pop,afrofuturism,dance pop,electropop,pop,post-teen pop,bedroom soul",0.773,0.47,2,-7.93,1,0.0299,0.0153,0.000193,0.0851,0.399,94.995,4
4sNG6zQBmtq7M8aeeKJRMQ,"2D4FOOOtWycb3Aw9nY5n3c","Brazil","What Do You Think About the Car?","Declan McKenna",2017-07-21,252306,74,spotify:user:,2021-03-26T05:01:00Z,"indie pop,modern alternative rock,modern rock,rock",0.687,0.617,4,-5.213,1,0.0287,0.0941,0.0000127,0.0898,0.665,121.079,4
4AXS0kSzmuhAAYJtVKbZDq,"23E65IfLBGQv0FBrMwCcG2","Romeo & Juliet","Romeo & Juliet","Peter McPoland",2020-07-03,166137,69,spotify:user:,2021-03-26T05:01:00Z,"indie pop",0.312,0.479,0,-7.119,1,0.044,0.464,0.0000167,0.503,0.0823,159.21,4
