Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
7IsSj9soYjjaXGhLwd0Tyd,"4PNHuWkk4ee6R8WEhFVPf5","Let It Go","Neighborhood Hero","NoCap",2018-07-24,193463,50,spotify:user:emberg547,2019-01-24T12:47:44Z,"alabama rap,atl trap",0.665,0.425,1,-11.455,1,0.277,0.0662,0,0.128,0.401,150.053,4
6p158dfAO8q8wUk8u06xZq,"4PNHuWkk4ee6R8WEhFVPf5,4IprNlQiJZUUJhDl0fL2SL","Spaceship Vibes","Spaceship Vibes","NoCap,Quando Rondo",2018-09-18,203911,57,spotify:user:emberg547,2019-01-24T12:47:48Z,"alabama rap,atl trap,melodic rap,pop rap,trap",0.434,0.424,8,-12.56,1,0.322,0.477,0,0.101,0.205,79.982,4
2dMzpyiQmDvaADi3wxXL4Z,"4PNHuWkk4ee6R8WEhFVPf5","Legend","Neighborhood Hero","NoCap",2018-07-24,199560,46,spotify:user:emberg547,2019-01-24T12:47:51Z,"alabama rap,atl trap",0.634,0.377,0,-10.229,1,0.345,0.721,0,0.0841,0.477,159.986,4
2yNoe5hsqPZLgoFcx2f2hO,"4PNHuWkk4ee6R8WEhFVPf5,0gg11prPP6OqtUvBcKnPpq","Philadelphia","Rogerville","NoCap,Rylo Rodriguez",2018-09-07,206880,0,spotify:user:emberg547,2019-01-24T12:47:55Z,"alabama rap,atl trap,tennessee hip hop,trap",0.742,0.515,11,-12.107,1,0.342,0.327,0,0.0652,0.234,82.536,4
4Tj8BKlVpxNh27IkTo2YIr,"4PNHuWkk4ee6R8WEhFVPf5","Point Guard","Point Guard","NoCap",2018-11-08,151296,49,spotify:user:emberg547,2019-01-24T12:47:58Z,"alabama rap,atl trap",0.617,0.545,7,-8.114,1,0.393,0.553,0,0.14,0.506,106.626,3
0KeQsDMe3GSRRXF46aNl2s,"6AgTAQt8XS6jRWi4sX7w49","Finer Things","Finer Things","Polo G",2018-11-30,182400,0,spotify:user:emberg547,2019-01-24T12:48:19Z,"chicago rap",0.504,0.453,2,-12.589,1,0.383,0.0551,0.000199,0.0993,0.0928,177.939,4
2pJR7s2QDp2qyArMHjSlQV,"6AgTAQt8XS6jRWi4sX7w49","Hollywood","Hollywood","Polo G",2018-10-18,167100,0,spotify:user:emberg547,2019-01-24T12:48:23Z,"chicago rap",0.839,0.389,5,-11.904,1,0.525,0.127,0,0.0553,0.722,161.985,4
1x4UTuG7Jx2ZzWdBJbhMnW,"6AgTAQt8XS6jRWi4sX7w49","The Come Up","The Come Up","Polo G",2018-05-03,153756,58,spotify:user:emberg547,2019-01-24T12:48:26Z,"chicago rap",0.841,0.538,8,-12.349,0,0.416,0.0236,0,0.418,0.776,149.906,4
1uMMWkJbsMkecvfx96d2F7,"6AgTAQt8XS6jRWi4sX7w49","Gang WithMe","Gang WithMe","Polo G",2018-07-15,192052,70,spotify:user:emberg547,2019-01-24T12:48:29Z,"chicago rap",0.818,0.331,1,-10.617,1,0.111,0.0152,0,0.119,0.326,85.064,4
5hBlGmIX2ExGPg2GTSMsrx,"6AgTAQt8XS6jRWi4sX7w49","All She Wants","All She Wants","Polo G",2018-08-03,165140,42,spotify:user:emberg547,2019-01-24T12:48:33Z,"chicago rap",0.617,0.674,11,-4.336,0,0.0638,0.518,0,0.11,0.5,129.91,4
4VcPtoOpK3oBMDZJ9Ptp9f,"3IaKn0ExWTMPqa0mscUYw3,3hcs9uc56yIGFCSy9leWe7","No Auto Durk","Lil Durk Presents: Only the Family Involved, Vol. 2","Only The Family,Lil Durk",2018-12-21,184258,72,spotify:user:emberg547,2019-01-24T12:48:55Z,"chicago rap,rap,trap,chicago drill,drill,hip hop",0.765,0.553,11,-7.116,0,0.358,0.00822,0,0.206,0.565,154.971,4
5i0eJv1DzuyhaYnro4wTKg,"3IaKn0ExWTMPqa0mscUYw3,6QtgPSJPSzcnn7dPZ4VINp","Crazy Story","Lil Durk Presents: Only the Family Involved, Vol. 2","Only The Family,King Von",2018-12-21,146751,65,spotify:user:emberg547,2019-01-24T12:48:59Z,"chicago rap,rap,trap",0.833,0.496,11,-8.827,1,0.436,0.00999,0.0000199,0.126,0.148,156.932,4
