Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5FEXPoPnzueFJQCPRIrC3c,"0fA0VVWsXO9YnASrzqfmYu","Day 'N' Nite (nightmare)","Man On The Moon: The End Of Day","Kid Cudi",2009-09-15,221266,74,spotify:user:emberg547,2021-01-01T21:19:34Z,"hip hop,ohio hip hop,pop rap,rap",0.871,0.44,11,-6.25,0,0.0761,0.499,0.00000415,0.114,0.799,137.996,4
5iSEsR6NKjlC9SrIJkyL3k,"0fA0VVWsXO9YnASrzqfmYu,0SwO7SWeDHJijQ3XNS7xEE,57dN52uHvrHOxijzpIgu3E","Pursuit Of Happiness (Nightmare)","Man On The Moon: The End Of Day","Kid Cudi,MGMT,Ratatat",2009-09-15,295293,79,spotify:user:emberg547,2021-01-01T21:19:53Z,"hip hop,ohio hip hop,pop rap,rap,alternative dance,indie rock,indietronica,modern rock,rock,electronica,new rave",0.63,0.605,0,-8.951,1,0.0414,0.484,0.0000929,0.298,0.266,115.277,4
6AGOKlMZWLCaEJGnaROtF9,"7MPGCB854Qo4alYMOPkBka","Put Your Records On","Put Your Records On","Ritt Momney",2020-04-24,210463,82,spotify:user:emberg547,2021-01-01T21:19:57Z,"bedroom pop,indie pop",0.399,0.491,6,-10.778,0,0.0538,0.0563,0.00089,0.11,0.151,91.066,4
3s7MCdXyWmwjdcWh7GWXas,"5K4W6rqBFWDnAN6FQUkS6x","Violent Crimes","ye","Kanye West",2018-06-01,215320,78,spotify:user:emberg547,2021-01-01T21:26:35Z,"chicago rap,rap",0.669,0.419,1,-6.724,0,0.522,0.376,0,0.187,0.0397,109.813,4
7LptQZjp5wgdYDQZPjOV9O,"2YOYua8FpudSEiB9s88IgQ","1 Thot 2 Thot Red Thot Blue Thot","Snow Cougar","Yung Gravy",2018-05-04,131139,69,spotify:user:emberg547,2021-01-01T21:26:48Z,"meme rap,minnesota hip hop,pop rap",0.79,0.768,6,-5.638,1,0.284,0.148,0.000947,0.126,0.691,80.029,4
4EWCNWgDS8707fNSZ1oaA5,"5K4W6rqBFWDnAN6FQUkS6x","Heartless","808s & Heartbreak","Kanye West",2008-11-24,211000,83,spotify:user:emberg547,2021-01-01T21:27:55Z,"chicago rap,rap",0.79,0.647,10,-5.983,0,0.136,0.0515,0,0.248,0.654,87.999,4
4RVbK6cV0VqWdpCDcx3hiT,"2hPgGN4uhvXAxiXQBIXOmE","Reborn","KIDS SEE GHOSTS","KIDS SEE GHOSTS",2018-06-08,324674,75,spotify:user:emberg547,2021-01-01T21:28:45Z,"hip hop,rap",0.585,0.597,0,-7.499,1,0.037,0.339,0.0404,0.195,0.227,100.051,4
4S4Mfvv03M1cHgIOJcbUCL,"2h93pZq0e7k5yf4dywlkpM","In My Room","In My Room","Frank Ocean",2019-11-02,133680,80,spotify:user:emberg547,2021-01-01T21:33:04Z,"alternative r&b,hip hop,lgbtq+ hip hop,neo soul,pop",0.861,0.647,7,-7.425,1,0.0675,0.594,0.661,0.114,0.67,158.037,4
2HbKqm4o0w5wEeEFXm2sD4,"2YZyLoL8N0Wb9xBt1NhZWg,28ExwzUQsvgJooOI0X1mr3","Money Trees","good kid, m.A.A.d city","Kendrick Lamar,Jay Rock",2012,386906,80,spotify:user:emberg547,2021-01-01T21:33:07Z,"conscious hip hop,hip hop,rap,west coast rap,gangster rap,pop rap,southern hip hop,trap,underground hip hop",0.716,0.531,7,-7.355,1,0.122,0.0703,0,0.224,0.344,71.994,4
6LOZws7T3jqZz78unPgFF9,"1U1el3k54VvEUzo3ybLPlM","Dead To Me","Isolation","Kali Uchis",2018-04-06,199505,83,spotify:user:emberg547,2021-01-01T21:33:12Z,"colombian pop,pop",0.675,0.761,4,-4.469,0,0.0466,0.432,0,0.102,0.428,119.001,4
51pshtuYkgUQnt5huMPbKL,"4LLpKhyESsyAXpc4laK94U","The Spins","K.I.D.S.","Mac Miller",2010-08-13,195873,84,spotify:user:emberg547,2021-01-01T21:33:45Z,"hip hop,pittsburgh rap,rap",0.794,0.766,9,-3.894,0,0.0377,0.0135,0,0.0785,0.55,127.007,4
3Fj47GNK2kUF0uaEDgXLaD,"6qqNVTkY8uBg9cP3Jd7DAH","wish you were gay","WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?","Billie Eilish",2019-03-29,221543,79,spotify:user:emberg547,2021-01-01T21:34:26Z,"art pop,electropop,pop",0.853,0.351,7,-10.198,1,0.241,0.39,0.00000938,0.752,0.282,118.028,4
1YlulsUKDduOmC7WxvXYPW,"5xkAtLTf309LAGZTbvULBn","Painkiller","Free Time","Ruel",2019-09-13,213506,75,spotify:user:emberg547,2021-01-01T21:34:49Z,"alt z,australian alternative pop,dance pop,electropop,pop",0.683,0.42,5,-6.51,1,0.0542,0.0875,0,0.225,0.469,128.621,4
28luqgS4NCuFKP6YSOtia5,"41DGOfz7IFMVvf9wKAzeZS","Foreplay","Foreplay","Jalen Santoy",2016-07-07,173784,67,spotify:user:emberg547,2021-01-01T21:35:08Z,"north carolina hip hop,underground hip hop",0.73,0.422,5,-6.211,0,0.0678,0.123,0.00292,0.105,0.505,118.427,4
5FVd6KXrgO9B3JPmC8OPst,"7Ln80lUS6He07XvHI8qqHH","Do I Wanna Know?","AM","Arctic Monkeys",2013-09-09,272394,87,spotify:user:emberg547,2021-01-01T21:35:38Z,"garage rock,permanent wave,rock,sheffield indie",0.548,0.532,5,-7.596,1,0.0323,0.186,0.000263,0.217,0.405,85.03,4
3n69hLUdIsSa1WlRmjMZlW,"3XHO7cRUPCLOr6jwp8vsx5","Breezeblocks","An Awesome Wave","alt-J",2012-09-18,227080,75,spotify:user:emberg547,2021-01-01T21:36:01Z,"indie rock,modern rock",0.616,0.656,5,-7.298,1,0.0344,0.096,0.000879,0.205,0.286,150.071,4
47Bg6IrMed1GPbxRgwH2aC,"7pbDxGE6nQSZVfiFdq9lOL","Best Friend","Best Friend","Rex Orange County",2017-01-25,262231,81,spotify:user:emberg547,2021-01-01T21:36:09Z,"bedroom pop,pop",0.575,0.714,6,-5.247,1,0.0596,0.395,0,0.115,0.32,144.982,4
4NFD9ea0uH0MtoC30yNYE1,"12trz2INGglrKMzLmg0y2C","West Coast Love","The Juice: Vol. II","Emotional Oranges",2019-11-08,215386,69,spotify:user:emberg547,2021-01-01T21:36:18Z,"alternative r&b,chill r&b",0.696,0.65,4,-5.712,0,0.0326,0.00666,0.153,0.14,0.587,91.997,4
6JQvHMSaR8flFsN53ypOfP,"5zctI4wO9XSKS8XwcnqEHk","Noticed","Northsbest","Lil Mosey",2018-10-19,165000,1,spotify:user:emberg547,2021-01-01T21:36:48Z,"melodic rap,rap,rap conscient,trap,vapor trap",0.699,0.558,11,-7.622,1,0.0603,0.462,0,0.116,0.493,79.992,4
6SIR9Zx1I9VaFDPj99z9JW,"5MbNzCW3qokGyoo9giHA3V,50co4Is1HCEo8bhOyUWKpn","Proud Of U (feat. Young Thug)","Proud Of U (feat. Young Thug)","EARTHGANG,Young Thug",2019-02-05,238069,0,spotify:user:emberg547,2021-01-01T21:37:07Z,"atl hip hop,hip hop,psychedelic hip hop,rap,underground hip hop,atl trap,gangster rap,melodic rap,trap",0.775,0.516,2,-5.924,1,0.32,0.0679,0,0.152,0.419,78.022,4
5uDASfU19gDxSjW8cnCaBp,"2hWs22BmQkK4czFtDLnar2,1rs3y69kDwkIdGJcOYngQt,5ewJHfiGNQJjmKHzLjcojz","Chill Bill (feat. J. Davi$ & Spooks)","Chill Bill (feat. J. Davi$ & Spooks)","Rob $tone,J. Davi$,Spooks",2016-06-17,177184,79,spotify:user:emberg547,2021-01-01T21:37:17Z,"san diego rap",0.886,0.427,6,-10.028,1,0.145,0.0312,0.00099,0.0906,0.23,108.034,4
6H0AwSQ20mo62jGlPGB8S6,"17lzZA2AlOHwCwFALHttmp,7c0XG5cIJTrrAgEC3ULPiq,2iojnBLj0qIMiKPvVhLnsH,5ZS223C6JyBfXasXxrRqOk","It's A Vibe","Pretty Girls Like Trap Music","2 Chainz,Ty Dolla $ign,Trey Songz,Jhené Aiko",2017-06-16,210200,76,spotify:user:emberg547,2021-01-01T21:37:23Z,"atl hip hop,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,pop,r&b,trap soul,dance pop,hip pop,urban contemporary,alternative r&b",0.822,0.502,7,-7.38,1,0.148,0.0312,0.000887,0.114,0.525,73.003,4
