Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6RSa7U1d5Ab8zhCjMILTgI,"6ERytyft8dcTGIVtiuNpxp","Shlumped Up","Shlumped Up","KhakiKid",2021-08-19,126000,51,spotify:user:emberg547,2021-11-08T16:52:24Z,"irish hip hop",0.727,0.708,10,-7.23,0,0.193,0.282,0,0.274,0.896,83.765,4
3EoQSIQ91sDN2gYIcPXa5b,"4JLuMu6NZUAU8gYhrzvOdX","Don't Wait Forever","What Box?","Terry Presume",2021-07-29,208066,41,spotify:user:emberg547,2021-11-08T16:53:03Z,"indie hip hop,indie r&b",0.713,0.297,1,-11.281,1,0.0628,0.45,0.00000404,0.105,0.137,111.872,4
0xta6Gah3inmeHbj0e3F9a,"6aaMZ3fcfLv4tEbmY7bjRM","Headshots (4r Da Locals)","The House Is Burning","Isaiah Rashad",2021-07-30,193208,68,spotify:user:emberg547,2021-11-08T16:56:56Z,"hip hop,rap,tennessee hip hop,underground hip hop",0.894,0.615,3,-6.269,1,0.0826,0.0308,0.00921,0.309,0.661,120,4
4smkJW6uzoHxGReZqqwHS5,"1YzCsTRb22dQkh9lghPIrp","I'll Be Seeing You","Billie Holiday","Billie Holiday",1957-01-01,211533,66,spotify:user:emberg547,2021-11-08T16:57:39Z,"adult standards,harlem renaissance,jazz,jazz blues,lounge,soul,torch song,vocal jazz",0.355,0.0304,1,-20.479,1,0.0361,0.989,0.0555,0.116,0.188,90.495,3
3fDmodv1uclXZZu27E0jz8,"4LLpKhyESsyAXpc4laK94U","Wedding","Faces","Mac Miller",2021-10-15,229819,64,spotify:user:emberg547,2021-11-08T16:58:16Z,"hip hop,pittsburgh rap,rap",0.482,0.646,1,-6.75,1,0.386,0.722,0,0.377,0.35,132.551,1
5g6wdIeJk6dIRfrCQ2ABq5,"1z7b1Pr1rSlvWRzsW3HOrS","Utah Freestyle","Utah Freestyle","Russ",2021-09-10,186666,64,spotify:user:emberg547,2021-11-08T16:58:30Z,"hawaiian hip hop,rap",0.828,0.724,10,-3.865,0,0.342,0.795,0,0.093,0.656,90.042,4
14qNHvX8h6HoynFuV0RxWS,"1ooV8YZC1KbpEcrmI8WH0F,13ubrt8QOOCPljQ2FL1Kca","Far Away (feat. A$AP Rocky)","Dawn","Yebba,A$AP Rocky",2021-09-10,199426,62,spotify:user:emberg547,2021-11-08T16:58:38Z,"alternative r&b,indie soul,pop soul,east coast hip hop,hip hop,rap,trap",0.687,0.584,6,-7.336,0,0.0422,0.222,0.00114,0.12,0.228,88.025,4
7d9x9mJPAruRZOieauLHrF,"4XquDVA8pkg5Lx91No1JxB,73sIBHcqh3Z3NyqHKZ7FOL","Stay High - Childish Gambino Version","Stay High (Childish Gambino Version)","Brittany Howard,Childish Gambino",2021-07-20,218400,54,spotify:user:emberg547,2021-11-08T16:58:47Z,"black americana,modern blues rock,neo soul,atl hip hop,hip hop,pop,pop rap,rap",0.839,0.655,9,-5.793,1,0.049,0.161,0.00026,0.153,0.754,123.004,3
3NRql0A1Ef4RCvT473iqgD,"3K2Srho6NCF3o9MswGR76H","Hell N Back","Hell N Back","Bakar",2019-08-15,213573,75,spotify:user:emberg547,2021-11-08T16:59:06Z,"uk alternative hip hop",0.584,0.684,10,-4.314,0,0.567,0.312,0.0000905,0.112,0.72,210.164,4
6nXiaXqSZAJuOG6q66mZV1,"3DGlTwdM5Dim9XQipb3jMf","Lil Baby Crush","Lil Baby Crush","Jordan Ward",2021-09-08,141520,43,spotify:user:emberg547,2021-11-08T16:59:16Z,"alternative r&b,indie hip hop,indie r&b",0.858,0.435,6,-9.611,0,0.116,0.566,0.0893,0.106,0.824,136.891,4
40dlJFdqfm8CayhmmS9UB7,"4LLpKhyESsyAXpc4laK94U","Here We Go","Faces","Mac Miller",2021-10-15,167759,70,spotify:user:emberg547,2021-11-08T17:00:22Z,"hip hop,pittsburgh rap,rap",0.489,0.867,6,-4.668,0,0.466,0.0205,0,0.353,0.55,75.1,4
2Rd4eJ4KwXQQn2sMSToyUM,"5K4W6rqBFWDnAN6FQUkS6x","Moon","Donda","Kanye West",2021-08-29,156091,68,spotify:user:emberg547,2021-11-08T17:00:30Z,"chicago rap,rap",0.319,0.236,5,-9.644,1,0.0318,0.898,0.0000162,0.272,0.254,162.351,4
4CGORuRtjSK6xMy8s1VvSS,"3K2Srho6NCF3o9MswGR76H","The Mission","The Mission","Bakar",2021-08-19,191478,65,spotify:user:emberg547,2021-11-08T17:00:35Z,"uk alternative hip hop",0.708,0.437,10,-6.982,0,0.0807,0.188,0,0.0976,0.393,94.053,4
