Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
11IzgLRXV7Cgek3tEgGgjw,"1dfeR4HaWDbWqFHLkxsg1d,0oSGxfWSnnOXhD2fKuz2Gy","Under Pressure - Remastered 2011","Hot Space (Deluxe Remastered Version)","Queen,David Bowie",1982-05-03,248440,72,spotify:user:emberg547,2018-11-06T16:21:34Z,"classic rock,glam rock,rock,art rock,permanent wave",0.671,0.711,2,-7.813,1,0.0478,0.422,0,0.104,0.466,113.809,4
78QR3Wp35dqAhFEc2qAGjE,"5f7VJjfbwm532GiveGC0ZK,2hlmm7s2ICUX0LVIhVFlZQ","Drip Too Hard (Lil Baby & Gunna)","Drip Harder","Lil Baby,Gunna",2018-10-05,145542,84,spotify:user:emberg547,2018-11-10T12:23:27Z,"atl hip hop,atl trap,rap,trap,hip hop,melodic rap",0.897,0.662,1,-6.903,0,0.292,0.0852,0,0.534,0.389,112.511,4
0HEmnAUT8PHznIAAmVXqFJ,"19ra5tSw0tWufvUp8GotLo","Faith - Remastered","Faith","George Michael",1987-10-30,193200,76,spotify:user:emberg547,2018-11-14T21:21:10Z,"soft rock",0.887,0.48,11,-11.994,1,0.117,0.0094,0.0000358,0.0662,0.607,95.846,4
6SAKXCj5jyF6IgPCPbZ5ra,"4MCBfE4596Uoi2O4DtmEMz","Armed And Dangerous","Armed And Dangerous","Juice WRLD",2018-11-09,169999,0,spotify:user:emberg547,2018-11-23T04:33:56Z,"chicago rap,melodic rap",0.736,0.67,10,-6.702,1,0.311,0.186,0,0.114,0.845,130.032,4
7hQJA50XrCWABAu5v6QZ4i,"1dfeR4HaWDbWqFHLkxsg1d","Don't Stop Me Now - Remastered 2011","Jazz (Deluxe Remastered Version)","Queen",1978-11-10,209413,75,spotify:user:emberg547,2018-11-23T04:34:19Z,"classic rock,glam rock,rock",0.563,0.865,5,-5.277,1,0.16,0.0472,0.000191,0.77,0.601,156.271,4
297rZsBEjFw9d0Gl3iBLnd,"4iMO20EPodreIaEl8qW66y","Goodie Bag","Goodie Bag","Still Woozy",2017-11-05,146390,1,spotify:user:emberg547,2018-11-28T02:38:50Z,"bedroom pop,modern rock,oakland indie",0.701,0.529,7,-12.242,0,0.147,0.82,0.00113,0.249,0.577,138.216,4
5nrmGFJ87crVoJF5xdRqwn,"1SQRv42e4PjEYfPhS0Tk9E","Waterloo Sunset - Mono Mix","Something Else (Deluxe Edition)","The Kinks",1967-09-15,194216,65,spotify:user:emberg547,2018-11-28T02:53:46Z,"album rock,art rock,british invasion,classic rock,folk rock,glam rock,mellow gold,protopunk,psychedelic rock,rock",0.512,0.69,1,-6.969,0,0.0249,0.162,0,0.167,0.417,107.839,4
5OUTFH5acycdnf8OVo21Gv,"7pbDxGE6nQSZVfiFdq9lOL","Television / So Far So Good","Apricot Princess","Rex Orange County",2017-04-26,262600,84,spotify:user:emberg547,2018-11-28T03:27:15Z,"bedroom pop,pop",0.405,0.505,5,-7.75,1,0.0458,0.592,0,0.121,0.318,164.971,4
5nrmGFJ87crVoJF5xdRqwn,"1SQRv42e4PjEYfPhS0Tk9E","Waterloo Sunset - Mono Mix","Something Else (Deluxe Edition)","The Kinks",1967-09-15,194216,65,spotify:user:emberg547,2018-11-28T03:33:35Z,"album rock,art rock,british invasion,classic rock,folk rock,glam rock,mellow gold,protopunk,psychedelic rock,rock",0.512,0.69,1,-6.969,0,0.0249,0.162,0,0.167,0.417,107.839,4
4RGacGFT2ztXhGgzeaYzIR,"0iEtIxbK0KxaSlF7G42ZOp,0Y5tJX1MQlPlqiwlOH1tJY,50co4Is1HCEo8bhOyUWKpn","Up To Something (feat. Travis Scott & Young Thug)","NOT ALL HEROES WEAR CAPES (Deluxe)","Metro Boomin,Travis Scott,Young Thug",2018-11-06,184360,58,spotify:user:emberg547,2018-11-28T03:36:58Z,"hip hop,rap,southern hip hop,trap,slap house,atl hip hop,atl trap,gangster rap,melodic rap",0.799,0.616,1,-8.809,1,0.157,0.319,0,0.134,0.667,114.014,4
2xLMifQCjDGFmkHkpNLD9h,"0Y5tJX1MQlPlqiwlOH1tJY","SICKO MODE","ASTROWORLD","Travis Scott",2018-08-03,312820,86,spotify:user:emberg547,2018-12-01T14:32:59Z,"rap,slap house",0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,4
2rPE9A1vEgShuZxxzR2tZH,"66CXWjxzNUsdJxJ2JdwvnR","thank u, next","thank u, next","Ariana Grande",2018-11-03,207333,24,spotify:user:emberg547,2018-12-01T14:33:09Z,"dance pop,pop",0.724,0.647,1,-5.642,1,0.0658,0.28,0,0.102,0.435,106.96,4
7l3E7lcozEodtVsSTCkcaA,"46SHBwWsqBkxI7EeeBEQG7,4DdkRBBYG6Yk9Ka8tdJ9BW,0Y5tJX1MQlPlqiwlOH1tJY","ZEZE (feat. Travis Scott & Offset)","ZEZE (feat. Travis Scott & Offset)","Kodak Black,Offset,Travis Scott",2018-10-12,228653,29,spotify:user:emberg547,2018-12-01T14:33:26Z,"florida rap,hip hop,melodic rap,miami hip hop,rap,southern hip hop,trap,atl hip hop,pop rap,slap house",0.861,0.637,8,-5.692,0,0.24,0.0515,0.00000335,0.0967,0.474,98.044,4
1A6OTy97kk0mMdm78rHsm8,"246dkjvS1zLTtiykXe5h60,1zNqQNIdeOUZHb8zbZRFMX","Sunflower - Spider-Man: Into the Spider-Verse","Sunflower (Spider-Man: Into the Spider-Verse)","Post Malone,Swae Lee",2018-10-18,158053,1,spotify:user:emberg547,2018-12-01T14:33:41Z,"dfw rap,melodic rap,rap,trap",0.753,0.498,2,-5.61,1,0.0504,0.551,0,0.0706,0.927,89.95,4
4CH66Rxcjcj3VBHwmIBj4T,"15UsOTVnJzReFVN1VCnxy4","BAD!","BAD!","XXXTENTACION",2018-11-09,94245,66,spotify:user:emberg547,2018-12-01T14:33:46Z,"emo rap,miami hip hop",0.78,0.492,5,-3.4,0,0.0671,0.0643,0.0313,0.174,0.374,143.983,4
3ee8Jmje8o58CHK66QrVC2,"15UsOTVnJzReFVN1VCnxy4","SAD!","?","XXXTENTACION",2018-03-16,166605,87,spotify:user:emberg547,2018-12-01T14:34:12Z,"emo rap,miami hip hop",0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,4
0JP9xo3adEtGSdUEISiszL,"15UsOTVnJzReFVN1VCnxy4","Moonlight","?","XXXTENTACION",2018-03-16,135090,86,spotify:user:emberg547,2018-12-01T14:36:01Z,"emo rap,miami hip hop",0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,4
2LskIZrCeLxRvCiGP8gxlh,"15UsOTVnJzReFVN1VCnxy4,3wyVrVrFCkukjdVIdirGVY,1zNqQNIdeOUZHb8zbZRFMX,1r4hJ1h58CWwUQe3MxPuau","Arms Around You (feat. Maluma & Swae Lee)","Arms Around You (feat. Maluma & Swae Lee)","XXXTENTACION,Lil Pump,Swae Lee,Maluma",2018-10-25,198902,73,spotify:user:emberg547,2018-12-01T14:36:07Z,"emo rap,miami hip hop,rap,trap,melodic rap,latin,reggaeton,reggaeton colombiano,trap latino",0.703,0.723,9,-5.45,0,0.0412,0.0302,0.00000206,0.126,0.288,104.969,4
4jvjzW7Hm0yK4LvvE0Paz9,"2kCcBybjl3SAtIcwdWpUe3,15UsOTVnJzReFVN1VCnxy4","Falling Down - Bonus Track","Come Over When You're Sober, Pt. 2","Lil Peep,XXXTENTACION",2018-11-09,196400,84,spotify:user:emberg547,2018-12-01T14:36:30Z,"emo rap,lgbtq+ hip hop,miami hip hop",0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,4
0jWgAnTrNZmOGmqgvHhZEm,"0Je74SitssvJg1w4Ra2EK7","What's Up?","Bigger, Better, Faster, More !","4 Non Blondes",1992-01-01,295533,82,spotify:user:emberg547,2018-12-02T03:14:05Z,"new wave pop,pop rock",0.565,0.564,2,-10.044,1,0.0292,0.161,0,0.114,0.454,134.355,4
4m5Cd9kAbIxg6t9sMrQWtk,"7gZfnEnfiaHzxARJ2LeXrf,5f7VJjfbwm532GiveGC0ZK","TIC TOC","DUMMY BOY","6ix9ine,Lil Baby",2018-11-27,135739,0,spotify:user:emberg547,2018-12-02T23:37:03Z,"emo rap,rap,atl hip hop,atl trap,trap",0.82,0.691,6,-6.646,0,0.0723,0.0115,0,0.344,0.683,142.027,4
0jWgAnTrNZmOGmqgvHhZEm,"0Je74SitssvJg1w4Ra2EK7","What's Up?","Bigger, Better, Faster, More !","4 Non Blondes",1992-01-01,295533,82,spotify:user:emberg547,2018-12-03T00:36:11Z,"new wave pop,pop rock",0.565,0.564,2,-10.044,1,0.0292,0.161,0,0.114,0.454,134.355,4
