Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4arIMs14aBJkAfWe2alHUQ,"107Qkrj4miJTEjTZx8Ie3c","Goodmood","Goodmood","Nabes",2021-06-25,161201,56,spotify:user:emberg547,2021-10-02T06:13:53Z,"",0.774,0.61,0,-6.653,1,0.293,0.237,0.00000391,0.22,0.644,99.035,4
1KO4aiGkvF1eMTBrzL4vAd,"0NIPkIjTV8mB795yEIiPYL","I Don't Want to Talk","I Don't Want to Talk","Wallows",2021-09-30,223533,67,spotify:user:emberg547,2021-10-03T19:18:11Z,"indie pop,modern rock,pop",0.461,0.908,7,-3.222,1,0.0768,0.0133,0.0000014,0.31,0.637,162.04,4
0rRjGruFonCGOt0S5zAJNQ,"4yvcSjfu4PC0CYQyLy4wSq","The Other Side Of Paradise","How To Be A Human Being","Glass Animals",2016-08-26,320654,76,spotify:user:emberg547,2021-10-04T04:51:50Z,"gauze pop,indietronica,shiver pop",0.689,0.338,11,-7.634,0,0.0629,0.349,0.000057,0.0649,0.568,128.012,4
0Iixb2jL2s6BMqHtwnhG8H,"26T3LtbuGT1Fu9m0eRq5X3","The Unforgiven","The Unforgiven","Cage The Elephant",2021-09-10,353568,50,spotify:user:emberg547,2021-10-04T05:05:41Z,"modern rock,punk blues,rock",0.576,0.631,7,-9.17,1,0.0301,0.0582,0.207,0.136,0.199,143.952,4
3LGsgpx4TfxhXbr07OFKqs,"053q0ukIDRgzwTr4vNSwab","Oblivion","Visions","Grimes",2012-02-21,251266,68,spotify:user:emberg547,2021-10-04T15:54:19Z,"art pop,canadian electropop,chillwave,dance pop,electropop,grave wave,hyperpop,indietronica,metropopolis,pop",0.697,0.529,2,-8.838,1,0.0338,0.115,0.896,0.0895,0.486,155.974,4
2Rd4eJ4KwXQQn2sMSToyUM,"5K4W6rqBFWDnAN6FQUkS6x","Moon","Donda","Kanye West",2021-08-29,156091,68,spotify:user:emberg547,2021-10-04T15:54:32Z,"chicago rap,rap",0.319,0.236,5,-9.644,1,0.0318,0.898,0.0000162,0.272,0.254,162.351,4
3onYsG7nB3FwEVHYYWCrIM,"5K4W6rqBFWDnAN6FQUkS6x","No Child Left Behind","Donda","Kanye West",2021-08-29,178061,62,spotify:user:emberg547,2021-10-04T15:54:39Z,"chicago rap,rap",0.161,0.327,1,-8.059,0,0.0341,0.00632,0.792,0.138,0.0815,135.382,3
2ZUJsR8HEktit58X6FuPQM,"5K4W6rqBFWDnAN6FQUkS6x","Heaven and Hell","Donda","Kanye West",2021-08-29,145301,62,spotify:user:emberg547,2021-10-04T15:54:43Z,"chicago rap,rap",0.764,0.422,0,-7.265,0,0.119,0.0409,0,0.152,0.268,82.986,4
0RbW8kWozrVSIGb4V13o0o,"5K4W6rqBFWDnAN6FQUkS6x","Hurricane","Donda","Kanye West",2021-08-29,243187,73,spotify:user:emberg547,2021-10-04T15:54:47Z,"chicago rap,rap",0.587,0.561,0,-6.569,1,0.146,0.0466,0,0.109,0.351,80.009,4
2gbMPBrBVj3CuNTLp2dHYs,"5K4W6rqBFWDnAN6FQUkS6x","Off The Grid","Donda","Kanye West",2021-08-29,339249,68,spotify:user:emberg547,2021-10-04T15:54:50Z,"chicago rap,rap",0.546,0.64,8,-5.582,1,0.37,0.0438,0,0.137,0.63,137.728,4
4VYEnxm7lmtG5sEEbcmORB,"5K4W6rqBFWDnAN6FQUkS6x","Ok Ok","Donda","Kanye West",2021-08-29,204629,61,spotify:user:emberg547,2021-10-04T15:54:55Z,"chicago rap,rap",0.738,0.471,11,-9.208,0,0.402,0.319,0.00000128,0.13,0.283,107.98,5
3Ho13bRS28xEvGvgW4LOFM,"1tG7s7S4sq2eFFW0QZyLbm,6AgTAQt8XS6jRWi4sX7w49","On Go (feat. Polo G)","On Go (feat. Polo G)","Sheff G,Polo G",2021-07-23,180805,74,spotify:user:emberg547,2021-10-04T15:55:07Z,"brooklyn drill,new york drill,nyc rap,chicago rap",0.88,0.427,9,-6.004,0,0.323,0.459,0.00000128,0.119,0.623,103.542,3
1D3z6HTiQsNmZxjl7F7eoG,"6l3HvQ5sa6mXTsMTB19rO5,1URnnhqYAYcrqrcwql10ft,44vREmJC0OlVZjZaGLqVEd","m y . l i f e (with 21 Savage & Morray)","The Off-Season","J. Cole,21 Savage,Morray",2021-05-14,218801,80,spotify:user:emberg547,2021-10-04T15:55:14Z,"conscious hip hop,hip hop,north carolina hip hop,rap,atl hip hop,trap,pop rap",0.597,0.587,7,-7.026,0,0.137,0.0622,0,0.214,0.0753,140.021,4
1MQCTOWVfy4PcuBXkBsHVB,"22282KfMxDo2PMjnBc82I4","Just a Friend","Just a Friend - EP","Biz Markie",2009-06-11,238266,60,spotify:user:emberg547,2021-10-04T15:55:17Z,"east coast hip hop,electro,gangster rap,golden age hip hop,hardcore hip hop,hip hop,old school hip hop,rap",0.862,0.663,0,-9.004,1,0.21,0.12,0,0.318,0.837,85.308,4
5lAnYvAIkSDNXqfo7DyFUm,"5cj0lLjcoR7YOSnhnX0Po5","Ain't Shit","Planet Her","Doja Cat",2021-06-25,174253,85,spotify:user:emberg547,2021-10-04T15:55:38Z,"dance pop,pop",0.855,0.488,3,-4.601,1,0.208,0.506,0,0.347,0.619,124.097,4
7BoobGhD4x5K96Me0hqC8Q,"26cMerAxjx9GedFt0lMDjm","Build a Bitch","Build a Bitch","Bella Poarch",2021-05-14,122772,82,spotify:user:emberg547,2021-10-04T15:57:42Z,"",0.855,0.463,3,-7.454,1,0.0367,0.217,0.0000177,0.347,0.866,102.931,4
65OVbaJR5O1RmwOQx0875b,"3TVXtAsR1Inumwj472S9r4,5f7VJjfbwm532GiveGC0ZK","Wants and Needs (feat. Lil Baby)","Scary Hours 2","Drake,Lil Baby",2021-03-05,192956,85,spotify:user:emberg547,2021-10-04T15:57:47Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap,atl hip hop,atl trap,trap",0.578,0.449,1,-6.349,1,0.286,0.0618,0.00000217,0.119,0.1,136.006,4
28kOGtTZzbfQ8fMmTwjRFq,"4STHEaNw4mPZ2tzheohgXB,6USv9qhCn6zfxlBQIYJ9qs","The Kiss Of Venus (Dominic Fike)","McCartney III Imagined","Paul McCartney,Dominic Fike",2021-04-16,143530,56,spotify:user:emberg547,2021-10-04T15:57:56Z,"album rock,art rock,beatlesque,classic rock,mellow gold,rock,soft rock,alternative pop rock,pop",0.715,0.374,8,-6.665,1,0.0399,0.627,0,0.11,0.633,89.982,4
6UjfByV1lDLW0SOVQA4NAi,"3TVXtAsR1Inumwj472S9r4","Gyalchester","More Life","Drake",2017-03-18,189229,68,spotify:user:emberg547,2021-10-04T15:58:02Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap",0.877,0.391,1,-8.196,1,0.063,0.0317,0.000502,0.0945,0.122,131.018,4
6vegnfDS8DAEaCqWaPYGPy,"3nFkdlSjzX9mRTtwJOzDYB,5K4W6rqBFWDnAN6FQUkS6x,60df5JBRRPcnSpsIMxxwQm","Otis","Watch The Throne (Deluxe)","JAY-Z,Kanye West,Otis Redding",2011-08-08,178213,69,spotify:user:emberg547,2021-10-04T15:58:09Z,"east coast hip hop,hip hop,rap,chicago rap,classic soul,memphis soul,soul,soul blues,southern soul",0.754,0.631,7,-4.751,0,0.307,0.552,0,0.5,0.432,94.577,4
3ruoIF2UnoXdzK8mR61ebq,"1URnnhqYAYcrqrcwql10ft,0iEtIxbK0KxaSlF7G42ZOp,50co4Is1HCEo8bhOyUWKpn","Rich Nigga Shit (feat. Young Thug)","SAVAGE MODE II","21 Savage,Metro Boomin,Young Thug",2020-10-02,190331,76,spotify:user:emberg547,2021-10-04T15:58:15Z,"atl hip hop,rap,trap,hip hop,southern hip hop,underground hip hop,atl trap,gangster rap,melodic rap,pop rap",0.825,0.733,1,-5.625,0,0.0969,0.349,0,0.112,0.62,97.974,4
5ChX0Yt1wPpRJFPPecJZPh,"6C1ohJrd5VydigQtaGy5Wa,6jGMq4yGs7aQzuGsMgVgZR","Dreams Unfold","Dreams Unfold","Joyner Lucas,Lil Tjay",2021-08-25,201081,74,spotify:user:emberg547,2021-10-04T15:58:20Z,"boston hip hop,hip hop,pop rap,rap,brooklyn drill,melodic rap,nyc rap",0.869,0.62,9,-5.308,1,0.191,0.36,0,0.103,0.961,148.041,4
2HSmyk2qMN8WQjuGhaQgCk,"3TVXtAsR1Inumwj472S9r4","Champagne Poetry","Certified Lover Boy","Drake",2021-09-03,336511,83,spotify:user:emberg547,2021-10-04T15:58:23Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap",0.423,0.667,6,-7.012,0,0.326,0.758,0,0.246,0.496,86.743,4
