Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0Dn40gxVCMo5TkgS8Ik18Q,"2kCcBybjl3SAtIcwdWpUe3,15UsOTVnJzReFVN1VCnxy4","Falling Down - Bonus Track","Falling Down (Bonus Track)","Lil Peep,XXXTENTACION",2018-09-19,196400,1,spotify:user:emberg547,2018-10-03T11:55:05Z,"emo rap,lgbtq+ hip hop,miami hip hop",0.669,0.574,4,-6.442,0,0.0286,0.0175,0.00294,0.146,0.273,120.013,4
0Y7di9ZCmB6Elad5WISaPc,"55Aa2cqylxrFIXC767Z865","Dedicate","Tha Carter V","Lil Wayne",2018-09-28,189908,62,spotify:user:emberg547,2018-10-05T03:55:52Z,"hip hop,new orleans rap,pop rap,rap,trap",0.879,0.662,2,-6.162,1,0.309,0.033,0,0.716,0.724,117.975,4
0JP9xo3adEtGSdUEISiszL,"15UsOTVnJzReFVN1VCnxy4","Moonlight","?","XXXTENTACION",2018-03-16,135090,86,spotify:user:emberg547,2018-10-05T12:05:21Z,"emo rap,miami hip hop",0.921,0.537,9,-5.723,0,0.0804,0.556,0.00404,0.102,0.711,128.009,4
0ZNrc4kNeQYD9koZ3KvCsy,"0A0FS04o6zMoto8OKPsDwY,17lzZA2AlOHwCwFALHttmp,0c173mlxpT3dSFRgMO8XPh,0hCNtLu0JehylgoiP8L4Gh","BIG BANK (feat. 2 Chainz, Big Sean, Nicki Minaj)","STAY DANGEROUS","YG,2 Chainz,Big Sean,Nicki Minaj",2018-08-03,237240,71,spotify:user:emberg547,2018-10-05T12:07:29Z,"cali rap,gangster rap,hip hop,pop rap,rap,southern hip hop,trap,atl hip hop,detroit hip hop,pop,dance pop,hip pop,queens hip hop",0.745,0.346,1,-7.709,1,0.331,0.00552,0,0.0881,0.112,203.911,4
3wScL5W8H40zzCKN0atfBk,"55Aa2cqylxrFIXC767Z865,2cADQgiLMjNhbsfeN52Bf3","Uproar","Tha Carter V","Lil Wayne,Swizz Beatz",2018-09-28,194184,72,spotify:user:emberg547,2018-10-12T11:42:13Z,"hip hop,new orleans rap,pop rap,rap,trap,battle rap,southern hip hop",0.743,0.87,1,-2.188,1,0.212,0.0595,0,0.299,0.884,99.079,4
7azo4rpSUh8nXgtonC6Pkq,"3fMbdgg4jU18AjLCKBhRSm","Thriller","Scream","Michael Jackson",2017-09-27,358053,72,spotify:user:emberg547,2018-10-12T11:42:37Z,"pop,r&b,soul",0.764,0.887,11,-3.726,1,0.0744,0.0816,0.00011,0.847,0.72,118.427,4
3ee8Jmje8o58CHK66QrVC2,"15UsOTVnJzReFVN1VCnxy4","SAD!","?","XXXTENTACION",2018-03-16,166605,87,spotify:user:emberg547,2018-10-12T11:45:27Z,"emo rap,miami hip hop",0.74,0.613,8,-4.88,1,0.145,0.258,0.00372,0.123,0.473,75.023,4
0XySogm94T51XF5F2jumXm,"4MCBfE4596Uoi2O4DtmEMz","All Girls Are The Same","Goodbye & Good Riddance","Juice WRLD",2018-05-23,165819,0,spotify:user:emberg547,2018-10-17T02:07:45Z,"chicago rap,melodic rap",0.671,0.529,0,-7.226,1,0.307,0.0769,0.000335,0.0856,0.203,161.989,4
1xzBco0xcoJEDXktl7Jxrr,"2RDOrhPqAM4jzTRCEb19qX","Mo Bamba","MUDBOY","Sheck Wes",2018-10-05,183906,79,spotify:user:emberg547,2018-10-17T02:45:51Z,"rap,trap,underground hip hop,vapor trap",0.729,0.625,4,-5.266,1,0.0315,0.194,0.00986,0.248,0.261,146.034,4
5mYtpXrZZ1bbGJYDGC8I0Y,"6Tz0QRoe083BcOo2YbG9lV","99 Red Balloons","99 Luftballons","Nena",1984-08-21,284773,0,spotify:user:emberg547,2018-10-17T03:24:57Z,"german pop,german rock,new wave pop",0.543,0.482,4,-12.789,1,0.194,0.0853,0.0000922,0.111,0.415,193.513,4
2GGMabyHXnJmjY6CXhhB2e,"4kYSro6naA4h99UJvo89HB","Money","Money","Cardi B",2018-10-23,183527,77,spotify:user:emberg547,2018-10-26T12:05:19Z,"dance pop,pop,pop rap,rap",0.95,0.59,8,-6.508,0,0.29,0.00534,0,0.11,0.219,130.003,4
20yaQDVW6gefTsdoa9Out7,"0NyzfcGDZZ6GM25EBG9BYK","Ghostbusters - From Ghostbusters","Ghostbusters","Ray Parker Jr.",1991-08-27,244573,0,spotify:user:emberg547,2018-10-26T12:05:42Z,"disco",0.778,0.758,6,-9.435,0,0.0342,0.0233,0.0141,0.22,0.767,115.548,4
6wYJJ8AEhgS2euFsuTvZ1g,"2VYQTNDsvvKN9wmU5W7xpj","This Is Halloween","Nightmare Revisited","Marilyn Manson",2008-01-01,202960,0,spotify:user:emberg547,2018-10-26T12:05:46Z,"alternative metal,industrial,industrial metal,industrial rock,nu metal",0.482,0.95,5,-6.403,0,0.183,0.123,0.00014,0.0917,0.262,168.172,4
0hnHoQbEQOL4YUZ4SO6xbe,"6SvFyXN6qzhw95Bj4HoevV","Calling All the Monsters","Calling All The Monsters","China Anne McClain",2011-01-01,206675,54,spotify:user:emberg547,2018-10-26T12:06:18Z,"disney,post-teen pop,social media pop",0.56,0.826,6,-5.866,0,0.0976,0.00272,0,0.487,0.492,141.974,4
0xxZY5C9xxij3D1HkzbnfC,"42MRYPhQfcEXqb18dl5ERX,4frDtYgwXXKkbyQzjOmJG5","Monster Mash","The Original Monster Mash","Bobby "Boris" Pickett,The Crypt-Kickers",1962,192040,65,spotify:user:emberg547,2018-10-26T12:07:39Z,"halloween,novelty",0.541,0.504,11,-14.191,0,0.457,0.375,0,0.421,0.707,68.482,4
29tc0GbW0pTSBZSCZF3NWk,"4MCBfE4596Uoi2O4DtmEMz","Lean Wit Me","Goodbye & Good Riddance","Juice WRLD",2018-05-23,175755,0,spotify:user:emberg547,2018-10-26T12:14:30Z,"chicago rap,melodic rap",0.665,0.651,1,-5.515,1,0.156,0.0414,0,0.0896,0.237,163.935,4
7l3E7lcozEodtVsSTCkcaA,"46SHBwWsqBkxI7EeeBEQG7,4DdkRBBYG6Yk9Ka8tdJ9BW,0Y5tJX1MQlPlqiwlOH1tJY","ZEZE (feat. Travis Scott & Offset)","ZEZE (feat. Travis Scott & Offset)","Kodak Black,Offset,Travis Scott",2018-10-12,228653,29,spotify:user:emberg547,2018-10-26T12:15:00Z,"florida rap,hip hop,melodic rap,miami hip hop,rap,southern hip hop,trap,atl hip hop,pop rap,slap house",0.861,0.637,8,-5.692,0,0.24,0.0515,0.00000335,0.0967,0.474,98.044,4
2xLMifQCjDGFmkHkpNLD9h,"0Y5tJX1MQlPlqiwlOH1tJY","SICKO MODE","ASTROWORLD","Travis Scott",2018-08-03,312820,86,spotify:user:emberg547,2018-10-26T12:15:14Z,"rap,slap house",0.834,0.73,8,-3.714,1,0.222,0.00513,0,0.124,0.446,155.008,4
