Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0PsbWiVtix5FoTZ1s00mEl,"4salDzkGmfycRqNUbyBphh","Come Sail Away","The Grand Illusion","Styx",1977-01-01,367000,68,spotify:user:emberg547,2019-06-29T15:37:09Z,"album rock,art rock,classic rock,hard rock,mellow gold,progressive rock,rock,soft rock,symphonic rock",0.324,0.335,0,-15.595,1,0.0355,0.099,0.00000108,0.0995,0.141,119.513,4
5tVA6TkbaAH9QMITTQRrNv,"2UZMlIwnkgAEDBsw1Rejkn","Free Fallin'","Full Moon Fever","Tom Petty",1989-01-01,256000,80,spotify:user:emberg547,2019-06-29T15:37:42Z,"album rock,classic rock,country rock,folk rock,heartland rock,mellow gold,pop rock,rock,singer-songwriter,soft rock",0.623,0.449,5,-13.333,1,0.0253,0.212,0,0.0613,0.572,84.383,4
3gdewACMIVMEWVbyb8O9sY,"3PhoLpVuITZKcymswpck5b","Rocket Man (I Think It's Going To Be A Long, Long Time)","Honky Chateau","Elton John",1972-05-19,281613,84,spotify:user:emberg547,2019-06-29T15:37:59Z,"glam rock,mellow gold,piano rock",0.601,0.532,10,-9.119,1,0.0286,0.432,0.00000625,0.0925,0.341,136.571,4
2TVxnKdb3tqe1nhQWwwZCO,"3PhoLpVuITZKcymswpck5b","Tiny Dancer","Madman Across The Water","Elton John",1971-11-05,377093,80,spotify:user:emberg547,2019-06-29T15:38:03Z,"glam rock,mellow gold,piano rock",0.414,0.428,0,-11.097,1,0.0278,0.382,0.000243,0.148,0.282,145.075,4
38zsOOcu31XbbYj9BIPUF1,"3PhoLpVuITZKcymswpck5b","Your Song","Elton John","Elton John",1970-04-10,241786,80,spotify:user:emberg547,2019-06-29T15:38:11Z,"glam rock,mellow gold,piano rock",0.554,0.315,3,-11.028,1,0.0298,0.828,0.00000553,0.101,0.325,128.157,4
5pKJtX4wBeby9qIfFhyOJj,"3PhoLpVuITZKcymswpck5b,4vjGlQWexbru6aOUCLTVir","Don't Go Breaking My Heart","To Be Continued...","Elton John,Kiki Dee",1990-11-08,271133,60,spotify:user:emberg547,2019-06-29T15:38:18Z,"glam rock,mellow gold,piano rock,classic uk pop",0.742,0.863,5,-7.823,1,0.038,0.177,0.00000559,0.0699,0.776,131.193,4
7pKfPomDEeI4TPT6EOYjn9,"4x1nvY2FN8jxqAFA0DA02H","Imagine - Remastered 2010","Imagine","John Lennon",1971-09-09,187866,80,spotify:user:emberg547,2019-06-29T15:38:36Z,"album rock,beatlesque,classic rock,mellow gold,rock",0.547,0.257,0,-12.358,1,0.0252,0.907,0.183,0.0935,0.169,75.752,4
3D9iV6cYkYJRAPFO6DRKIE,"4x1nvY2FN8jxqAFA0DA02H","Jealous Guy - Remastered 2010","Imagine","John Lennon",1971-09-09,257786,69,spotify:user:emberg547,2019-06-29T15:39:06Z,"album rock,beatlesque,classic rock,mellow gold,rock",0.489,0.389,4,-11.653,0,0.0284,0.877,0.32,0.105,0.254,131.366,4
3ntrdR24dLkKrzSGRv1FlH,"4x1nvY2FN8jxqAFA0DA02H","Stand By Me - Remastered 2010","Rock 'N' Roll","John Lennon",1975-02-17,211666,69,spotify:user:emberg547,2019-06-29T15:39:36Z,"album rock,beatlesque,classic rock,mellow gold,rock",0.632,0.556,9,-10.138,1,0.0288,0.29,0.0215,0.0779,0.633,104.996,4
4f4RRYN3R7glPElFjeoUnC,"33W24YuaMUEk85MwRX6cRs","The Night Chicago Died","Billy Don't Be A Hero","Paper Lace",2008-06-01,203333,54,spotify:user:emberg547,2019-06-29T15:39:53Z,"bubblegum pop",0.767,0.45,0,-12.352,1,0.0824,0.347,0,0.113,0.809,106.847,4
