Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
57RA3JGafJm5zRtKJiKPIm,"0NIPkIjTV8mB795yEIiPYL,3l0CmX0FuQjFxr8SK7Vqag","Are You Bored Yet? (feat. Clairo)","Nothing Happens","Wallows,Clairo",2019-03-22,178000,84,spotify:user:emberg547,2020-03-23T17:41:40Z,"indie pop,modern rock,pop,bedroom pop",0.682,0.683,8,-6.444,0,0.0287,0.156,0.0000232,0.273,0.64,120.023,4
64lsIF5pw0sJY0gV5kz0RN,"6eJa3zG1QZLRB3xgRuyxbm","Can I Call You Tonight?","Fuzzybrain","Dayglow",2019-11-14,278769,83,spotify:user:llvby2gn0daymkanlg441xjem,2020-03-23T17:43:45Z,"austindie,indie pop,modern rock",0.641,0.842,9,-7.27,1,0.0292,0.132,0.91,0.419,0.5,129.98,4
6TEiFwaiHERpdfG6WnGed1,"0m5FakHKCQdA7UN0PIzMcL","New Flesh","Wild Heart","Current Joys",2013-01-02,167986,67,spotify:user:llvby2gn0daymkanlg441xjem,2020-03-23T17:43:49Z,"indie pop,lo-fi indie",0.62,0.594,9,-16.066,1,0.0383,0.887,0.5,0.0917,0.698,165.861,4
5EYi2rH4LYs6M21ZLOyQTx,"7pbDxGE6nQSZVfiFdq9lOL,4gHcu2JoaXJ0mV4aNPCd7N","Loving Is Easy","Loving Is Easy","Rex Orange County,Benny Sings",2017-10-11,155720,78,spotify:user:llvby2gn0daymkanlg441xjem,2020-03-23T17:44:00Z,"bedroom pop,pop,dutch pop,indie soul",0.756,0.609,3,-7.927,1,0.0544,0.217,0.00474,0.096,0.537,117.023,4
4vl2zwXsTmAxgu9iY0g6UK,"5DYAABs8rkY9VhwtENoQCz","I Don't Want to Be","Chariot","Gavin DeGraw",2003-07-21,217760,64,spotify:user:em_112,2020-03-23T17:46:16Z,"acoustic pop,dance pop,neo mellow,pop,pop rock",0.423,0.862,0,-5.13,0,0.0695,0.00806,0,0.133,0.462,154.756,4
0osglCyfb3IavUeb67B9A3,"4CH6edH0M0SHdg8s18Tdto,30ur9OW63O3mffcjm0UpIF","Animal Crossing: New Horizons","Animal Crossing: New Horizons","ThunderScott,Dan DeSimone",2020-03-09,124752,34,spotify:user:em_112,2020-03-23T17:46:25Z,"",0.493,0.229,10,-14.368,1,0.0715,0.93,0.845,0.878,0.216,202.417,4
4UQajPk0EPvbwWTl0fYi4C,"5Rl15oVamLq7FbSb0NNBNy","Moving Along","Youngblood (Deluxe)","5 Seconds of Summer",2018-06-15,197517,61,spotify:user:em_112,2020-03-23T17:46:43Z,"boy band,dance pop,electropop,pop,post-teen pop",0.713,0.829,11,-4.297,0,0.203,0.00529,0,0.221,0.845,149.996,4
5gW3kI83886nVV9apaFLWu,"7n2wHs1TKAczGzO7Dd2rGr","Mutual","Shawn Mendes","Shawn Mendes",2018-05-25,148360,61,spotify:user:em_112,2020-03-23T17:46:48Z,"canadian pop,dance pop,pop,viral pop",0.919,0.478,11,-6.697,0,0.156,0.254,0,0.134,0.799,115.03,4
6pKXktVdZ3Y1ejMOYCyJIR,"6hQS54VPpxunuwR0W7usuo","Neon Roses","Metaphysical","The Technicolors",2017-07-07,236586,2,spotify:user:em_112,2020-03-23T17:47:16Z,"modern alternative rock,modern rock,phoenix indie",0.197,0.88,7,-3.191,1,0.0628,0.00005,0.000142,0.451,0.391,185.81,4
6iYMfxznTBlcVOgRHab2W0,"6KImCVD70vtIoJWnq6nGn3","Sunflower, Vol. 6","Fine Line","Harry Styles",2019-12-13,221826,76,spotify:user:em_112,2020-03-23T17:47:30Z,"pop",0.566,0.846,7,-6.904,0,0.035,0.000564,0.000795,0.121,0.86,160.02,4
