Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4SnvGQ7wRoFpxPKXmwJJMr,"6NL31G53xThQXkFs7lDpL5","Good Good Love (feat. BJ The Chicago Kid)","The Idea Of Beautiful","Rapsody",2012-08-28,361832,46,spotify:user:emberg547,2020-08-09T16:03:26Z,"alternative hip hop,escape room,hip hop,north carolina hip hop,trap queen,underground hip hop",0.635,0.647,4,-8.957,0,0.315,0.0467,0,0.213,0.745,75.923,4
4nw0S8MtvcLSpXCS9M8ciL,"1iNqsUDUraNWrj00bqssQG,1vaQ6v3pOFxAIrFoPrAcom,5j1BNsC9xeWGfBVCzzg6fc,7c0XG5cIJTrrAgEC3ULPiq,7gWumE1wMALHXANLSIt054","Got Me (with Ari Lennox & Omen feat. Ty Dolla $ign & Dreezy)","Revenge Of The Dreamers III","Dreamville,Ari Lennox,Omen,Ty Dolla $ign,Dreezy",2019-07-05,284040,62,spotify:user:emberg547,2020-08-09T16:13:53Z,"hip hop,rap,underground hip hop,alternative r&b,dmv rap,indie r&b,neo soul,pop,r&b,urban contemporary,chicago rap,pop rap,southern hip hop,trap,trap soul,drill,escape room,hip pop,pop r&b,trap queen",0.664,0.61,7,-6.432,0,0.339,0.145,0,0.097,0.472,76.024,4
3VeuvRWfJLSOzeVPrgi5MR,"1vaQ6v3pOFxAIrFoPrAcom","Night Drive","PHO EP","Ari Lennox",2016-10-21,150133,60,spotify:user:emberg547,2020-08-09T16:23:16Z,"alternative r&b,dmv rap,indie r&b,neo soul,pop,r&b,urban contemporary",0.816,0.433,6,-6.372,1,0.177,0.0717,0.0000142,0.12,0.713,129.852,4
7dnSXaCjLdFiWZa8s5wP1n,"1iNqsUDUraNWrj00bqssQG,1vaQ6v3pOFxAIrFoPrAcom,70gP6Ry4Uo0Yx6uzPIdaiJ,6Z4JcgqrqgysyHIPRtDIHo","Self Love (with Ari Lennox & Bas feat. Baby Rose)","Revenge Of The Dreamers III","Dreamville,Ari Lennox,Bas,Baby Rose",2019-07-05,223013,54,spotify:user:emberg547,2020-08-09T16:33:53Z,"hip hop,rap,underground hip hop,alternative r&b,dmv rap,indie r&b,neo soul,pop,r&b,urban contemporary,queens hip hop,sudanese pop,chill r&b",0.761,0.697,5,-6.164,1,0.0568,0.186,0,0.126,0.197,106.051,4
0Gx7phIMvHVT7pXk03h0rH,"1vaQ6v3pOFxAIrFoPrAcom","Chicago Boy","Shea Butter Baby","Ari Lennox",2019-05-07,288659,54,spotify:user:emberg547,2020-08-09T16:41:49Z,"alternative r&b,dmv rap,indie r&b,neo soul,pop,r&b,urban contemporary",0.675,0.397,6,-7.675,0,0.0413,0.496,0.00000566,0.333,0.322,119.395,4
1FeJHc0jJZbVWELG5Itf6k,"7r2oyrNc0YjSC7hZL87V0Y","Be Mine","MANTIC","Ro James",2020-05-29,221225,39,spotify:user:emberg547,2020-08-09T17:45:36Z,"alternative r&b,pop r&b,r&b",0.566,0.838,7,-3.893,1,0.188,0.15,0.00528,0.225,0.603,171.985,4
1NjQZi2ajwmJsfnimLr41I,"6hfwwpXqZPRC9CsKI7qtv1","More Than Enough","More Than Enough","Alina Baraz",2020-03-26,151462,62,spotify:user:emberg547,2020-08-18T15:29:18Z,"alternative r&b,chill r&b,electropop,etherpop,pop,r&b",0.648,0.531,2,-5.886,0,0.0345,0.26,0.000897,0.12,0.253,143.008,4
6n3q5ybuUQFT97ddyuxsFh,"1iNqsUDUraNWrj00bqssQG,75WcpJKWXBV3o3cfluWapK,5j1BNsC9xeWGfBVCzzg6fc,30C5wgn4celhRP3Tytv7R6,0kQVtbYXplOdbRNlQ3RBOE","Sleep Deprived (with Lute & Omen feat. Mez & DaVionne)","Revenge Of The Dreamers III","Dreamville,Lute,Omen,Mez,DaVionne",2019-07-05,238453,53,spotify:user:emberg547,2020-08-24T21:01:04Z,"hip hop,rap,underground hip hop,indie hip hop,north carolina hip hop,chicago rap",0.636,0.8,11,-4.265,0,0.347,0.337,0,0.39,0.704,88.657,4
4O4maU1Ki1PMaByGZqoC5g,"5sKvgmG84C0bIMWeS2SRPr,3ycxRkcZ67ALN3GQJ57Vig","Melanin Man (feat. Masego)","Good Love","Brasstracks,Masego",2016-08-19,250521,41,spotify:user:emberg547,2020-09-02T15:18:49Z,"indie soul,nyc pop",0.514,0.686,10,-4.991,0,0.207,0.0104,0,0.273,0.524,81.328,4
7LYgVPxRvlN7OavmyrnOGe,"0c173mlxpT3dSFRgMO8XPh,3jK9MiCrA42lLAdMGUZpwa,7MnzlETJZuQb3EcK8mugEQ,67nwj3Y5sZQLl72VNUHEYE","Guard Your Heart (feat. Anderson .Paak, Earlly Mac, and Wale)","Detroit 2","Big Sean,Anderson .Paak,Earlly Mac,Wale",2020-09-04,258112,50,spotify:user:emberg547,2020-09-05T18:23:09Z,"detroit hip hop,hip hop,pop,pop rap,rap,southern hip hop,trap,escape room,r&b,urban contemporary",0.608,0.664,11,-5.788,0,0.184,0.457,0,0.0795,0.432,81.978,4
