Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
4KfSdst7rW39C0sfhArdrz,"34jw2BbxjoYalTp8cJFCPv","Barracuda","Little Queen","Heart",1977-05-14,261933,75,spotify:user:emberg547,2018-12-30T16:25:58Z,"album rock,classic rock,hard rock,heartland rock,mellow gold,new wave pop,rock,soft rock",0.548,0.691,4,-13.553,0,0.0369,0.015,0.106,0.144,0.667,137.145,4
5zH710lFSLtkHbMkslLDjR,"34jw2BbxjoYalTp8cJFCPv","Crazy On You","Dreamboat Annie","Heart",1975,293440,68,spotify:user:emberg547,2018-12-30T16:26:05Z,"album rock,classic rock,hard rock,heartland rock,mellow gold,new wave pop,rock,soft rock",0.427,0.459,9,-12.442,0,0.0332,0.116,0.000103,0.132,0.383,129.878,4
40riOy7x9W7GXjyGp4pjAv,"0ECwFtbIWEVNwjlrfc6xoL","Hotel California - 2013 Remaster","Hotel California (2013 Remaster)","Eagles",1976-12-08,391376,85,spotify:user:emberg547,2019-01-17T13:09:36Z,"album rock,classic rock,country rock,folk rock,heartland rock,mellow gold,rock,soft rock,yacht rock",0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,4
4sUlsy0tPv9n5nqrqeA0lE,"34jw2BbxjoYalTp8cJFCPv","Magic Man","Dreamboat Annie","Heart",1975,328360,63,spotify:user:emberg547,2019-01-17T13:11:19Z,"album rock,classic rock,hard rock,heartland rock,mellow gold,new wave pop,rock,soft rock",0.435,0.444,7,-12.816,0,0.0336,0.159,0.000705,0.457,0.734,103.818,4
4BP3uh0hFLFRb5cjsgLqDh,"3IYUhFvPQItj6xySrBmZkd","Fortunate Son","Willy And The Poor Boys","Creedence Clearwater Revival",1969-11-02,140773,83,spotify:user:emberg547,2019-01-17T13:11:25Z,"album rock,classic rock,country rock,rock,southern rock,swamp rock",0.64,0.663,0,-7.516,1,0.0374,0.201,0.00806,0.152,0.663,132.77,4
5EmjBlrR2TzVzyveICMllj,"1Fmb52lZ6Jv7FMWXXTPO3K","Dirty Deeds","The Hit List","Joan Jett & The Blackhearts",1990-01-16,197760,47,spotify:user:emberg547,2019-01-17T13:11:36Z,"glam punk,rock",0.645,0.8,2,-9.954,1,0.054,0.0651,0.0000283,0.0644,0.661,137.127,4
3KYiA4vq6RPO1dE2XROXd8,"58lV9VcRSjABbAbfWS6skp","You Give Love A Bad Name","Slippery When Wet","Bon Jovi",1986-01-01,222706,3,spotify:user:emberg547,2019-01-17T13:11:50Z,"glam metal,rock",0.537,0.959,0,-3.002,0,0.0557,0.0704,0.0000018,0.382,0.828,122.806,4
36gPq8WG7tDxrblyGVUCiT,"3IYUhFvPQItj6xySrBmZkd","Up Around The Bend","Cosmo's Factory","Creedence Clearwater Revival",1970-07-25,161466,72,spotify:user:emberg547,2019-01-17T13:11:57Z,"album rock,classic rock,country rock,rock,southern rock,swamp rock",0.589,0.85,2,-6.143,1,0.0343,0.0606,0.779,0.274,0.813,130.318,4
5CQ30WqJwcep0pYcV4AMNc,"36QJpDe2go2KgaRleHCDTp","Stairway to Heaven - Remaster","Led Zeppelin IV (Deluxe Edition)","Led Zeppelin",1971-11-08,482830,82,spotify:user:emberg547,2019-01-17T13:12:30Z,"album rock,classic rock,hard rock,rock",0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,4
3MODES4TNtygekLl146Dxd,"36QJpDe2go2KgaRleHCDTp","Ramble On - 1990 Remaster","Led Zeppelin II (1994 Remaster)","Led Zeppelin",1969-10-22,263333,72,spotify:user:emberg547,2019-01-17T13:12:40Z,"album rock,classic rock,hard rock,rock",0.468,0.607,9,-11.367,1,0.0336,0.072,0.000852,0.225,0.886,98.429,4
