Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
40riOy7x9W7GXjyGp4pjAv,"0ECwFtbIWEVNwjlrfc6xoL","Hotel California - 2013 Remaster","Hotel California (2013 Remaster)","Eagles",1976-12-08,391376,85,spotify:user:emberg547,2021-02-03T05:08:40Z,"album rock,classic rock,country rock,folk rock,heartland rock,mellow gold,rock,soft rock,yacht rock",0.579,0.508,2,-9.484,1,0.027,0.00574,0.000494,0.0575,0.609,147.125,4
5CQ30WqJwcep0pYcV4AMNc,"36QJpDe2go2KgaRleHCDTp","Stairway to Heaven - Remaster","Led Zeppelin IV (Deluxe Edition)","Led Zeppelin",1971-11-08,482830,82,spotify:user:emberg547,2021-02-03T05:09:08Z,"album rock,classic rock,hard rock,rock",0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,4
7BY005dacJkbO6EPiOh2wb,"3ICflSq6ZgYAIrm2CTkfVP","House Of The Rising Sun","The Animals","The Animals",1964-01-01,271280,73,spotify:user:emberg547,2021-02-03T05:09:18Z,"album rock,blues rock,british invasion,classic rock,folk rock,protopunk,psychedelic rock,rock",0.295,0.584,9,-6.696,0,0.0345,0.000385,0.218,0.0996,0.228,117.2,3
4gMgiXfqyzZLMhsksGmbQV,"0k17h0D3J5VfsdmQ1iZtE9","Another Brick in the Wall, Pt. 2","The Wall","Pink Floyd",1979-11-30,238746,78,spotify:user:emberg547,2021-02-03T05:23:34Z,"album rock,art rock,classic rock,progressive rock,psychedelic rock,rock,symphonic rock",0.693,0.394,0,-15.882,1,0.0428,0.0782,0.000694,0.247,0.721,104.114,4
6HSXNV0b4M4cLJ7ljgVVeh,"74ASZWbe4lXaubB36ztrGX","Knockin' On Heaven's Door","Pat Garrett & Billy The Kid (Soundtrack From The Motion Picture)","Bob Dylan",1973-07-13,149880,75,spotify:user:emberg547,2021-02-03T05:31:30Z,"album rock,classic rock,country rock,folk,folk rock,mellow gold,rock,roots rock,singer-songwriter",0.513,0.396,7,-13.061,1,0.0299,0.251,0.177,0.11,0.229,140.208,4
6zeE5tKyr8Nu882DQhhSQI,"2hl0xAkS2AIRAu23TVMBG1","Dust in the Wind","Point Of Know Return (Expanded Edition)","Kansas",1977,206266,79,spotify:user:emberg547,2021-02-03T05:31:35Z,"album rock,art rock,classic rock,hard rock,heartland rock,mellow gold,progressive rock,rock,soft rock,symphonic rock",0.475,0.322,7,-10.687,1,0.0283,0.367,0.00056,0.11,0.387,93.503,4
1GcVa4jFySlun4jLSuMhiq,"22bE4uQ6baNwSHPVcDxLCe","Angie","Goats Head Soup (Remastered 2009)","The Rolling Stones",1973-08-31,272000,75,spotify:user:emberg547,2021-02-03T05:43:18Z,"british invasion,classic rock,rock",0.429,0.554,9,-6.128,0,0.0291,0.67,0.000152,0.105,0.407,136.302,4
389QX9Q1eUOEZ19vtzzI9O,"3WrFJ7ztbogyGnTHbHJFl2","While My Guitar Gently Weeps - Remastered 2009","The Beatles (Remastered)","The Beatles",1968-11-22,285000,73,spotify:user:emberg547,2021-02-03T05:47:40Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.453,0.654,4,-8.855,0,0.0317,0.0205,0.00395,0.172,0.702,115,4
3ovjw5HZZv43SxTwApooCM,"27T030eWyCQRmDyuvr1kxY","Wind Of Change","Crazy World","Scorpions",1990-01-01,312360,81,spotify:user:emberg547,2021-02-03T05:54:38Z,"album rock,german hard rock,german metal,german rock,hard rock,metal,rock",0.452,0.524,0,-10.108,1,0.0351,0.315,0,0.103,0.246,151.505,4
07KHJvlYBeQVqrmifTEqEp,"7Ey4PD4MYsKc5I2dolUwbH","Dream On","The Essential Aerosmith","Aerosmith",2011-09-13,265093,0,spotify:user:emberg547,2021-02-13T23:33:09Z,"album rock,classic rock,hard rock,rock",0.412,0.528,1,-6.613,1,0.0259,0.298,0.0000503,0.332,0.175,79.962,4
3dPQuX8Gs42Y7b454ybpMR,"4F84IBURUo98rz4r61KF70","Seven Nation Army","Elephant","The White Stripes",2003-04-01,232106,86,spotify:user:emberg547,2021-02-13T23:33:24Z,"alternative rock,blues rock,detroit rock,garage rock,modern blues rock,modern rock,permanent wave,punk blues,rock",0.743,0.446,4,-7.807,0,0.0683,0.0039,0.118,0.337,0.278,123.596,4
72ahyckBJfTigJCFCviVN7,"7jefIIksOi1EazgRTfW2Pk","Don't Bring Me Down","Discovery","Electric Light Orchestra",1979-05-31,243373,74,spotify:user:emberg547,2021-02-13T23:33:58Z,"album rock,art rock,beatlesque,classic rock,glam rock,mellow gold,rock,soft rock,symphonic rock",0.638,0.867,2,-6.469,1,0.0331,0.144,0.000733,0.0846,0.805,115.692,4
6NTqBHONQqmud0ONBzsLfZ,"00tVTdpEhQQw1bqdu8RCx2","(Don't Fear) The Reaper","Agents of Fortune","Blue Öyster Cult",1976,308440,0,spotify:user:emberg547,2021-02-13T23:34:08Z,"album rock,art rock,blues rock,classic rock,hard rock,metal,rock,soft rock",0.368,0.928,9,-8.369,0,0.0593,0.00125,0.00111,0.301,0.532,141.175,4
4KfSdst7rW39C0sfhArdrz,"34jw2BbxjoYalTp8cJFCPv","Barracuda","Little Queen","Heart",1977-05-14,261933,75,spotify:user:emberg547,2021-02-13T23:34:28Z,"album rock,classic rock,hard rock,heartland rock,mellow gold,new wave pop,rock,soft rock",0.548,0.691,4,-13.553,0,0.0369,0.015,0.106,0.144,0.667,137.145,4
07ANB9prOyNTWnMbDGNzdW,"3IYUhFvPQItj6xySrBmZkd","Fortunate Son","The Long Road Home - The Ultimate John Fogerty - Creedance Collection","Creedence Clearwater Revival",2005-01-01,138053,0,spotify:user:emberg547,2021-02-13T23:35:26Z,"album rock,classic rock,country rock,rock,southern rock,swamp rock",0.634,0.762,0,-3.917,1,0.0393,0.0562,0.244,0.192,0.427,132.539,4
0UAJH0k4k3slcE83a9UGCe,"1SQRv42e4PjEYfPhS0Tk9E","Lola","Lola Versus Powerman and the Moneygoround, Pt. One","The Kinks",1970-11-27,241040,72,spotify:user:emberg547,2021-02-13T23:37:17Z,"album rock,art rock,british invasion,classic rock,folk rock,glam rock,mellow gold,protopunk,psychedelic rock,rock",0.474,0.917,9,-4.19,1,0.0395,0.582,0.231,0.201,0.902,152.113,4
