Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
0dBatXn1vVUl0jLgXRClwD,"3PhoLpVuITZKcymswpck5b","Bennie And The Jets - Remastered 2014","Goodbye Yellow Brick Road (Remastered / Deluxe Edition)","Elton John",1973-10-05,322548,1,spotify:user:emberg547,2019-08-29T22:25:36Z,"glam rock,mellow gold,piano rock",0.665,0.673,0,-7.95,1,0.0493,0.259,0.00000762,0.497,0.779,132.642,4
6t6bOh1jmVcRke7rmzAegb,"7FhRUp59cBzPaxobsRY1Nc","Straight Jacket","Fountain Tropical EP","Bay Ledges",2017-08-18,205065,59,spotify:user:emberg547,2019-08-30T12:44:58Z,"indie poptimism,la pop,modern rock,vapor soul",0.616,0.657,7,-5.375,1,0.0649,0.117,0,0.11,0.927,79.919,4
3MODES4TNtygekLl146Dxd,"36QJpDe2go2KgaRleHCDTp","Ramble On - 1990 Remaster","Led Zeppelin II (1994 Remaster)","Led Zeppelin",1969-10-22,263333,72,spotify:user:emberg547,2019-09-02T23:15:57Z,"album rock,classic rock,hard rock,rock",0.468,0.607,9,-11.367,1,0.0336,0.072,0.000852,0.225,0.886,98.429,4
5CQ30WqJwcep0pYcV4AMNc,"36QJpDe2go2KgaRleHCDTp","Stairway to Heaven - Remaster","Led Zeppelin IV (Deluxe Edition)","Led Zeppelin",1971-11-08,482830,82,spotify:user:emberg547,2019-09-02T23:16:17Z,"album rock,classic rock,hard rock,rock",0.338,0.34,9,-12.049,0,0.0339,0.58,0.0032,0.116,0.197,82.433,4
0hCB0YR03f6AmQaHbwWDe8,"36QJpDe2go2KgaRleHCDTp","Whole Lotta Love - 1990 Remaster","Led Zeppelin II (1994 Remaster)","Led Zeppelin",1969-10-22,333893,78,spotify:user:emberg547,2019-09-02T23:16:43Z,"album rock,classic rock,hard rock,rock",0.412,0.902,9,-11.6,1,0.405,0.0484,0.131,0.405,0.422,89.74,4
1HmzAZUvhQLhLo2z3ocpZI,"1dfeR4HaWDbWqFHLkxsg1d","Radio Ga Ga - Remastered 2011","The Works (Deluxe Remastered Version)","Queen",1984-02-27,348226,65,spotify:user:emberg547,2019-09-02T23:18:07Z,"classic rock,glam rock,rock",0.744,0.502,5,-7.705,1,0.0359,0.179,0.000172,0.19,0.655,112.345,4
25yQPHgC35WNnnOUqFhgVR,"3WrFJ7ztbogyGnTHbHJFl2","Lucy In The Sky With Diamonds - Remastered 2009","Sgt. Pepper's Lonely Hearts Club Band (Remastered)","The Beatles",1967-06-01,208466,71,spotify:user:emberg547,2019-09-02T23:19:46Z,"beatlesque,british invasion,classic rock,merseybeat,psychedelic rock,rock",0.311,0.325,2,-9.042,1,0.0283,0.0469,0,0.139,0.668,65.09,1
7nhItJUpHMXJURhZNyXHJs,"3gd8FJtBJtkRxdfbTu19U2","Babel","Babel (Deluxe Version)","Mumford & Sons",2012-09-25,208933,56,spotify:user:emberg547,2019-09-02T23:20:43Z,"modern folk rock,modern rock,pop rock,stomp and holler,uk americana",0.373,0.813,2,-6.13,1,0.0543,0.0253,0.000227,0.0826,0.647,80.465,4
27L8sESb3KR79asDUBu8nW,"1pgtr4nhBQjp9oCUBPyYWh","Stacy's Mom","Welcome Interstate Managers","Fountains Of Wayne",2003-01-01,197986,77,spotify:user:emberg547,2019-09-02T23:21:01Z,"alternative rock,pop rock,power pop",0.774,0.75,11,-4.927,0,0.0412,0.00207,0.0000178,0.0808,0.927,118.015,4
6GG73Jik4jUlQCkKg9JuGO,"3Ayl7mCk0nScecqOzvNp6s","The Middle","Bleed American","Jimmy Eat World",2001-07-17,165853,82,spotify:user:emberg547,2019-09-02T23:21:20Z,"alternative rock,emo,modern power pop,modern rock,pop punk,pop rock,rock",0.643,0.849,2,-5.428,1,0.0526,0.0371,0,0.058,0.903,162.152,4
6cFZ4PLC19taNlpl9pbGMf,"1dfeR4HaWDbWqFHLkxsg1d","Somebody To Love - Remastered 2011","A Day At The Races (Deluxe Remastered Version)","Queen",1976-12-10,296493,71,spotify:user:emberg547,2019-09-02T23:22:43Z,"classic rock,glam rock,rock",0.497,0.693,8,-7.024,1,0.0565,0.19,0,0.215,0.358,111.539,3
5hc71nKsUgtwQ3z52KEKQk,"3mIj9lX2MWuHmhNCA7LSCW","Somebody Else","I like it when you sleep, for you are so beautiful yet so unaware of it","The 1975",2016-02-26,347520,76,spotify:user:emberg547,2019-09-02T23:22:47Z,"modern alternative rock,modern rock,pop,rock",0.61,0.788,0,-5.724,1,0.0585,0.195,0.0142,0.153,0.472,101.045,4
6liNJDyWJjyHAgDnAX95bw,"10exVja0key0uqUkk6LJRT","Fire and the Flood","Dream Your Life Away (Special Edition)","Vance Joy",2014-09-09,249382,69,spotify:user:emberg547,2019-09-04T02:34:34Z,"folk-pop,modern rock,pop,pop rock",0.596,0.827,5,-4.402,1,0.0372,0.0242,0,0.0958,0.329,115.034,4
297rZsBEjFw9d0Gl3iBLnd,"4iMO20EPodreIaEl8qW66y","Goodie Bag","Goodie Bag","Still Woozy",2017-11-05,146390,1,spotify:user:emberg547,2019-09-05T22:30:53Z,"bedroom pop,modern rock,oakland indie",0.701,0.529,7,-12.242,0,0.147,0.82,0.00113,0.249,0.577,138.216,4
7nnz5nWr6iHtiEhH3a22HH,"1Q2mS59tFYLm2KGFoCgWN4","How Does It Feel?","How Does It Feel?","Samm Henshaw",2018-05-31,190877,55,spotify:user:emberg547,2019-09-05T22:30:57Z,"alternative r&b,british soul,indie soul,uk contemporary r&b",0.613,0.669,0,-6.049,1,0.156,0.1,0,0.281,0.599,80.033,4
6lOHJvk1ss3cH42PlxyLvo,"6vqMDhoigg5btfdPsPTVFt","Come on Mess Me Up","This Is Our Vice","Cub Sport",2016-03-04,203640,59,spotify:user:emberg547,2019-09-05T22:31:01Z,"australian indie,australian indie rock,australian pop,brisbane indie",0.344,0.592,4,-5.582,1,0.0323,0.0626,0.00000598,0.13,0.0396,149.724,4
2T64m94VBrsEISkAYq6Cnq,"4iMO20EPodreIaEl8qW66y","Cooks","Cooks","Still Woozy",2017-07-16,174105,0,spotify:user:emberg547,2019-09-05T22:31:12Z,"bedroom pop,modern rock,oakland indie",0.363,0.579,7,-10.533,1,0.0986,0.446,0.0127,0.264,0.719,78.032,4
4EpZ4eYuZOwPSSwyqpdHnJ,"7pbDxGE6nQSZVfiFdq9lOL","Sunflower","Sunflower","Rex Orange County",2017-03-22,252230,80,spotify:user:emberg547,2019-09-05T22:31:28Z,"bedroom pop,pop",0.384,0.765,6,-4.463,1,0.0579,0.646,0.00352,0.522,0.567,129.903,4
5qmq61DAAOUaW8AUo8xKhh,"56oDRnqbIiwx4mymNEv7dS","Truth Hurts","Cuz I Love You (Deluxe)","Lizzo",2019-05-03,173325,68,spotify:user:emberg547,2019-09-05T22:31:31Z,"dance pop,escape room,minnesota hip hop,pop,trap queen",0.715,0.624,4,-3.046,0,0.114,0.11,0,0.123,0.412,158.087,4
1ITsmuChPVC05ogvorAyVu,"56oDRnqbIiwx4mymNEv7dS","Boys","Cuz I Love You (Deluxe)","Lizzo",2019-05-03,172630,63,spotify:user:emberg547,2019-09-05T22:31:36Z,"dance pop,escape room,minnesota hip hop,pop,trap queen",0.891,0.587,6,-4.281,0,0.115,0.00317,0.000154,0.0487,0.753,120.029,4
3Ol2xnObFdKV9pmRD2t9x8,"31W5EY0aAly4Qieq6OFu6I","Look Back at It","Hoodie SZN","A Boogie Wit da Hoodie",2018-12-21,179449,77,spotify:user:emberg547,2019-09-05T22:31:41Z,"melodic rap,rap,trap",0.791,0.587,3,-5.075,0,0.0413,0.407,0,0.148,0.536,96.057,4
795VzZodMdZzC5fXMp2L3T,"6WkUZyqghQei2G809wMKuZ,7d3WFRME3vBY2cgoP38RDo","Waterslide (feat. Lil Skies)","Yung Bans","Yung Bans,Lil Skies",2018-12-31,158137,46,spotify:user:emberg547,2019-09-05T22:31:49Z,"plugg,rap,trap,underground hip hop,vapor trap,melodic rap",0.883,0.384,0,-10.163,1,0.348,0.202,0,0.138,0.425,75.02,4
7h2yhVxcZOGyQdOwD4Hu8J,"1dfeR4HaWDbWqFHLkxsg1d","I Want To Break Free - Remastered 2011","The Works (Deluxe Remastered Version)","Queen",1984-02-27,258013,65,spotify:user:emberg547,2019-09-05T22:31:52Z,"classic rock,glam rock,rock",0.795,0.433,4,-8.927,1,0.0324,0.0853,0.000284,0.0762,0.6,108.947,4
4ZT9FnbFu1PaBfV3itxiqT,"7d3WFRME3vBY2cgoP38RDo","I","Shelby","Lil Skies",2019-03-01,181890,75,spotify:user:emberg547,2019-09-05T22:31:55Z,"melodic rap,rap,trap",0.649,0.453,6,-7.28,1,0.085,0.627,0,0.116,0.431,99.183,4
6JQvHMSaR8flFsN53ypOfP,"5zctI4wO9XSKS8XwcnqEHk","Noticed","Northsbest","Lil Mosey",2018-10-19,165000,1,spotify:user:emberg547,2019-09-05T22:31:59Z,"melodic rap,rap,rap conscient,trap,vapor trap",0.699,0.558,11,-7.622,1,0.0603,0.462,0,0.116,0.493,79.992,4
3YcUuROdNqbATDLG9itprJ,"5zctI4wO9XSKS8XwcnqEHk","Kamakaze","Northsbest","Lil Mosey",2018-10-19,139200,0,spotify:user:emberg547,2019-09-05T22:32:02Z,"melodic rap,rap,rap conscient,trap,vapor trap",0.811,0.568,8,-7.525,0,0.0973,0.329,0.00000264,0.101,0.601,99.979,4
