Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
6JyEh4kl9DLwmSAoNDRn5b,"2hPgGN4uhvXAxiXQBIXOmE,52lBOxCxbJg0ttXEW9CQpW","4th Dimension","KIDS SEE GHOSTS","KIDS SEE GHOSTS,Louis Prima",2018-06-08,153351,71,spotify:user:emberg547,2020-09-02T14:38:09Z,"hip hop,rap,adult standards,jump blues,lounge,soul,swing,vocal jazz",0.765,0.542,1,-6.755,1,0.39,0.278,0.0000187,0.609,0.734,171.945,4
4RVbK6cV0VqWdpCDcx3hiT,"2hPgGN4uhvXAxiXQBIXOmE","Reborn","KIDS SEE GHOSTS","KIDS SEE GHOSTS",2018-06-08,324674,75,spotify:user:emberg547,2020-09-02T14:44:29Z,"hip hop,rap",0.585,0.597,0,-7.499,1,0.037,0.339,0.0404,0.195,0.227,100.051,4
4MJfCOcc2PpWOrUqOpvy1S,"1ShZZUjkbXCjhwrb18BA8I","Sunflower Seeds","Sunflower Seeds","Bryce Vine",2016-08-26,228610,64,spotify:user:emberg547,2020-09-02T15:05:34Z,"pop,pop rap",0.723,0.593,10,-5.816,1,0.0308,0.194,0.0000535,0.217,0.273,92.985,4
0E8b5Ocz2UGTRGE3ItuQre,"63rJq5DaUMq2OhAnh3al79,0YWxKQj2Go9CGHCp77UOyy,31W5EY0aAly4Qieq6OFu6I","Sittin In My Car (feat. Fabolous & A Boogie Wit da Hoodie)","Sittin In My Car (feat. Fabolous & A Boogie Wit da Hoodie)","DJ Envy,Fabolous,A Boogie Wit da Hoodie",2020-09-04,234706,42,spotify:user:emberg547,2020-09-05T17:21:35Z,"jersey club,dance pop,gangster rap,hardcore hip hop,hip hop,hip pop,pop rap,r&b,rap,trap,urban contemporary,melodic rap",0.766,0.684,11,-6.014,0,0.217,0.0912,0,0.0636,0.452,90.057,4
33gwZOGJWEZ7dRWPqPxBEZ,"0c173mlxpT3dSFRgMO8XPh,246dkjvS1zLTtiykXe5h60","Wolves (feat. Post Malone)","Detroit 2","Big Sean,Post Malone",2020-09-04,199758,81,spotify:user:emberg547,2020-09-05T17:49:27Z,"detroit hip hop,hip hop,pop,pop rap,rap,southern hip hop,trap,dfw rap,melodic rap",0.724,0.675,2,-5.267,1,0.0867,0.0978,0.00000941,0.351,0.325,160.048,4
4QqTDl0Po7cbaZMcGsZmBg,"0c173mlxpT3dSFRgMO8XPh,6q3p11nP1p80Ey6LrOOSed,50co4Is1HCEo8bhOyUWKpn","Respect It (with Hit-Boy feat. Young Thug)","Detroit 2","Big Sean,Hit-Boy,Young Thug",2020-09-04,207243,49,spotify:user:emberg547,2020-09-05T18:28:08Z,"detroit hip hop,hip hop,pop,pop rap,rap,southern hip hop,trap,cali rap,atl hip hop,atl trap,gangster rap,melodic rap",0.703,0.717,8,-6.035,0,0.23,0.0693,0,0.285,0.417,77.016,4
6UQkEcZNvGORn3R9oGi9c9,"0c173mlxpT3dSFRgMO8XPh","The Baddest","Detroit 2","Big Sean",2020-09-04,189055,47,spotify:user:emberg547,2020-09-06T17:19:00Z,"detroit hip hop,hip hop,pop,pop rap,rap,southern hip hop,trap",0.639,0.726,9,-3.764,1,0.324,0.0637,0,0.713,0.232,81.846,4
2SAqBLGA283SUiwJ3xOUVI,"3TVXtAsR1Inumwj472S9r4,3hcs9uc56yIGFCSy9leWe7","Laugh Now Cry Later (feat. Lil Durk)","Laugh Now Cry Later (feat. Lil Durk)","Drake,Lil Durk",2020-08-14,261492,85,spotify:user:emberg547,2020-09-06T18:05:46Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap,chicago drill,chicago rap,drill,trap",0.761,0.518,0,-8.871,1,0.134,0.244,0.0000347,0.107,0.522,133.976,4
4LEK9rD7TWIG4FCL1s27XC,"06HL4z0CvFAxyc27GXpf02","cardigan","folklore","Taylor Swift",2020-07-24,239560,54,spotify:user:emberg547,2020-09-06T18:14:32Z,"pop",0.613,0.581,0,-8.588,0,0.0424,0.537,0.000345,0.25,0.551,130.033,4
7ycWLEP1GsNjVvcjawXz3z,"13ubrt8QOOCPljQ2FL1Kca,2p1fiYHYiXz9qi0JJyxBzN","Praise The Lord (Da Shine) (feat. Skepta)","TESTING","A$AP Rocky,Skepta",2018-05-25,205040,84,spotify:user:emberg547,2020-09-06T18:21:41Z,"east coast hip hop,hip hop,rap,trap,birmingham grime,grime,instrumental grime",0.854,0.569,5,-8.151,0,0.106,0.0609,0.0816,0.1,0.294,80.015,4
