Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5wIeuNURiubue1VTcglU57,"6LqNN22kT3074XbTVUrhzX,4LFgxG38Y0l4Fo1gdQelay","Woman","Woman","Kesha,The Dap-Kings Horns",2017-07-13,196360,0,spotify:user:emberg547,2018-07-04T19:22:35Z,"dance pop,electropop,pop,post-teen pop",0.743,0.765,5,-3.586,0,0.0389,0.0438,0.0416,0.667,0.338,114.991,4
0Ji2g9AlYLVHAMG5PJoHPU,"6LqNN22kT3074XbTVUrhzX","We R Who We R","Cannibal","Kesha",2010-11-19,204760,0,spotify:user:emberg547,2018-07-04T19:25:59Z,"dance pop,electropop,pop,post-teen pop",0.734,0.821,8,-4.893,1,0.0406,0.00709,0.00281,0.127,0.648,119.993,4
0jdny0dhgjUwoIp5GkqEaA,"6LqNN22kT3074XbTVUrhzX","Praying","Rainbow","Kesha",2017-08-11,230266,74,spotify:user:emberg547,2018-07-05T13:38:29Z,"dance pop,electropop,pop,post-teen pop",0.543,0.39,10,-7.202,1,0.0322,0.489,0,0.111,0.303,73.415,4
5OMwQFBcte0aWFJFqrr5oj,"6LqNN22kT3074XbTVUrhzX","TiK ToK","Animal","Kesha",2010,199693,0,spotify:user:emberg547,2018-07-05T13:38:35Z,"dance pop,electropop,pop,post-teen pop",0.755,0.832,2,-2.741,0,0.116,0.0746,0.00000127,0.291,0.735,120.032,4
6mnjcTmK8TewHfyOp3fC9C,"6LqNN22kT3074XbTVUrhzX","Die Young","Warrior (Deluxe Version)","Kesha",2012-11-30,211920,0,spotify:user:emberg547,2018-07-05T13:38:40Z,"dance pop,electropop,pop,post-teen pop",0.711,0.7,1,-4.805,0,0.046,0.00498,0.000125,0.215,0.801,128.001,4
3JKhmIlixlYwFLzrkc6drb,"6LqNN22kT3074XbTVUrhzX","Learn To Let Go","Learn To Let Go","Kesha",2017-07-27,217546,0,spotify:user:emberg547,2018-07-05T13:38:57Z,"dance pop,electropop,pop,post-teen pop",0.515,0.847,5,-2.951,1,0.039,0.00369,0.0000666,0.293,0.645,168.104,4
318EGw5ZZB8U5MdMWQwxZQ,"6LqNN22kT3074XbTVUrhzX","Bastards","Rainbow","Kesha",2017-08-11,231360,45,spotify:user:emberg547,2018-07-05T13:39:01Z,"dance pop,electropop,pop,post-teen pop",0.404,0.339,7,-9.047,1,0.0306,0.173,0,0.1,0.297,105.508,3
0wJJhRgdHhT93Z3iWdMB0T,"6LqNN22kT3074XbTVUrhzX","Hymn","Hymn","Kesha",2017-08-03,205600,0,spotify:user:emberg547,2018-07-05T13:39:10Z,"dance pop,electropop,pop,post-teen pop",0.488,0.538,6,-4.974,1,0.076,0.147,0,0.305,0.38,67.037,4
2ZKvBNoOjYzbB00EwutMgQ,"6LqNN22kT3074XbTVUrhzX,02uYdhMhCgdB49hZlYRm9o","Boogie Feet (feat. Eagles of Death Metal)","Rainbow","Kesha,Eagles Of Death Metal",2017-08-11,173933,44,spotify:user:emberg547,2018-07-05T13:39:16Z,"dance pop,electropop,pop,post-teen pop,alternative rock,blues rock,garage rock,garage rock revival,modern blues rock,modern rock,palm desert scene,rock",0.671,0.85,2,-4.487,1,0.238,0.0595,0.00000758,0.134,0.782,147.996,4
3ubtdCmWZIuX8FuRv3S3KX,"6LqNN22kT3074XbTVUrhzX","Take It Off","Animal","Kesha",2010,215200,0,spotify:user:emberg547,2018-07-05T13:39:29Z,"dance pop,electropop,pop,post-teen pop",0.725,0.672,5,-5.353,0,0.0283,0.0000462,0.00225,0.112,0.777,125.042,4
3cHyrEgdyYRjgJKSOiOtcS,"0TnOYISbd1XYRBk9myaseg,6LqNN22kT3074XbTVUrhzX","Timber (feat. Ke$ha)","Global Warming: Meltdown (Deluxe Version)","Pitbull,Kesha",2012,204160,82,spotify:user:emberg547,2018-07-05T13:39:41Z,"dance pop,latin,miami hip hop,pop,pop rap,electropop,post-teen pop",0.581,0.963,11,-4.087,1,0.0981,0.0295,0,0.139,0.788,129.992,4
