Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5b7OgznPJJr1vHNYGyvxau,"1Mxqyy3pSjf8kZZL4QVxS0,2jFZlvIea42ZvcCw4OeEdA","Fly Me To The Moon (In Other Words)","Sinatra/Basie: The Complete Reprise Studio Recordings","Frank Sinatra,Count Basie",1962-12-10,147000,76,spotify:user:emberg547,2020-04-15T01:43:41Z,"adult standards,easy listening,lounge,big band,harlem renaissance,jazz,jazz piano,stride,swing,vocal jazz",0.668,0.26,7,-14.256,1,0.0523,0.453,0,0.0621,0.368,119.416,4
2DpJ9T2RVRanZcYFHKOAfA,"7ceUfdWq2t5nbatS6ollHh","Put Your Head On My Shoulder","Put Your Head On My Shoulder: The Very Best Of Paul Anka","Paul Anka",2000-10-03,154733,73,spotify:user:emberg547,2020-04-15T01:44:11Z,"adult standards,brill building pop,canadian pop,easy listening,lounge,rock-and-roll",0.547,0.335,4,-9.2,0,0.0307,0.747,0,0.101,0.474,115.838,3
4o6BgsqLIBViaGVbx5rbRk,"77tT1kLj6mCWtFNqiOmP9H","You Make My Dreams (Come True)","Voices","Daryl Hall & John Oates",1980,190626,79,spotify:user:emberg547,2020-04-15T01:44:42Z,"album rock,classic rock,mellow gold,rock,soft rock,yacht rock",0.751,0.501,5,-12.151,1,0.0551,0.234,0.112,0.0467,0.902,167.057,4
7uEcCGtM1FBBGIhPozhJjv,"320EPCSEezHt1rtbfwH6Ck","Daydream Believer","The Birds, The Bees, & The Monkees","The Monkees",1968-04-22,179613,70,spotify:user:emberg547,2020-04-15T01:56:59Z,"beatlesque,brill building pop,bubblegum pop,classic rock,country rock,folk rock,mellow gold,psychedelic rock,rock,sunshine pop",0.51,0.488,7,-10.304,1,0.0304,0.256,0,0.11,0.649,125.683,4
1DndHckdH9m5rp6gYP086b,"15FyiY3ChN0QRspHIQYq0W","Runaround Sue","Runaround Sue","Dion",1961,171600,65,spotify:user:emberg547,2020-04-15T02:00:36Z,"adult standards,brill building pop,doo-wop,lounge,rock-and-roll,rockabilly",0.364,0.607,2,-9.791,1,0.125,0.451,0,0.251,0.598,79.987,4
252YuUdUaC5OojaBU0H1CP,"0DAqhikcMKLo2lPADVz2fs","Come A Little Bit Closer","Come A Little Bit Closer: The Best Of Jay & The Americans","Jay & The Americans",1964,166666,68,spotify:user:emberg547,2020-04-15T02:15:36Z,"adult standards,brill building pop,bubblegum pop,doo-wop,folk rock,rock-and-roll",0.636,0.684,3,-9.302,1,0.057,0.52,0.0015,0.534,0.881,132.509,4
2T43UrvAg60ubJVo5KQ3t7,"0w7HLMvZOHatWVbAKee1zF","Come And Get Your Love","The Best Of Redbone","Redbone",2010-03-05,208306,66,spotify:user:emberg547,2020-04-15T02:22:46Z,"native american,native american contemporary",0.793,0.481,2,-14.246,1,0.0278,0.231,0.00122,0.06,0.97,107.744,4
5lWSa1rmuSL6OBPOnkAqoa,"54R6Y0I7jGUCveDTtI21nb","Rasputin","Daddy Cool","Boney M.",1994-03-14,220666,74,spotify:user:emberg547,2020-04-15T02:22:51Z,"europop",0.69,0.752,6,-11.47,0,0.0455,0.463,0.00102,0.595,0.97,126.005,4
3I09LQbHS3NSU46Ly3tPpR,"1GxkXlMwML1oSg5eLPiAz3","Feeling Good","It's Time","Michael Bublé",2005-02-07,237333,70,spotify:user:emberg547,2020-04-16T16:37:01Z,"adult standards,canadian pop,jazz pop,lounge",0.535,0.548,1,-6.51,1,0.037,0.533,0.00000148,0.123,0.477,115.144,3
2ugghimAssmeO3YpFIV7mb,"0rpMdBzQXf7aYRnu5fDBJy","Blister In The Sun","Violent Femmes","Violent Femmes",1983-04-13,145706,21,spotify:user:emberg547,2020-04-22T16:54:31Z,"acoustic punk,alternative rock,rock",0.726,0.537,0,-8.896,1,0.113,0.316,0,0.0707,0.887,96.91,4
7Cuk8jsPPoNYQWXK9XRFvG,"4QQgXkCYTt3BlENzhyNETg","September","September","Earth, Wind & Fire",2018-04-17,215080,71,spotify:user:emberg547,2020-04-24T05:03:45Z,"disco,funk,jazz funk,motown,quiet storm,soul",0.694,0.831,9,-7.288,1,0.0301,0.165,0.000892,0.25,0.98,125.901,4
1YLJVmuzeM2YSUkCCaTNUB,"1moxjboGR7GNWYIMWsRjgG","Dog Days Are Over","Lungs (Deluxe Edition)","Florence + The Machine",2009,251840,74,spotify:user:emberg547,2020-04-24T05:04:13Z,"baroque pop,pop,uk alternative pop",0.492,0.81,7,-5.315,1,0.0847,0.0416,0.00379,0.117,0.245,149.954,4
0q21FNwES2bbtcduB6kjEU,"5FHwr1FymaS5kutIEK6e2y","Dancing in the Moonlight","Dancing in the Moonlight","King Harvest",1973-01-01,181133,71,spotify:user:emberg547,2020-06-25T16:10:05Z,"soft rock",0.657,0.435,10,-15.707,1,0.0552,0.739,0,0.167,0.771,135.975,4
5FMXrphygZ4z3gVDHGWxgl,"3alW3LYQS8K29z8C8NSLIX","Copacabana (At the Copa)","Dance Vault Mixes - Copacabana (At The Copa)","Barry Manilow",2006-09-12,236760,60,spotify:user:emberg547,2020-06-30T15:05:07Z,"adult standards,bubblegum pop,disco,mellow gold,quiet storm,soft rock,yacht rock",0.606,0.899,7,-6.412,0,0.0758,0.333,0.000102,0.0754,0.66,116.735,4
