Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2374M0fQpWi3dLnB54qaLX,"0PFtn5NtBbbUNbU9EAmIWF","Africa","Toto IV","TOTO",1982-04-08,295893,84,spotify:user:emberg547,2018-07-21T23:06:51Z,"album rock,classic rock,mellow gold,rock,soft rock,yacht rock",0.671,0.373,9,-18.064,1,0.0323,0.257,0.0000801,0.0481,0.732,92.718,4
0bAkKNCQfWkexHFn7fIKns,"3TVXtAsR1Inumwj472S9r4","In My Feelings","Scorpion","Drake",2018-06-29,217933,0,spotify:user:emberg547,2018-07-22T02:54:48Z,"canadian hip hop,canadian pop,hip hop,rap,toronto rap",0.735,0.482,8,-9.445,1,0.139,0.00623,0.0144,0.448,0.315,181.995,4
7dt6x5M1jzdTEt8oCbisTK,"246dkjvS1zLTtiykXe5h60","Better Now","beerbongs & bentleys","Post Malone",2018-04-27,231266,84,spotify:user:emberg547,2018-07-22T02:56:32Z,"dfw rap,melodic rap,rap",0.68,0.578,10,-5.804,1,0.04,0.331,0,0.135,0.341,145.038,4
0e7ipj03S05BNilyu5bRzt,"246dkjvS1zLTtiykXe5h60,1URnnhqYAYcrqrcwql10ft","rockstar (feat. 21 Savage)","beerbongs & bentleys","Post Malone,21 Savage",2018-04-27,218146,86,spotify:user:emberg547,2018-07-22T02:56:39Z,"dfw rap,melodic rap,rap,atl hip hop,trap",0.585,0.52,5,-6.136,0,0.0712,0.124,0.0000701,0.131,0.129,159.801,4
3swc6WTsr7rl9DqQKQA55C,"246dkjvS1zLTtiykXe5h60,7c0XG5cIJTrrAgEC3ULPiq","Psycho (feat. Ty Dolla $ign)","beerbongs & bentleys","Post Malone,Ty Dolla $ign",2018-04-27,221440,81,spotify:user:emberg547,2018-07-22T02:58:24Z,"dfw rap,melodic rap,rap,hip hop,pop,pop rap,r&b,southern hip hop,trap,trap soul",0.75,0.56,8,-8.094,1,0.105,0.546,0,0.111,0.459,140.06,4
58q2HKrzhC3ozto2nDdN4z,"4kYSro6naA4h99UJvo89HB,4q3ewBCX7sLwd24euuV69X,1vyhD5VmyZ7KMfW5gqLgo5","I Like It","Invasion of Privacy","Cardi B,Bad Bunny,J Balvin",2018-04-06,253390,82,spotify:user:emberg547,2018-07-22T02:59:24Z,"dance pop,pop,pop rap,rap,latin,reggaeton,trap latino,reggaeton colombiano",0.816,0.726,5,-3.998,0,0.129,0.099,0,0.372,0.65,136.048,4
4wFjTWCunQFKtukqrNijEt,"6oMuImdp5ZcFhWP0ESe6mG,0hCNtLu0JehylgoiP8L4Gh,4kYSro6naA4h99UJvo89HB","MotorSport","Culture II","Migos,Nicki Minaj,Cardi B",2018-01-26,303076,75,spotify:user:emberg547,2018-07-22T02:59:33Z,"atl hip hop,pop rap,rap,trap,dance pop,hip pop,pop,queens hip hop",0.904,0.518,2,-5.32,1,0.183,0.0305,0,0.325,0.188,137.996,4
75FDPwaULRdYDn4StFN2rT,"4kYSro6naA4h99UJvo89HB,1URnnhqYAYcrqrcwql10ft","Bartier Cardi (feat. 21 Savage)","Bartier Cardi (feat. 21 Savage)","Cardi B,21 Savage",2017-12-22,224613,55,spotify:user:emberg547,2018-07-22T03:01:20Z,"dance pop,pop,pop rap,rap,atl hip hop,trap",0.909,0.546,8,-7.513,1,0.175,0.000704,0.000823,0.36,0.0986,138.043,4
0ofbQMrRDsUaVKq2mGLEAb,"4nDoRrQiYLoBzwC5BhVJzF,50co4Is1HCEo8bhOyUWKpn","Havana (feat. Young Thug)","Havana (feat. Young Thug)","Camila Cabello,Young Thug",2017-08-03,216896,2,spotify:user:emberg547,2018-07-22T03:01:24Z,"dance pop,pop,post-teen pop,atl hip hop,atl trap,gangster rap,hip hop,melodic rap,rap,trap",0.768,0.517,7,-4.323,0,0.0312,0.186,0.000038,0.104,0.418,104.992,4
6tUgfsOa8PLkoede5nOR7D,"5wPoxI5si3eJsYYwyXV4Wi,5pKCCKE2ajJHZ9KAiaK11H","Lemon","Lemon","N.E.R.D,Rihanna",2017-11-01,219880,0,spotify:user:emberg547,2018-07-22T03:02:18Z,"hip hop,virginia hip hop,barbadian pop,dance pop,pop,pop rap,urban contemporary",0.919,0.73,1,-6.581,1,0.088,0.00194,0.0000851,0.101,0.189,95.044,4
