Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
2hEDrxiJrHa1XYp5vNW9xR,"7k58oOyqbvVWHjgqFBDkv6","Last Summer","Last Summer","Paul Vinson",2018-09-21,242163,39,spotify:user:emberg547,2020-03-19T18:19:03Z,"",0.621,0.413,7,-8.711,1,0.0396,0.568,0.000247,0.375,0.565,153.979,4
7w5cxTEzp1rfV3KCy0Bd5N,"7giUHu5pv6YTZgSkxxCcgh","Home","Up from Below","Edward Sharpe & The Magnetic Zeros",2009-07-14,303200,71,spotify:user:emberg547,2020-04-18T04:39:21Z,"double drumming,indie folk,la indie,modern rock,stomp and holler",0.542,0.589,2,-6.623,1,0.0318,0.292,0.000522,0.177,0.137,111.665,4
6dktyiCWz2JYGmcPQ5D5dY,"1AhjOkOLkbHUfcHDSErXQs,3MZsBdqDrRTJihTHQrO6Dq,4TEJudQY2pXxVHPE3gD2EU","Peach Jam","Head In The Clouds","88rising,Joji,BlocBoy JB",2018-07-20,161713,60,spotify:user:emberg547,2020-05-23T00:43:53Z,"asian american hip hop,pop,alternative r&b,viral pop,memphis hip hop,pop rap,rap,southern hip hop,tennessee hip hop,trap,vapor trap",0.857,0.668,7,-6.816,1,0.052,0.0175,0.000595,0.101,0.624,89.986,4
44yeuXXaEnaK5Cugptf7GH,"07Asx51VtMw5kbNXKrpZlq","Cigarettes On Patios","Cigarettes On Patios","BabyJake",2019-06-07,207813,57,spotify:user:emberg547,2020-05-31T03:20:43Z,"pop rap",0.754,0.725,7,-5.783,1,0.0528,0.319,0.00000119,0.188,0.597,140.011,4
5lWSa1rmuSL6OBPOnkAqoa,"54R6Y0I7jGUCveDTtI21nb","Rasputin","Daddy Cool","Boney M.",1994-03-14,220666,74,spotify:user:emberg547,2020-06-03T16:15:55Z,"europop",0.69,0.752,6,-11.47,0,0.0455,0.463,0.00102,0.595,0.97,126.005,4
0Yv7ZC1o3l21qfba3cxVOp,"6V2pAcwTwmzCs6T5HwlJLh","Afternoon Takeoff","The Moon You Stand On: Demos","Small Forward",2016-10-20,211481,31,spotify:user:emberg547,2020-06-03T16:16:45Z,"la indie",0.587,0.548,11,-8.092,0,0.0245,0.106,0.00228,0.365,0.677,79.06,4
2YouqYog7JYsVXqgxBikIi,"5nYfBUxnHtI6LAp32fl9qY","Uptown Boys","P3ace","Netherfriends",2014-03-03,135448,43,spotify:user:emberg547,2020-06-03T16:20:39Z,"shimmer pop",0.6,0.644,11,-5.18,1,0.0405,0.518,0.00301,0.108,0.588,73.004,4
6YbhspuOar1D9WSSnfe7ds,"7hJcb9fa4alzcOq3EaNPoG,137W8MRPWKqSmrBGDBFSop,0du5cEVh5yTK9QJze8zA0C","Young, Wild & Free (feat. Bruno Mars)","Mac and Devin Go to High School (Music from and Inspired by the Movie)","Snoop Dogg,Wiz Khalifa,Bruno Mars",2011-12-12,207346,68,spotify:user:emberg547,2020-06-05T18:21:49Z,"g funk,gangster rap,hip hop,pop rap,rap,west coast rap,dance pop,pittsburgh rap,southern hip hop,trap,pop",0.553,0.652,0,-6.685,1,0.206,0.0897,0,0.111,0.551,94.505,4
1pNUmVxDiE8t6P1XxcZAv8,"0NIPkIjTV8mB795yEIiPYL","Scrawny","Nothing Happens","Wallows",2019-03-22,166520,73,spotify:user:emberg547,2020-06-05T18:34:11Z,"indie pop,modern rock,pop",0.639,0.816,6,-5.28,0,0.0485,0.000985,0.0604,0.141,0.802,138.008,4
3uYm4MtU6jUQft2DtGqEoZ,"4LLpKhyESsyAXpc4laK94U","Knock Knock","Knock Knock - Single","Mac Miller",2010,202806,71,spotify:user:emberg547,2020-06-12T21:17:39Z,"hip hop,pittsburgh rap,rap",0.667,0.922,4,-4.857,0,0.128,0.0353,0,0.364,0.509,108.952,4
2Bb3mu3lfUrcRoTi3IcvQc,"2ht3wxeT69CzyKFChNnNAB","All Night","BOOMIVERSE","Big Boi",2017-06-16,241898,1,spotify:user:emberg547,2020-06-18T23:37:30Z,"alternative hip hop,atl hip hop,dirty south rap,hip hop,southern hip hop,trap",0.849,0.823,4,-4.563,1,0.0441,0.0567,0,0.0855,0.846,135.929,4
7nnz5nWr6iHtiEhH3a22HH,"1Q2mS59tFYLm2KGFoCgWN4","How Does It Feel?","How Does It Feel?","Samm Henshaw",2018-05-31,190877,55,spotify:user:emberg547,2020-06-27T01:35:21Z,"alternative r&b,british soul,indie soul,uk contemporary r&b",0.613,0.669,0,-6.049,1,0.156,0.1,0,0.281,0.599,80.033,4
4djIFfof5TpbSGRZUpsTXq,"0ZxZlO7oWCSYMXhehpyMvE","Talk Too Much","How Will You Know If You Never Try","COIN",2017-04-21,187133,75,spotify:user:emberg547,2020-06-30T15:11:21Z,"indie pop,indie poptimism,modern alternative rock,modern rock,pop,pop rock",0.598,0.888,4,-5.119,1,0.0807,0.00947,0,0.347,0.482,103.966,4
4wFzDwH40XrQL067ETa9wy,"71Mm7PHNOerxK5GkaT9ACY","Couch Potato","Couch Potato","Jakubi",2015-04-20,195188,53,spotify:user:emberg547,2020-07-01T14:01:11Z,"",0.736,0.707,8,-4.491,1,0.103,0.251,0,0.411,0.58,90.078,4
6RKGBcDtgzXx21zUjpeu6F,"1dWEYMPtNmvSVaDNLgB6NV","Cold Cold Man","My Type EP","Saint Motel",2014-08-16,230773,68,spotify:user:emberg547,2020-07-21T16:29:52Z,"indie poptimism,la indie,modern alternative rock,modern rock,pop rock,rock",0.613,0.661,9,-4.984,1,0.0263,0.00652,0,0.0976,0.509,110.978,4
4ofwffwvvnbSkrMSCKQDaC,"2ysnwxxNtSgbb9t1m2Ur4j","Shotgun","Staying at Tamara's","George Ezra",2018-03-23,201287,80,spotify:user:emberg547,2020-07-21T17:26:07Z,"folk-pop,modern rock,neo-singer-songwriter,pop,pop rock",0.673,0.735,5,-4.733,1,0.0457,0.286,0,0.242,0.754,115.744,4
6szw2Y2ywtth0oc7ODN3Tz,"0ZxZlO7oWCSYMXhehpyMvE","Run","COIN","COIN",2015-06-05,206466,57,spotify:user:emberg547,2020-07-21T17:39:56Z,"indie pop,indie poptimism,modern alternative rock,modern rock,pop,pop rock",0.497,0.882,8,-5.621,1,0.0412,0.00151,0.00000711,0.139,0.922,76.481,4
169pWCmfvVazzcL4EXFPgL,"6R664N4cEza3eORSqKSgO4","You Know It","Only The Lonely","Colony House",2017-01-13,182266,70,spotify:user:emberg547,2020-07-26T21:39:26Z,"indie poptimism,indiecoustica,modern rock,pop rock,stomp and holler",0.404,0.962,3,-2.901,1,0.0978,0.0352,0,0.146,0.572,158.121,4
2iUmqdfGZcHIhS3b9E9EWq,"0RpddSzUHfncUWNJXKOsjy","Everybody Talks","Picture Show","Neon Trees",2012-01-01,177280,84,spotify:user:emberg547,2020-08-05T18:16:22Z,"modern alternative rock,modern rock,pop,pop rock,rock",0.471,0.924,8,-3.906,1,0.0586,0.00301,0,0.313,0.725,154.961,4
6wNJDdIFnD9bMwkEXewKbq,"2CXVeT982HeechgvKI3f2v","I DONT WANT 2 B UR FRIEND","I DONT WANT 2 B UR FRIEND","Devon",2019-08-23,130666,54,spotify:user:emberg547,2020-09-19T19:47:39Z,"",0.392,0.96,5,-5.684,0,0.138,0.00664,0,0.088,0.543,89.811,4
1RUTIdTnFs8lHSc0Zr4UJB,"0fA0VVWsXO9YnASrzqfmYu","Up Up & Away","Man On The Moon: The End Of Day (Deluxe)","Kid Cudi",2009-01-01,227346,66,spotify:user:emberg547,2021-03-15T23:01:05Z,"hip hop,ohio hip hop,pop rap,rap",0.66,0.881,10,-6.119,0,0.0849,0.0722,0.000034,0.362,0.586,120.017,4
0OgGn1ofaj55l2PcihQQGV,"1ShZZUjkbXCjhwrb18BA8I","Drew Barrymore","Drew Barrymore","Bryce Vine",2017-12-01,191146,69,spotify:user:emberg547,2021-03-15T23:02:43Z,"pop,pop rap",0.758,0.574,11,-6.889,0,0.0572,0.46,0.00272,0.102,0.261,151.985,4
